# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,857142
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,50,80,0,384
1,0,62,80,0,192
1,0,66,80,0,192
2,0,74,80,0,768
1,0,86,80,0,192
1,0,69,80,192,384
2,0,78,80,192,384
2,0,81,80,192,384
1,0,86,80,192,288
1,0,88,80,288,384
1,0,62,80,384,576
1,0,66,80,384,576
2,0,78,80,384,576
2,0,81,80,384,576
1,0,90,80,384,576
1,0,69,80,576,768
2,0,78,80,576,768
2,0,81,80,576,768
1,0,90,80,576,672
1,0,91,80,672,768
2,0,50,80,768,1152
1,0,62,80,768,960
1,0,66,80,768,960
2,0,74,80,768,1536
1,0,93,80,768,960
1,0,69,80,960,1152
2,0,78,80,960,1152
2,0,81,80,960,1152
1,0,93,80,960,1152
1,0,62,80,1152,1344
1,0,66,80,1152,1344
2,0,78,80,1152,1344
2,0,81,80,1152,1344
1,0,90,80,1152,1536
1,0,69,80,1344,1536
2,0,78,80,1344,1536
2,0,81,80,1344,1536
2,0,45,80,1536,1728
1,0,61,80,1536,1728
1,0,67,80,1536,1728
2,0,76,80,1536,2304
1,0,93,80,1536,1728
1,0,69,80,1728,1920
2,0,79,80,1728,1920
2,0,81,80,1728,1920
1,0,91,80,1728,1920
2,0,57,80,1920,2112
1,0,61,80,1920,2112
1,0,67,80,1920,2112
2,0,79,80,1920,2112
2,0,81,80,1920,2112
1,0,88,80,1920,2304
1,0,69,80,2112,2304
2,0,79,80,2112,2304
2,0,81,80,2112,2304
2,0,38,80,2304,2496
1,0,62,80,2304,2496
1,0,66,80,2304,2496
2,0,74,80,2304,3072
1,0,93,80,2304,2496
1,0,69,80,2496,2688
2,0,78,80,2496,2688
2,0,81,80,2496,2688
1,0,90,80,2496,2688
2,0,50,80,2688,2880
1,0,62,80,2688,2880
1,0,66,80,2688,2880
2,0,78,80,2688,2880
2,0,81,80,2688,2880
1,0,86,80,2688,3072
1,0,69,80,2880,3072
2,0,78,80,2880,3072
2,0,81,80,2880,3072
2,0,38,80,3072,3456
2,0,50,80,3072,3456
1,0,62,80,3072,3264
1,0,66,80,3072,3264
2,0,74,80,3072,3840
1,0,86,80,3072,3264
1,0,69,80,3264,3456
2,0,78,80,3264,3456
2,0,81,80,3264,3456
1,0,86,80,3264,3360
1,0,88,80,3360,3456
1,0,62,80,3456,3648
1,0,66,80,3456,3648
2,0,78,80,3456,3648
2,0,81,80,3456,3648
1,0,90,80,3456,3648
1,0,69,80,3648,3840
2,0,78,80,3648,3840
2,0,81,80,3648,3840
1,0,90,80,3648,3744
1,0,91,80,3744,3840
2,0,38,80,3840,4224
2,0,50,80,3840,4224
1,0,62,80,3840,4032
1,0,66,80,3840,4032
2,0,74,80,3840,4608
1,0,93,80,3840,4032
1,0,69,80,4032,4224
2,0,78,80,4032,4224
2,0,81,80,4032,4224
1,0,93,80,4032,4224
1,0,62,80,4224,4416
1,0,66,80,4224,4416
2,0,78,80,4224,4416
2,0,81,80,4224,4416
1,0,90,80,4224,4608
1,0,69,80,4416,4608
2,0,78,80,4416,4608
2,0,81,80,4416,4608
2,0,33,80,4608,4800
1,0,61,80,4608,4800
1,0,67,80,4608,4800
2,0,76,80,4608,5376
1,0,93,80,4608,4800
1,0,69,80,4800,4992
2,0,79,80,4800,4992
2,0,81,80,4800,4992
1,0,91,80,4800,4992
2,0,45,80,4992,5184
1,0,61,80,4992,5184
1,0,67,80,4992,5184
2,0,79,80,4992,5184
2,0,81,80,4992,5184
1,0,88,80,4992,5184
1,0,69,80,5184,5376
2,0,79,80,5184,5376
2,0,81,80,5184,5376
1,0,91,80,5184,5280
1,0,90,80,5280,5376
2,0,38,80,5376,5568
2,0,50,80,5376,5568
1,0,62,80,5376,5568
1,0,66,80,5376,5568
2,0,74,80,5376,5568
2,0,78,80,5376,5568
2,0,81,80,5376,5568
1,0,86,80,5376,5568
2,0,38,80,5568,5760
2,0,50,80,5568,5760
1,0,62,80,5568,5760
1,0,69,80,5568,5760
2,0,74,80,5568,5760
2,0,78,80,5568,5760
2,0,81,80,5568,5760
1,0,90,80,5568,5760
2,0,38,80,5760,5952
2,0,50,80,5760,5952
1,0,62,80,5760,5952
1,0,66,80,5760,5952
2,0,74,80,5760,5952
2,0,78,80,5760,5952
2,0,81,80,5760,5952
1,0,86,80,5760,5952
2,0,50,80,6144,6528
1,0,62,80,6144,6336
1,0,66,80,6144,6336
