# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,36,80,0,384
2,0,48,80,0,384
2,0,75,80,0,768
1,0,87,80,0,768
1,0,60,80,384,768
1,0,63,80,384,768
1,0,67,80,384,768
1,0,60,80,768,1152
1,0,63,80,768,1152
1,0,67,80,768,1152
2,0,77,80,768,960
1,0,89,80,768,960
2,0,75,80,960,1152
1,0,87,80,960,1152
2,0,36,80,1152,1536
2,0,48,80,1152,1536
2,0,74,80,1152,1920
1,0,86,80,1152,1920
1,0,59,80,1536,1920
1,0,65,80,1536,1920
1,0,67,80,1536,1920
1,0,59,80,1920,2304
1,0,65,80,1920,2304
1,0,67,80,1920,2304
2,0,75,80,1920,2112
1,0,87,80,1920,2112
2,0,74,80,2112,2304
1,0,86,80,2112,2304
2,0,36,80,2304,2688
2,0,48,80,2304,2688
2,0,72,80,2304,3072
1,0,84,80,2304,3072
1,0,60,80,2688,3072
1,0,63,80,2688,3072
1,0,67,80,2688,3072
1,0,60,80,3072,3456
1,0,63,80,3072,3456
1,0,67,80,3072,3456
2,0,75,80,3072,3264
1,0,87,80,3072,3264
2,0,77,80,3264,3456
1,0,89,80,3264,3456
2,0,36,80,3456,3840
2,0,48,80,3456,3840
2,0,79,80,3456,4608
1,0,91,80,3456,4608
1,0,60,80,3840,4224
1,0,63,80,3840,4224
1,0,67,80,3840,4224
1,0,60,80,4224,4608
1,0,63,80,4224,4608
1,0,67,80,4224,4608
2,0,31,80,4608,5760
2,0,43,80,4608,5760
2,0,79,80,4608,5376
1,0,91,80,4608,5376
1,0,59,80,4992,5376
1,0,62,80,4992,5376
1,0,67,80,4992,5376
1,0,60,80,5376,5760
1,0,63,80,5376,5760
1,0,66,80,5376,5760
1,0,69,80,5376,5760
2,0,78,80,5376,5760
1,0,90,80,5376,5760
2,0,31,80,5760,6912
2,0,43,80,5760,6912
2,0,79,80,5760,6528
1,0,91,80,5760,6528
1,0,59,80,6144,6528
1,0,62,80,6144,6528
1,0,67,80,6144,6528
1,0,60,80,6528,6912
1,0,63,80,6528,6912
1,0,66,80,6528,6912
1,0,69,80,6528,6912
2,0,78,80,6528,6912
1,0,90,80,6528,6912
2,0,31,80,6912,8064
2,0,43,80,6912,8064
2,0,79,80,6912,7680
1,0,91,80,6912,7680
1,0,59,80,7296,7680
1,0,62,80,7296,7680
1,0,67,80,7296,7680
1,0,60,80,7680,8064
1,0,63,80,7680,8064
1,0,66,80,7680,8064
1,0,69,80,7680,8064
2,0,78,80,7680,8064
1,0,90,80,7680,8064
2,0,31,80,8064,8448
2,0,43,80,8064,8448
2,0,79,80,8064,8832
1,0,91,80,8064,8832
1,0,59,80,8448,8832
1,0,62,80,8448,8832
1,0,67,80,8448,8832
1,0,62,80,8832,9216
1,0,65,80,8832,9216
2,0,48,80,9216,9600
2,0,75,80,9216,9984
1,0,87,80,9216,9984
1,0,55,80,9600,9984
1,0,60,80,9600,9984
1,0,63,80,9600,9984
1,0,55,80,9984,10368
1,0,60,80,9984,10368
1,0,63,80,9984,10368
2,0,74,80,9984,10176
1,0,86,80,9984,10176
2,0,75,80,10176,10368
1,0,87,80,10176,10368
2,0,46,80,10368,10752
2,0,77,80,10368,11136
1,0,89,80,10368,11136
1,0,58,80,10752,11136
1,0,62,80,10752,11136
1,0,65,80,10752,11136
1,0,58,80,11136,11520
1,0,62,80,11136,11520
1,0,65,80,11136,11520
2,0,75,80,11136,11328
1,0,87,80,11136,11328
2,0,77,80,11328,11520
1,0,89,80,11328,11520
2,0,39,80,11520,11904
2,0,51,80,11520,11904
2,0,79,80,11520,12672
1,0,91,80,11520,12672
1,0,58,80,11904,12288
1,0,63,80,11904,12288
1,0,67,80,11904,12288
1,0,58,80,12288,12672
1,0,63,80,12288,12672
1,0,67,80,12288,12672
2,0,41,80,12672,13056
2,0,77,80,12672,13056
1,0,89,80,12672,13056
1,0,60,80,13056,13440
1,0,62,80,13056,13440
1,0,68,80,13056,13440
2,0,75,80,13056,13440
1,0,87,80,13056,13440
1,0,60,80,13440,13824
1,0,62,80,13440,13824
1,0,68,80,13440,13824
2,0,74,80,13440,13824
1,0,86,80,13440,13824
2,0,43,80,13824,14208
2,0,75,80,13824,14208
1,0,87,80,13824,14208
1,0,60,80,14208,14592
1,0,63,80,14208,14592
1,0,67,80,14208,14592
2,0,74,80,14208,14592
1,0,86,80,14208,14592
1,0,60,80,14592,14976
1,0,63,80,14592,14976
1,0,67,80,14592,14976
2,0,72,80,14592,14976
1,0,84,80,14592,14976
2,0,31,80,14976,15360
2,0,43,80,14976,15360
2,0,74,80,14976,15552
1,0,86,80,14976,15552
1,0,59,80,15360,15744
1,0,62,80,15360,15744
1,0,65,80,15360,15744
1,0,67,80,15360,15744
2,0,79,80,15552,15744
1,0,91,80,15552,15744
2,0,31,80,15744,16128
2,0,43,80,15744,16128
1,0,59,80,15744,16128
1,0,62,80,15744,16128
1,0,65,80,15744,16128
1,0,67,80,15744,16128
2,0,79,80,15744,16128
1,0,91,80,15744,16128
2,0,36,80,16128,16512
2,0,48,80,16128,16512
2,0,72,80,16128,17664
1,0,84,80,16128,17664
1,0,60,80,16512,16896
1,0,63,80,16512,16896
1,0,67,80,16512,16896
2,0,36,80,16896,17280
2,0,48,80,16896,17280
1,0,60,80,16896,17280
1,0,63,80,16896,17280
1,0,67,80,16896,17280
2,0,36,80,17280,18048
2,0,48,80,17280,18048
1,0,60,80,17280,18048
1,0,63,80,17280,18048
1,0,67,80,17280,18048
2,0,36,80,18432,18816
2,0,48,80,18432,18816
2,0,75,80,18432,19200
1,0,87,80,18432,19200
1,0,60,80,18816,19200
1,0,63,80,18816,19200
1,0,67,80,18816,19200
1,0,60,80,19200,19584
1,0,63,80,19200,19584
1,0,67,80,19200,19584
2,0,77,80,19200,19392
1,0,89,80,19200,19392
2,0,75,80,19392,19584
1,0,87,80,19392,19584
2,0,36,80,19584,19968
2,0,48,80,19584,19968
2,0,74,80,19584,20352
1,0,86,80,19584,20352
1,0,59,80,19968,20352
1,0,65,80,19968,20352
1,0,67,80,19968,20352
1,0,59,80,20352,20736
1,0,65,80,20352,20736
1,0,67,80,20352,20736
2,0,75,80,20352,20544
1,0,87,80,20352,20544
2,0,74,80,20544,20736
1,0,86,80,20544,20736
2,0,36,80,20736,21120
2,0,48,80,20736,21120
2,0,72,80,20736,21504
1,0,84,80,20736,21504
1,0,60,80,21120,21504
1,0,63,80,21120,21504
1,0,67,80,21120,21504
1,0,60,80,21504,21888
1,0,63,80,21504,21888
1,0,67,80,21504,21888
2,0,75,80,21504,21696
1,0,87,80,21504,21696
2,0,77,80,21696,21888
