# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1200000
# meta,0,0,time_signature,9/8
track,channel,pitch,vel,start,end
2,0,47,80,0,1728
2,0,59,80,0,1728
1,0,74,80,0,192
1,0,74,80,0,192
1,0,66,80,192,384
1,0,73,80,192,384
1,0,73,80,192,384
1,0,71,80,384,576
1,0,74,80,384,576
1,0,74,80,384,576
1,0,71,80,576,960
1,0,71,80,576,960
1,0,62,80,768,960
1,0,66,80,960,1152
1,0,73,80,960,1152
1,0,73,80,960,1152
1,0,71,80,1152,1344
1,0,74,80,1152,1344
1,0,74,80,1152,1344
1,0,73,80,1344,1536
1,0,76,80,1344,1536
1,0,76,80,1344,1536
1,0,74,80,1536,1728
1,0,78,80,1536,1728
1,0,78,80,1536,1728
2,0,45,80,1728,3456
2,0,57,80,1728,3456
1,0,74,80,1728,1920
1,0,74,80,1728,1920
1,0,66,80,1920,2112
1,0,73,80,1920,2112
1,0,73,80,1920,2112
1,0,71,80,2112,2304
1,0,74,80,2112,2304
1,0,74,80,2112,2304
1,0,71,80,2304,2688
1,0,71,80,2304,2688
1,0,62,80,2496,2688
1,0,66,80,2688,2880
1,0,73,80,2688,2880
1,0,73,80,2688,2880
1,0,71,80,2880,3072
1,0,74,80,2880,3072
1,0,74,80,2880,3072
1,0,73,80,3072,3264
1,0,76,80,3072,3264
1,0,76,80,3072,3264
1,0,74,80,3264,3456
1,0,78,80,3264,3456
1,0,78,80,3264,3456
2,0,43,80,3456,3648
2,0,55,80,3456,3648
1,0,83,80,3456,3648
1,0,83,80,3456,3648
1,0,64,80,3648,3840
1,0,79,80,3648,3840
1,0,79,80,3648,3840
1,0,71,80,3840,4032
1,0,76,80,3840,4032
1,0,76,80,3840,4032
2,0,42,80,4032,4224
2,0,54,80,4032,4224
1,0,73,80,4032,4416
1,0,73,80,4032,4416
1,0,66,80,4224,4416
1,0,71,80,4416,4608
1,0,74,80,4416,4608
1,0,74,80,4416,4608
2,0,40,80,4608,4800
2,0,52,80,4608,4800
1,0,79,80,4608,4800
1,0,79,80,4608,4800
1,0,61,80,4800,4992
1,0,76,80,4800,4992
1,0,76,80,4800,4992
1,0,67,80,4992,5184
1,0,73,80,4992,5184
1,0,73,80,4992,5184
2,0,38,80,5184,5376
2,0,50,80,5184,5376
1,0,70,80,5184,5568
1,0,70,80,5184,5568
1,0,62,80,5376,5568
1,0,66,80,5568,5760
1,0,71,80,5568,5760
1,0,71,80,5568,5760
2,0,37,80,5760,5952
2,0,49,80,5760,5952
1,0,76,80,5760,5952
1,0,76,80,5760,5952
1,0,64,80,5952,6144
1,0,73,80,5952,6144
1,0,73,80,5952,6144
1,0,66,80,6144,6336
1,0,70,80,6144,6336
1,0,70,80,6144,6336
2,0,35,80,6336,6528
2,0,47,80,6336,6528
1,0,74,80,6336,6528
1,0,74,80,6336,6528
1,0,62,80,6528,6720
1,0,71,80,6528,6720
1,0,71,80,6528,6720
1,0,66,80,6720,6912
1,0,68,80,6720,6912
1,0,68,80,6720,6912
2,0,30,80,6912,8640
2,0,42,80,6912,8640
1,0,71,80,6912,7008
1,0,71,80,6912,7008
1,0,70,80,7008,7104
1,0,70,80,7008,7104
1,0,61,80,7104,7296
1,0,68,80,7104,7200
1,0,68,80,7104,7200
1,0,71,80,7200,7296
1,0,71,80,7200,7296
1,0,66,80,7296,7488
1,0,70,80,7296,7488
1,0,70,80,7296,7488
1,0,73,80,7488,7584
1,0,73,80,7488,7584
1,0,71,80,7584,7680
1,0,71,80,7584,7680
1,0,62,80,7680,7872
1,0,70,80,7680,7776
1,0,70,80,7680,7776
1,0,73,80,7776,7872
1,0,73,80,7776,7872
1,0,66,80,7872,8064
1,0,71,80,7872,8064
1,0,71,80,7872,8064
1,0,74,80,8064,8160
1,0,74,80,8064,8160
1,0,73,80,8160,8256
1,0,73,80,8160,8256
1,0,64,80,8256,8448
1,0,71,80,8256,8352
1,0,71,80,8256,8352
1,0,74,80,8352,8448
1,0,74,80,8352,8448
1,0,67,80,8448,8640
1,0,73,80,8448,8544
1,0,73,80,8448,8544
1,0,76,80,8544,8640
1,0,76,80,8544,8640
2,0,47,80,8640,10368
2,0,59,80,8640,10368
1,0,74,80,8640,8832
1,0,74,80,8640,8832
