# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,43,80,0,768
2,0,50,80,0,1536
2,0,45,80,768,1536
2,0,46,80,1536,2304
2,0,50,80,1536,3072
2,0,45,80,2304,3072
2,0,43,80,3072,3840
2,0,50,80,3072,4608
1,0,67,80,3072,3456
1,0,79,80,3456,3792
1,0,77,80,3792,3824
1,0,79,80,3824,3840
2,0,45,80,3840,4608
1,0,77,80,3840,4224
1,0,74,80,4224,4416
1,0,70,80,4416,4608
2,0,46,80,4608,5376
2,0,50,80,4608,6144
1,0,67,80,4608,4992
1,0,79,80,4992,5376
2,0,45,80,5376,6144
1,0,77,80,5376,6144
2,0,43,80,6144,6912
2,0,50,80,6144,7680
1,0,67,80,6144,6336
1,0,70,80,6336,6528
1,0,74,80,6528,6720
1,0,79,80,6720,6912
2,0,45,80,6912,7680
1,0,77,80,6912,7104
1,0,79,80,7104,7296
1,0,74,80,7296,7488
1,0,70,80,7488,7680
2,0,46,80,7680,8448
2,0,50,80,7680,9216
1,0,67,80,7680,7872
1,0,70,80,7872,8064
1,0,74,80,8064,8256
1,0,79,80,8256,8448
2,0,45,80,8448,9216
1,0,77,80,8448,9216
2,0,43,80,9216,12288
2,0,50,80,9216,9984
1,0,67,80,9216,9600
1,0,74,80,9600,9984
2,0,51,80,9984,10752
1,0,73,80,9984,10368
1,0,72,80,10368,10560
1,0,71,80,10560,10752
2,0,52,80,10752,11520
1,0,62,80,10752,11136
1,0,70,80,11136,11520
2,0,51,80,11520,12288
1,0,67,80,11520,12480
2,0,43,80,12288,21120
2,0,50,80,12288,13056
1,0,69,80,12480,12672
1,0,70,80,12672,12864
1,0,75,80,12864,13056
2,0,51,80,13056,13440
1,0,74,80,13056,13248
1,0,70,80,13248,13440
2,0,52,80,13440,13824
1,0,74,80,13440,13632
1,0,73,80,13632,13824
2,0,53,80,13824,14208
1,0,69,80,13824,14016
1,0,73,80,14016,14208
2,0,54,80,14208,14592
1,0,72,80,14208,14400
