# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,681818
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,0,384
1,0,67,80,0,576
2,0,55,80,384,1152
1,0,71,80,576,768
1,0,69,80,768,960
1,0,62,80,960,1152
2,0,54,80,1152,1536
1,0,74,80,1152,1344
1,0,72,80,1344,1536
2,0,55,80,1536,2112
1,0,71,80,1536,1728
1,0,67,80,1728,1920
1,0,79,80,1920,2688
2,0,59,80,2112,2304
2,0,57,80,2304,2496
2,0,50,80,2496,2688
2,0,62,80,2688,2880
1,0,78,80,2688,3072
2,0,60,80,2880,3072
2,0,59,80,3072,3456
1,0,79,80,3072,3264
1,0,74,80,3264,3456
2,0,55,80,3456,4224
1,0,76,80,3456,3648
1,0,71,80,3648,3840
1,0,73,80,3840,4032
1,0,69,80,4032,4224
2,0,54,80,4224,4416
1,0,74,80,4224,4416
2,0,59,80,4416,4608
1,0,66,80,4416,4608
2,0,52,80,4608,4992
1,0,67,80,4608,4800
1,0,71,80,4800,4992
2,0,61,80,4992,5376
1,0,69,80,4992,5184
1,0,67,80,5184,5376
2,0,62,80,5376,5952
1,0,66,80,5376,5568
1,0,69,80,5568,5760
1,0,74,80,5760,6528
2,0,50,80,5952,6144
2,0,52,80,6144,6336
2,0,50,80,6336,6528
2,0,52,80,6528,6720
1,0,72,80,6528,7296
2,0,54,80,6720,6912
2,0,55,80,6912,7104
2,0,50,80,7104,7296
2,0,55,80,7296,7488
1,0,71,80,7296,7680
2,0,47,80,7488,7680
2,0,48,80,7680,7872
1,0,69,80,7680,8448
2,0,45,80,7872,8064
2,0,50,80,8064,8256
2,0,48,80,8256,8448
2,0,47,80,8448,8640
1,0,67,80,8448,8832
2,0,43,80,8640,8832
1,0,79,80,8832,9600
2,0,52,80,9024,9216
2,0,57,80,9216,9408
2,0,55,80,9408,9600
2,0,57,80,9600,9792
1,0,77,80,9600,10368
2,0,59,80,9792,9984
2,0,60,80,9984,10176
2,0,55,80,10176,10368
2,0,57,80,10368,10560
1,0,76,80,10368,10752
2,0,52,80,10560,10752
2,0,53,80,10752,10944
1,0,69,80,10752,11136
1,0,74,80,10752,11520
2,0,50,80,10944,11136
