# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
2,0,50,80,0,192
1,0,65,80,0,192
1,0,74,80,0,192
2,0,53,80,192,384
1,0,69,80,192,384
2,0,50,80,384,576
1,0,69,80,384,576
1,0,77,80,384,576
2,0,49,80,576,768
1,0,69,80,576,768
1,0,76,80,576,768
2,0,61,80,768,960
1,0,69,80,768,960
2,0,57,80,960,1152
1,0,69,80,960,1152
1,0,79,80,960,1152
2,0,62,80,1152,1344
1,0,69,80,1152,1344
1,0,77,80,1152,1344
2,0,55,80,1344,1536
1,0,70,80,1344,1440
1,0,79,80,1344,1440
1,0,77,80,1440,1536
2,0,58,80,1536,1728
1,0,67,80,1536,1632
1,0,76,80,1536,1632
1,0,74,80,1632,1728
2,0,57,80,1728,1920
1,0,69,80,1728,1824
1,0,73,80,1728,1824
1,0,74,80,1824,1920
2,0,45,80,1920,2112
1,0,76,80,1920,2112
2,0,55,80,2112,2304
1,0,69,80,2112,2304
2,0,53,80,2304,2496
1,0,69,80,2304,2400
1,0,70,80,2400,2496
2,0,57,80,2496,2688
1,0,65,80,2496,2688
1,0,72,80,2496,2688
2,0,55,80,2688,2880
1,0,64,80,2688,2880
1,0,70,80,2688,2880
2,0,53,80,2880,3072
1,0,65,80,2880,3072
1,0,69,80,2880,3072
2,0,52,80,3072,3264
1,0,67,80,3072,3264
1,0,72,80,3072,3264
2,0,50,80,3264,3456
1,0,69,80,3264,3456
1,0,77,80,3264,3456
2,0,48,80,3456,3648
1,0,65,80,3456,3648
1,0,69,80,3456,3648
2,0,46,80,3648,3840
1,0,62,80,3648,3840
1,0,70,80,3648,3744
1,0,69,80,3744,3840
2,0,48,80,3840,4032
1,0,64,80,3840,4032
1,0,67,80,3840,3936
1,0,69,80,3936,4032
2,0,41,80,4032,4224
1,0,65,80,4032,4608
2,0,53,80,4224,4416
2,0,52,80,4416,4608
2,0,53,80,4608,4800
1,0,69,80,4608,4800
1,0,77,80,4608,4800
2,0,57,80,4800,4992
1,0,72,80,4800,4992
2,0,53,80,4992,5184
1,0,72,80,4992,5184
1,0,81,80,4992,5184
2,0,52,80,5184,5376
1,0,72,80,5184,5376
1,0,79,80,5184,5376
2,0,64,80,5376,5568
1,0,72,80,5376,5568
2,0,60,80,5568,5760
1,0,72,80,5568,5760
1,0,82,80,5568,5760
2,0,65,80,5760,5952
1,0,72,80,5760,5952
1,0,81,80,5760,5952
2,0,64,80,5952,6144
1,0,82,80,5952,6048
1,0,81,80,6048,6144
2,0,62,80,6144,6336
1,0,79,80,6144,6240
1,0,77,80,6240,6336
2,0,60,80,6336,6528
1,0,76,80,6336,6432
1,0,77,80,6432,6528
2,0,48,80,6528,6720
1,0,79,80,6528,6720
2,0,52,80,6720,6912
1,0,67,80,6720,6912
1,0,72,80,6720,6912
2,0,53,80,6912,7104
1,0,69,80,6912,7008
1,0,74,80,6912,7008
1,0,76,80,7008,7104
2,0,50,80,7104,7296
1,0,74,80,7104,7296
1,0,77,80,7104,7296
2,0,57,80,7296,7488
1,0,72,80,7296,7488
1,0,76,80,7296,7488
2,0,58,80,7488,7680
1,0,65,80,7488,7680
1,0,74,80,7488,7680
2,0,46,80,7680,7872
1,0,74,80,7680,7872
1,0,79,80,7680,7872
2,0,53,80,7872,8064
1,0,69,80,7872,8064
1,0,74,80,7872,8064
1,0,77,80,7872,8064
2,0,55,80,8064,8256
1,0,67,80,8064,8256
1,0,70,80,8064,8256
1,0,76,80,8064,8256
2,0,57,80,8256,8448
1,0,65,80,8256,8448
1,0,69,80,8256,8448
1,0,74,80,8256,8448
2,0,45,80,8448,8640
1,0,64,80,8448,8640
1,0,69,80,8448,8640
1,0,73,80,8448,8640
2,0,50,80,8640,8832
1,0,65,80,8640,9216
1,0,69,80,8640,9216
1,0,74,80,8640,9216
2,0,57,80,8832,9024
2,0,55,80,9024,9216
2,0,50,80,9216,9792
1,0,65,80,9216,9792
1,0,69,80,9216,9792
1,0,74,80,9216,9792
