# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,77,80,0,768
2,0,53,80,192,384
1,0,60,80,192,384
1,0,69,80,192,384
2,0,53,80,384,480
1,0,60,80,384,576
1,0,69,80,384,480
2,0,55,80,480,576
1,0,70,80,480,576
2,0,53,80,576,768
1,0,60,80,576,768
1,0,69,80,576,768
2,0,55,80,768,960
1,0,67,80,768,960
1,0,70,80,768,960
1,0,76,80,768,1536
2,0,55,80,960,1152
1,0,67,80,960,1152
1,0,70,80,960,1152
2,0,55,80,1152,1248
1,0,67,80,1152,1344
1,0,70,80,1152,1248
2,0,57,80,1248,1344
1,0,72,80,1248,1344
2,0,55,80,1344,1536
1,0,67,80,1344,1536
1,0,70,80,1344,1536
2,0,57,80,1536,1728
1,0,65,80,1536,1920
1,0,72,80,1536,1728
1,0,77,80,1536,2304
2,0,53,80,1728,1920
1,0,69,80,1728,1920
2,0,55,80,1920,2112
1,0,70,80,1920,2112
2,0,57,80,2112,2304
1,0,72,80,2112,2304
2,0,58,80,2304,2496
1,0,65,80,2304,2688
1,0,74,80,2304,3072
2,0,57,80,2496,2688
1,0,65,80,2496,2688
2,0,55,80,2688,2880
1,0,64,80,2688,2880
1,0,70,80,2688,3264
2,0,53,80,2880,3072
1,0,65,80,2880,3072
2,0,52,80,3072,3264
1,0,67,80,3072,3264
1,0,72,80,3072,3456
2,0,53,80,3264,3456
1,0,65,80,3264,3456
1,0,69,80,3264,3456
2,0,45,80,3456,3648
1,0,60,80,3456,3648
1,0,65,80,3456,3840
1,0,69,80,3456,3840
2,0,50,80,3648,3840
1,0,65,80,3648,3840
2,0,46,80,3840,4032
1,0,62,80,3840,4224
1,0,65,80,3840,4224
1,0,67,80,3840,4608
2,0,43,80,4032,4224
2,0,48,80,4224,4416
1,0,60,80,4224,4608
1,0,64,80,4224,4608
2,0,36,80,4416,4608
2,0,41,80,4608,4992
2,0,57,80,4608,4992
1,0,65,80,4608,4992
1,0,65,80,4800,4992
1,0,65,80,4992,5088
1,0,65,80,4992,5760
1,0,67,80,5088,5184
1,0,65,80,5184,5376
1,0,67,80,5376,5568
1,0,67,80,5568,5760
1,0,64,80,5760,6144
1,0,67,80,5760,5856
1,0,69,80,5856,5952
1,0,67,80,5952,6144
1,0,65,80,6144,6912
1,0,69,80,6144,6528
1,0,72,80,6336,6528
1,0,72,80,6528,6624
1,0,74,80,6624,6720
1,0,69,80,6720,6912
1,0,72,80,6720,6912
1,0,62,80,6912,7680
1,0,71,80,6912,7104
1,0,74,80,6912,7104
1,0,71,80,7104,7296
