# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,666666
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,63,80,0,384
1,0,75,80,0,384
2,0,55,80,384,672
1,0,67,80,384,672
2,0,53,80,672,720
1,0,65,80,672,720
2,0,51,80,720,768
1,0,63,80,720,768
2,0,58,80,768,960
1,0,70,80,768,960
2,0,46,80,960,1152
2,0,58,80,960,1152
1,0,65,80,1536,1920
1,0,77,80,1536,1824
1,0,79,80,1824,1872
1,0,80,80,1872,1920
1,0,62,80,1920,2208
1,0,74,80,1920,2208
1,0,60,80,2208,2256
1,0,72,80,2208,2256
2,0,58,80,2256,2304
1,0,70,80,2256,2304
1,0,63,80,2304,2496
1,0,75,80,2304,2496
2,0,51,80,2496,2688
1,0,63,80,2496,2688
2,0,43,80,3072,3456
2,0,55,80,3072,3456
2,0,44,80,3456,3744
2,0,56,80,3456,3744
2,0,46,80,3744,3840
2,0,58,80,3744,3840
2,0,48,80,3840,4032
1,0,60,80,3840,4032
1,0,60,80,4032,4224
1,0,75,80,4032,4224
1,0,75,80,4224,4416
1,0,75,80,4416,4608
2,0,48,80,4608,4992
1,0,60,80,4608,4992
2,0,50,80,4992,5280
1,0,62,80,4992,5280
2,0,51,80,5280,5376
1,0,63,80,5280,5376
2,0,53,80,5376,5568
1,0,65,80,5376,5568
1,0,65,80,5568,5760
1,0,80,80,5568,5760
1,0,80,80,5760,5952
1,0,63,80,5952,6144
1,0,80,80,5952,6144
1,0,62,80,6144,6336
1,0,70,80,6144,6336
1,0,63,80,6336,6528
1,0,79,80,6336,6528
1,0,79,80,6528,6720
1,0,62,80,6720,6912
1,0,79,80,6720,6912
1,0,60,80,6912,7104
1,0,68,80,6912,7104
1,0,62,80,7104,7296
1,0,77,80,7104,7296
1,0,77,80,7296,7488
1,0,60,80,7488,7680
1,0,77,80,7488,7680
2,0,58,80,7680,7872
1,0,67,80,7680,7872
1,0,60,80,7872,8064
1,0,75,80,7872,8064
2,0,56,80,8064,8256
1,0,65,80,8064,8256
2,0,53,80,8256,8448
1,0,75,80,8256,8448
2,0,58,80,8448,8640
1,0,74,80,8448,8544
1,0,72,80,8544,8640
1,0,62,80,8640,8832
1,0,70,80,8640,8832
1,0,65,80,8832,9024
2,0,46,80,9024,9216
1,0,62,80,9024,9216
2,0,43,80,9216,9408
1,0,63,80,9216,9312
1,0,70,80,9312,9408
2,0,51,80,9408,9600
1,0,67,80,9408,9504
1,0,70,80,9504,9600
2,0,43,80,9600,9792
1,0,63,80,9600,9696
1,0,70,80,9696,9792
