# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,833333
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
1,0,69,80,0,192
2,0,50,80,192,384
2,0,57,80,192,384
1,0,62,80,192,384
1,0,66,80,192,384
1,0,74,80,192,480
1,0,73,80,480,576
2,0,50,80,576,768
2,0,57,80,576,768
1,0,62,80,576,768
1,0,66,80,576,768
1,0,74,80,576,768
2,0,50,80,768,1536
2,0,57,80,768,1536
1,0,61,80,768,1152
1,0,67,80,768,1344
1,0,76,80,768,960
1,0,73,80,960,1152
1,0,64,80,1152,1344
1,0,69,80,1152,1344
2,0,57,80,1344,1728
1,0,66,80,1344,1536
1,0,74,80,1344,1536
2,0,49,80,1536,1728
1,0,67,80,1536,1728
1,0,76,80,1536,1728
2,0,48,80,1728,1920
1,0,62,80,1728,1920
1,0,69,80,1728,1920
1,0,78,80,1728,1920
2,0,47,80,1920,2112
1,0,62,80,1920,3072
1,0,67,80,1920,2304
1,0,79,80,1920,2304
2,0,59,80,2112,2304
2,0,57,80,2304,2496
1,0,69,80,2304,2496
1,0,78,80,2304,2496
2,0,55,80,2496,3456
1,0,71,80,2496,3072
1,0,76,80,2496,2784
1,0,78,80,2784,2880
1,0,76,80,2880,3072
2,0,59,80,3072,3456
1,0,64,80,3072,3840
1,0,83,80,3072,3264
1,0,79,80,3264,3456
2,0,56,80,3456,3648
1,0,62,80,3456,3552
1,0,76,80,3456,3648
2,0,59,80,3552,3648
2,0,57,80,3648,3840
2,0,57,80,3648,3840
1,0,74,80,3648,3744
1,0,73,80,3744,3840
1,0,76,80,3840,3936
1,0,73,80,3936,4032
2,0,52,80,4032,4224
2,0,59,80,4032,4128
1,0,68,80,4032,4224
1,0,74,80,4032,4128
1,0,62,80,4128,4224
1,0,71,80,4128,4224
2,0,45,80,4224,4416
1,0,61,80,4224,4416
1,0,69,80,4224,4416
1,0,69,80,4224,4416
1,0,62,80,4416,4608
1,0,68,80,4416,4608
1,0,71,80,4416,4608
1,0,64,80,4608,4800
1,0,67,80,4608,4800
1,0,73,80,4608,4800
2,0,38,80,4800,4992
2,0,57,80,4800,4992
1,0,66,80,4800,4992
1,0,66,80,4800,4992
1,0,74,80,4800,5088
1,0,73,80,5088,5184
2,0,50,80,5184,5376
2,0,57,80,5184,5376
1,0,62,80,5184,5376
1,0,66,80,5184,5376
1,0,74,80,5184,5376
2,0,50,80,5376,6144
2,0,57,80,5376,6144
1,0,61,80,5376,5760
1,0,67,80,5376,5952
1,0,76,80,5376,5568
1,0,73,80,5568,5760
1,0,64,80,5760,5952
1,0,69,80,5760,5952
2,0,57,80,5952,6336
1,0,66,80,5952,6144
1,0,74,80,5952,6144
2,0,49,80,6144,6336
1,0,67,80,6144,6336
1,0,76,80,6144,6336
2,0,48,80,6336,6528
1,0,62,80,6336,6528
1,0,69,80,6336,6528
1,0,78,80,6336,6528
2,0,47,80,6528,6720
1,0,62,80,6528,8448
1,0,67,80,6528,6912
1,0,79,80,6528,6912
2,0,59,80,6720,6912
2,0,57,80,6912,7104
1,0,69,80,6912,7104
1,0,78,80,6912,7104
2,0,55,80,7104,7680
1,0,71,80,7104,7680
1,0,76,80,7104,7392
1,0,78,80,7392,7488
1,0,76,80,7488,7680
2,0,56,80,7680,8256
1,0,65,80,7680,8256
1,0,83,80,7680,7872
1,0,85,80,7872,8064
1,0,86,80,8064,8256
2,0,57,80,8256,8640
1,0,66,80,8256,8544
1,0,74,80,8256,8544
2,0,57,80,8448,8640
1,0,67,80,8544,8640
1,0,76,80,8544,8640
2,0,45,80,8640,8832
2,0,55,80,8640,8832
1,0,64,80,8640,8832
1,0,73,80,8640,8832
2,0,50,80,8832,9024
2,0,54,80,8832,9024
1,0,66,80,8832,9024
1,0,74,80,8832,9024
1,0,69,80,9216,9408
2,0,50,80,9408,9600
2,0,57,80,9408,9600
1,0,62,80,9408,9600
1,0,66,80,9408,9600
1,0,74,80,9408,9696
1,0,73,80,9696,9792
2,0,50,80,9792,9984
2,0,57,80,9792,9984
1,0,62,80,9792,9984
1,0,66,80,9792,9984
1,0,74,80,9792,9936
1,0,78,80,9936,9984
2,0,50,80,9984,10752
2,0,57,80,9984,10560
1,0,61,80,9984,10368
1,0,67,80,9984,10560
1,0,76,80,9984,10176
1,0,74,80,10176,10272
1,0,73,80,10272,10368
1,0,64,80,10368,10560
1,0,71,80,10368,10464
1,0,69,80,10464,10560
2,0,57,80,10560,10944
1,0,66,80,10560,10752
1,0,74,80,10560,10752
2,0,49,80,10752,10944
1,0,67,80,10752,10944
1,0,76,80,10752,10944
2,0,48,80,10944,11136
1,0,62,80,10944,11136
1,0,69,80,10944,11136
1,0,78,80,10944,11136
2,0,47,80,11136,11328
1,0,62,80,11136,12288
1,0,67,80,11136,11520
1,0,79,80,11136,11520
2,0,59,80,11328,11520
2,0,57,80,11520,11712
1,0,69,80,11520,11712
1,0,78,80,11520,11712
2,0,55,80,11712,12672
1,0,71,80,11712,12288
1,0,76,80,11712,12000
1,0,79,80,12000,12048
1,0,78,80,12048,12096
1,0,76,80,12096,12192
1,0,82,80,12192,12288
2,0,59,80,12288,12864
1,0,64,80,12288,13056
1,0,85,80,12288,12384
1,0,83,80,12384,12480
1,0,81,80,12480,12576
1,0,79,80,12576,12672
2,0,56,80,12672,12864
1,0,78,80,12672,12768
1,0,76,80,12768,12864
2,0,57,80,12864,13056
2,0,57,80,12864,13056
1,0,74,80,12864,12960
1,0,73,80,12960,13056
1,0,76,80,13056,13152
1,0,73,80,13152,13248
2,0,52,80,13248,13440
2,0,59,80,13248,13344
1,0,68,80,13248,13440
1,0,74,80,13248,13344
1,0,62,80,13344,13440
1,0,71,80,13344,13440
2,0,45,80,13440,13632
1,0,61,80,13440,13632
1,0,69,80,13440,13632
1,0,69,80,13440,13632
1,0,62,80,13632,13824
1,0,68,80,13632,13824
1,0,71,80,13632,13824
1,0,64,80,13824,14016
1,0,67,80,13824,14016
1,0,73,80,13824,14016
2,0,38,80,14016,14208
2,0,57,80,14016,14208
1,0,62,80,14016,14208
1,0,66,80,14016,14208
1,0,74,80,14016,14304
1,0,73,80,14304,14400
2,0,50,80,14400,14592
2,0,57,80,14400,14592
2,0,57,80,14400,14592
1,0,66,80,14400,14592
1,0,74,80,14400,14544
1,0,73,80,14544,14576
1,0,74,80,14576,14592
2,0,50,80,14592,15360
2,0,57,80,14592,15360
1,0,61,80,14592,14976
1,0,67,80,14592,15168
1,0,76,80,14592,14784
1,0,74,80,14784,14880
1,0,73,80,14880,14976
1,0,64,80,14976,15168
1,0,71,80,14976,15072
1,0,69,80,15072,15168
2,0,57,80,15168,15552
1,0,66,80,15168,15360
1,0,74,80,15168,15360
2,0,49,80,15360,15552
1,0,67,80,15360,15552
1,0,76,80,15360,15552
2,0,48,80,15552,15744
1,0,62,80,15552,15744
1,0,69,80,15552,15744
1,0,78,80,15552,15744
2,0,47,80,15744,15936
1,0,62,80,15744,17664
1,0,67,80,15744,16128
1,0,79,80,15744,16128
2,0,59,80,15936,16128
2,0,57,80,16128,16320
1,0,69,80,16128,16320
1,0,78,80,16128,16320
2,0,55,80,16320,16896
1,0,71,80,16320,17664
1,0,76,80,16320,16608
1,0,79,80,16608,16656
1,0,78,80,16656,16704
1,0,76,80,16704,16896
2,0,43,80,16896,17472
1,0,83,80,16896,17088
1,0,79,80,17088,17280
1,0,77,80,17280,17472
2,0,42,80,17472,17856
1,0,78,80,17472,17664
2,0,59,80,17664,17856
1,0,66,80,17664,17760
1,0,74,80,17664,17760
1,0,62,80,17760,17856
1,0,71,80,17760,17856
2,0,42,80,17856,18048
2,0,58,80,17856,17952
1,0,64,80,17856,17952
1,0,73,80,17856,17952
1,0,61,80,17952,18048
1,0,61,80,17952,18048
1,0,70,80,17952,18048
2,0,47,80,18048,18432
2,0,59,80,18048,18432
1,0,62,80,18048,18432
1,0,71,80,18048,18432
1,0,74,80,18432,18624
2,0,54,80,18624,19008
2,0,57,80,18624,19008
1,0,60,80,18624,19008
1,0,62,80,18624,18912
1,0,64,80,18912,19008
2,0,54,80,19008,19200
2,0,57,80,19008,19200
1,0,60,80,19008,19200
1,0,62,80,19008,19200
2,0,55,80,19200,19392
2,0,55,80,19200,19392
2,0,59,80,19200,19392
1,0,62,80,19200,19392
1,0,67,80,19392,19584
1,0,71,80,19584,19776
2,0,51,80,19776,20160
2,0,54,80,19776,20160
2,0,57,80,19776,20160
2,0,59,80,19776,20064
1,0,60,80,20064,20160
2,0,51,80,20160,20352
2,0,54,80,20160,20352
2,0,57,80,20160,20352
2,0,59,80,20160,20352
2,0,52,80,20352,20736
2,0,55,80,20352,20544
2,0,55,80,20352,20544
2,0,59,80,20352,20544
1,0,64,80,20544,20736
1,0,67,80,20544,20736
2,0,50,80,20736,20928
1,0,67,80,20736,20928
1,0,71,80,20736,20928
1,0,79,80,20736,20928
2,0,49,80,20928,21312
1,0,64,80,20928,21120
1,0,67,80,20928,21120
1,0,69,80,20928,21216
1,0,64,80,21120,21312
1,0,69,80,21120,21312
1,0,79,80,21216,21312
2,0,50,80,21312,21504
1,0,62,80,21312,21504
1,0,69,80,21312,21504
1,0,78,80,21312,21504
2,0,55,80,21504,21888
1,0,62,80,21504,21696
1,0,71,80,21504,22080
1,0,78,80,21504,21696
1,0,64,80,21696,21888
1,0,76,80,21696,21888
2,0,56,80,21888,22080
1,0,64,80,21888,22080
1,0,74,80,21888,22080
2,0,57,80,22080,22272
1,0,64,80,22080,22272
1,0,64,80,22080,22272
1,0,76,80,22080,22176
1,0,73,80,22176,22272
1,0,76,80,22272,22368
1,0,73,80,22368,22464
2,0,52,80,22464,22656
2,0,59,80,22464,22560
1,0,68,80,22464,22656
1,0,71,80,22464,22560
1,0,62,80,22560,22656
1,0,68,80,22560,22656
2,0,45,80,22656,22848
1,0,61,80,22656,22848
1,0,69,80,22656,22848
1,0,69,80,22656,22848
1,0,62,80,22848,23040
1,0,68,80,22848,23040
1,0,71,80,22848,23040
1,0,64,80,23040,23232
1,0,67,80,23040,23232
1,0,73,80,23040,23232
2,0,38,80,23232,23424
2,0,57,80,23232,23424
1,0,62,80,23232,23424
1,0,66,80,23232,23424
1,0,74,80,23232,23520
1,0,73,80,23520,23616
2,0,50,80,23616,23808
2,0,57,80,23616,23808
2,0,57,80,23616,23808
1,0,66,80,23616,23808
1,0,74,80,23616,23760
1,0,73,80,23760,23792
1,0,74,80,23792,23808
2,0,50,80,23808,24576
2,0,57,80,23808,24672
1,0,61,80,23808,24192
1,0,67,80,23808,24384
1,0,76,80,23808,24000
1,0,74,80,24000,24096
1,0,73,80,24096,24192
1,0,64,80,24192,24384
1,0,71,80,24192,24288
1,0,69,80,24288,24384
2,0,57,80,24384,24768
1,0,66,80,24384,24672
1,0,74,80,24384,24480
1,0,73,80,24480,24576
2,0,49,80,24576,24768
1,0,74,80,24576,24672
1,0,67,80,24672,24768
1,0,76,80,24672,24768
2,0,48,80,24768,24960
1,0,62,80,24768,24960
1,0,69,80,24768,24960
1,0,77,80,24768,24864
1,0,78,80,24864,24960
2,0,47,80,24960,25152
1,0,62,80,24960,26112
1,0,67,80,24960,25344
1,0,79,80,24960,25344
2,0,59,80,25152,25344
2,0,57,80,25344,25536
1,0,69,80,25344,25536
1,0,78,80,25344,25536
2,0,55,80,25536,26496
1,0,71,80,25536,26112
1,0,76,80,25536,25824
1,0,79,80,25824,25872
1,0,78,80,25872,25920
1,0,76,80,25920,26016
1,0,83,80,26016,26112
2,0,59,80,26112,26688
1,0,64,80,26112,26880
1,0,71,80,26112,26208
1,0,83,80,26208,26304
1,0,81,80,26304,26400
1,0,79,80,26400,26496
2,0,56,80,26496,26688
1,0,78,80,26496,26592
1,0,76,80,26592,26688
2,0,57,80,26688,26880
2,0,57,80,26688,26880
1,0,74,80,26688,26784
1,0,73,80,26784,26880
1,0,76,80,26880,26976
1,0,73,80,26976,27072
2,0,52,80,27072,27264
2,0,59,80,27072,27168
1,0,68,80,27072,27264
1,0,74,80,27072,27168
1,0,62,80,27168,27264
1,0,71,80,27168,27264
2,0,45,80,27264,27456
1,0,61,80,27264,27456
1,0,69,80,27264,27360
1,0,69,80,27264,27456
1,0,81,80,27360,27456
1,0,62,80,27456,27648
1,0,68,80,27456,27648
1,0,71,80,27456,27552
1,0,81,80,27552,27648
1,0,64,80,27648,27840
1,0,67,80,27648,27840
1,0,73,80,27648,27744
1,0,81,80,27744,27840
2,0,38,80,27840,28032
1,0,62,80,27840,28032
1,0,66,80,27840,28032
1,0,74,80,27840,27936
1,0,81,80,27936,28032
1,0,64,80,28032,28224
1,0,73,80,28032,28128
1,0,81,80,28128,28224
2,0,50,80,28224,28416
2,0,57,80,28224,28416
1,0,66,80,28224,28416
1,0,74,80,28224,28320
1,0,81,80,28320,28416
2,0,50,80,28416,29184
2,0,57,80,28416,29184
1,0,61,80,28416,28800
1,0,67,80,28416,28992
1,0,78,80,28416,28512
1,0,76,80,28512,28608
1,0,74,80,28608,28704
1,0,73,80,28704,28800
1,0,64,80,28800,28992
1,0,71,80,28800,28896
1,0,69,80,28896,28992
2,0,57,80,28992,29376
1,0,66,80,28992,29184
1,0,74,80,28992,29184
2,0,49,80,29184,29376
1,0,67,80,29184,29376
1,0,76,80,29184,29376
2,0,48,80,29376,29568
1,0,62,80,29376,29568
1,0,69,80,29376,29568
1,0,78,80,29376,29568
2,0,47,80,29568,29952
1,0,62,80,29568,30720
1,0,67,80,29568,29952
1,0,79,80,29568,29952
2,0,46,80,29952,30144
1,0,62,80,29952,30144
1,0,80,80,29952,30144
2,0,45,80,30144,31296
1,0,66,80,30144,30720
1,0,81,80,30144,30240
1,0,78,80,30240,30336
1,0,86,80,30336,30432
1,0,81,80,30432,30528
1,0,78,80,30528,30624
1,0,74,80,30624,30720
1,0,61,80,30720,30912
1,0,67,80,30720,31296
1,0,69,80,30720,30912
1,0,62,80,30912,31104
1,0,71,80,30912,31104
1,0,64,80,31104,31296
1,0,73,80,31104,31296
2,0,50,80,31296,31488
1,0,62,80,31296,31488
1,0,66,80,31296,31488
1,0,74,80,31296,31584
1,0,69,80,31584,31680
2,0,38,80,31680,31872
2,0,57,80,31680,31872
1,0,66,80,31680,31872
1,0,78,80,31680,31872
2,0,38,80,31872,32064
2,0,54,80,31872,32064
1,0,66,80,31872,32064
1,0,74,80,31872,32064
2,0,45,80,32256,32448
2,0,50,80,32448,32736
2,0,49,80,32736,32832
2,0,50,80,32832,33024
1,0,62,80,32832,33120
2,0,52,80,33024,33216
1,0,61,80,33120,33216
2,0,49,80,33216,33408
1,0,64,80,33216,33696
2,0,45,80,33408,33600
2,0,53,80,33600,33888
2,0,57,80,33696,33792
2,0,59,80,33792,33888
2,0,52,80,33888,33984
1,0,61,80,33888,33984
2,0,53,80,33984,34176
2,0,57,80,33984,34176
1,0,62,80,33984,34080
1,0,65,80,34080,34176
2,0,55,80,34176,34368
2,0,58,80,34176,34464
1,0,65,80,34176,34272
1,0,64,80,34272,34368
2,0,52,80,34368,34560
1,0,67,80,34368,34848
2,0,57,80,34464,34512
2,0,58,80,34512,34560
2,0,48,80,34560,34752
1,0,60,80,34560,34656
2,0,58,80,34656,34752
2,0,57,80,34752,35136
2,0,57,80,34752,35040
1,0,60,80,34752,35328
1,0,60,80,34848,34944
1,0,62,80,34944,35040
2,0,55,80,35040,35136
1,0,64,80,35040,35136
2,0,57,80,35136,35328
1,0,65,80,35136,35232
1,0,69,80,35232,35328
2,0,58,80,35328,35520
1,0,62,80,35328,35616
1,0,69,80,35328,35424
1,0,62,80,35424,35520
2,0,55,80,35520,35712
1,0,70,80,35520,35808
1,0,64,80,35616,35664
1,0,65,80,35664,35712
2,0,52,80,35712,35904
1,0,67,80,35712,35904
1,0,67,80,35808,35904
1,0,60,80,35904,36096
1,0,65,80,35904,36000
1,0,64,80,36000,36096
2,0,57,80,36096,36288
1,0,64,80,36096,36288
1,0,72,80,36096,36384
2,0,53,80,36288,36480
1,0,69,80,36288,36480
1,0,69,80,36384,36480
1,0,62,80,36480,36672
1,0,67,80,36480,36576
1,0,65,80,36576,36672
2,0,58,80,36672,36864
1,0,65,80,36672,36864
1,0,74,80,36672,36960
2,0,55,80,36864,37056
1,0,70,80,36864,37056
1,0,70,80,36960,37056
2,0,52,80,37056,37632
1,0,69,80,37056,37152
1,0,67,80,37152,37248
1,0,60,80,37248,37440
1,0,70,80,37248,37440
1,0,79,80,37248,37344
1,0,76,80,37344,37440
1,0,67,80,37440,37632
1,0,70,80,37440,37632
1,0,72,80,37440,37536
1,0,70,80,37536,37632
2,0,53,80,37632,38016
1,0,60,80,37632,38016
1,0,69,80,37632,37728
1,0,69,80,37632,37824
1,0,70,80,37728,37824
1,0,69,80,37824,38016
1,0,72,80,37824,37920
1,0,74,80,37920,38016
2,0,50,80,38016,38208
1,0,62,80,38016,38208
1,0,69,80,38016,38208
1,0,76,80,38016,38112
1,0,77,80,38112,38208
2,0,46,80,38208,38400
2,0,55,80,38208,38400
1,0,74,80,38208,38400
1,0,79,80,38208,38400
2,0,43,80,38400,38592
1,0,62,80,38400,38592
1,0,70,80,38400,38592
1,0,82,80,38400,38592
2,0,48,80,38592,38784
1,0,60,80,38592,38688
1,0,67,80,38592,38784
1,0,76,80,38592,38784
2,0,58,80,38688,38784
2,0,41,80,38784,39168
2,0,57,80,38784,38880
1,0,69,80,38784,38880
1,0,77,80,38784,38976
1,0,67,80,38880,38976
1,0,70,80,38880,38976
1,0,69,80,38976,39072
1,0,72,80,38976,39072
1,0,70,80,39072,39168
1,0,74,80,39072,39168
1,0,67,80,39168,39264
1,0,76,80,39168,39264
1,0,69,80,39264,39360
1,0,77,80,39264,39360
2,0,48,80,39360,39552
1,0,70,80,39360,39552
1,0,76,80,39360,39552
1,0,79,80,39360,39456
1,0,81,80,39456,39552
1,0,82,80,39552,39648
1,0,84,80,39648,39744
2,0,48,80,39744,39936
1,0,67,80,39744,39936
1,0,70,80,39744,39936
1,0,86,80,39744,39840
1,0,88,80,39840,39936
2,0,53,80,39936,40128
1,0,65,80,39936,40032
1,0,69,80,39936,40032
1,0,89,80,39936,40128
1,0,67,80,40032,40128
1,0,70,80,40032,40128
1,0,69,80,40128,40224
1,0,72,80,40128,40224
1,0,70,80,40224,40320
1,0,74,80,40224,40320
1,0,67,80,40320,40416
1,0,76,80,40320,40416
1,0,69,80,40416,40512
1,0,77,80,40416,40512
2,0,48,80,40512,40704
1,0,70,80,40512,40704
1,0,76,80,40512,40704
1,0,91,80,40512,40608
1,0,93,80,40608,40704
1,0,94,80,40704,40800
1,0,96,80,40800,40896
1,0,60,80,40896,41088
1,0,67,80,40896,41088
1,0,82,80,40896,41088
1,0,98,80,40896,40992
1,0,100,80,40992,41088
1,0,65,80,41088,41280
1,0,69,80,41088,41280
1,0,81,80,41088,41280
1,0,101,80,41088,41280
1,0,60,80,41472,41664
1,0,65,80,41664,41952
1,0,64,80,41952,42048
2,0,53,80,42048,42336
1,0,65,80,42048,42240
1,0,67,80,42240,42432
2,0,52,80,42336,42432
2,0,55,80,42432,42912
1,0,64,80,42432,42624
1,0,60,80,42624,42816
1,0,69,80,42816,43104
2,0,48,80,42912,43008
2,0,50,80,43008,43104
2,0,52,80,43104,43200
1,0,67,80,43104,43200
2,0,53,80,43200,43296
1,0,69,80,43200,43392
2,0,57,80,43296,43392
2,0,57,80,43392,43488
1,0,70,80,43392,43584
2,0,55,80,43488,43584
2,0,58,80,43584,44064
1,0,67,80,43584,43776
1,0,64,80,43776,43968
1,0,72,80,43968,44160
2,0,57,80,44064,44160
1,0,60,80,44160,44544
1,0,69,80,44160,44352
1,0,66,80,44352,44544
1,0,74,80,44352,44544
2,0,55,80,44544,45120
2,0,58,80,44544,44736
1,0,62,80,44544,44928
1,0,79,80,44544,44832
1,0,78,80,44832,44928
1,0,67,80,44928,45216
1,0,79,80,44928,45120
2,0,50,80,45120,45696
1,0,81,80,45120,45312
1,0,66,80,45216,45312
1,0,69,80,45312,45408
1,0,72,80,45312,45504
1,0,78,80,45312,45504
1,0,70,80,45408,45504
1,0,66,80,45504,45696
1,0,72,80,45504,45600
1,0,74,80,45504,45696
1,0,69,80,45600,45696
2,0,55,80,45696,46272
1,0,62,80,45696,46080
1,0,67,80,45696,46080
1,0,82,80,45696,45984
1,0,81,80,45984,46080
1,0,70,80,46080,46368
1,0,82,80,46080,46272
2,0,53,80,46272,46848
1,0,84,80,46272,46464
1,0,69,80,46368,46464
1,0,72,80,46464,46560
1,0,75,80,46464,46656
1,0,81,80,46464,46656
1,0,74,80,46560,46656
1,0,69,80,46656,46848
1,0,75,80,46656,46752
1,0,77,80,46656,46848
1,0,72,80,46752,46848
2,0,46,80,46848,46896
1,0,65,80,46848,47040
1,0,70,80,46848,46944
1,0,86,80,46848,47136
2,0,50,80,46896,46944
2,0,46,80,46944,46992
1,0,65,80,46944,47040
2,0,50,80,46992,47040
2,0,46,80,47040,47088
1,0,65,80,47040,47136
2,0,50,80,47088,47136
2,0,46,80,47136,47184
1,0,62,80,47136,47232
1,0,65,80,47136,47232
1,0,84,80,47136,47184
2,0,50,80,47184,47232
1,0,82,80,47184,47232
2,0,46,80,47232,47280
