# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
1,0,62,80,0,384
1,0,71,80,0,384
1,0,62,80,768,1152
1,0,72,80,768,1152
1,0,62,80,1536,1920
1,0,71,80,1536,1920
1,0,64,80,8832,9216
1,0,60,80,9216,9600
2,0,57,80,9600,9984
1,0,62,80,9984,10368
2,0,59,80,10368,10752
2,0,56,80,10752,11136
2,0,59,80,11136,11328
2,0,56,80,11328,11520
2,0,52,80,11520,11904
2,0,54,80,11904,12096
2,0,56,80,12096,12288
2,0,57,80,12288,12672
1,0,60,80,12672,13056
2,0,50,80,13056,13440
2,0,54,80,13440,13824
2,0,55,80,13824,14592
1,0,67,80,14592,14976
2,0,56,80,21120,21504
2,0,57,80,21504,21888
1,0,60,80,21888,22272
2,0,59,80,22272,22656
1,0,62,80,22656,23040
1,0,64,80,23040,24192
1,0,62,80,24192,24576
1,0,60,80,24576,24960
2,0,57,80,24960,25344
1,0,62,80,25344,25728
1,0,60,80,25728,26112
2,0,59,80,26112,26304
1,0,60,80,26304,26496
2,0,59,80,26496,26688
2,0,57,80,26688,26880
2,0,55,80,26880,27264
1,0,62,80,27264,27648
1,0,64,80,27648,28416
1,0,66,80,28416,29184
1,0,67,80,29184,29568
1,0,62,80,29568,29760
1,0,60,80,29760,29952
2,0,59,80,29952,30336
1,0,62,80,30336,30720
1,0,64,80,30720,31488
1,0,66,80,31488,32256
1,0,67,80,32256,32640
1,0,62,80,32640,32832
1,0,60,80,32832,33024
2,0,59,80,33024,33408
2,0,55,80,33408,33792
1,0,65,80,33792,34176
1,0,64,80,34176,34560
1,0,63,80,34560,34944
1,0,62,80,34944,35328
1,0,60,80,35328,35520
1,0,62,80,35520,35712
1,0,64,80,35712,35904
1,0,60,80,35904,36096
2,0,59,80,36096,36480
2,0,55,80,36480,36864
1,0,65,80,36864,37248
1,0,64,80,37248,37632
1,0,63,80,37632,38016
1,0,62,80,38016,38400
1,0,64,80,38400,38784
1,0,64,80,38784,39168
1,0,64,80,39168,39552
1,0,62,80,39936,40320
1,0,69,80,39936,40320
1,0,62,80,40320,40704
1,0,69,80,40320,40704
1,0,62,80,40704,41088
1,0,69,80,40704,41088
1,0,62,80,41472,41856
1,0,71,80,41472,41856
1,0,62,80,41856,42240
1,0,71,80,41856,42240
1,0,62,80,42240,42624
1,0,71,80,42240,42624
2,0,59,80,43008,43392
1,0,67,80,43392,43776
1,0,67,80,43776,44160
1,0,72,80,44544,44928
1,0,72,80,44928,45312
1,0,72,80,45312,45696
1,0,69,80,46080,46464
1,0,69,80,46464,46848
1,0,69,80,46848,47232
1,0,69,80,47232,47616
1,0,67,80,47616,48384
2,0,55,80,48384,48768
1,0,71,80,48768,49152
1,0,67,80,49152,49536
1,0,64,80,49536,49920
1,0,69,80,49920,50304
1,0,66,80,50304,50688
1,0,63,80,50688,51072
1,0,66,80,51072,51264
1,0,63,80,51264,51456
2,0,59,80,51456,51840
1,0,63,80,51840,52224
1,0,64,80,52224,52608
1,0,66,80,52608,52992
1,0,67,80,52992,53376
1,0,61,80,53376,53760
1,0,62,80,53760,54144
1,0,64,80,54144,54528
1,0,66,80,54528,54912
2,0,57,80,54912,55296
1,0,60,80,55296,55680
2,0,59,80,55680,56064
1,0,62,80,56064,56448
1,0,60,80,56448,56832
2,0,50,80,56832,57600
2,0,57,80,56832,57600
1,0,69,80,57600,57984
1,0,69,80,57984,58368
1,0,67,80,58368,59136
1,0,62,80,59136,59520
1,0,62,80,59520,59904
1,0,67,80,59904,60672
1,0,62,80,60672,61056
1,0,62,80,61056,61440
1,0,65,80,61440,62208
1,0,62,80,62208,62976
1,0,64,80,62976,63744
1,0,63,80,64128,64512
1,0,64,80,64512,65280
1,0,61,80,65280,66048
1,0,62,80,66048,66432
1,0,68,80,66432,66816
1,0,69,80,66816,67200
1,0,67,80,67584,67968
1,0,64,80,67968,68352
1,0,66,80,68352,69120
1,0,63,80,69120,69888
1,0,64,80,69888,70272
1,0,62,80,70272,70656
1,0,61,80,70656,72192
1,0,62,80,72192,72576
1,0,74,80,72576,72768
1,0,73,80,72768,72960
1,0,71,80,72960,73152
1,0,69,80,73152,73344
1,0,67,80,73344,73536
1,0,66,80,73536,73728
1,0,64,80,73728,74880
1,0,61,80,74880,75264
1,0,62,80,75264,75648
1,0,62,80,76032,76416
2,0,59,80,76800,77184
1,0,60,80,77568,77952
2,0,59,80,78336,78720
1,0,60,80,79104,79488
2,0,59,80,79872,80256
1,0,64,80,81408,81792
1,0,65,80,82176,82560
1,0,64,80,82944,83328
1,0,65,80,83712,84096
1,0,62,80,84480,84672
1,0,74,80,84672,84864
1,0,69,80,84864,85056
1,0,65,80,85056,85248
1,0,62,80,85248,85440
1,0,74,80,85440,85632
1,0,69,80,85632,85824
1,0,65,80,85824,86016
1,0,62,80,86016,86208
1,0,74,80,86208,86400
1,0,70,80,86400,86592
1,0,67,80,86592,86784
1,0,62,80,86784,86976
1,0,74,80,86976,87168
1,0,70,80,87168,87360
1,0,67,80,87360,87552
1,0,62,80,87552,87744
1,0,74,80,87744,87936
1,0,69,80,87936,88128
1,0,65,80,88128,88320
1,0,62,80,88320,88512
1,0,74,80,88512,88704
1,0,69,80,88704,88896
1,0,65,80,88896,89088
1,0,62,80,89088,89280
1,0,70,80,89280,89472
1,0,74,80,89472,89664
1,0,70,80,89664,89856
1,0,65,80,89856,90048
1,0,62,80,90048,90240
2,0,58,80,90240,90432
1,0,62,80,90432,90624
1,0,65,80,90624,90816
1,0,70,80,90816,91008
1,0,74,80,91008,91200
1,0,70,80,91200,91392
1,0,65,80,91392,91584
1,0,62,80,91584,91776
2,0,58,80,91776,91968
1,0,62,80,91968,92160
2,0,58,80,92160,92352
1,0,62,80,92352,92544
1,0,65,80,92544,92736
1,0,62,80,92736,92928
2,0,58,80,92928,93120
2,0,53,80,93120,93312
2,0,58,80,93312,93504
2,0,53,80,93504,93696
2,0,58,80,93696,93888
1,0,62,80,93888,94080
1,0,65,80,94080,94272
1,0,62,80,94272,94464
2,0,58,80,94464,94656
2,0,53,80,94656,94848
2,0,58,80,94848,95040
2,0,53,80,95040,95232
2,0,58,80,95232,95424
2,0,53,80,95424,95616
2,0,58,80,95616,95808
2,0,53,80,95808,96000
2,0,58,80,96000,96384
2,0,58,80,96384,96768
2,0,58,80,96768,98688
2,0,58,80,98688,99072
2,0,58,80,99072,99456
2,0,58,80,99456,99840
2,0,58,80,99840,101760
2,0,58,80,101760,102144
2,0,58,80,102144,102528
2,0,58,80,102528,102912
2,0,58,80,102912,104448
2,0,57,80,104448,104832
2,0,57,80,104832,105216
2,0,57,80,105216,105600
2,0,57,80,105600,105984
2,0,57,80,105984,106752
2,0,59,80,106752,107520
2,0,54,80,107520,108288
2,0,55,80,108288,108672
1,0,67,80,108672,108864
1,0,64,80,108864,109056
1,0,62,80,109056,109248
2,0,57,80,109248,109440
1,0,62,80,109440,109632
2,0,57,80,109632,109824
1,0,62,80,109824,110016
2,0,57,80,110016,110208
1,0,62,80,110208,110400
2,0,57,80,110400,110592
1,0,61,80,110592,110784
2,0,57,80,110784,110976
1,0,61,80,110976,111168
2,0,57,80,111168,111360
1,0,61,80,111360,111552
2,0,57,80,111552,111744
1,0,61,80,111744,111936
2,0,57,80,111936,112128
1,0,62,80,112128,112320
2,0,57,80,112320,112512
1,0,62,80,112512,112704
2,0,57,80,112704,112896
1,0,62,80,112896,113088
2,0,57,80,113088,113280
1,0,62,80,113280,113472
2,0,57,80,113472,113664
1,0,61,80,113664,113856
2,0,57,80,113856,114048
1,0,61,80,114048,114240
2,0,57,80,114240,114432
1,0,61,80,114432,114624
2,0,57,80,114624,114816
1,0,61,80,114816,115008
2,0,57,80,115008,115200
1,0,62,80,115200,115392
2,0,57,80,115392,115584
1,0,62,80,115584,115776
2,0,57,80,115776,115968
1,0,62,80,115968,116160
2,0,57,80,116160,116352
1,0,62,80,116352,116544
2,0,57,80,116544,116736
1,0,61,80,116736,116928
2,0,57,80,116928,117120
1,0,61,80,117120,117312
2,0,57,80,117312,117504
1,0,61,80,117504,117696
2,0,57,80,117696,117888
1,0,61,80,117888,118080
2,0,57,80,118080,118272
1,0,62,80,118272,118464
2,0,57,80,118464,118656
1,0,62,80,118656,118848
2,0,57,80,118848,119040
1,0,62,80,119040,119232
2,0,57,80,119232,119424
1,0,62,80,119424,119616
2,0,57,80,119616,119808
1,0,61,80,119808,120000
2,0,57,80,120000,120192
1,0,61,80,120192,120384
2,0,57,80,120384,120576
1,0,61,80,120576,120768
2,0,57,80,120768,120960
1,0,61,80,120960,121152
2,0,57,80,121152,121344
1,0,62,80,121344,121728
1,0,60,80,122496,122880
2,0,57,80,122880,123264
2,0,59,80,123264,123648
2,0,55,80,123648,124032
2,0,57,80,124032,124416
2,0,59,80,124416,125184
2,0,57,80,125184,125568
2,0,55,80,125568,125952
2,0,54,80,125952,126336
1,0,72,80,127104,127488
1,0,69,80,127488,127872
1,0,71,80,127872,128256
1,0,67,80,128256,128640
1,0,69,80,128640,129024
1,0,71,80,129024,129792
1,0,69,80,129792,130176
1,0,67,80,130176,130560
1,0,66,80,130560,130944
1,0,61,80,131328,131712
1,0,62,80,132096,132288
2,0,57,80,132288,132480
2,0,54,80,132480,132672
2,0,50,80,132672,132864
1,0,67,80,132864,133248
1,0,66,80,133632,134016
1,0,69,80,134784,135168
1,0,66,80,135168,135552
1,0,62,80,135552,135936
1,0,67,80,135936,136320
1,0,64,80,136320,136704
1,0,61,80,136704,137088
1,0,64,80,137088,137280
1,0,61,80,137280,137472
2,0,57,80,137472,137856
2,0,59,80,137856,138048
1,0,61,80,138048,138240
1,0,62,80,138240,138624
2,0,59,80,138624,139008
2,0,54,80,139008,139392
2,0,56,80,139392,139776
2,0,57,80,139776,140544
1,0,69,80,140544,140928
1,0,64,80,141312,141696
2,0,57,80,142080,142464
2,0,59,80,142848,143616
2,0,59,80,145920,146688
2,0,59,80,147456,148224
2,0,59,80,148992,149760
1,0,66,80,148992,149760
2,0,59,80,150528,151296
1,0,66,80,150528,151296
1,0,64,80,152064,152832
1,0,67,80,153600,154368
1,0,67,80,155136,156672
1,0,66,80,156672,159744
1,0,64,80,159744,162816
1,0,63,80,162816,164352
2,0,59,80,164352,164736
1,0,64,80,164736,165120
1,0,64,80,165120,165504
1,0,64,80,165504,165888
2,0,55,80,165888,166272
1,0,67,80,166272,166656
1,0,67,80,166656,167040
1,0,67,80,167040,167424
2,0,57,80,167424,167808
1,0,69,80,167808,168192
1,0,69,80,168192,168576
1,0,69,80,168576,168960
2,0,55,80,168960,169344
1,0,67,80,169344,169728
1,0,67,80,169728,170112
1,0,67,80,170112,170496
2,0,56,80,170496,170880
1,0,68,80,170880,171264
1,0,68,80,171264,171648
1,0,68,80,171648,172032
2,0,57,80,172032,172416
1,0,64,80,172416,172800
1,0,64,80,172800,173184
1,0,64,80,173184,173568
2,0,59,80,173568,173952
1,0,71,80,173952,174336
1,0,71,80,174336,174720
1,0,71,80,174720,175104
1,0,69,80,175104,175488
2,0,57,80,175872,176256
1,0,69,80,175872,176256
2,0,57,80,176640,177024
1,0,69,80,176640,177024
2,0,57,80,177408,177792
1,0,67,80,177408,177792
2,0,57,80,178176,178560
1,0,65,80,178176,178560
1,0,62,80,178944,179328
1,0,67,80,179712,180096
1,0,67,80,180480,180864
1,0,67,80,181248,181632
1,0,64,80,181632,181824
1,0,62,80,181824,182016
1,0,60,80,182016,182208
2,0,59,80,182208,182400
2,0,57,80,182400,182592
2,0,55,80,182592,182784
2,0,53,80,182784,183168
1,0,65,80,183936,184320
1,0,64,80,184320,184704
1,0,71,80,184704,185088
1,0,72,80,185088,185472
1,0,62,80,185472,185856
1,0,64,80,185856,186624
1,0,67,80,187008,187392
1,0,64,80,187392,187776
1,0,73,80,187776,188160
1,0,74,80,188160,188544
1,0,64,80,188544,188928
1,0,66,80,188928,189696
1,0,63,80,192384,192768
1,0,66,80,192768,193152
1,0,69,80,193152,193344
1,0,66,80,193344,193536
1,0,71,80,193536,193920
1,0,67,80,193920,194304
1,0,72,80,194304,194688
1,0,69,80,194688,195072
1,0,66,80,195072,195456
1,0,69,80,195456,195648
1,0,66,80,195648,195840
1,0,63,80,195840,196224
1,0,64,80,196224,196416
1,0,66,80,196416,196608
2,0,59,80,196608,197760
1,0,61,80,197760,197952
1,0,62,80,197952,198144
1,0,64,80,198144,198528
1,0,61,80,198528,198912
2,0,57,80,198912,199296
1,0,69,80,199296,200064
1,0,66,80,200064,200256
1,0,69,80,200256,200448
1,0,74,80,200448,200832
1,0,66,80,200832,201216
1,0,67,80,201216,201600
1,0,71,80,201600,201984
1,0,64,80,201984,202368
1,0,67,80,202368,202752
1,0,66,80,202752,203904
1,0,66,80,203904,204288
1,0,67,80,204288,204672
1,0,71,80,204672,205056
1,0,64,80,205056,205440
1,0,67,80,205440,205824
1,0,66,80,205824,206208
1,0,62,80,206208,206400
1,0,64,80,206400,206592
1,0,66,80,206592,206976
1,0,67,80,206976,207360
1,0,69,80,207360,207744
1,0,66,80,207744,207936
1,0,67,80,207936,208128
1,0,69,80,208128,208512
1,0,71,80,208512,208896
1,0,72,80,208896,212736
2,0,59,80,220032,220416
2,0,55,80,220416,220800
