# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1666666
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,48,80,0,384
2,0,43,80,384,768
2,0,45,80,768,1056
2,0,43,80,1056,1152
2,0,41,80,1152,1344
2,0,40,80,1344,1536
2,0,38,80,1536,1728
2,0,36,80,1728,1920
2,0,48,80,1728,1920
2,0,47,80,1920,2112
2,0,47,80,2112,2304
2,0,48,80,2304,2496
2,0,52,80,2496,2688
2,0,55,80,2688,3072
2,0,36,80,3072,3456
2,0,44,80,3456,3840
2,0,45,80,3840,4224
2,0,43,80,4224,4608
2,0,41,80,4608,4992
2,0,43,80,4992,5376
2,0,36,80,5376,5856
2,0,48,80,5856,5952
2,0,52,80,5952,6048
2,0,55,80,6048,6144
1,0,60,80,6144,6528
2,0,56,80,6528,6912
2,0,57,80,6912,7200
2,0,55,80,7200,7296
2,0,53,80,7296,7488
2,0,52,80,7488,7680
2,0,50,80,7680,7872
1,0,62,80,7680,7872
1,0,60,80,7872,8064
2,0,59,80,8064,8256
2,0,59,80,8256,8448
1,0,60,80,8448,8832
2,0,55,80,8832,9216
2,0,50,80,9216,9600
2,0,57,80,9600,9984
2,0,58,80,9984,10368
2,0,57,80,10368,10560
2,0,56,80,10560,10752
2,0,55,80,10752,11136
2,0,43,80,11136,11520
2,0,48,80,11520,11712
2,0,48,80,11808,11904
2,0,44,80,11904,12000
2,0,45,80,12000,12096
2,0,40,80,12096,12192
2,0,42,80,12192,12288
2,0,43,80,12288,12672
2,0,50,80,13344,13440
2,0,45,80,13440,13536
2,0,46,80,13536,13632
2,0,41,80,13632,13728
2,0,43,80,13728,13824
2,0,45,80,13824,14016
2,0,45,80,15408,15456
2,0,47,80,15456,15504
2,0,49,80,15504,15552
2,0,50,80,15552,15600
2,0,52,80,15600,15648
2,0,53,80,15648,15696
2,0,56,80,15696,15744
2,0,57,80,15744,15792
2,0,56,80,15792,15840
2,0,57,80,15840,15888
2,0,56,80,15888,15936
2,0,57,80,15936,15984
2,0,58,80,15984,16032
2,0,57,80,16032,16080
2,0,55,80,16080,16128
2,0,53,80,16128,16224
2,0,53,80,16224,16320
2,0,53,80,16320,16416
2,0,53,80,16416,16512
2,0,53,80,16512,16608
2,0,53,80,16608,16704
2,0,53,80,16704,16800
2,0,53,80,16800,16896
2,0,55,80,16896,16992
2,0,55,80,16992,17088
2,0,55,80,17088,17184
2,0,55,80,17184,17280
2,0,55,80,17280,17376
2,0,55,80,17376,17472
2,0,55,80,17472,17568
2,0,55,80,17568,17664
1,0,60,80,17664,17760
1,0,60,80,17760,17856
1,0,60,80,17856,17952
1,0,60,80,17952,18048
1,0,60,80,18048,18144
1,0,60,80,18144,18240
1,0,60,80,18240,18336
1,0,60,80,18336,18432
1,0,60,80,18432,18528
1,0,60,80,18528,18624
1,0,60,80,18624,18720
1,0,60,80,18720,18816
1,0,60,80,18816,18912
1,0,60,80,18912,19008
1,0,60,80,19008,19104
1,0,60,80,19104,19200
2,0,59,80,19200,19296
2,0,59,80,19296,19392
2,0,59,80,19392,19488
2,0,59,80,19488,19584
2,0,59,80,19584,19680
2,0,59,80,19680,19776
2,0,59,80,19776,19872
2,0,59,80,19872,19968
2,0,54,80,19968,20064
2,0,54,80,20064,20160
2,0,54,80,20160,20256
2,0,54,80,20256,20352
2,0,54,80,20352,20448
2,0,54,80,20448,20544
2,0,54,80,20544,20640
2,0,54,80,20640,20736
2,0,55,80,20736,20832
2,0,55,80,20832,20928
