# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1153846
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,64,80,0,96
2,0,52,80,96,288
2,0,59,80,96,288
1,0,64,80,96,288
1,0,67,80,96,288
1,0,67,80,96,288
2,0,47,80,288,480
2,0,59,80,288,480
1,0,63,80,288,480
1,0,66,80,288,480
1,0,66,80,288,480
2,0,43,80,480,672
2,0,59,80,480,672
1,0,64,80,480,672
1,0,64,80,480,672
1,0,67,80,768,864
2,0,55,80,864,1056
2,0,59,80,864,1056
1,0,64,80,864,1056
1,0,71,80,864,1056
1,0,71,80,864,1056
2,0,51,80,1056,1248
2,0,59,80,1056,1248
1,0,66,80,1056,1248
1,0,69,80,1056,1248
1,0,69,80,1056,1248
2,0,52,80,1248,1440
2,0,59,80,1248,1440
1,0,64,80,1248,1440
1,0,67,80,1248,1440
1,0,67,80,1248,1440
1,0,71,80,1536,1632
2,0,52,80,1632,1824
1,0,67,80,1632,1824
1,0,71,80,1632,1824
1,0,71,80,1632,1824
2,0,48,80,1824,2016
1,0,64,80,1824,2016
1,0,72,80,1824,1920
1,0,72,80,1824,1920
1,0,71,80,1920,2016
1,0,71,80,1920,2016
2,0,50,80,2016,2208
1,0,66,80,2016,2208
1,0,69,80,2016,2208
1,0,69,80,2016,2208
2,0,47,80,2208,2400
1,0,63,80,2208,2400
1,0,71,80,2208,2304
1,0,71,80,2208,2304
1,0,69,80,2304,2400
1,0,69,80,2304,2400
2,0,48,80,2400,2592
1,0,64,80,2400,2592
1,0,67,80,2400,2592
1,0,67,80,2400,2592
2,0,45,80,2592,2784
1,0,66,80,2592,2688
1,0,69,80,2592,2688
1,0,69,80,2592,2688
1,0,64,80,2688,2784
1,0,67,80,2688,2784
1,0,67,80,2688,2784
2,0,47,80,2784,2976
1,0,63,80,2784,2976
1,0,66,80,2784,2976
1,0,66,80,2784,2976
1,0,66,80,3072,3168
2,0,50,80,3168,3360
1,0,66,80,3168,3360
1,0,71,80,3168,3360
