# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,600000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,77,80,0,192
2,0,58,80,192,384
1,0,77,80,192,384
2,0,65,80,384,576
1,0,74,80,384,576
2,0,62,80,576,768
1,0,70,80,576,768
2,0,65,80,768,960
1,0,70,80,768,960
2,0,58,80,960,1152
1,0,70,80,960,1536
2,0,65,80,1152,1344
2,0,62,80,1344,1536
2,0,58,80,1536,1728
1,0,71,80,1536,1728
2,0,57,80,1728,1920
1,0,72,80,1728,1920
2,0,65,80,1920,2112
1,0,71,80,1920,2112
2,0,69,80,2112,2304
1,0,72,80,2112,2304
2,0,65,80,2304,2496
1,0,77,80,2304,2496
2,0,70,80,2496,2688
1,0,75,80,2496,2880
2,0,58,80,2688,2880
2,0,58,80,2880,3072
1,0,74,80,2880,3072
1,0,77,80,3072,3264
2,0,62,80,3264,3456
1,0,77,80,3264,3456
2,0,65,80,3456,3648
1,0,74,80,3456,3648
2,0,62,80,3648,3840
1,0,70,80,3648,3840
2,0,65,80,3840,4032
1,0,70,80,3840,4032
2,0,64,80,4032,4224
1,0,70,80,4032,4224
1,0,82,80,4224,4608
2,0,65,80,4416,4608
1,0,81,80,4608,4752
1,0,81,80,4752,4800
2,0,70,80,4800,4992
1,0,79,80,4800,4992
1,0,77,80,4992,5184
2,0,72,80,5184,5376
1,0,79,80,5184,5376
1,0,81,80,5376,5568
2,0,65,80,5568,5952
1,0,77,80,5568,5952
2,0,65,80,6144,6528
1,0,77,80,6144,6528
2,0,74,80,6528,6720
1,0,77,80,6528,6720
2,0,74,80,6720,6912
1,0,77,80,6720,6912
2,0,75,80,6912,7104
1,0,79,80,6912,7104
2,0,71,80,7296,7488
1,0,74,80,7296,7488
2,0,71,80,7488,7680
1,0,74,80,7488,7680
2,0,72,80,7680,7872
1,0,75,80,7680,7872
2,0,69,80,8064,8256
1,0,72,80,8064,8256
2,0,69,80,8256,8448
1,0,72,80,8256,8448
2,0,70,80,8448,8640
1,0,75,80,8448,8544
1,0,74,80,8544,8640
2,0,69,80,8640,8736
1,0,72,80,8640,8736
2,0,70,80,8736,8832
1,0,74,80,8736,8832
2,0,72,80,8832,9024
1,0,75,80,8832,9024
2,0,70,80,9024,9216
1,0,74,80,9024,9216
2,0,68,80,9216,9408
1,0,71,80,9216,9408
2,0,69,80,9408,9600
1,0,72,80,9408,9600
2,0,74,80,9600,9792
1,0,77,80,9600,9792
2,0,74,80,9792,9984
1,0,77,80,9792,9984
2,0,75,80,9984,10176
1,0,79,80,9984,10176
2,0,71,80,10368,10560
1,0,74,80,10368,10560
2,0,71,80,10560,10752
1,0,74,80,10560,10752
2,0,72,80,10752,10944
1,0,75,80,10752,10944
2,0,65,80,11136,11328
1,0,72,80,11136,11328
2,0,65,80,11328,11520
1,0,72,80,11328,11520
2,0,70,80,11520,11712
1,0,74,80,11520,11712
2,0,70,80,11712,11904
1,0,74,80,11712,11904
2,0,65,80,11904,12096
1,0,72,80,11904,12096
2,0,65,80,12096,12288
1,0,72,80,12096,12288
2,0,70,80,12288,12480
1,0,74,80,12288,12480
2,0,70,80,12480,12672
1,0,74,80,12480,12672
2,0,67,80,12672,12864
1,0,76,80,12672,12864
2,0,67,80,12864,13056
1,0,76,80,12864,13056
2,0,69,80,13056,13248
1,0,77,80,13056,13152
1,0,79,80,13152,13248
2,0,72,80,13248,13440
1,0,77,80,13248,13344
1,0,76,80,13344,13440
2,0,69,80,13440,13632
1,0,77,80,13440,13536
1,0,79,80,13536,13632
2,0,72,80,13632,13824
1,0,81,80,13632,13728
1,0,77,80,13728,13824
2,0,70,80,13824,14016
1,0,76,80,13824,13920
1,0,77,80,13920,14016
2,0,72,80,14016,14208
1,0,76,80,14016,14112
1,0,74,80,14112,14208
2,0,70,80,14208,14400
1,0,76,80,14208,14304
1,0,77,80,14304,14400
2,0,72,80,14400,14592
1,0,79,80,14400,14496
1,0,76,80,14496,14592
2,0,69,80,14592,14784
1,0,77,80,14592,14688
1,0,79,80,14688,14784
2,0,72,80,14784,14976
1,0,77,80,14784,14880
1,0,76,80,14880,14976
2,0,69,80,14976,15168
1,0,77,80,14976,15072
1,0,79,80,15072,15168
2,0,72,80,15168,15360
1,0,81,80,15168,15264
1,0,77,80,15264,15360
2,0,70,80,15360,15552
1,0,76,80,15360,15456
1,0,77,80,15456,15552
2,0,72,80,15552,15744
1,0,76,80,15552,15648
1,0,74,80,15648,15744
2,0,70,80,15744,15936
1,0,76,80,15744,15840
1,0,77,80,15840,15936
2,0,72,80,15936,16128
1,0,79,80,15936,16032
1,0,76,80,16032,16128
2,0,69,80,16128,16320
1,0,77,80,16128,16512
1,0,77,80,16704,16896
2,0,58,80,16896,17088
1,0,77,80,16896,17088
2,0,65,80,17088,17280
1,0,74,80,17088,17280
2,0,62,80,17280,17472
1,0,70,80,17280,17472
2,0,65,80,17472,17664
1,0,70,80,17472,17664
2,0,58,80,17664,17856
1,0,70,80,17664,18240
2,0,65,80,17856,18048
2,0,62,80,18048,18240
2,0,58,80,18240,18432
1,0,71,80,18240,18384
1,0,74,80,18384,18432
2,0,57,80,18432,18624
1,0,72,80,18432,18624
2,0,65,80,18624,18816
1,0,71,80,18624,18816
2,0,69,80,18816,19008
1,0,72,80,18816,19008
2,0,65,80,19008,19200
1,0,77,80,19008,19200
2,0,70,80,19200,19392
1,0,75,80,19200,19584
2,0,58,80,19392,19584
2,0,58,80,19584,19776
1,0,74,80,19584,19776
1,0,77,80,19776,19968
2,0,62,80,19968,20160
1,0,77,80,19968,20160
2,0,65,80,20160,20352
1,0,74,80,20160,20352
2,0,62,80,20352,20544
1,0,70,80,20352,20544
2,0,65,80,20544,20736
1,0,70,80,20544,20736
2,0,62,80,20736,20928
1,0,70,80,20736,21312
2,0,65,80,20928,21120
2,0,62,80,21120,21312
2,0,58,80,21312,21504
1,0,71,80,21312,21456
1,0,74,80,21456,21504
2,0,53,80,21504,21696
1,0,72,80,21504,21696
2,0,65,80,21696,21888
1,0,70,80,21696,21888
2,0,69,80,21888,22080
1,0,72,80,21888,22080
2,0,65,80,22080,22272
1,0,74,80,22080,22272
1,0,70,80,22272,22656
2,0,70,80,22272,22656
2,0,70,80,22848,23040
1,0,74,80,22848,22992
1,0,77,80,22992,23040
2,0,72,80,23040,23232
1,0,75,80,23040,23232
1,0,74,80,23232,23424
2,0,65,80,23424,23616
1,0,75,80,23424,23616
1,0,77,80,23616,23760
1,0,75,80,23760,23808
2,0,70,80,23808,24000
1,0,74,80,23808,24000
1,0,72,80,24000,24192
2,0,58,80,24192,24384
1,0,74,80,24192,24384
1,0,75,80,24384,24528
1,0,74,80,24528,24576
2,0,65,80,24576,24768
1,0,72,80,24576,24768
1,0,70,80,24768,24960
2,0,53,80,24960,25152
1,0,72,80,24960,25152
1,0,77,80,25152,25344
2,0,58,80,25344,25536
1,0,74,80,25344,25728
2,0,62,80,25536,25728
2,0,65,80,25728,25920
2,0,70,80,25920,26112
1,0,74,80,25920,26064
1,0,77,80,26064,26112
2,0,72,80,26112,26304
1,0,75,80,26112,26304
1,0,74,80,26304,26496
2,0,65,80,26496,26688
1,0,75,80,26496,26688
1,0,77,80,26688,26832
1,0,75,80,26832,26880
2,0,70,80,26880,27072
1,0,74,80,26880,27072
1,0,72,80,27072,27264
2,0,58,80,27264,27456
1,0,74,80,27264,27456
1,0,75,80,27456,27600
1,0,74,80,27600,27648
2,0,65,80,27648,27840
1,0,72,80,27648,27840
1,0,70,80,27840,28032
2,0,53,80,28032,28224
1,0,72,80,28032,28224
1,0,74,80,28224,28416
2,0,58,80,28416,28608
1,0,70,80,28416,28800
2,0,65,80,29184,29568
1,0,72,80,29184,29568
2,0,65,80,29568,29952
1,0,72,80,29568,29952
2,0,70,80,29952,30336
1,0,74,80,29952,30336
2,0,65,80,30720,31488
1,0,72,80,30720,31488
2,0,62,80,31488,31872
1,0,70,80,31488,31872
2,0,62,80,31872,32256
1,0,70,80,31872,32256
