# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,55,80,0,384
1,0,62,80,0,384
1,0,67,80,0,384
1,0,67,80,0,384
1,0,70,80,0,384
2,0,50,80,384,768
1,0,62,80,384,768
1,0,66,80,384,768
1,0,69,80,384,768
1,0,69,80,384,768
2,0,55,80,768,1152
1,0,62,80,768,1536
1,0,67,80,768,1152
1,0,70,80,768,1152
1,0,70,80,768,1152
2,0,54,80,1152,1344
1,0,69,80,1152,1344
1,0,69,80,1152,1344
1,0,72,80,1152,1344
2,0,55,80,1344,1536
1,0,70,80,1344,1536
1,0,70,80,1344,1536
1,0,70,80,1344,1536
2,0,57,80,1536,1728
1,0,62,80,1536,1920
1,0,69,80,1536,1920
1,0,72,80,1536,1728
1,0,72,80,1536,1728
2,0,54,80,1728,1920
1,0,69,80,1728,1920
1,0,69,80,1728,1920
2,0,55,80,1920,2304
1,0,62,80,1920,2304
1,0,67,80,1920,2304
1,0,70,80,1920,2304
1,0,70,80,1920,2304
2,0,57,80,2304,2496
1,0,63,80,2304,2496
1,0,65,80,2304,2688
1,0,72,80,2304,2496
1,0,72,80,2304,2496
2,0,58,80,2496,2688
1,0,62,80,2496,2688
1,0,74,80,2496,2688
1,0,74,80,2496,2688
1,0,60,80,2688,3072
1,0,60,80,2688,2880
1,0,65,80,2688,3072
1,0,75,80,2688,2880
1,0,75,80,2688,2880
2,0,57,80,2880,3072
1,0,72,80,2880,3072
1,0,72,80,2880,3072
2,0,58,80,3072,3264
2,0,58,80,3072,3456
1,0,65,80,3072,3264
1,0,74,80,3072,3456
1,0,74,80,3072,3456
1,0,70,80,3264,3456
1,0,74,80,3264,3456
1,0,60,80,3456,3648
1,0,69,80,3456,3840
1,0,72,80,3456,3840
1,0,76,80,3456,3648
1,0,76,80,3456,3648
1,0,62,80,3648,3840
1,0,78,80,3648,3840
1,0,78,80,3648,3840
1,0,63,80,3840,4032
1,0,67,80,3840,4224
1,0,70,80,3840,4224
1,0,79,80,3840,4032
1,0,79,80,3840,4032
1,0,60,80,4032,4224
1,0,81,80,4032,4224
1,0,81,80,4032,4224
1,0,62,80,4224,4608
1,0,62,80,4224,4416
1,0,69,80,4224,4608
1,0,78,80,4224,4608
1,0,78,80,4224,4608
1,0,60,80,4416,4608
2,0,58,80,4608,4992
1,0,62,80,4608,4992
1,0,70,80,4608,4992
1,0,79,80,4608,4992
1,0,79,80,4608,4992
2,0,57,80,4992,5376
1,0,62,80,4992,5376
1,0,66,80,4992,5376
1,0,81,80,4992,5376
1,0,81,80,4992,5376
2,0,55,80,5376,6528
1,0,62,80,5376,5760
1,0,67,80,5376,5760
1,0,82,80,5376,5760
1,0,82,80,5376,5760
1,0,67,80,5760,6144
1,0,69,80,5760,5952
1,0,81,80,5760,5952
1,0,81,80,5760,5952
1,0,70,80,5952,6144
1,0,79,80,5952,6144
1,0,79,80,5952,6144
1,0,61,80,6144,6528
1,0,69,80,6144,6336
1,0,77,80,6144,6336
1,0,77,80,6144,6336
1,0,70,80,6336,6528
1,0,76,80,6336,6528
1,0,76,80,6336,6528
2,0,53,80,6528,6912
1,0,62,80,6528,6912
1,0,69,80,6528,7104
1,0,81,80,6528,6720
1,0,81,80,6528,6720
1,0,79,80,6720,6912
1,0,79,80,6720,6912
2,0,55,80,6912,7296
1,0,70,80,6912,7296
1,0,77,80,6912,7104
1,0,77,80,6912,7104
1,0,67,80,7104,7296
1,0,76,80,7104,7296
1,0,76,80,7104,7296
2,0,57,80,7296,7680
1,0,65,80,7296,7488
1,0,69,80,7296,7680
1,0,74,80,7296,7488
1,0,74,80,7296,7488
1,0,64,80,7488,7680
1,0,73,80,7488,7680
1,0,73,80,7488,7680
2,0,58,80,7680,7872
1,0,62,80,7680,8064
1,0,65,80,7680,7872
1,0,74,80,7680,7872
1,0,74,80,7680,7872
2,0,55,80,7872,8064
1,0,70,80,7872,8064
1,0,76,80,7872,8064
1,0,76,80,7872,8064
2,0,57,80,8064,8448
1,0,61,80,8064,8640
