# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,47,80,0,192
2,0,54,80,0,192
2,0,47,80,192,384
2,0,54,80,192,384
1,0,62,80,384,576
1,0,71,80,384,576
1,0,62,80,576,768
1,0,71,80,576,768
2,0,47,80,768,960
2,0,54,80,768,960
2,0,47,80,960,1152
2,0,54,80,960,1152
1,0,62,80,1152,1344
1,0,66,80,1152,1344
1,0,62,80,1344,1536
1,0,66,80,1344,1536
2,0,47,80,1536,1728
2,0,55,80,1536,1728
2,0,47,80,1728,1920
2,0,55,80,1728,1920
1,0,61,80,1920,2112
1,0,64,80,1920,2112
2,0,59,80,2112,2208
1,0,62,80,2112,2208
2,0,58,80,2208,2304
1,0,61,80,2208,2304
2,0,47,80,2304,2496
2,0,54,80,2304,2496
2,0,59,80,2304,2496
1,0,62,80,2304,2496
2,0,47,80,2496,2688
2,0,54,80,2496,2688
1,0,66,80,2688,2880
1,0,74,80,2688,2880
1,0,64,80,2880,2976
1,0,73,80,2880,2976
1,0,62,80,2976,3072
1,0,71,80,2976,3072
2,0,47,80,3072,3264
2,0,55,80,3072,3264
1,0,64,80,3072,3264
1,0,73,80,3072,3264
2,0,47,80,3264,3456
2,0,55,80,3264,3456
1,0,61,80,3456,3648
1,0,64,80,3456,3648
2,0,59,80,3648,3744
1,0,62,80,3648,3744
2,0,58,80,3744,3840
1,0,61,80,3744,3840
2,0,47,80,3840,4032
2,0,54,80,3840,4032
2,0,59,80,3840,4032
1,0,62,80,3840,4032
2,0,47,80,4032,4224
2,0,54,80,4032,4224
1,0,62,80,4224,4416
1,0,71,80,4224,4416
1,0,62,80,4416,4608
1,0,66,80,4416,4608
1,0,71,80,4416,4608
2,0,47,80,4608,4800
2,0,54,80,4608,4800
1,0,66,80,4608,4896
2,0,47,80,4800,4992
2,0,54,80,4800,4992
1,0,67,80,4896,4992
1,0,62,80,4992,5184
1,0,66,80,4992,5088
1,0,71,80,4992,5184
1,0,67,80,5088,5184
1,0,62,80,5184,5376
1,0,66,80,5184,5280
1,0,71,80,5184,5376
1,0,71,80,5280,5376
2,0,47,80,5376,5568
2,0,54,80,5376,5568
1,0,73,80,5376,5760
2,0,47,80,5568,5760
2,0,54,80,5568,5760
1,0,62,80,5760,5952
1,0,71,80,5760,5952
1,0,71,80,5760,5952
1,0,62,80,5952,6144
1,0,71,80,5952,6144
1,0,71,80,5952,6144
2,0,47,80,6144,6336
2,0,54,80,6144,6336
1,0,71,80,6144,6240
1,0,66,80,6240,6336
1,0,62,80,6336,6528
1,0,66,80,6336,6528
1,0,71,80,6336,6528
2,0,47,80,6528,6720
2,0,55,80,6528,6720
1,0,66,80,6528,6624
1,0,67,80,6624,6720
1,0,61,80,6720,6912
1,0,64,80,6720,6816
1,0,64,80,6720,6912
1,0,71,80,6720,6912
1,0,61,80,6816,6912
2,0,47,80,6912,7680
2,0,54,80,6912,7680
1,0,66,80,6912,7296
1,0,62,80,7104,7680
1,0,71,80,7104,7680
1,0,74,80,7296,7680
1,0,66,80,7488,7680
2,0,47,80,7680,7872
