# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,12/8
track,channel,pitch,vel,start,end
2,0,29,80,1152,1920
2,0,41,80,1152,1920
2,0,56,80,1152,1248
1,0,60,80,1152,1248
1,0,65,80,1248,1344
2,0,56,80,1344,1440
1,0,60,80,1344,1440
1,0,65,80,1440,1536
2,0,56,80,1536,1632
1,0,60,80,1536,1632
1,0,65,80,1632,1728
2,0,56,80,1728,1824
1,0,60,80,1728,1824
1,0,65,80,1824,1920
2,0,32,80,1920,2112
2,0,44,80,1920,2112
2,0,56,80,1920,2016
1,0,60,80,1920,2016
1,0,65,80,2016,2112
2,0,34,80,2112,2304
2,0,46,80,2112,2304
2,0,56,80,2112,2208
1,0,60,80,2112,2208
1,0,65,80,2208,2304
2,0,36,80,2304,2880
2,0,48,80,2304,2880
2,0,56,80,2304,2400
1,0,60,80,2304,2400
1,0,65,80,2400,2496
2,0,56,80,2496,2592
1,0,60,80,2496,2592
1,0,65,80,2592,2688
2,0,56,80,2688,2784
1,0,60,80,2688,2784
1,0,65,80,2784,2880
2,0,56,80,2880,2976
1,0,60,80,2880,2976
1,0,65,80,2976,3072
2,0,56,80,3072,3168
1,0,60,80,3072,3168
1,0,65,80,3168,3264
2,0,41,80,3264,3456
2,0,53,80,3264,3456
2,0,56,80,3264,3360
1,0,60,80,3264,3360
1,0,65,80,3360,3456
2,0,41,80,3456,3840
2,0,53,80,3456,3840
2,0,56,80,3456,3552
1,0,60,80,3456,3552
1,0,65,80,3552,3648
2,0,56,80,3648,3744
1,0,60,80,3648,3744
1,0,65,80,3744,3840
2,0,56,80,3840,3936
1,0,60,80,3840,3936
1,0,65,80,3936,4032
2,0,56,80,4032,4128
1,0,60,80,4032,4128
1,0,72,80,4032,4608
1,0,65,80,4128,4224
2,0,56,80,4224,4320
1,0,60,80,4224,4320
1,0,65,80,4320,4416
2,0,56,80,4416,4512
1,0,60,80,4416,4512
1,0,65,80,4512,4608
2,0,56,80,4608,4704
1,0,60,80,4608,4704
1,0,72,80,4608,5184
1,0,65,80,4704,4800
2,0,56,80,4800,4896
1,0,60,80,4800,4896
1,0,65,80,4896,4992
2,0,56,80,4992,5088
1,0,60,80,4992,5088
1,0,65,80,5088,5184
2,0,56,80,5184,5280
1,0,60,80,5184,5280
1,0,65,80,5280,5376
2,0,56,80,5376,5472
1,0,60,80,5376,5472
1,0,65,80,5472,5568
2,0,56,80,5568,5664
1,0,60,80,5568,5664
1,0,65,80,5664,5760
2,0,36,80,5760,6528
2,0,55,80,5760,5856
1,0,60,80,5760,5856
1,0,64,80,5856,5952
2,0,55,80,5952,6048
1,0,60,80,5952,6048
1,0,64,80,6048,6144
2,0,55,80,6144,6240
1,0,60,80,6144,6240
1,0,64,80,6240,6336
2,0,55,80,6336,6432
1,0,60,80,6336,6432
1,0,64,80,6432,6528
2,0,40,80,6528,6720
2,0,55,80,6528,6624
1,0,60,80,6528,6624
1,0,64,80,6624,6720
2,0,41,80,6720,6912
2,0,55,80,6720,6816
1,0,60,80,6720,6816
1,0,64,80,6816,6912
2,0,43,80,6912,7488
2,0,55,80,6912,7008
1,0,60,80,6912,7008
1,0,64,80,7008,7104
2,0,55,80,7104,7200
1,0,60,80,7104,7200
1,0,64,80,7200,7296
2,0,55,80,7296,7392
1,0,60,80,7296,7392
1,0,64,80,7392,7488
2,0,55,80,7488,7584
1,0,60,80,7488,7584
1,0,64,80,7584,7680
2,0,55,80,7680,7776
1,0,60,80,7680,7776
1,0,64,80,7776,7872
2,0,48,80,7872,8064
2,0,55,80,7872,7968
1,0,60,80,7872,7968
1,0,64,80,7968,8064
2,0,48,80,8064,8448
2,0,55,80,8064,8160
1,0,60,80,8064,8160
1,0,64,80,8160,8256
2,0,55,80,8256,8352
1,0,60,80,8256,8352
1,0,64,80,8352,8448
2,0,55,80,8448,8544
1,0,60,80,8448,8544
