# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,600000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,192
2,0,58,80,0,192
2,0,63,80,0,192
2,0,67,80,0,192
2,0,46,80,288,384
2,0,58,80,288,384
2,0,62,80,288,384
2,0,65,80,288,384
2,0,46,80,384,768
2,0,58,80,384,768
2,0,62,80,384,768
2,0,65,80,384,768
2,0,53,80,768,960
2,0,56,80,768,960
2,0,58,80,768,960
2,0,62,80,768,960
2,0,68,80,768,960
2,0,51,80,1056,1152
2,0,55,80,1056,1152
2,0,58,80,1056,1152
2,0,63,80,1056,1152
2,0,67,80,1056,1152
2,0,51,80,1152,1536
2,0,55,80,1152,1536
2,0,58,80,1152,1536
2,0,63,80,1152,1536
2,0,67,80,1152,1536
2,0,56,80,1536,1728
2,0,60,80,1536,1728
2,0,63,80,1536,1728
2,0,68,80,1536,1728
2,0,72,80,1536,1728
2,0,55,80,1824,1920
2,0,58,80,1824,1920
2,0,63,80,1824,1920
2,0,70,80,1824,1920
2,0,55,80,1920,2304
2,0,58,80,1920,2688
2,0,63,80,1920,2304
2,0,70,80,1920,2496
2,0,53,80,2304,2688
2,0,62,80,2304,2688
2,0,68,80,2496,2688
2,0,51,80,2688,3072
2,0,58,80,2688,3072
2,0,63,80,2688,3072
2,0,67,80,2688,3072
2,0,51,80,3072,3264
2,0,55,80,3072,3264
2,0,58,80,3072,3264
2,0,63,80,3072,3264
2,0,67,80,3072,3264
1,0,67,80,3072,3360
2,0,46,80,3360,3456
2,0,53,80,3360,3456
2,0,58,80,3360,3456
2,0,62,80,3360,3456
2,0,65,80,3360,3456
1,0,65,80,3360,3456
2,0,46,80,3456,3840
2,0,53,80,3456,3840
2,0,58,80,3456,3840
2,0,62,80,3456,3840
2,0,65,80,3456,3840
1,0,65,80,3456,3840
2,0,53,80,3840,4032
2,0,56,80,3840,4032
2,0,58,80,3840,4032
2,0,62,80,3840,4032
2,0,68,80,3840,4032
1,0,68,80,3840,4128
2,0,51,80,4128,4224
2,0,55,80,4128,4224
2,0,58,80,4128,4224
2,0,63,80,4128,4224
2,0,67,80,4128,4224
1,0,67,80,4128,4224
2,0,51,80,4224,4608
2,0,55,80,4224,4608
2,0,58,80,4224,4608
2,0,63,80,4224,4608
2,0,67,80,4224,4608
1,0,67,80,4224,4416
1,0,67,80,4416,4608
2,0,56,80,4608,4800
2,0,60,80,4608,4800
2,0,63,80,4608,4800
2,0,68,80,4608,4800
2,0,72,80,4608,4800
1,0,72,80,4608,4896
2,0,55,80,4896,4992
2,0,58,80,4896,4992
2,0,63,80,4896,4992
2,0,70,80,4896,4992
1,0,70,80,4896,4992
2,0,55,80,4992,5376
2,0,58,80,4992,5760
2,0,63,80,4992,5376
2,0,70,80,4992,5568
1,0,70,80,4992,5568
2,0,53,80,5376,5760
2,0,62,80,5376,5760
2,0,68,80,5568,5760
1,0,68,80,5568,5760
2,0,51,80,5760,6144
2,0,58,80,5760,6144
2,0,63,80,5760,6144
2,0,67,80,5760,6144
1,0,67,80,5760,6144
2,0,51,80,6144,6336
2,0,55,80,6144,6336
2,0,58,80,6144,6336
2,0,63,80,6144,6336
2,0,67,80,6144,6336
2,0,50,80,6432,6528
2,0,53,80,6432,6528
2,0,58,80,6432,6528
2,0,65,80,6432,6528
2,0,50,80,6528,6912
2,0,53,80,6528,6912
2,0,58,80,6528,6912
2,0,65,80,6528,6912
2,0,48,80,6912,7104
2,0,53,80,6912,7104
2,0,63,80,6912,7104
2,0,69,80,6912,7104
2,0,50,80,7200,7296
2,0,58,80,7200,7296
2,0,65,80,7200,7296
2,0,70,80,7200,7296
2,0,50,80,7296,7680
2,0,58,80,7296,7680
2,0,65,80,7296,7680
2,0,70,80,7296,7680
2,0,51,80,7680,7872
2,0,58,80,7680,7872
2,0,67,80,7680,7872
2,0,70,80,7680,7872
2,0,72,80,7680,7872
2,0,53,80,7968,8064
2,0,58,80,7968,8064
2,0,65,80,7968,8064
2,0,70,80,7968,8064
2,0,74,80,7968,8064
2,0,53,80,8064,8448
2,0,58,80,8064,8448
2,0,65,80,8064,8448
2,0,70,80,8064,8640
2,0,74,80,8064,8640
2,0,41,80,8448,8832
2,0,57,80,8448,8832
2,0,63,80,8448,8832
2,0,72,80,8640,8832
2,0,46,80,8832,9216
2,0,58,80,8832,9216
2,0,62,80,8832,9216
2,0,70,80,8832,9024
2,0,51,80,9216,9408
2,0,55,80,9216,9408
2,0,58,80,9216,9408
2,0,63,80,9216,9408
2,0,67,80,9216,9408
1,0,67,80,9216,9504
2,0,50,80,9504,9600
2,0,53,80,9504,9600
2,0,58,80,9504,9600
2,0,65,80,9504,9600
1,0,65,80,9504,9600
2,0,50,80,9600,9984
2,0,53,80,9600,9984
2,0,58,80,9600,9984
2,0,65,80,9600,9984
1,0,65,80,9600,9984
2,0,48,80,9984,10176
2,0,53,80,9984,10176
2,0,63,80,9984,10176
2,0,69,80,9984,10176
1,0,69,80,9984,10272
2,0,50,80,10272,10368
2,0,58,80,10272,10368
2,0,65,80,10272,10368
2,0,70,80,10272,10368
1,0,70,80,10272,10368
2,0,50,80,10368,10752
2,0,58,80,10368,10752
2,0,65,80,10368,10752
2,0,70,80,10368,10752
1,0,70,80,10368,10560
1,0,70,80,10560,10752
2,0,51,80,10752,10944
2,0,58,80,10752,10944
2,0,67,80,10752,10944
2,0,70,80,10752,10944
1,0,70,80,10752,10944
1,0,72,80,10944,11136
2,0,51,80,11040,11136
2,0,58,80,11040,11136
2,0,67,80,11040,11136
2,0,70,80,11040,11136
2,0,72,80,11040,11136
2,0,53,80,11136,11520
2,0,58,80,11136,11520
2,0,65,80,11136,11520
2,0,70,80,11136,11712
2,0,74,80,11136,11712
1,0,74,80,11136,11712
2,0,41,80,11520,11904
2,0,57,80,11520,11904
2,0,63,80,11520,11904
2,0,72,80,11712,11904
1,0,72,80,11712,11904
2,0,46,80,11904,12288
2,0,58,80,11904,12288
2,0,62,80,11904,12288
2,0,70,80,11904,12288
1,0,70,80,11904,12288
2,0,58,80,12288,12480
2,0,70,80,12288,12480
1,0,70,80,12288,12576
2,0,58,80,12576,12672
2,0,70,80,12576,12672
1,0,70,80,12576,12672
2,0,60,80,12672,13056
2,0,72,80,12672,13440
1,0,72,80,12672,13248
2,0,52,80,13056,13248
2,0,60,80,13056,13248
2,0,67,80,13056,13248
2,0,70,80,13056,13248
1,0,67,80,13248,13440
2,0,52,80,13344,13440
2,0,60,80,13344,13440
2,0,67,80,13344,13440
2,0,70,80,13344,13440
2,0,53,80,13440,13632
2,0,60,80,13440,13632
2,0,65,80,13440,13632
2,0,68,80,13440,13632
1,0,68,80,13440,13728
2,0,72,80,13440,13632
2,0,56,80,13728,13824
2,0,68,80,13728,13824
1,0,68,80,13728,13824
2,0,55,80,13824,14016
2,0,67,80,13824,14016
1,0,67,80,13824,14112
2,0,53,80,14112,14208
2,0,65,80,14112,14208
1,0,65,80,14112,14208
2,0,58,80,14208,14592
2,0,70,80,14208,14976
1,0,70,80,14208,14976
2,0,50,80,14592,14784
2,0,58,80,14592,14784
2,0,65,80,14592,14784
2,0,68,80,14592,14784
2,0,50,80,14880,14976
2,0,58,80,14880,14976
2,0,65,80,14880,14976
2,0,68,80,14880,14976
2,0,51,80,14976,15360
2,0,58,80,14976,15360
2,0,63,80,14976,15360
2,0,67,80,14976,15360
1,0,67,80,14976,15360
2,0,70,80,14976,15360
2,0,49,80,15360,15552
2,0,51,80,15360,15552
2,0,58,80,15360,15552
2,0,63,80,15360,15552
2,0,67,80,15360,15552
2,0,49,80,15648,15744
2,0,51,80,15648,15744
2,0,58,80,15648,15744
2,0,63,80,15648,15744
2,0,67,80,15648,15744
2,0,48,80,15744,16128
2,0,51,80,15744,16128
2,0,60,80,15744,16128
2,0,63,80,15744,16128
2,0,68,80,15744,16128
2,0,46,80,16128,16512
2,0,51,80,16128,16512
2,0,61,80,16128,16512
2,0,63,80,16128,16512
2,0,67,80,16128,16512
2,0,70,80,16128,16512
2,0,44,80,16512,16896
2,0,51,80,16512,16896
2,0,60,80,16512,16896
2,0,63,80,16512,16896
2,0,68,80,16512,16896
2,0,72,80,16512,16896
2,0,37,80,16896,17088
2,0,49,80,16896,17088
2,0,58,80,16896,17088
2,0,63,80,16896,17088
2,0,67,80,16896,17088
1,0,67,80,16896,17184
2,0,37,80,17184,17280
2,0,49,80,17184,17280
2,0,58,80,17184,17280
2,0,63,80,17184,17280
2,0,67,80,17184,17280
1,0,67,80,17184,17280
2,0,36,80,17280,17664
2,0,48,80,17280,17664
2,0,60,80,17280,17664
2,0,63,80,17280,17664
2,0,68,80,17280,17664
1,0,68,80,17280,17856
2,0,34,80,17664,18048
2,0,46,80,17664,18048
2,0,61,80,17664,18048
2,0,63,80,17664,18048
2,0,67,80,17664,18048
2,0,70,80,17664,18048
1,0,70,80,17856,18048
2,0,32,80,18048,18816
2,0,44,80,18048,18816
2,0,60,80,18048,18816
2,0,63,80,18048,18816
2,0,68,80,18048,18816
2,0,72,80,18048,18816
1,0,72,80,18048,18240
1,0,72,80,18240,18432
1,0,68,80,18432,18624
1,0,65,80,18624,18816
2,0,34,80,18816,19584
2,0,46,80,18816,19584
2,0,53,80,18816,19584
2,0,56,80,18816,19584
2,0,58,80,18816,19584
2,0,62,80,18816,19584
1,0,70,80,18816,19584
2,0,39,80,19584,19968
2,0,46,80,19584,19968
2,0,55,80,19584,19968
2,0,58,80,19584,19968
2,0,63,80,19584,19968
1,0,63,80,19584,19968
2,0,51,80,19968,20352
2,0,55,80,19968,20352
2,0,58,80,19968,20352
2,0,63,80,19968,20352
2,0,67,80,19968,20352
2,0,50,80,20352,20736
2,0,55,80,20352,20736
2,0,59,80,20352,20736
2,0,65,80,20352,20736
2,0,67,80,20352,20736
2,0,48,80,20736,21120
2,0,55,80,20736,21120
2,0,60,80,20736,21120
2,0,63,80,20736,21120
2,0,67,80,20736,21120
1,0,67,80,20736,21120
2,0,47,80,21120,21504
2,0,55,80,21120,21504
2,0,62,80,21120,21504
2,0,65,80,21120,21504
2,0,67,80,21120,21504
1,0,67,80,21120,21312
1,0,67,80,21312,21504
2,0,48,80,21504,21888
2,0,55,80,21504,21888
2,0,60,80,21504,21888
2,0,63,80,21504,21888
2,0,67,80,21504,21888
1,0,67,80,21504,21696
1,0,72,80,21696,21888
2,0,43,80,21888,22656
2,0,55,80,21888,22656
2,0,60,80,21888,22272
2,0,63,80,21888,22272
2,0,67,80,21888,22656
1,0,72,80,21888,22272
2,0,59,80,22272,22464
2,0,62,80,22272,22464
1,0,71,80,22272,22464
2,0,57,80,22464,22656
2,0,60,80,22464,22656
1,0,69,80,22464,22656
2,0,43,80,22656,23040
2,0,55,80,22656,23040
2,0,59,80,22656,23040
2,0,62,80,22656,23040
2,0,67,80,22656,23040
1,0,71,80,22656,23040
2,0,53,80,23040,23424
2,0,55,80,23040,23424
2,0,59,80,23040,23424
2,0,62,80,23040,23424
2,0,67,80,23040,23424
1,0,67,80,23040,23424
2,0,51,80,23424,23808
2,0,55,80,23424,23808
2,0,60,80,23424,23808
2,0,63,80,23424,23808
2,0,67,80,23424,23808
2,0,72,80,23424,23808
1,0,72,80,23424,23808
2,0,53,80,23808,24192
2,0,60,80,23808,24192
2,0,62,80,23808,24192
2,0,65,80,23808,24192
