# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,937500
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,0,768
1,0,64,80,0,192
1,0,69,80,0,192
1,0,72,80,0,768
1,0,64,80,192,384
1,0,69,80,384,576
1,0,67,80,576,768
2,0,62,80,768,1536
1,0,65,80,768,960
1,0,69,80,768,960
1,0,74,80,768,1536
1,0,67,80,960,1152
1,0,69,80,1152,1344
1,0,71,80,1344,1536
2,0,57,80,1536,3072
1,0,64,80,1536,1728
1,0,69,80,1536,1728
1,0,72,80,1536,1920
1,0,69,80,1728,1920
1,0,62,80,1920,2112
1,0,68,80,1920,2112
1,0,71,80,1920,2112
1,0,60,80,2112,2304
1,0,69,80,2112,2304
1,0,59,80,2304,2496
1,0,68,80,2304,2688
1,0,64,80,2496,2688
1,0,60,80,2688,2880
1,0,69,80,2688,3072
1,0,64,80,2880,3072
2,0,52,80,3072,3840
1,0,64,80,3072,3264
1,0,68,80,3072,3264
1,0,71,80,3072,3264
1,0,76,80,3072,3456
1,0,68,80,3264,3456
1,0,71,80,3456,4032
1,0,68,80,3648,3840
2,0,51,80,3840,4608
1,0,66,80,3840,4032
1,0,69,80,3840,4032
1,0,69,80,4032,4224
1,0,72,80,4032,4224
1,0,66,80,4224,4416
1,0,71,80,4224,4416
1,0,69,80,4416,4608
2,0,52,80,4608,5376
1,0,68,80,4608,4800
1,0,71,80,4608,5376
1,0,64,80,4800,4992
1,0,66,80,4992,5184
1,0,68,80,5184,5376
2,0,50,80,5376,6144
1,0,65,80,5376,5568
1,0,67,80,5376,5568
1,0,71,80,5376,5568
1,0,69,80,5568,5760
1,0,67,80,5760,5952
1,0,65,80,5952,6144
2,0,48,80,6144,6912
1,0,64,80,6144,6336
1,0,67,80,6144,6336
1,0,72,80,6144,6336
1,0,76,80,6144,6912
1,0,67,80,6336,6528
1,0,72,80,6528,6720
1,0,71,80,6720,6912
2,0,60,80,6912,7680
1,0,69,80,6912,7104
1,0,72,80,6912,7104
1,0,77,80,6912,7680
1,0,71,80,7104,7296
1,0,72,80,7296,7488
1,0,74,80,7488,7680
2,0,48,80,7680,8448
1,0,67,80,7680,7872
1,0,72,80,7680,7872
1,0,76,80,7680,8064
1,0,72,80,7872,8064
