# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/2
track,channel,pitch,vel,start,end
2,0,41,80,0,1536
2,0,48,80,0,192
2,0,57,80,0,192
2,0,53,80,192,384
1,0,60,80,192,384
2,0,57,80,384,672
1,0,65,80,384,672
1,0,60,80,672,768
1,0,69,80,672,768
1,0,60,80,768,960
1,0,69,80,768,960
2,0,57,80,960,1152
1,0,65,80,960,1152
2,0,53,80,1152,1344
1,0,60,80,1152,1344
2,0,48,80,1344,1536
2,0,57,80,1344,1536
2,0,41,80,1536,2304
2,0,48,80,1536,1728
2,0,57,80,1536,1728
2,0,53,80,1728,1920
1,0,60,80,1728,1920
2,0,48,80,1920,2112
2,0,55,80,1920,2112
2,0,53,80,2112,2304
1,0,60,80,2112,2304
2,0,41,80,2304,3840
2,0,48,80,2304,2496
2,0,57,80,2304,2496
1,0,69,80,2304,2688
2,0,53,80,2496,2688
1,0,60,80,2496,2688
2,0,57,80,2688,2976
1,0,65,80,2688,2976
1,0,69,80,2688,2880
1,0,69,80,2880,3072
1,0,60,80,2976,3072
1,0,69,80,2976,3072
1,0,60,80,3072,3264
1,0,69,80,3072,3264
1,0,72,80,3072,3648
2,0,57,80,3264,3456
1,0,65,80,3264,3456
2,0,53,80,3456,3648
1,0,60,80,3456,3648
2,0,48,80,3648,3840
2,0,57,80,3648,3840
1,0,65,80,3648,3840
2,0,41,80,3840,4608
2,0,48,80,3840,4032
2,0,57,80,3840,4032
1,0,65,80,3840,4224
2,0,53,80,4032,4224
1,0,60,80,4032,4224
2,0,48,80,4224,4416
2,0,55,80,4224,4416
1,0,67,80,4224,4608
2,0,53,80,4416,4608
1,0,60,80,4416,4608
2,0,41,80,4608,6144
2,0,48,80,4608,4800
2,0,57,80,4608,4800
1,0,69,80,4608,5376
2,0,53,80,4800,4992
1,0,60,80,4800,4992
2,0,57,80,4992,5280
1,0,65,80,4992,5280
1,0,60,80,5280,5376
1,0,69,80,5280,5376
1,0,60,80,5376,5568
1,0,69,80,5376,5568
