# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,300000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,33,80,0,576
2,0,45,80,0,576
2,0,33,80,576,768
2,0,45,80,576,768
2,0,34,80,768,1536
2,0,46,80,768,1536
1,0,65,80,1152,1536
1,0,74,80,1152,1536
1,0,77,80,1152,1536
2,0,33,80,1536,2112
2,0,45,80,1536,2112
2,0,33,80,2112,2304
2,0,45,80,2112,2304
2,0,32,80,2304,3072
2,0,44,80,2304,3072
1,0,65,80,2688,3072
1,0,74,80,2688,3072
1,0,77,80,2688,3072
2,0,33,80,3072,3648
2,0,45,80,3072,3648
1,0,65,80,3456,3840
1,0,74,80,3456,3840
1,0,77,80,3456,3840
2,0,33,80,3648,3840
2,0,45,80,3648,3840
2,0,34,80,3840,4224
2,0,46,80,3840,4224
1,0,67,80,3840,4608
1,0,76,80,3840,4608
1,0,79,80,3840,4608
1,0,74,80,3872,4224
2,0,33,80,4224,4608
2,0,45,80,4224,4608
1,0,73,80,4224,4608
2,0,26,80,4608,4992
2,0,38,80,4608,4992
1,0,65,80,4608,4992
1,0,74,80,4608,4992
1,0,77,80,4608,4992
1,0,74,80,4992,5376
1,0,69,80,5376,5952
1,0,74,80,5952,6144
2,0,43,80,6144,6528
1,0,70,80,6144,8064
2,0,55,80,6528,6912
2,0,58,80,6528,6912
2,0,62,80,6528,6912
2,0,55,80,6912,7296
2,0,58,80,6912,7296
2,0,62,80,6912,7296
2,0,55,80,7296,7680
2,0,58,80,7296,7680
2,0,62,80,7296,7680
2,0,45,80,7680,8064
2,0,55,80,8064,8448
2,0,57,80,8064,8448
2,0,61,80,8064,8448
1,0,67,80,8064,8448
2,0,55,80,8448,8832
2,0,57,80,8448,8832
2,0,61,80,8448,8832
1,0,64,80,8448,9024
2,0,55,80,8832,9216
2,0,57,80,8832,9216
2,0,61,80,8832,9216
1,0,69,80,9024,9216
2,0,50,80,9216,9600
1,0,62,80,9216,11136
2,0,53,80,9600,9984
2,0,57,80,9600,9984
2,0,45,80,9984,10368
2,0,53,80,10368,10752
2,0,57,80,10368,10752
2,0,41,80,10752,11136
2,0,53,80,11136,11520
2,0,57,80,11136,11520
1,0,65,80,11136,11520
2,0,38,80,11520,11904
1,0,69,80,11520,11904
2,0,53,80,11904,12288
2,0,57,80,11904,12288
2,0,62,80,11904,12288
1,0,74,80,11904,12288
2,0,43,80,12288,12672
2,0,55,80,12288,12672
