# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,666666
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,69,80,0,192
1,0,69,80,192,384
1,0,69,80,384,576
1,0,69,80,576,768
1,0,65,80,768,960
1,0,67,80,960,1056
1,0,69,80,1056,1152
1,0,62,80,1152,1344
1,0,65,80,1344,1536
1,0,67,80,1536,1728
1,0,69,80,1728,1920
1,0,70,80,1920,2112
1,0,67,80,2112,2304
1,0,69,80,2304,2592
1,0,67,80,2592,2688
1,0,66,80,2688,2880
1,0,64,80,2880,2976
1,0,66,80,2976,3072
1,0,67,80,3072,3264
1,0,74,80,3072,3264
1,0,69,80,3264,3456
1,0,74,80,3264,3456
1,0,70,80,3456,3648
1,0,74,80,3456,3648
1,0,69,80,3648,3744
1,0,74,80,3648,3840
1,0,67,80,3744,3840
1,0,69,80,3840,4032
1,0,72,80,3840,4032
1,0,67,80,4032,4224
1,0,74,80,4032,4128
1,0,76,80,4128,4224
1,0,65,80,4224,4416
1,0,69,80,4224,4416
1,0,64,80,4416,4608
1,0,72,80,4416,4608
1,0,62,80,4608,4800
1,0,74,80,4608,4800
1,0,67,80,4800,4992
1,0,76,80,4800,4992
1,0,69,80,4992,5184
1,0,77,80,4992,5184
1,0,71,80,5184,5376
1,0,74,80,5184,5376
1,0,72,80,5376,5568
1,0,76,80,5376,5664
1,0,68,80,5568,5760
1,0,74,80,5664,5760
1,0,69,80,5760,5952
1,0,72,80,5760,5952
1,0,67,80,5952,6144
1,0,71,80,5952,6048
1,0,72,80,6048,6144
1,0,62,80,6144,6336
1,0,65,80,6144,6336
1,0,74,80,6144,6432
1,0,62,80,6336,6528
1,0,67,80,6336,6528
1,0,76,80,6432,6528
1,0,62,80,6528,6720
1,0,69,80,6528,6720
1,0,77,80,6528,6816
1,0,62,80,6720,6912
1,0,71,80,6720,6912
1,0,79,80,6816,6912
1,0,60,80,6912,7104
1,0,72,80,6912,7488
1,0,76,80,6912,7488
1,0,62,80,7104,7200
1,0,64,80,7200,7296
2,0,57,80,7296,7488
1,0,60,80,7488,7680
1,0,72,80,7488,7680
1,0,81,80,7488,7872
1,0,62,80,7680,7872
1,0,71,80,7680,8064
1,0,64,80,7872,8064
1,0,79,80,7872,8064
1,0,65,80,8064,8256
1,0,69,80,8064,8256
1,0,72,80,8064,8256
1,0,62,80,8256,8448
1,0,74,80,8256,8448
1,0,77,80,8256,8448
2,0,57,80,8448,8640
1,0,64,80,8448,8640
1,0,73,80,8448,8640
1,0,76,80,8448,8928
2,0,57,80,8640,8832
1,0,62,80,8640,8832
1,0,71,80,8640,8832
2,0,57,80,8832,9024
1,0,61,80,8832,9024
1,0,69,80,8832,9216
1,0,76,80,8928,9024
2,0,57,80,9024,9216
2,0,59,80,9024,9120
1,0,74,80,9024,9120
1,0,61,80,9120,9216
1,0,76,80,9120,9216
2,0,53,80,9216,9408
1,0,62,80,9216,9792
1,0,69,80,9216,9792
1,0,77,80,9216,9792
2,0,55,80,9408,9504
2,0,57,80,9504,9600
2,0,50,80,9600,9792
2,0,53,80,9792,9984
1,0,62,80,9792,9984
1,0,69,80,9792,9984
1,0,77,80,9792,9984
2,0,55,80,9984,10176
2,0,58,80,9984,10176
1,0,67,80,9984,10368
1,0,76,80,9984,10368
2,0,57,80,10176,10368
1,0,60,80,10176,10368
2,0,58,80,10368,10560
1,0,62,80,10368,10560
1,0,65,80,10368,10560
1,0,74,80,10368,10560
2,0,55,80,10560,10752
1,0,67,80,10560,10944
1,0,67,80,10560,10752
1,0,76,80,10560,10944
2,0,57,80,10752,12288
1,0,61,80,10752,10944
1,0,62,80,10944,11136
1,0,65,80,10944,11136
1,0,74,80,10944,11328
1,0,64,80,11136,11328
1,0,64,80,11136,11520
1,0,66,80,11328,11424
1,0,73,80,11328,11520
1,0,67,80,11424,11520
2,0,50,80,11520,11712
1,0,62,80,11520,12096
1,0,65,80,11520,12096
