# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,0,384
2,0,58,80,0,384
1,0,62,80,0,384
1,0,67,80,0,384
2,0,55,80,384,768
1,0,62,80,384,768
2,0,62,80,384,768
1,0,70,80,384,768
2,0,50,80,768,1152
2,0,60,80,768,1152
1,0,66,80,768,1152
1,0,69,80,768,1152
2,0,43,80,1152,1536
2,0,58,80,1152,1536
1,0,67,80,1152,1536
2,0,46,80,1536,1920
2,0,55,80,1536,1920
1,0,67,80,1536,1920
1,0,74,80,1536,1920
2,0,45,80,1920,2304
2,0,62,80,1920,2304
1,0,66,80,1920,2304
1,0,72,80,1920,2304
2,0,43,80,2304,2688
2,0,62,80,2304,2688
1,0,67,80,2304,2688
1,0,70,80,2304,2688
2,0,50,80,2688,3072
2,0,62,80,2688,3072
1,0,66,80,2688,3072
1,0,69,80,2688,3072
2,0,50,80,3072,3456
2,0,54,80,3072,3456
1,0,62,80,3072,3456
1,0,69,80,3072,3456
2,0,55,80,3456,3840
1,0,62,80,3456,3840
1,0,70,80,3456,3840
2,0,53,80,3840,4224
2,0,57,80,3840,4224
1,0,65,80,3840,4224
1,0,72,80,3840,4224
2,0,46,80,4224,4608
2,0,58,80,4224,4416
1,0,65,80,4224,4608
1,0,74,80,4224,4608
2,0,57,80,4416,4608
2,0,48,80,4608,4992
2,0,55,80,4608,4992
1,0,63,80,4608,4800
1,0,72,80,4608,4800
1,0,62,80,4800,4992
1,0,70,80,4800,4992
2,0,50,80,4992,5760
2,0,55,80,4992,5376
1,0,62,80,4992,5376
1,0,69,80,4992,5760
2,0,54,80,5376,5760
1,0,60,80,5376,5760
2,0,43,80,5760,6144
2,0,55,80,5760,6144
1,0,58,80,5760,6144
1,0,67,80,5760,6144
2,0,50,80,6144,6528
2,0,54,80,6144,6528
1,0,62,80,6144,6528
1,0,69,80,6144,6528
2,0,55,80,6528,6912
1,0,62,80,6528,6912
1,0,70,80,6528,6912
2,0,55,80,6912,7296
1,0,62,80,6912,7296
1,0,70,80,6912,7296
2,0,53,80,7296,7680
2,0,57,80,7296,7680
1,0,65,80,7296,7680
1,0,72,80,7296,7680
2,0,53,80,7680,7872
2,0,57,80,7680,8064
1,0,65,80,7680,8064
1,0,72,80,7680,8064
2,0,51,80,7872,8064
2,0,50,80,8064,8448
2,0,58,80,8064,8448
1,0,65,80,8064,8448
1,0,74,80,8064,8448
2,0,46,80,8448,8832
2,0,58,80,8448,8832
1,0,65,80,8448,8832
1,0,74,80,8448,8832
2,0,53,80,8832,9216
2,0,57,80,8832,9216
1,0,65,80,8832,9216
1,0,72,80,8832,9216
2,0,50,80,9216,9600
2,0,57,80,9216,9600
1,0,66,80,9216,9600
1,0,74,80,9216,9600
2,0,55,80,9600,9984
1,0,62,80,9600,9984
1,0,70,80,9600,9984
2,0,50,80,9984,10368
2,0,54,80,9984,10368
1,0,62,80,9984,10368
1,0,69,80,9984,10368
2,0,51,80,10368,10752
2,0,55,80,10368,10752
1,0,58,80,10368,10752
1,0,67,80,10368,10752
2,0,48,80,10752,11136
2,0,55,80,10752,11136
1,0,63,80,10752,11136
1,0,72,80,10752,10944
1,0,70,80,10944,11136
2,0,50,80,11136,11904
2,0,55,80,11136,11520
1,0,63,80,11136,11520
1,0,69,80,11136,11904
2,0,54,80,11520,11904
1,0,62,80,11520,11712
1,0,60,80,11712,11904
2,0,43,80,11904,12288
2,0,55,80,11904,12288
1,0,58,80,11904,12288
1,0,67,80,11904,12288
2,0,48,80,12288,13056
2,0,51,80,12288,13056
1,0,60,80,12288,13056
1,0,67,80,12288,13056
2,0,43,80,13056,13824
2,0,50,80,13056,13824
1,0,59,80,13056,13824
1,0,67,80,13056,13824
