# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,480
1,0,63,80,0,480
1,0,68,80,0,480
2,0,44,80,1920,3360
2,0,58,80,1920,2640
1,0,61,80,1920,2640
1,0,67,80,1920,2640
2,0,56,80,2640,2880
1,0,61,80,2640,2880
1,0,65,80,2640,2880
2,0,55,80,2880,3360
1,0,61,80,2880,3360
1,0,63,80,2880,3360
2,0,55,80,3360,3840
1,0,61,80,3360,3840
1,0,63,80,3360,3840
2,0,44,80,3840,4320
1,0,60,80,3840,4320
1,0,63,80,3840,4320
1,0,68,80,3840,4320
2,0,51,80,4320,4800
1,0,63,80,4320,4800
1,0,68,80,4320,4800
1,0,72,80,4320,4800
2,0,56,80,4800,5280
1,0,68,80,4800,5280
1,0,72,80,4800,5280
1,0,75,80,4800,5280
1,0,60,80,5280,5760
1,0,72,80,5280,5760
1,0,75,80,5280,5760
1,0,80,80,5280,5760
2,0,51,80,5760,6720
1,0,63,80,5760,6720
1,0,73,80,5760,6480
1,0,75,80,5760,6480
1,0,82,80,5760,6480
1,0,70,80,6480,6720
1,0,73,80,6480,6720
1,0,79,80,6480,6720
1,0,68,80,6720,7200
1,0,73,80,6720,7200
1,0,77,80,6720,7200
1,0,67,80,7200,7680
1,0,73,80,7200,7680
1,0,75,80,7200,7680
2,0,51,80,7680,8640
1,0,61,80,7680,8640
1,0,67,80,7680,8640
1,0,77,80,7680,7920
1,0,79,80,7920,8160
1,0,77,80,8160,8400
1,0,74,80,8400,8640
2,0,39,80,8640,9120
1,0,67,80,8640,9120
1,0,75,80,8640,8880
1,0,73,80,8880,9120
1,0,61,80,9120,9360
1,0,63,80,9120,9600
1,0,70,80,9120,9360
1,0,61,80,9360,9600
1,0,63,80,9360,9600
2,0,44,80,9600,10560
1,0,60,80,9600,9840
1,0,68,80,9600,10080
1,0,63,80,9840,10080
2,0,58,80,10080,10320
1,0,67,80,10080,10560
1,0,63,80,10320,10560
2,0,44,80,10560,11520
2,0,51,80,10560,11520
1,0,61,80,10560,10800
1,0,70,80,10560,11040
1,0,63,80,10800,11040
1,0,60,80,11040,11280
1,0,68,80,11040,11520
1,0,63,80,11280,11520
2,0,44,80,11520,12480
2,0,44,80,11520,12480
2,0,53,80,11520,12480
1,0,65,80,11520,11760
1,0,73,80,11520,12480
1,0,61,80,11760,12000
1,0,65,80,12000,12240
1,0,68,80,12240,12480
2,0,51,80,12480,12960
1,0,63,80,12480,12720
1,0,72,80,12480,12960
1,0,60,80,12720,12960
1,0,61,80,12960,13200
1,0,70,80,12960,13200
1,0,63,80,13200,13440
1,0,70,80,13200,13440
2,0,44,80,13440,14400
2,0,51,80,13440,14400
1,0,60,80,13440,13680
1,0,68,80,13440,13920
1,0,63,80,13680,13920
2,0,58,80,13920,14160
1,0,67,80,13920,14400
1,0,63,80,14160,14400
2,0,44,80,14400,15360
2,0,51,80,14400,15360
1,0,61,80,14400,14640
1,0,70,80,14400,14880
1,0,63,80,14640,14880
1,0,60,80,14880,15120
1,0,68,80,14880,15360
1,0,63,80,15120,15360
2,0,44,80,15360,16800
2,0,51,80,15360,16800
2,0,56,80,15360,15600
1,0,72,80,15360,16320
1,0,60,80,15600,15840
1,0,63,80,15840,16080
1,0,67,80,16080,16320
1,0,70,80,16320,16560
1,0,68,80,16560,16800
2,0,44,80,16800,17280
1,0,63,80,16800,17040
1,0,72,80,16800,17040
1,0,60,80,17040,17280
1,0,72,80,17040,17280
2,0,48,80,17280,18240
1,0,64,80,17280,17520
1,0,72,80,17280,18000
1,0,67,80,17520,17760
1,0,64,80,17760,18000
1,0,61,80,18000,18240
1,0,70,80,18000,18240
2,0,36,80,18240,19200
1,0,60,80,18240,18480
1,0,68,80,18240,18720
1,0,64,80,18480,18720
2,0,58,80,18720,18960
1,0,67,80,18720,19200
1,0,64,80,18960,19200
2,0,41,80,19200,20160
2,0,48,80,19200,20160
2,0,58,80,19200,19440
1,0,67,80,19200,20160
1,0,60,80,19440,19680
1,0,64,80,19680,19920
1,0,60,80,19920,20160
2,0,41,80,20160,21120
2,0,53,80,20160,21120
2,0,57,80,20160,20400
1,0,65,80,20160,20640
1,0,60,80,20400,20640
1,0,65,80,20640,20880
1,0,65,80,20640,20880
1,0,60,80,20880,21120
1,0,65,80,20880,21120
2,0,53,80,21120,22080
2,0,57,80,21120,22080
1,0,63,80,21120,21360
1,0,65,80,21120,21600
1,0,65,80,21360,21600
1,0,69,80,21600,21840
1,0,69,80,21600,22080
1,0,65,80,21840,22080
2,0,53,80,22080,23040
2,0,57,80,22080,23040
1,0,63,80,22080,22320
1,0,72,80,22080,22560
1,0,65,80,22320,22560
1,0,72,80,22560,22800
1,0,75,80,22560,23040
1,0,65,80,22800,23040
2,0,46,80,23040,24480
2,0,53,80,23040,24480
2,0,58,80,23040,24480
1,0,61,80,23040,23280
1,0,73,80,23040,24000
1,0,65,80,23280,23520
1,0,70,80,23520,23760
1,0,72,80,23760,24000
1,0,73,80,24000,24240
1,0,70,80,24240,24480
2,0,46,80,24480,24960
2,0,53,80,24480,24960
2,0,58,80,24480,24960
1,0,65,80,24480,24720
1,0,73,80,24480,24720
1,0,61,80,24720,24960
1,0,73,80,24720,24960
2,0,48,80,24960,25920
2,0,56,80,24960,25920
1,0,72,80,24960,25440
1,0,60,80,25200,25440
1,0,65,80,25440,25680
1,0,72,80,25440,25920
1,0,72,80,25680,25920
2,0,49,80,25920,26400
2,0,56,80,25920,26400
1,0,65,80,25920,26400
2,0,59,80,26160,26400
2,0,49,80,26400,26880
2,0,56,80,26400,26880
1,0,65,80,26400,26640
1,0,65,80,26400,26880
1,0,71,80,26640,26880
2,0,50,80,26880,27840
2,0,56,80,26880,27840
1,0,70,80,26880,27840
2,0,58,80,27120,27360
1,0,65,80,27360,27600
1,0,68,80,27600,27840
2,0,50,80,27840,28800
2,0,56,80,27840,28800
1,0,70,80,27840,28080
1,0,70,80,27840,28320
1,0,68,80,28080,28320
1,0,65,80,28320,28560
1,0,65,80,28320,28560
2,0,58,80,28560,28800
1,0,65,80,28560,28800
2,0,51,80,28800,29760
2,0,58,80,28800,29280
1,0,67,80,28800,29280
1,0,63,80,29040,29280
1,0,67,80,29040,29280
2,0,56,80,29280,29760
1,0,65,80,29280,29760
2,0,58,80,29520,29760
1,0,65,80,29520,29760
2,0,49,80,29760,30240
2,0,55,80,29760,30240
1,0,63,80,29760,30240
2,0,58,80,30000,30240
