# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,0,480
2,0,50,80,0,480
1,0,62,80,0,480
1,0,71,80,0,480
2,0,50,80,480,720
2,0,59,80,480,720
1,0,67,80,480,720
2,0,50,80,720,960
2,0,59,80,720,960
1,0,67,80,720,960
2,0,43,80,960,1440
2,0,50,80,960,1440
1,0,62,80,960,1440
1,0,71,80,960,1440
1,0,71,80,1200,1440
2,0,50,80,1440,1680
2,0,59,80,1440,1680
1,0,67,80,1440,1680
1,0,67,80,1440,1680
2,0,50,80,1680,1920
2,0,59,80,1680,1920
1,0,67,80,1680,1920
1,0,76,80,1680,1920
2,0,43,80,1920,2400
2,0,50,80,1920,2400
1,0,62,80,1920,2400
1,0,71,80,1920,2400
1,0,74,80,1920,2880
2,0,50,80,2400,2640
2,0,59,80,2400,2640
1,0,67,80,2400,2640
2,0,50,80,2640,2880
2,0,59,80,2640,2880
1,0,67,80,2640,2880
2,0,43,80,2880,3360
2,0,50,80,2880,3360
1,0,60,80,2880,3360
1,0,64,80,2880,3360
1,0,72,80,3120,3240
1,0,71,80,3240,3360
2,0,50,80,3360,3600
1,0,62,80,3360,3600
1,0,66,80,3360,3600
1,0,69,80,3360,3600
2,0,50,80,3600,3840
1,0,60,80,3600,3840
1,0,64,80,3600,3840
1,0,71,80,3600,3840
2,0,43,80,3840,4320
2,0,50,80,3840,4320
1,0,60,80,3840,4080
1,0,64,80,3840,4080
1,0,67,80,3840,4320
2,0,59,80,4080,4320
1,0,62,80,4080,4320
2,0,50,80,4320,4560
2,0,59,80,4320,4560
1,0,62,80,4320,4560
1,0,71,80,4320,4560
2,0,50,80,4560,4800
2,0,59,80,4560,4800
1,0,67,80,4560,4800
2,0,43,80,4800,5280
2,0,50,80,4800,5280
1,0,62,80,4800,5280
1,0,71,80,4800,5280
1,0,71,80,5040,5280
2,0,50,80,5280,5520
2,0,59,80,5280,5520
1,0,67,80,5280,5520
1,0,67,80,5280,5520
2,0,50,80,5520,5760
2,0,59,80,5520,5760
1,0,67,80,5520,5760
1,0,76,80,5520,5760
2,0,43,80,5760,6240
2,0,50,80,5760,6240
1,0,66,80,5760,6000
1,0,74,80,5760,6000
1,0,74,80,5760,6480
1,0,67,80,6000,6240
2,0,50,80,6240,6480
1,0,64,80,6240,6480
1,0,72,80,6240,6480
2,0,50,80,6480,6720
1,0,62,80,6480,6720
1,0,71,80,6480,6720
1,0,74,80,6480,6720
2,0,43,80,6720,7200
2,0,50,80,6720,7200
1,0,60,80,6720,7440
1,0,66,80,6720,7440
1,0,69,80,6720,7440
1,0,78,80,6720,7200
2,0,50,80,7200,7440
1,0,76,80,7200,7260
1,0,76,80,7200,7440
1,0,78,80,7200,7260
2,0,50,80,7440,7680
1,0,60,80,7440,7680
1,0,66,80,7440,7680
1,0,70,80,7440,7680
1,0,74,80,7440,7680
2,0,43,80,7680,8160
2,0,50,80,7680,8160
1,0,74,80,7680,7920
1,0,62,80,7920,8160
1,0,71,80,7920,8160
1,0,71,80,7920,8640
2,0,50,80,8160,8640
2,0,59,80,8160,8640
1,0,67,80,8160,8400
1,0,76,80,8400,8640
2,0,55,80,8640,9120
2,0,59,80,8640,9120
1,0,65,80,8640,9120
1,0,74,80,8640,9120
1,0,62,80,9120,9360
1,0,71,80,9120,9360
1,0,71,80,9120,9360
1,0,61,80,9360,9600
1,0,73,80,9360,9600
1,0,73,80,9360,9600
2,0,54,80,9600,10080
2,0,59,80,9600,10080
1,0,66,80,9600,9840
1,0,74,80,9600,10080
1,0,74,80,9840,10560
1,0,62,80,10080,10320
1,0,71,80,10080,10320
2,0,59,80,10320,10560
1,0,79,80,10320,10560
2,0,54,80,10560,11040
1,0,64,80,10560,11040
1,0,70,80,10560,11040
1,0,74,80,10560,10800
1,0,78,80,10560,11040
1,0,73,80,10800,11040
2,0,54,80,11040,11280
1,0,64,80,11040,11280
1,0,70,80,11040,11280
1,0,73,80,11040,11280
1,0,78,80,11040,11280
2,0,54,80,11280,11520
1,0,64,80,11280,11520
1,0,70,80,11280,11520
1,0,74,80,11280,11520
1,0,74,80,11280,11520
2,0,59,80,11520,12000
1,0,62,80,11520,11760
1,0,66,80,11520,11760
1,0,71,80,11520,12000
1,0,74,80,11760,12000
1,0,62,80,12000,12480
1,0,66,80,12000,12480
1,0,71,80,12000,12240
1,0,83,80,12240,12480
1,0,61,80,12480,12960
1,0,69,80,12480,12720
1,0,74,80,12480,12720
1,0,81,80,12720,12960
2,0,59,80,12960,13440
1,0,62,80,12960,13440
1,0,67,80,12960,13200
1,0,71,80,12960,13200
1,0,74,80,13200,13440
1,0,79,80,13200,13440
2,0,57,80,13440,13920
1,0,62,80,13440,13920
1,0,66,80,13440,13680
1,0,78,80,13440,13920
1,0,78,80,13680,13920
2,0,59,80,13920,14400
1,0,62,80,13920,14400
1,0,66,80,13920,14400
1,0,74,80,13920,14160
1,0,74,80,13920,14400
1,0,76,80,14160,14280
1,0,78,80,14280,14400
2,0,52,80,14400,14880
1,0,64,80,14400,14880
1,0,67,80,14400,14640
1,0,74,80,14400,14640
1,0,79,80,14400,14880
1,0,79,80,14640,14880
2,0,57,80,14880,15360
1,0,67,80,14880,15360
1,0,73,80,14880,15120
1,0,73,80,14880,15360
1,0,74,80,15120,15240
1,0,76,80,15240,15360
2,0,50,80,15360,15840
1,0,62,80,15360,15840
1,0,66,80,15360,15600
1,0,73,80,15360,15600
1,0,78,80,15360,15840
1,0,78,80,15600,15840
2,0,55,80,15840,16320
1,0,62,80,15840,16320
1,0,71,80,15840,16000
1,0,71,80,15840,16320
1,0,73,80,16000,16160
1,0,74,80,16160,16320
2,0,49,80,16320,16560
1,0,64,80,16320,16560
1,0,71,80,16320,16560
1,0,76,80,16320,17040
2,0,52,80,16560,16800
1,0,62,80,16560,17040
1,0,67,80,16560,17040
1,0,71,80,16560,17040
2,0,45,80,16800,17040
2,0,57,80,17040,17280
1,0,61,80,17040,17280
1,0,67,80,17040,17280
1,0,71,80,17040,17280
2,0,50,80,17280,17520
1,0,62,80,17280,17760
1,0,66,80,17280,17760
1,0,69,80,17280,17760
2,0,57,80,17520,17760
1,0,66,80,17760,18000
1,0,74,80,17760,18240
1,0,71,80,18000,18240
1,0,69,80,18240,18480
1,0,74,80,18240,18720
1,0,78,80,18480,18720
2,0,57,80,18720,19200
1,0,66,80,18720,19200
1,0,74,80,18720,18960
1,0,83,80,18960,19200
2,0,50,80,19200,19440
1,0,70,80,19200,19680
1,0,70,80,19200,19680
1,0,78,80,19200,19680
1,0,82,80,19200,19680
1,0,60,80,19440,19680
1,0,66,80,19680,19920
1,0,70,80,19680,19920
1,0,74,80,19680,20160
1,0,78,80,19920,20160
1,0,74,80,20160,20400
1,0,74,80,20160,20640
1,0,82,80,20400,20640
1,0,62,80,20640,21120
1,0,72,80,20640,21120
1,0,78,80,20640,20880
1,0,88,80,20880,21120
1,0,67,80,21120,21600
1,0,71,80,21120,21600
1,0,79,80,21120,21600
1,0,86,80,21120,21600
1,0,71,80,21360,21840
2,0,50,80,21600,21840
2,0,59,80,21600,21840
1,0,67,80,21600,21840
2,0,50,80,21840,22080
2,0,59,80,21840,22080
1,0,67,80,21840,22080
1,0,76,80,21840,22080
2,0,43,80,22080,22560
2,0,50,80,22080,22560
2,0,59,80,22080,22560
1,0,65,80,22080,22560
1,0,69,80,22080,22560
1,0,74,80,22080,23040
2,0,55,80,22560,22800
1,0,65,80,22560,22800
1,0,71,80,22560,22800
2,0,55,80,22800,23040
1,0,65,80,22800,23040
1,0,71,80,22800,23040
2,0,43,80,23040,23520
2,0,55,80,23040,23520
1,0,64,80,23040,23520
1,0,67,80,23040,23520
1,0,74,80,23040,23280
1,0,72,80,23280,23400
1,0,71,80,23400,23520
2,0,55,80,23520,23760
1,0,63,80,23520,23760
1,0,66,80,23520,23760
1,0,69,80,23520,23760
1,0,72,80,23520,23760
2,0,55,80,23760,24000
1,0,60,80,23760,24000
1,0,66,80,23760,24000
1,0,71,80,23760,24000
2,0,43,80,24000,24480
2,0,50,80,24000,24480
2,0,59,80,24000,24240
1,0,67,80,24000,24480
1,0,71,80,24240,24480
2,0,50,80,24480,24720
2,0,59,80,24480,24720
1,0,67,80,24480,24720
1,0,71,80,24480,24720
2,0,50,80,24720,24960
1,0,76,80,24720,24960
2,0,43,80,24960,25440
2,0,50,80,24960,25440
1,0,62,80,24960,25440
1,0,71,80,24960,25440
1,0,74,80,24960,25440
1,0,71,80,25200,25680
1,0,62,80,25440,25920
1,0,71,80,25440,25680
1,0,69,80,25680,25920
1,0,74,80,25680,25920
1,0,77,80,25680,25920
2,0,55,80,25920,26400
2,0,59,80,25920,26400
1,0,67,80,25920,26400
1,0,76,80,25920,26400
1,0,79,80,25920,26640
2,0,59,80,26400,26640
1,0,65,80,26400,26640
1,0,74,80,26400,26640
1,0,62,80,26640,26880
1,0,71,80,26640,26880
1,0,71,80,26640,26880
2,0,48,80,26880,27360
1,0,64,80,26880,27120
1,0,76,80,26880,27120
1,0,76,80,26880,27120
1,0,74,80,27120,27360
1,0,74,80,27120,27360
2,0,52,80,27360,27840
1,0,64,80,27360,27600
1,0,68,80,27360,27600
1,0,72,80,27360,27600
1,0,72,80,27360,27600
1,0,62,80,27600,27840
1,0,71,80,27600,27840
1,0,71,80,27600,27840
2,0,45,80,27840,28080
1,0,62,80,27840,28320
1,0,67,80,27840,28320
1,0,71,80,27840,28320
1,0,76,80,27840,28320
2,0,52,80,28080,28320
2,0,57,80,28320,28560
1,0,61,80,28320,28560
1,0,67,80,28320,28560
1,0,69,80,28320,28560
1,0,69,80,28320,28560
1,0,76,80,28560,28800
2,0,50,80,28800,29280
1,0,60,80,28800,29280
1,0,66,80,28800,29040
1,0,76,80,28800,29040
1,0,74,80,29040,29280
2,0,56,80,29280,29520
1,0,65,80,29280,29520
1,0,71,80,29280,29520
1,0,76,80,29280,29520
1,0,76,80,29280,29520
2,0,56,80,29520,29760
1,0,65,80,29520,29760
1,0,71,80,29520,29760
1,0,74,80,29520,29760
1,0,74,80,29520,29760
2,0,50,80,29760,30240
2,0,57,80,29760,30240
1,0,64,80,29760,30000
1,0,74,80,29760,30000
1,0,74,80,29760,30000
1,0,72,80,30000,30240
1,0,72,80,30000,30240
1,0,62,80,30240,30480
1,0,65,80,30240,30480
1,0,68,80,30240,30480
1,0,72,80,30240,30480
1,0,62,80,30480,30720
1,0,65,80,30480,30720
1,0,68,80,30480,30720
1,0,71,80,30480,30720
2,0,50,80,30720,31200
1,0,60,80,30720,31200
1,0,64,80,30720,30960
1,0,71,80,30720,30960
1,0,71,80,30720,30960
1,0,69,80,30960,31200
1,0,69,80,30960,31200
2,0,54,80,31200,31440
1,0,63,80,31200,31440
1,0,72,80,31200,31440
1,0,72,80,31200,31440
2,0,55,80,31440,31680
1,0,62,80,31440,31680
1,0,71,80,31440,31680
1,0,71,80,31440,31680
2,0,50,80,31680,32160
2,0,52,80,31680,32160
1,0,61,80,31680,31920
1,0,71,80,31680,31920
1,0,71,80,31680,31920
1,0,69,80,31920,32160
1,0,69,80,31920,32160
2,0,54,80,32160,32400
1,0,60,80,32160,32400
1,0,69,80,32160,32400
1,0,69,80,32160,32400
2,0,55,80,32400,32640
2,0,59,80,32400,32640
1,0,67,80,32400,32640
1,0,67,80,32400,32640
2,0,48,80,32640,32880
1,0,63,80,32640,33120
1,0,67,80,32640,33120
1,0,71,80,32640,33120
1,0,71,80,32640,33120
2,0,55,80,32880,33120
1,0,60,80,33120,33360
1,0,63,80,33120,33360
1,0,67,80,33120,33360
1,0,69,80,33120,33360
1,0,69,80,33120,33600
1,0,63,80,33360,33600
1,0,67,80,33600,33840
1,0,69,80,33600,33840
1,0,75,80,33840,34080
2,0,57,80,34080,34560
1,0,63,80,34080,34560
1,0,67,80,34080,34320
1,0,72,80,34320,34560
2,0,58,80,34560,34800
1,0,63,80,34560,34800
1,0,67,80,34560,34800
1,0,73,80,34560,34800
1,0,79,80,34560,34800
2,0,51,80,35040,35520
1,0,61,80,35040,35520
1,0,67,80,35040,35280
1,0,67,80,35040,35280
1,0,69,80,35280,35520
1,0,69,80,35280,35520
2,0,50,80,35520,36000
1,0,62,80,35520,36000
1,0,67,80,35520,35760
1,0,71,80,35520,35760
1,0,71,80,35520,36000
1,0,66,80,35760,36000
2,0,49,80,36000,36480
2,0,59,80,36000,36480
1,0,64,80,36000,36240
1,0,67,80,36000,36240
1,0,76,80,36000,36480
1,0,76,80,36240,36480
2,0,50,80,36480,36960
2,0,59,80,36480,36960
1,0,67,80,36480,36720
1,0,74,80,36480,36720
1,0,74,80,36480,37440
1,0,72,80,36720,36840
1,0,71,80,36840,36960
1,0,60,80,36960,37200
1,0,69,80,36960,37200
1,0,62,80,37200,37440
1,0,71,80,37200,37440
1,0,60,80,37440,37920
1,0,64,80,37440,37920
1,0,74,80,37440,37680
1,0,71,80,37680,37920
2,0,50,80,37920,38400
1,0,60,80,37920,38160
1,0,64,80,37920,38160
1,0,67,80,37920,38160
1,0,66,80,38160,38400
1,0,69,80,38160,38400
2,0,55,80,38400,38880
2,0,59,80,38400,38880
1,0,67,80,38400,38640
1,0,71,80,38400,38760
1,0,71,80,38640,39360
1,0,74,80,38760,38880
2,0,59,80,38880,39120
1,0,67,80,38880,39120
1,0,79,80,38880,39360
2,0,59,80,39120,39360
1,0,67,80,39120,39360
