# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,0,480
1,0,69,80,0,480
1,0,62,80,1440,2160
1,0,74,80,1440,2160
2,0,57,80,2160,2400
1,0,69,80,2160,2400
2,0,58,80,2400,2880
1,0,70,80,2400,2880
2,0,57,80,2880,3360
1,0,69,80,2880,3360
2,0,50,80,3360,3840
1,0,62,80,3360,3840
2,0,52,80,3840,4320
1,0,64,80,3840,4320
2,0,53,80,4320,5040
2,0,53,80,4320,5760
1,0,65,80,4320,5040
1,0,65,80,4320,5760
2,0,48,80,5040,5280
1,0,60,80,5040,5280
2,0,50,80,5280,5760
1,0,62,80,5280,5760
2,0,48,80,5760,6240
1,0,60,80,5760,6240
1,0,60,80,5760,6720
1,0,65,80,5760,6720
2,0,41,80,6240,6720
2,0,53,80,6240,6720
2,0,43,80,6720,7200
2,0,55,80,6720,7200
2,0,58,80,6720,7200
1,0,64,80,6720,7200
2,0,45,80,7200,8640
2,0,53,80,7200,8640
2,0,57,80,7200,8640
1,0,62,80,7200,8640
2,0,45,80,8640,9600
2,0,52,80,8640,9600
2,0,57,80,8640,9600
1,0,61,80,8640,9600
1,0,69,80,9600,10080
1,0,62,80,10080,10800
1,0,74,80,10080,10800
1,0,74,80,10080,10800
2,0,57,80,10800,11040
1,0,69,80,10800,11040
1,0,69,80,10800,11040
2,0,58,80,11040,11520
1,0,70,80,11040,11520
1,0,70,80,11040,11520
2,0,57,80,11520,12000
1,0,69,80,11520,12000
1,0,69,80,11520,12000
2,0,50,80,12000,12480
1,0,62,80,12000,12480
1,0,62,80,12000,12480
2,0,52,80,12480,12960
1,0,64,80,12480,12960
1,0,64,80,12480,12960
2,0,53,80,12960,13680
2,0,53,80,12960,14400
1,0,65,80,12960,13680
1,0,65,80,12960,14400
1,0,65,80,12960,14400
2,0,48,80,13680,13920
1,0,60,80,13680,13920
2,0,50,80,13920,14400
1,0,62,80,13920,14400
2,0,48,80,14400,14880
1,0,60,80,14400,15360
1,0,65,80,14400,15360
1,0,65,80,14400,15360
2,0,41,80,14880,15360
2,0,43,80,15360,15840
2,0,58,80,15360,15840
1,0,64,80,15360,15840
1,0,70,80,15360,15840
