# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,36,80,0,360
2,0,48,80,0,360
2,0,55,80,0,360
1,0,62,80,0,360
1,0,67,80,0,360
2,0,36,80,360,480
2,0,48,80,360,480
2,0,55,80,360,480
1,0,63,80,360,480
1,0,67,80,360,480
2,0,36,80,480,1200
2,0,48,80,480,1200
2,0,55,80,480,1200
1,0,63,80,480,1200
1,0,67,80,480,1200
2,0,33,80,1200,1440
2,0,45,80,1200,1440
1,0,60,80,1200,1440
1,0,63,80,1200,1440
1,0,72,80,1200,1440
2,0,38,80,1440,1920
2,0,50,80,1440,1920
1,0,62,80,1440,1920
1,0,67,80,1440,1920
1,0,70,80,1440,1920
2,0,26,80,1920,2400
2,0,38,80,1920,2400
1,0,62,80,1920,2400
1,0,66,80,1920,2400
1,0,69,80,1920,2400
2,0,31,80,2880,3240
2,0,43,80,2880,3240
1,0,62,80,2880,3240
1,0,70,80,2880,3240
1,0,74,80,2880,3240
1,0,74,80,2880,3240
2,0,31,80,3240,3360
2,0,43,80,3240,3360
1,0,62,80,3240,3360
1,0,70,80,3240,3360
1,0,74,80,3240,3360
1,0,74,80,3240,3360
2,0,31,80,3360,4080
2,0,43,80,3360,4080
1,0,62,80,3360,4080
1,0,70,80,3360,4080
1,0,74,80,3360,4080
1,0,74,80,3360,4080
2,0,34,80,4080,4320
2,0,46,80,4080,4320
1,0,62,80,4080,4320
1,0,67,80,4080,4320
1,0,70,80,4080,4320
1,0,70,80,4080,4320
2,0,38,80,4320,4680
2,0,50,80,4320,4680
1,0,60,80,4320,4680
1,0,66,80,4320,4680
1,0,69,80,4320,4680
1,0,69,80,4320,4680
2,0,38,80,4680,4800
2,0,50,80,4680,4800
1,0,62,80,4680,4800
1,0,70,80,4680,4800
1,0,70,80,4680,4800
2,0,43,80,4800,5280
2,0,50,80,4800,5280
2,0,58,80,4800,5280
1,0,67,80,4800,5280
1,0,67,80,4800,5280
2,0,38,80,5760,6120
2,0,50,80,5760,6120
1,0,60,80,5760,6120
1,0,66,80,5760,6120
1,0,69,80,5760,6120
1,0,69,80,5760,6120
2,0,38,80,6120,6240
2,0,50,80,6120,6240
1,0,62,80,6120,6240
1,0,70,80,6120,6240
1,0,70,80,6120,6240
2,0,43,80,6240,6720
2,0,50,80,6240,6720
2,0,58,80,6240,6720
1,0,67,80,6240,6720
1,0,67,80,6240,6720
2,0,36,80,7200,7440
2,0,48,80,7200,7440
1,0,63,80,7200,7440
1,0,67,80,7200,7440
1,0,75,80,7200,7440
1,0,75,80,7200,7440
2,0,36,80,7440,7680
2,0,48,80,7440,7680
1,0,63,80,7440,7680
1,0,67,80,7440,7680
1,0,75,80,7440,7680
1,0,75,80,7440,7680
2,0,36,80,7680,8400
2,0,48,80,7680,8400
1,0,63,80,7680,8400
1,0,67,80,7680,8400
1,0,75,80,7680,8400
1,0,75,80,7680,8400
2,0,39,80,8400,8640
2,0,51,80,8400,8640
1,0,60,80,8400,8640
1,0,67,80,8400,8640
1,0,72,80,8400,8640
1,0,72,80,8400,8640
2,0,38,80,8640,9120
2,0,50,80,8640,9120
1,0,62,80,8640,9120
1,0,67,80,8640,9120
1,0,70,80,8640,9120
1,0,70,80,8640,9120
2,0,50,80,9120,9600
1,0,62,80,9120,9600
1,0,66,80,9120,9600
1,0,69,80,9120,9600
1,0,69,80,9120,9600
2,0,55,80,10080,10560
2,0,59,80,10080,10560
1,0,62,80,10080,10560
1,0,67,80,10080,10320
1,0,71,80,10080,10320
1,0,74,80,10080,10320
1,0,74,80,10080,10320
1,0,67,80,10320,10560
1,0,71,80,10320,10560
1,0,74,80,10320,10560
1,0,74,80,10320,10560
2,0,43,80,10560,11040
2,0,55,80,10560,11040
1,0,67,80,10560,11280
1,0,74,80,10560,11280
1,0,77,80,10560,11280
1,0,77,80,10560,11280
2,0,55,80,11040,11520
2,0,59,80,11040,11520
1,0,67,80,11280,11520
1,0,74,80,11280,11520
1,0,74,80,11280,11520
2,0,51,80,11520,11880
1,0,60,80,11520,11880
1,0,67,80,11520,11880
1,0,72,80,11520,11880
1,0,72,80,11520,11880
2,0,48,80,11880,12000
1,0,60,80,11880,12000
1,0,67,80,11880,12000
1,0,75,80,11880,12000
1,0,75,80,11880,12000
2,0,50,80,12000,12480
2,0,57,80,12000,12480
1,0,66,80,12000,12480
1,0,74,80,12000,12480
1,0,74,80,12000,12480
2,0,51,80,12960,13320
1,0,60,80,12960,13320
1,0,67,80,12960,13320
1,0,72,80,12960,13320
1,0,72,80,12960,13320
2,0,48,80,13320,13440
1,0,60,80,13320,13440
1,0,67,80,13320,13440
1,0,75,80,13320,13440
1,0,75,80,13320,13440
2,0,50,80,13440,13920
2,0,57,80,13440,13920
1,0,66,80,13440,13920
1,0,74,80,13440,13920
1,0,74,80,13440,13920
2,0,36,80,14400,14640
2,0,48,80,14400,14640
1,0,63,80,14400,14640
1,0,67,80,14400,14640
1,0,75,80,14400,14640
1,0,75,80,14400,14640
2,0,39,80,14640,14880
2,0,51,80,14640,14880
1,0,60,80,14640,14880
1,0,67,80,14640,14880
1,0,72,80,14640,14880
1,0,72,80,14640,14880
2,0,38,80,14880,15360
2,0,50,80,14880,15360
1,0,62,80,14880,15600
1,0,67,80,14880,15600
1,0,70,80,14880,15600
1,0,70,80,14880,15600
2,0,26,80,15360,15840
2,0,38,80,15360,15840
1,0,62,80,15600,15840
1,0,66,80,15600,15840
1,0,69,80,15600,15840
1,0,69,80,15600,15840
2,0,31,80,15840,16320
2,0,43,80,15840,16320
1,0,62,80,15840,16320
1,0,69,80,15840,16320
1,0,72,80,15840,16320
1,0,72,80,15840,16320
2,0,43,80,16320,16800
2,0,55,80,16320,16800
1,0,62,80,16320,16800
1,0,67,80,16320,16800
1,0,71,80,16320,16800
1,0,71,80,16320,16800
2,0,55,80,17280,17520
2,0,59,80,17280,17520
1,0,62,80,17280,17520
1,0,74,80,17280,17520
2,0,55,80,17520,17760
2,0,59,80,17520,17760
1,0,62,80,17520,17760
1,0,74,80,17520,17760
2,0,55,80,17760,18480
1,0,62,80,17760,18480
1,0,65,80,17760,18480
1,0,67,80,17760,18000
1,0,71,80,17760,18000
1,0,74,80,17760,18000
1,0,77,80,17760,18480
1,0,67,80,18000,18240
1,0,71,80,18000,18240
1,0,74,80,18000,18240
1,0,67,80,18240,18720
1,0,71,80,18240,18720
1,0,79,80,18240,18720
2,0,55,80,18480,18720
1,0,62,80,18480,18720
1,0,74,80,18480,18720
2,0,51,80,18720,19080
1,0,60,80,18720,19080
1,0,67,80,18720,19080
1,0,72,80,18720,19080
1,0,72,80,18720,19080
1,0,79,80,18720,19080
2,0,48,80,19080,19200
1,0,60,80,19080,19200
1,0,67,80,19080,19200
1,0,75,80,19080,19200
1,0,75,80,19080,19200
2,0,50,80,19200,19680
2,0,57,80,19200,19680
1,0,66,80,19200,19680
1,0,74,80,19200,19680
1,0,74,80,19200,19680
2,0,51,80,20160,20520
1,0,60,80,20160,20520
1,0,67,80,20160,20520
1,0,72,80,20160,20520
1,0,72,80,20160,20520
2,0,48,80,20520,20640
1,0,60,80,20520,20640
1,0,67,80,20520,20640
1,0,75,80,20520,20640
1,0,75,80,20520,20640
2,0,50,80,20640,21120
2,0,57,80,20640,21120
1,0,66,80,20640,21120
1,0,74,80,20640,21120
1,0,74,80,20640,21120
2,0,36,80,21600,21840
2,0,48,80,21600,21840
1,0,63,80,21600,21840
1,0,67,80,21600,21840
1,0,75,80,21600,21840
1,0,75,80,21600,21840
2,0,39,80,21840,22080
2,0,51,80,21840,22080
1,0,60,80,21840,22080
1,0,67,80,21840,22080
1,0,72,80,21840,22080
1,0,72,80,21840,22080
2,0,38,80,22080,22560
2,0,50,80,22080,22560
1,0,62,80,22080,22800
1,0,67,80,22080,22800
1,0,70,80,22080,22800
1,0,70,80,22080,22800
2,0,26,80,22560,23040
2,0,38,80,22560,23040
1,0,60,80,22800,23040
1,0,66,80,22800,23040
1,0,69,80,22800,23040
1,0,69,80,22800,23040
2,0,31,80,23040,23520
2,0,43,80,23040,23520
1,0,60,80,23040,23520
1,0,66,80,23040,23520
1,0,69,80,23040,23520
1,0,69,80,23040,23520
2,0,43,80,23520,24000
2,0,55,80,23520,24000
2,0,58,80,23520,24000
1,0,67,80,23520,24000
1,0,67,80,23520,24000
2,0,36,80,24480,24840
2,0,48,80,24480,24840
1,0,67,80,24720,25200
1,0,75,80,24720,25200
2,0,36,80,24840,24960
2,0,48,80,24840,24960
2,0,36,80,24960,25440
2,0,48,80,24960,25440
1,0,65,80,25200,25680
1,0,74,80,25200,25680
2,0,33,80,25440,25920
2,0,45,80,25440,25920
1,0,63,80,25680,25920
1,0,72,80,25680,25920
2,0,38,80,25920,26400
2,0,50,80,25920,26400
1,0,62,80,26160,26400
1,0,67,80,26160,26400
1,0,70,80,26160,26400
2,0,26,80,26400,26880
2,0,38,80,26400,26880
1,0,62,80,26640,26880
1,0,66,80,26640,26880
1,0,69,80,26640,26880
2,0,43,80,27360,27600
2,0,55,80,27360,27600
1,0,74,80,27360,27720
1,0,62,80,27600,27840
1,0,70,80,27600,27840
1,0,74,80,27600,27840
1,0,74,80,27720,27840
2,0,31,80,27840,28080
2,0,43,80,27840,28080
1,0,74,80,27840,28560
1,0,62,80,28080,28320
1,0,69,80,28080,28320
1,0,72,80,28080,28320
2,0,34,80,28320,28560
2,0,46,80,28320,28560
1,0,62,80,28560,28800
1,0,67,80,28560,28800
1,0,70,80,28560,28800
1,0,70,80,28560,28800
2,0,38,80,28800,29040
2,0,50,80,28800,29040
1,0,69,80,28800,29160
1,0,60,80,29040,29280
1,0,66,80,29040,29280
1,0,69,80,29040,29280
1,0,70,80,29160,29280
2,0,43,80,29280,29520
2,0,55,80,29280,29520
1,0,67,80,29280,29760
2,0,58,80,29520,29760
1,0,62,80,29520,29760
2,0,38,80,30240,30480
2,0,50,80,30240,30480
1,0,69,80,30240,30600
1,0,60,80,30480,30720
1,0,66,80,30480,30720
1,0,69,80,30480,30720
1,0,70,80,30600,30720
2,0,43,80,30720,30960
2,0,55,80,30720,30960
1,0,67,80,30720,31200
2,0,58,80,30960,31200
1,0,62,80,30960,31200
2,0,48,80,31680,31920
1,0,60,80,31680,31920
1,0,75,80,31680,31920
1,0,63,80,31920,32160
1,0,67,80,31920,32160
1,0,75,80,31920,32160
1,0,75,80,31920,32160
2,0,36,80,32160,32400
2,0,48,80,32160,32400
1,0,75,80,32160,32880
1,0,62,80,32400,32640
1,0,65,80,32400,32640
1,0,74,80,32400,32640
2,0,39,80,32640,32880
2,0,51,80,32640,32880
1,0,60,80,32880,33120
1,0,67,80,32880,33120
1,0,72,80,32880,33120
1,0,72,80,32880,33120
2,0,38,80,33120,33360
2,0,50,80,33120,33360
1,0,70,80,33120,33600
1,0,62,80,33360,33600
1,0,67,80,33360,33600
1,0,70,80,33360,33600
2,0,50,80,33600,33840
1,0,69,80,33600,34080
1,0,62,80,33840,34080
1,0,66,80,33840,34080
1,0,69,80,33840,34080
2,0,43,80,34560,34800
2,0,55,80,34560,34800
1,0,74,80,34560,34800
1,0,62,80,34800,35040
1,0,71,80,34800,35040
1,0,74,80,34800,35040
1,0,74,80,34800,35040
2,0,31,80,35040,35280
2,0,43,80,35040,35280
1,0,77,80,35040,35760
1,0,62,80,35280,35520
1,0,69,80,35280,35520
1,0,72,80,35280,35520
2,0,43,80,35520,35760
2,0,55,80,35520,35760
1,0,62,80,35760,36000
1,0,67,80,35760,36000
1,0,71,80,35760,36000
1,0,74,80,35760,36000
2,0,39,80,36000,36240
2,0,51,80,36000,36240
1,0,72,80,36000,36360
1,0,60,80,36240,36480
1,0,67,80,36240,36480
1,0,72,80,36240,36480
1,0,75,80,36360,36480
2,0,30,80,36480,36720
2,0,42,80,36480,36720
1,0,74,80,36480,36840
1,0,62,80,36720,36960
1,0,69,80,36720,36960
1,0,74,80,36840,36960
2,0,39,80,37440,37680
2,0,51,80,37440,37680
1,0,72,80,37440,37800
1,0,60,80,37680,37920
1,0,67,80,37680,37920
1,0,72,80,37680,37920
1,0,75,80,37800,37920
2,0,30,80,37920,38160
2,0,42,80,37920,38160
1,0,74,80,37920,38400
1,0,62,80,38160,38400
1,0,69,80,38160,38400
