# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,0,240
2,0,55,80,0,480
1,0,67,80,0,240
1,0,67,80,0,240
2,0,57,80,240,480
1,0,66,80,240,480
1,0,69,80,240,480
2,0,55,80,480,960
2,0,58,80,480,960
1,0,67,80,480,960
1,0,70,80,480,960
2,0,55,80,960,1440
2,0,57,80,960,1440
1,0,66,80,960,1440
1,0,69,80,960,1440
2,0,55,80,1440,1920
2,0,55,80,1440,1920
1,0,67,80,1440,1920
1,0,67,80,1440,1920
2,0,55,80,1920,2400
2,0,58,80,1920,2400
1,0,67,80,1920,2400
1,0,70,80,1920,2400
2,0,55,80,2400,2880
1,0,60,80,2400,2880
1,0,69,80,2400,2880
1,0,72,80,2400,2880
2,0,55,80,2880,3840
1,0,62,80,2880,3840
1,0,70,80,2880,3840
1,0,74,80,2880,3840
2,0,55,80,3840,4320
1,0,60,80,3840,4080
1,0,60,80,3840,4080
1,0,69,80,3840,4080
1,0,69,80,3840,4080
1,0,72,80,3840,4080
1,0,72,80,3840,4080
1,0,62,80,4080,4320
1,0,62,80,4080,4320
1,0,70,80,4080,4320
1,0,70,80,4080,4320
1,0,74,80,4080,4320
1,0,74,80,4080,4320
2,0,55,80,4320,4560
2,0,55,80,4320,4560
1,0,63,80,4320,4800
1,0,63,80,4320,4800
1,0,72,80,4320,4800
1,0,72,80,4320,4800
1,0,75,80,4320,4800
1,0,75,80,4320,4800
2,0,57,80,4560,4800
2,0,57,80,4560,4800
2,0,58,80,4800,5280
1,0,62,80,4800,5040
1,0,70,80,4800,5040
1,0,74,80,4800,5040
1,0,60,80,5040,5280
1,0,69,80,5040,5280
1,0,72,80,5040,5280
2,0,58,80,5280,5520
2,0,58,80,5280,5760
1,0,67,80,5280,5760
1,0,70,80,5280,5760
2,0,57,80,5520,5760
2,0,55,80,5760,6240
1,0,60,80,5760,6000
1,0,69,80,5760,6000
1,0,72,80,5760,6000
1,0,62,80,6000,6240
1,0,70,80,6000,6240
1,0,74,80,6000,6240
2,0,55,80,6240,6480
1,0,63,80,6240,6720
1,0,72,80,6240,6720
1,0,75,80,6240,6720
2,0,57,80,6480,6720
2,0,58,80,6720,6960
2,0,58,80,6720,6960
1,0,62,80,6720,6960
1,0,62,80,6720,6960
1,0,70,80,6720,6960
1,0,70,80,6720,6960
1,0,74,80,6720,6960
1,0,74,80,6720,6960
2,0,53,80,6960,7200
2,0,53,80,6960,7200
1,0,60,80,6960,7200
1,0,60,80,6960,7200
1,0,69,80,6960,7200
1,0,69,80,6960,7200
1,0,72,80,6960,7200
1,0,72,80,6960,7200
2,0,55,80,7200,7680
2,0,55,80,7200,7680
2,0,58,80,7200,7680
2,0,58,80,7200,7680
1,0,67,80,7200,7680
1,0,67,80,7200,7680
1,0,70,80,7200,7680
1,0,70,80,7200,7680
2,0,50,80,7680,8640
2,0,57,80,7680,8640
1,0,62,80,7680,8640
1,0,69,80,7680,8640
1,0,66,80,8640,8880
1,0,74,80,8640,8880
1,0,69,80,8880,9120
1,0,72,80,8880,9120
2,0,55,80,9120,9360
1,0,67,80,9120,9360
1,0,70,80,9120,9360
1,0,70,80,9120,9360
2,0,58,80,9360,9600
1,0,65,80,9360,9600
1,0,69,80,9360,9600
1,0,74,80,9360,9600
1,0,60,80,9600,9840
1,0,63,80,9600,9840
1,0,67,80,9600,9840
1,0,72,80,9600,9840
2,0,51,80,9840,10080
1,0,67,80,9840,10080
1,0,67,80,9840,10080
1,0,70,80,9840,10080
2,0,53,80,10080,10320
1,0,65,80,10080,10320
1,0,69,80,10080,10320
1,0,69,80,10080,10320
2,0,57,80,10320,10560
1,0,63,80,10320,10560
1,0,67,80,10320,10560
1,0,72,80,10320,10560
2,0,58,80,10560,10800
1,0,62,80,10560,10800
1,0,62,80,10560,10800
1,0,65,80,10560,11040
1,0,70,80,10560,10800
2,0,50,80,10800,11040
1,0,65,80,10800,11040
1,0,65,80,10800,11040
1,0,69,80,10800,11040
2,0,51,80,11040,11280
2,0,51,80,11040,11280
