# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,59,80,0,480
1,0,61,80,0,480
1,0,64,80,0,480
1,0,68,80,0,480
2,0,57,80,480,960
1,0,62,80,480,960
1,0,66,80,480,960
1,0,69,80,480,960
2,0,56,80,960,1440
1,0,61,80,960,1440
1,0,64,80,960,1440
1,0,71,80,960,1440
2,0,54,80,1440,1920
2,0,59,80,1440,1920
1,0,62,80,1440,1920
1,0,69,80,1440,1920
2,0,56,80,1920,2400
1,0,61,80,1920,2400
1,0,64,80,1920,2400
1,0,71,80,1920,2400
2,0,54,80,2400,2880
2,0,59,80,2400,2880
1,0,62,80,2400,2880
1,0,69,80,2400,2880
2,0,56,80,2880,3360
1,0,61,80,2880,3360
1,0,64,80,2880,3360
1,0,71,80,2880,3360
2,0,57,80,3360,3840
1,0,62,80,3360,3840
1,0,66,80,3360,3840
1,0,73,80,3360,3840
2,0,59,80,3840,4320
1,0,61,80,3840,4320
1,0,64,80,3840,4320
1,0,68,80,3840,4160
1,0,68,80,4000,4320
1,0,69,80,4160,4320
2,0,57,80,4320,4800
1,0,62,80,4320,4800
1,0,66,80,4320,4800
1,0,69,80,4320,4800
1,0,71,80,4320,4800
2,0,56,80,4800,5280
1,0,61,80,4800,5280
1,0,64,80,4800,5280
1,0,71,80,4800,5280
1,0,71,80,4800,5760
2,0,54,80,5280,5760
2,0,59,80,5280,5760
1,0,62,80,5280,5760
1,0,69,80,5280,5760
2,0,56,80,5760,6240
1,0,61,80,5760,6240
1,0,64,80,5760,6240
1,0,71,80,5760,6240
1,0,73,80,5760,6480
2,0,54,80,6240,6720
2,0,59,80,6240,6720
1,0,62,80,6240,6720
1,0,69,80,6240,6720
1,0,71,80,6480,6720
2,0,56,80,6720,7200
1,0,61,80,6720,7200
1,0,64,80,6720,7200
1,0,71,80,6720,7200
1,0,71,80,6720,7680
2,0,57,80,7200,7680
1,0,62,80,7200,7680
1,0,66,80,7200,7680
1,0,73,80,7200,7680
2,0,59,80,7680,8160
1,0,61,80,7680,8160
1,0,64,80,7680,8160
1,0,68,80,7680,8000
1,0,68,80,7840,8160
1,0,69,80,8000,8160
2,0,57,80,8160,8640
1,0,62,80,8160,8640
1,0,66,80,8160,8640
1,0,69,80,8160,8640
1,0,71,80,8160,9120
2,0,56,80,8640,9120
1,0,61,80,8640,9120
1,0,64,80,8640,9120
1,0,71,80,8640,9120
2,0,54,80,9120,9600
2,0,59,80,9120,9600
1,0,62,80,9120,9600
1,0,69,80,9120,9600
1,0,73,80,9120,9360
1,0,71,80,9360,9600
2,0,56,80,9600,10080
1,0,61,80,9600,10080
1,0,64,80,9600,10080
1,0,71,80,9600,10080
1,0,76,80,9600,9760
1,0,74,80,9760,9920
1,0,76,80,9920,10080
2,0,54,80,10080,10560
2,0,59,80,10080,10560
1,0,62,80,10080,10560
1,0,69,80,10080,10560
1,0,71,80,10080,10240
1,0,69,80,10240,10560
2,0,56,80,10560,11040
1,0,61,80,10560,11040
1,0,64,80,10560,11040
1,0,71,80,10560,11040
1,0,71,80,10560,11520
2,0,57,80,11040,11520
1,0,62,80,11040,11520
1,0,66,80,11040,11520
1,0,73,80,11040,11520
1,0,78,80,11040,11520
1,0,85,80,11040,11520
2,0,59,80,11520,12000
1,0,61,80,11520,12000
1,0,64,80,11520,12000
1,0,68,80,11520,12000
1,0,73,80,11520,12000
1,0,80,80,11520,12000
1,0,71,80,11680,11840
1,0,73,80,11840,12000
2,0,57,80,12000,12480
1,0,62,80,12000,12480
1,0,66,80,12000,12480
1,0,69,80,12000,12480
1,0,74,80,12000,12480
1,0,76,80,12000,12960
1,0,78,80,12000,12480
2,0,56,80,12480,12960
1,0,61,80,12480,12960
1,0,64,80,12480,12960
1,0,71,80,12480,12960
1,0,76,80,12480,12960
2,0,54,80,12960,13440
2,0,59,80,12960,13440
1,0,62,80,12960,13440
1,0,69,80,12960,13440
1,0,74,80,12960,13200
1,0,74,80,12960,13440
1,0,76,80,13200,13440
2,0,52,80,13440,13920
2,0,57,80,13440,13920
1,0,61,80,13440,13920
1,0,66,80,13440,13920
1,0,69,80,13440,13920
1,0,73,80,13440,13920
1,0,78,80,13440,13560
1,0,78,80,13560,13920
2,0,50,80,13920,14400
2,0,56,80,13920,14400
2,0,59,80,13920,14400
1,0,66,80,13920,14400
1,0,68,80,13920,14400
1,0,71,80,13920,14400
1,0,76,80,13920,14880
2,0,49,80,14400,14880
2,0,54,80,14400,14880
2,0,57,80,14400,14880
1,0,64,80,14400,14880
1,0,66,80,14400,14880
1,0,69,80,14400,14880
2,0,47,80,14880,15360
2,0,54,80,14880,15360
2,0,57,80,14880,15360
1,0,62,80,14880,15360
1,0,64,80,14880,15360
1,0,66,80,14880,15360
1,0,69,80,14880,15120
1,0,71,80,15120,15360
2,0,45,80,15360,15840
2,0,52,80,15360,15840
2,0,56,80,15360,15840
1,0,61,80,15360,15840
1,0,64,80,15360,15840
1,0,68,80,15360,15840
1,0,73,80,15360,15840
2,0,44,80,15840,16320
2,0,52,80,15840,16320
2,0,59,80,15840,16320
1,0,61,80,15840,16320
1,0,64,80,15840,16320
1,0,71,80,15840,16160
1,0,73,80,15840,16000
1,0,71,80,16000,16320
1,0,73,80,16160,16320
2,0,42,80,16320,16800
2,0,52,80,16320,16800
2,0,57,80,16320,16800
1,0,61,80,16320,16800
1,0,64,80,16320,16800
1,0,69,80,16320,16800
1,0,76,80,16320,16800
2,0,45,80,16800,17280
2,0,56,80,16800,17280
1,0,61,80,16800,17280
1,0,64,80,16800,17280
1,0,68,80,16800,17280
1,0,73,80,16800,17280
1,0,76,80,16800,17280
1,0,75,80,17280,19200
2,0,51,80,17760,18240
2,0,53,80,17760,18240
2,0,57,80,17760,18240
1,0,60,80,17760,18240
1,0,65,80,17760,18240
1,0,69,80,17760,18240
1,0,72,80,17760,18240
2,0,49,80,18240,18720
2,0,54,80,18240,18720
2,0,58,80,18240,18720
1,0,61,80,18240,18720
1,0,66,80,18240,18720
1,0,70,80,18240,18720
1,0,73,80,18240,18720
2,0,48,80,18720,19200
2,0,53,80,18720,19200
2,0,57,80,18720,19200
1,0,63,80,18720,19200
1,0,65,80,18720,19200
1,0,69,80,18720,19200
1,0,75,80,18720,19200
2,0,47,80,19200,21120
2,0,55,80,19200,21120
1,0,61,80,19200,20160
1,0,64,80,19200,21120
1,0,67,80,19200,21120
1,0,70,80,19200,21120
1,0,75,80,19200,19440
1,0,75,80,19680,20160
1,0,61,80,20160,20400
1,0,76,80,20160,20640
1,0,63,80,20400,20880
1,0,78,80,20640,21120
1,0,61,80,20880,21120
2,0,52,80,21120,22560
1,0,60,80,21120,22560
1,0,66,80,21120,22560
1,0,68,80,21120,22560
1,0,75,80,21120,22560
1,0,80,80,21120,22560
1,0,80,80,21120,22560
2,0,40,80,21360,21600
2,0,48,80,21600,21840
2,0,56,80,21840,22080
1,0,63,80,22080,22320
1,0,68,80,22320,22560
1,0,68,80,22560,23040
1,0,75,80,22560,22720
1,0,87,80,22560,22720
1,0,76,80,22720,22880
1,0,88,80,22720,22880
1,0,78,80,22880,23040
1,0,90,80,22880,23040
1,0,80,80,23040,24480
