# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,66,80,0,480
1,0,70,80,480,1200
1,0,71,80,1200,1440
1,0,74,80,1440,1680
1,0,73,80,1680,1920
2,0,42,80,1920,2880
2,0,49,80,1920,2880
2,0,58,80,1920,2880
1,0,64,80,1920,2880
1,0,70,80,1920,2880
1,0,79,80,1920,2400
1,0,78,80,2400,2880
1,0,66,80,2880,3360
1,0,66,80,2880,3360
1,0,66,80,2880,4320
1,0,60,80,3360,3840
1,0,63,80,3360,3840
1,0,70,80,3360,3840
1,0,70,80,3360,3840
2,0,59,80,3840,4320
1,0,62,80,3840,4320
1,0,71,80,3840,4320
1,0,71,80,3840,4320
2,0,56,80,4320,4560
2,0,59,80,4320,4560
1,0,66,80,4320,4800
1,0,74,80,4320,5040
1,0,74,80,4320,5040
2,0,56,80,4560,5040
2,0,59,80,4560,5040
1,0,65,80,4800,5760
2,0,56,80,5040,5520
2,0,59,80,5040,5520
1,0,73,80,5040,5280
1,0,73,80,5040,5280
1,0,71,80,5280,5760
1,0,71,80,5280,5760
2,0,56,80,5520,5760
2,0,59,80,5520,5760
2,0,58,80,5760,6000
1,0,61,80,5760,6000
1,0,68,80,5760,6240
1,0,76,80,5760,6480
1,0,76,80,5760,6480
2,0,58,80,6000,6480
1,0,61,80,6000,6480
1,0,67,80,6240,7200
2,0,58,80,6480,6960
1,0,61,80,6480,6960
1,0,74,80,6480,6720
1,0,74,80,6480,6720
1,0,73,80,6720,7200
1,0,73,80,6720,7200
2,0,58,80,6960,7200
1,0,61,80,6960,7200
1,0,60,80,7200,7440
1,0,62,80,7200,7440
1,0,70,80,7200,7680
1,0,78,80,7200,8160
1,0,78,80,7200,8400
1,0,60,80,7440,7920
1,0,62,80,7440,7920
1,0,69,80,7680,8160
1,0,60,80,7920,8160
1,0,62,80,7920,8160
2,0,59,80,8160,8400
1,0,62,80,8160,8400
1,0,68,80,8160,8640
1,0,78,80,8160,8640
2,0,59,80,8400,8640
1,0,62,80,8400,8640
1,0,76,80,8400,8520
1,0,74,80,8520,8640
2,0,52,80,8640,8880
2,0,59,80,8640,8880
1,0,62,80,8640,8880
1,0,68,80,8640,8880
1,0,74,80,8640,8880
1,0,78,80,8640,8880
1,0,78,80,8640,8880
1,0,83,80,8640,8880
2,0,58,80,10080,10560
1,0,62,80,10080,10560
1,0,67,80,10080,11520
1,0,79,80,10080,10800
2,0,58,80,10560,11040
1,0,62,80,10560,11040
1,0,76,80,10800,11040
2,0,58,80,11040,11520
1,0,62,80,11040,11520
1,0,74,80,11040,11520
2,0,57,80,11520,11760
1,0,60,80,11520,11760
1,0,66,80,11520,12480
1,0,74,80,11520,12000
2,0,57,80,11760,12240
1,0,60,80,11760,12240
1,0,66,80,12000,12960
1,0,75,80,12000,12480
2,0,57,80,12240,12720
1,0,60,80,12240,12720
1,0,69,80,12480,12960
1,0,74,80,12480,12960
2,0,57,80,12720,12960
1,0,60,80,12720,12960
2,0,55,80,12960,13200
2,0,59,80,12960,13200
1,0,64,80,12960,14400
1,0,74,80,12960,13440
1,0,74,80,12960,13680
2,0,55,80,13200,13680
2,0,59,80,13200,13680
1,0,64,80,13440,14400
2,0,55,80,13680,14160
2,0,59,80,13680,14160
1,0,72,80,13680,13920
1,0,71,80,13920,14400
2,0,55,80,14160,14400
2,0,59,80,14160,14400
2,0,53,80,14400,14640
2,0,57,80,14400,14640
1,0,62,80,14400,15840
1,0,71,80,14400,14880
2,0,53,80,14640,15120
2,0,57,80,14640,15120
1,0,72,80,14880,15360
1,0,72,80,14880,15360
2,0,53,80,15120,15600
