# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,240,720
2,0,54,80,240,720
1,0,61,80,240,720
2,0,52,80,720,1200
2,0,54,80,720,1200
1,0,61,80,720,1200
2,0,52,80,1200,1440
2,0,54,80,1200,1440
1,0,61,80,1200,1440
2,0,52,80,1440,1680
2,0,54,80,1440,1680
1,0,61,80,1440,1680
2,0,52,80,1680,2160
2,0,54,80,1680,2160
1,0,61,80,1680,2160
2,0,33,80,1920,2160
2,0,40,80,1920,1980
2,0,45,80,1920,1980
2,0,52,80,2160,2640
2,0,54,80,2160,2640
1,0,61,80,2160,2640
2,0,52,80,2640,2880
2,0,54,80,2640,2880
1,0,61,80,2640,2880
2,0,52,80,2880,3120
2,0,54,80,2880,3120
1,0,61,80,2880,3120
1,0,61,80,2880,3240
2,0,52,80,3120,3600
2,0,54,80,3120,3600
1,0,61,80,3120,3600
1,0,64,80,3240,3360
1,0,64,80,3360,3520
1,0,66,80,3520,3680
2,0,52,80,3600,4080
2,0,54,80,3600,4080
1,0,61,80,3600,4080
1,0,73,80,3680,3840
1,0,73,80,3840,4080
2,0,52,80,4080,4320
2,0,54,80,4080,4320
1,0,61,80,4080,4320
1,0,66,80,4080,4320
2,0,52,80,4320,4560
2,0,54,80,4320,4560
1,0,61,80,4320,4560
1,0,64,80,4320,4560
2,0,52,80,4560,5040
2,0,54,80,4560,5040
1,0,61,80,4560,5040
1,0,66,80,4560,5280
2,0,33,80,4800,5040
2,0,40,80,4800,4860
2,0,45,80,4800,4860
2,0,52,80,5040,5520
2,0,54,80,5040,5520
1,0,61,80,5040,5520
1,0,73,80,5280,5760
2,0,52,80,5520,5760
2,0,54,80,5520,5760
1,0,61,80,5520,5760
2,0,52,80,5760,6000
2,0,54,80,5760,6000
1,0,61,80,5760,6000
1,0,73,80,5760,6000
2,0,52,80,6000,6480
2,0,54,80,6000,6480
1,0,61,80,6000,6480
1,0,66,80,6000,6240
1,0,64,80,6240,6480
2,0,52,80,6480,6960
2,0,54,80,6480,6960
1,0,61,80,6480,6960
1,0,66,80,6480,6720
1,0,69,80,6720,7080
2,0,52,80,6960,7200
2,0,54,80,6960,7200
1,0,61,80,6960,7200
1,0,61,80,7080,7200
2,0,52,80,7200,7440
2,0,54,80,7200,7440
1,0,61,80,7200,7440
1,0,61,80,7200,7920
2,0,52,80,7440,7920
2,0,54,80,7440,7920
1,0,61,80,7440,8160
2,0,33,80,7680,7920
2,0,40,80,7680,7740
2,0,45,80,7680,7740
2,0,52,80,7920,8400
2,0,54,80,7920,8400
1,0,61,80,7920,8400
2,0,52,80,8400,8640
2,0,54,80,8400,8640
1,0,61,80,8400,8640
2,0,52,80,8640,8880
2,0,54,80,8640,8880
1,0,61,80,8640,8880
1,0,61,80,8640,9000
2,0,52,80,8880,9360
2,0,54,80,8880,9360
1,0,61,80,8880,9360
1,0,64,80,9000,9120
1,0,64,80,9120,9360
2,0,52,80,9360,9840
2,0,54,80,9360,9840
1,0,61,80,9360,9840
1,0,66,80,9360,9600
1,0,66,80,9600,9840
2,0,52,80,9840,10080
2,0,54,80,9840,10080
1,0,61,80,9840,10080
1,0,73,80,9840,10080
2,0,52,80,10080,10320
2,0,54,80,10080,10320
1,0,61,80,10080,10320
1,0,73,80,10080,10320
2,0,52,80,10320,10800
2,0,54,80,10320,10800
1,0,61,80,10320,10800
1,0,66,80,10320,10560
2,0,33,80,10560,10800
2,0,40,80,10560,10620
2,0,45,80,10560,10620
1,0,73,80,10560,11280
2,0,52,80,10800,11280
2,0,54,80,10800,11280
1,0,61,80,10800,11280
2,0,52,80,11280,11520
2,0,54,80,11280,11520
1,0,61,80,11280,11520
1,0,66,80,11280,11520
2,0,52,80,11520,11760
2,0,54,80,11520,11760
1,0,61,80,11520,11760
1,0,64,80,11520,11760
2,0,52,80,11760,12240
2,0,54,80,11760,12240
1,0,61,80,11760,12240
1,0,66,80,11760,12000
1,0,69,80,12000,12720
2,0,52,80,12240,12720
2,0,54,80,12240,12720
1,0,61,80,12240,12720
2,0,52,80,12720,12960
2,0,54,80,12720,12960
1,0,61,80,12720,12960
1,0,61,80,12720,12960
2,0,51,80,12960,14400
2,0,54,80,12960,14400
1,0,61,80,12960,13920
1,0,61,80,12960,13920
2,0,45,80,13200,13680
2,0,45,80,13680,14160
1,0,66,80,13920,14400
2,0,45,80,14160,14400
2,0,42,80,14400,15840
2,0,52,80,14400,15840
2,0,58,80,14400,15840
1,0,68,80,14400,15840
1,0,62,80,14640,15120
1,0,62,80,15120,15600
1,0,62,80,15600,15840
2,0,51,80,15840,17280
2,0,54,80,15840,17280
1,0,61,80,15840,16800
2,0,45,80,16080,16560
2,0,45,80,16560,17040
1,0,66,80,16800,17280
2,0,45,80,17040,17280
2,0,42,80,17280,18720
2,0,52,80,17280,18720
2,0,58,80,17280,18720
1,0,68,80,17280,18720
1,0,62,80,17520,18000
1,0,62,80,18000,18480
1,0,62,80,18480,18720
2,0,42,80,18720,19200
2,0,52,80,18720,19200
2,0,58,80,18720,19200
1,0,62,80,18720,18960
1,0,68,80,18720,19080
1,0,68,80,18720,19200
1,0,62,80,18960,19200
1,0,68,80,19080,19200
2,0,43,80,19200,20160
2,0,53,80,19200,19440
2,0,59,80,19200,19440
1,0,61,80,19200,19440
1,0,68,80,19200,20160
1,0,73,80,19200,19920
2,0,53,80,19440,19920
2,0,59,80,19440,19920
1,0,61,80,19440,19920
2,0,53,80,19920,20160
2,0,59,80,19920,20160
1,0,61,80,19920,20160
1,0,68,80,19920,20160
2,0,42,80,20160,20400
2,0,52,80,20160,20640
2,0,58,80,20160,20640
1,0,62,80,20160,20640
1,0,68,80,20160,20520
1,0,68,80,20160,20640
2,0,42,80,20400,20640
1,0,73,80,20520,20640
2,0,43,80,20640,21600
2,0,53,80,20640,20880
2,0,59,80,20640,20880
1,0,61,80,20640,20880
1,0,68,80,20640,21600
1,0,73,80,20640,21360
2,0,53,80,20880,21360
2,0,59,80,20880,21360
1,0,61,80,20880,21360
2,0,53,80,21360,21600
2,0,59,80,21360,21600
1,0,61,80,21360,21600
1,0,68,80,21360,21600
2,0,40,80,21600,21840
2,0,50,80,21600,22080
2,0,56,80,21600,22080
2,0,57,80,21600,21840
2,0,59,80,21600,21840
1,0,60,80,21600,22080
1,0,66,80,21600,21960
1,0,66,80,21600,22080
2,0,40,80,21840,22080
2,0,57,80,21840,22320
2,0,59,80,21840,22320
1,0,66,80,21960,22080
2,0,41,80,22080,23040
2,0,51,80,22080,22320
1,0,66,80,22080,22560
1,0,71,80,22080,22320
2,0,51,80,22320,22800
2,0,57,80,22320,22560
2,0,59,80,22320,22560
1,0,66,80,22320,22920
1,0,66,80,22560,23040
2,0,51,80,22800,23040
1,0,73,80,22920,23040
2,0,40,80,23040,23280
2,0,50,80,23040,23520
2,0,56,80,23040,23520
1,0,60,80,23040,23520
1,0,66,80,23040,23520
1,0,71,80,23040,24000
2,0,40,80,23280,23520
2,0,44,80,23520,23760
2,0,54,80,23520,24000
2,0,59,80,23520,24000
1,0,62,80,23520,24000
1,0,71,80,23520,24480
2,0,44,80,23760,24000
2,0,47,80,24000,24240
2,0,57,80,24000,24480
1,0,62,80,24000,24480
1,0,64,80,24000,24480
1,0,76,80,24000,24480
2,0,47,80,24240,24480
2,0,45,80,24480,24540
1,0,74,80,24480,24840
2,0,50,80,24540,24600
2,0,54,80,24600,24660
2,0,59,80,24660,24720
2,0,45,80,24720,24960
2,0,50,80,24720,24960
2,0,54,80,24720,24960
2,0,59,80,24720,24960
1,0,62,80,24720,24780
1,0,66,80,24780,24840
1,0,69,80,24840,24900
1,0,71,80,24840,24960
1,0,71,80,24900,24960
2,0,45,80,24960,25200
2,0,50,80,24960,25200
2,0,54,80,24960,25200
2,0,59,80,24960,25200
1,0,69,80,24960,25500
1,0,74,80,24960,25320
2,0,45,80,25200,25680
2,0,50,80,25200,25680
2,0,54,80,25200,25680
2,0,59,80,25200,25680
1,0,71,80,25320,25440
1,0,69,80,25440,25620
1,0,66,80,25500,25560
1,0,69,80,25560,25920
1,0,71,80,25620,25680
2,0,45,80,25680,25920
2,0,50,80,25680,25920
2,0,54,80,25680,25920
2,0,59,80,25680,25920
1,0,74,80,25680,25740
1,0,78,80,25740,25800
1,0,81,80,25800,25860
1,0,83,80,25860,25920
2,0,45,80,25920,26160
2,0,50,80,25920,26160
2,0,54,80,25920,26160
2,0,59,80,25920,26160
1,0,74,80,25920,26280
