# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,0,1920
2,0,59,80,0,720
1,0,67,80,0,720
1,0,71,80,0,720
2,0,57,80,720,960
1,0,66,80,720,960
1,0,69,80,720,960
2,0,59,80,960,1440
1,0,67,80,960,1440
1,0,71,80,960,1440
1,0,60,80,1440,1920
1,0,69,80,1440,1920
1,0,72,80,1440,1920
2,0,52,80,1920,3840
2,0,57,80,1920,2880
1,0,66,80,1920,2880
1,0,76,80,1920,2400
1,0,74,80,2400,2880
2,0,59,80,2880,3360
1,0,67,80,2880,3360
1,0,71,80,2880,3840
2,0,55,80,3360,3840
1,0,64,80,3360,3840
2,0,50,80,3840,5760
2,0,57,80,3840,4560
1,0,66,80,3840,4560
1,0,69,80,3840,4800
2,0,55,80,4560,4800
1,0,64,80,4560,4800
2,0,57,80,4800,5520
1,0,66,80,4800,5520
1,0,69,80,4800,5040
1,0,67,80,5040,5280
1,0,69,80,5280,5520
2,0,59,80,5520,5760
1,0,67,80,5520,5760
1,0,71,80,5520,5760
2,0,50,80,5760,7680
2,0,55,80,5760,6720
1,0,64,80,5760,6720
1,0,74,80,5760,6480
1,0,71,80,6480,6720
2,0,57,80,6720,7200
1,0,66,80,6720,7200
1,0,69,80,6720,7680
1,0,64,80,7200,7680
1,0,72,80,7200,7680
2,0,55,80,7680,8160
1,0,62,80,7680,8160
1,0,71,80,7680,8160
1,0,71,80,7680,8400
1,0,69,80,8400,8640
1,0,71,80,8640,9120
2,0,48,80,9120,9600
1,0,64,80,9120,9600
1,0,67,80,9120,9600
1,0,72,80,9120,9600
1,0,76,80,9120,9600
2,0,50,80,9600,10560
1,0,62,80,9600,10320
1,0,66,80,9600,10320
1,0,71,80,9600,10320
1,0,74,80,9600,10080
1,0,71,80,10080,10320
1,0,60,80,10320,10560
1,0,66,80,10320,10560
1,0,69,80,10320,10560
1,0,69,80,10320,10560
2,0,52,80,10560,11520
2,0,59,80,10560,11520
1,0,64,80,10560,11520
1,0,67,80,10560,11520
1,0,67,80,10560,11520
2,0,45,80,11520,13440
2,0,52,80,11520,13440
1,0,60,80,11520,13440
1,0,64,80,11520,13440
1,0,69,80,11520,12240
1,0,67,80,12240,12480
1,0,69,80,12480,12960
1,0,71,80,12960,13440
2,0,45,80,13440,14400
2,0,52,80,13440,13920
1,0,60,80,13440,14400
1,0,64,80,13440,14400
1,0,69,80,13440,13680
1,0,67,80,13680,13920
2,0,54,80,13920,14400
1,0,64,80,13920,14400
2,0,40,80,14400,15360
2,0,55,80,14400,15360
2,0,59,80,14400,15360
1,0,64,80,14400,15360
1,0,64,80,14400,15360
1,0,67,80,15360,16080
1,0,71,80,15360,16080
1,0,71,80,15360,16080
1,0,66,80,16080,16320
1,0,69,80,16080,16320
1,0,69,80,16080,16320
1,0,67,80,16320,16800
1,0,71,80,16320,16800
1,0,71,80,16320,16800
1,0,69,80,16800,17280
1,0,72,80,16800,17280
1,0,72,80,16800,17280
1,0,72,80,17280,18000
1,0,76,80,17280,18000
1,0,76,80,17280,18000
1,0,71,80,18000,18240
1,0,74,80,18000,18240
1,0,74,80,18000,18240
1,0,67,80,18240,19200
1,0,71,80,18240,18720
1,0,71,80,18240,19200
1,0,67,80,18960,19200
1,0,62,80,19200,20160
1,0,66,80,19200,20160
1,0,69,80,19200,20160
1,0,62,80,20160,20880
1,0,66,80,20160,20400
1,0,69,80,20160,20400
1,0,64,80,20400,20640
1,0,67,80,20400,20640
1,0,66,80,20640,20880
1,0,69,80,20640,20880
