# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,0,120
2,0,58,80,120,240
1,0,62,80,720,1200
1,0,68,80,720,1200
1,0,70,80,720,1200
2,0,59,80,1200,1320
1,0,60,80,1320,1440
1,0,63,80,1440,1680
1,0,68,80,1440,1680
1,0,70,80,1440,1680
1,0,61,80,1680,1800
1,0,62,80,1800,1920
1,0,65,80,1920,2160
1,0,68,80,1920,2160
1,0,70,80,1920,2160
1,0,70,80,1920,2160
2,0,39,80,2160,2400
2,0,51,80,2160,2400
1,0,75,80,2160,2880
2,0,58,80,2400,2520
1,0,60,80,2520,2640
1,0,63,80,2640,2880
1,0,67,80,2640,2880
1,0,70,80,2640,2880
1,0,72,80,2640,2880
2,0,41,80,2880,3120
2,0,53,80,2880,3120
1,0,74,80,2880,3000
1,0,77,80,3000,3120
2,0,58,80,3120,3240
1,0,74,80,3120,3600
1,0,60,80,3240,3360
1,0,62,80,3360,3600
1,0,68,80,3360,3600
1,0,70,80,3360,3600
1,0,74,80,3360,3600
2,0,46,80,3600,4320
1,0,72,80,3600,3720
1,0,75,80,3720,3840
1,0,60,80,3840,4080
1,0,68,80,3840,4080
1,0,74,80,3840,4080
1,0,74,80,3840,4080
1,0,82,80,3840,4080
1,0,86,80,3840,4080
1,0,62,80,4080,4320
1,0,68,80,4080,4320
1,0,72,80,4080,4320
1,0,72,80,4080,4320
1,0,80,80,4080,4320
1,0,84,80,4080,4320
2,0,39,80,4320,4560
2,0,51,80,4320,4560
1,0,67,80,4320,4440
1,0,67,80,4320,4560
1,0,75,80,4320,4560
1,0,79,80,4320,4560
1,0,70,80,4440,4560
2,0,58,80,4560,5040
1,0,67,80,4560,5040
1,0,70,80,4560,4800
1,0,70,80,4560,5040
1,0,79,80,4560,4800
1,0,82,80,4560,4800
1,0,82,80,4800,5040
1,0,91,80,4800,5040
1,0,94,80,4800,5040
2,0,40,80,5040,5760
2,0,52,80,5040,5760
1,0,70,80,5160,5280
2,0,58,80,5280,5400
1,0,61,80,5280,5400
1,0,67,80,5280,5400
1,0,70,80,5280,5400
1,0,70,80,5280,5400
1,0,60,80,5400,5520
1,0,72,80,5400,5520
1,0,72,80,5400,5520
2,0,58,80,5520,5640
1,0,61,80,5520,5640
1,0,67,80,5520,5640
1,0,70,80,5520,5640
1,0,70,80,5520,5640
1,0,60,80,5640,5760
1,0,72,80,5640,5760
1,0,72,80,5640,5760
2,0,53,80,5760,6480
2,0,58,80,5760,6000
1,0,60,80,5760,6480
1,0,65,80,5760,6480
1,0,70,80,5760,6000
1,0,70,80,5760,6000
2,0,56,80,6000,6240
1,0,68,80,6000,6240
1,0,68,80,6000,6240
2,0,56,80,6240,6480
1,0,68,80,6240,6480
1,0,68,80,6240,6480
2,0,55,80,6480,6960
1,0,67,80,6480,6960
1,0,67,80,6480,6960
2,0,46,80,6720,7200
2,0,56,80,6720,7200
1,0,62,80,6720,7200
2,0,53,80,6960,7040
1,0,65,80,6960,7040
1,0,65,80,6960,7040
2,0,55,80,7040,7120
1,0,67,80,7040,7120
1,0,67,80,7040,7120
2,0,53,80,7120,7200
1,0,65,80,7120,7200
1,0,65,80,7120,7200
2,0,51,80,7200,7440
1,0,63,80,7200,7440
1,0,63,80,7200,7680
1,0,63,80,7200,7680
2,0,39,80,7440,7680
2,0,55,80,7440,7680
2,0,58,80,7440,7680
1,0,67,80,7680,7920
1,0,60,80,7920,8400
1,0,75,80,7920,8160
1,0,67,80,8160,8400
1,0,74,80,8160,8400
1,0,75,80,8160,8400
1,0,75,80,8160,8400
2,0,57,80,8400,8640
1,0,65,80,8400,8640
1,0,72,80,8400,8640
1,0,75,80,8400,8640
1,0,75,80,8400,8640
2,0,58,80,8640,9120
1,0,75,80,8640,8880
1,0,65,80,8880,9120
1,0,72,80,8880,9120
1,0,74,80,8880,9120
1,0,74,80,8880,9120
2,0,55,80,9120,9360
1,0,63,80,9120,9360
1,0,70,80,9120,9360
1,0,74,80,9120,9360
1,0,74,80,9120,9360
2,0,56,80,9360,9840
1,0,74,80,9360,9600
1,0,63,80,9600,9840
1,0,70,80,9600,9840
1,0,72,80,9600,9840
1,0,72,80,9600,9840
2,0,54,80,9840,10080
1,0,62,80,9840,10080
1,0,69,80,9840,10080
1,0,72,80,9840,10080
1,0,72,80,9840,10080
2,0,55,80,10080,10560
1,0,72,80,10080,10320
1,0,62,80,10320,10560
1,0,69,80,10320,10560
1,0,70,80,10320,10560
1,0,70,80,10320,10560
2,0,52,80,10560,10800
1,0,62,80,10560,10800
1,0,67,80,10560,10800
1,0,70,80,10560,10800
1,0,70,80,10560,10800
2,0,46,80,10800,11040
2,0,53,80,10800,11040
1,0,62,80,10800,11040
1,0,68,80,10800,11040
1,0,70,80,10800,10920
1,0,70,80,10800,11040
2,0,46,80,11040,11280
2,0,53,80,11040,11280
1,0,63,80,11040,11280
1,0,68,80,11040,11280
1,0,72,80,11040,11160
1,0,72,80,11040,11280
1,0,75,80,11160,11280
2,0,46,80,11280,11520
2,0,53,80,11280,11520
1,0,63,80,11280,11520
1,0,68,80,11280,11520
1,0,72,80,11280,11400
1,0,72,80,11280,11520
1,0,75,80,11400,11520
2,0,46,80,11520,11760
2,0,53,80,11520,11760
1,0,65,80,11520,11760
1,0,68,80,11520,11760
1,0,70,80,11520,11760
1,0,74,80,11520,11580
1,0,74,80,11520,11760
1,0,74,80,11520,11880
1,0,75,80,11520,11580
2,0,46,80,11760,12000
2,0,53,80,11760,12000
1,0,65,80,11760,12000
1,0,68,80,11760,12000
1,0,70,80,11760,12000
1,0,74,80,11760,12000
1,0,72,80,11880,12000
2,0,46,80,12000,12240
2,0,53,80,12000,12240
1,0,65,80,12000,12240
1,0,68,80,12000,12240
1,0,70,80,12000,12240
1,0,70,80,12000,12240
1,0,74,80,12000,12240
2,0,46,80,12240,12480
2,0,53,80,12240,12480
1,0,65,80,12240,12480
1,0,68,80,12240,12480
1,0,70,80,12240,12480
1,0,72,80,12240,12480
