# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,47,80,0,720
2,0,54,80,0,720
1,0,62,80,0,720
1,0,71,80,0,720
1,0,74,80,0,720
2,0,47,80,720,1440
2,0,53,80,720,1440
1,0,62,80,720,1440
1,0,71,80,720,1440
1,0,74,80,720,1440
2,0,47,80,1440,2160
2,0,54,80,1440,2160
1,0,62,80,1440,2160
1,0,64,80,1440,2160
1,0,71,80,1440,2160
1,0,74,80,1440,2160
2,0,47,80,2160,2880
2,0,55,80,2160,2640
1,0,73,80,2160,2400
1,0,74,80,2400,2640
2,0,58,80,2640,2880
1,0,73,80,2640,2880
2,0,47,80,2880,3600
2,0,59,80,2880,3600
1,0,62,80,2880,3600
1,0,66,80,2880,3600
2,0,47,80,3600,4320
2,0,58,80,3600,4320
1,0,62,80,3600,4320
1,0,66,80,3600,4320
2,0,47,80,4320,5040
2,0,59,80,4320,5040
1,0,62,80,4320,5040
1,0,66,80,4320,5040
1,0,66,80,4320,5040
2,0,47,80,5040,5760
1,0,62,80,5040,5760
1,0,71,80,5040,5280
1,0,73,80,5280,5520
1,0,74,80,5520,5760
2,0,47,80,5760,7200
2,0,52,80,5760,7200
2,0,55,80,5760,7200
1,0,61,80,5760,7200
1,0,67,80,5760,7200
1,0,71,80,5760,7200
1,0,73,80,5760,7200
1,0,78,80,5760,7200
2,0,47,80,7200,8640
2,0,52,80,7200,8640
2,0,55,80,7200,8640
1,0,61,80,7200,8640
1,0,67,80,7200,8640
1,0,71,80,7200,8640
1,0,73,80,7200,8640
1,0,76,80,7200,7920
1,0,76,80,7920,8160
1,0,78,80,8160,8400
1,0,79,80,8400,8640
2,0,47,80,8640,8880
2,0,54,80,8640,8880
1,0,62,80,8640,8880
1,0,71,80,8640,9360
1,0,74,80,8640,9360
1,0,83,80,8640,9360
1,0,66,80,9360,10080
1,0,71,80,9360,10080
1,0,74,80,9360,10080
1,0,83,80,9360,10080
1,0,67,80,10080,10800
1,0,71,80,10080,10800
1,0,74,80,10080,10800
1,0,83,80,10080,10800
1,0,66,80,10800,11040
1,0,71,80,10800,11280
1,0,74,80,10800,11280
1,0,62,80,11040,11280
1,0,61,80,11280,11520
1,0,73,80,11280,11520
1,0,76,80,11280,11520
2,0,59,80,11520,12960
1,0,74,80,11520,12960
1,0,78,80,11520,12960
1,0,66,80,12240,12480
1,0,67,80,12480,12720
1,0,66,80,12720,12960
2,0,59,80,12960,13200
1,0,71,80,12960,13200
1,0,74,80,12960,13200
1,0,78,80,12960,13200
1,0,74,80,13200,13440
1,0,79,80,13200,13440
2,0,59,80,13440,13680
1,0,71,80,13440,13680
1,0,74,80,13440,13680
1,0,78,80,13440,13680
2,0,59,80,13680,13920
1,0,66,80,13680,13920
1,0,66,80,13680,13920
1,0,74,80,13680,13920
1,0,83,80,13680,13920
1,0,67,80,13920,14160
1,0,66,80,14160,14400
2,0,47,80,14400,14640
2,0,54,80,14400,14640
1,0,62,80,14400,14640
1,0,66,80,14400,14640
1,0,71,80,14400,14880
2,0,47,80,14640,14880
2,0,54,80,14640,14880
1,0,62,80,14640,14880
1,0,67,80,14640,14880
2,0,47,80,14880,15120
2,0,54,80,14880,15120
1,0,62,80,14880,15120
1,0,66,80,14880,15120
2,0,47,80,15120,15600
2,0,55,80,15120,15600
1,0,62,80,15120,15600
1,0,67,80,15120,15360
1,0,71,80,15120,15600
1,0,67,80,15360,15600
1,0,66,80,15600,15840
2,0,52,80,15840,16080
2,0,59,80,15840,16080
1,0,61,80,15840,16080
1,0,64,80,15840,16320
1,0,67,80,15840,16080
2,0,52,80,16080,16320
2,0,59,80,16080,16320
1,0,61,80,16080,16320
1,0,67,80,16080,16320
2,0,54,80,16320,16560
2,0,59,80,16320,16560
1,0,61,80,16320,16560
1,0,66,80,16320,16560
2,0,55,80,16560,17040
2,0,59,80,16560,17040
1,0,61,80,16560,17040
1,0,64,80,16560,17040
1,0,67,80,16560,16800
1,0,67,80,16800,17040
1,0,66,80,17040,17280
2,0,58,80,17280,17520
1,0,61,80,17280,17520
1,0,64,80,17280,17520
1,0,67,80,17280,17520
1,0,73,80,17280,17760
2,0,58,80,17520,17760
1,0,61,80,17520,17760
1,0,64,80,17520,17760
1,0,67,80,17520,17760
2,0,58,80,17760,18000
1,0,61,80,17760,18000
1,0,64,80,17760,18000
1,0,66,80,17760,18000
1,0,70,80,17760,18000
2,0,58,80,18000,18240
1,0,64,80,18000,18240
1,0,66,80,18000,18240
1,0,66,80,18000,18480
1,0,73,80,18000,18240
2,0,58,80,18480,18720
1,0,64,80,18480,18720
1,0,66,80,18480,18720
1,0,66,80,18480,18720
1,0,70,80,18480,18720
2,0,47,80,18720,19440
2,0,59,80,18720,18960
1,0,62,80,18720,18960
1,0,66,80,18720,18960
1,0,74,80,18720,19200
2,0,59,80,19200,19440
1,0,62,80,19200,19440
1,0,66,80,19200,19440
1,0,71,80,19200,19440
2,0,54,80,19440,19680
1,0,62,80,19440,19680
1,0,66,80,19440,19680
1,0,74,80,19440,19680
2,0,55,80,19680,19920
1,0,67,80,19680,19920
2,0,56,80,19920,20160
1,0,62,80,19920,20160
1,0,68,80,19920,20160
1,0,71,80,19920,20160
2,0,45,80,20160,21600
2,0,57,80,20160,20400
1,0,62,80,20160,20400
1,0,66,80,20160,20400
1,0,69,80,20160,20640
1,0,67,80,20400,20640
2,0,59,80,20640,20880
1,0,62,80,20640,20880
1,0,68,80,20640,20880
1,0,71,80,20640,20880
2,0,57,80,20880,21120
1,0,61,80,20880,21120
1,0,69,80,20880,21120
1,0,69,80,20880,21360
2,0,55,80,21360,21600
1,0,61,80,21360,21600
1,0,67,80,21360,21600
1,0,71,80,21360,21600
2,0,50,80,21600,21840
2,0,54,80,21600,21840
1,0,62,80,21600,21840
1,0,66,80,21600,22080
1,0,69,80,21600,21840
2,0,50,80,22080,22320
2,0,55,80,22080,22320
1,0,62,80,22080,22320
1,0,67,80,22080,22320
2,0,50,80,22320,23040
2,0,57,80,22320,23040
1,0,62,80,22320,22560
1,0,62,80,22320,23040
1,0,66,80,22320,23040
1,0,61,80,22560,22800
1,0,62,80,22800,23040
2,0,50,80,23040,23520
2,0,54,80,23040,23520
1,0,60,80,23040,23520
1,0,62,80,23040,23280
1,0,62,80,23040,23760
1,0,69,80,23040,23760
1,0,61,80,23280,23520
2,0,50,80,23520,23760
2,0,54,80,23520,23760
1,0,60,80,23520,23760
1,0,62,80,23520,23760
2,0,50,80,23760,24480
2,0,54,80,23760,24480
1,0,60,80,23760,24480
1,0,62,80,23760,24000
1,0,69,80,23760,24480
1,0,61,80,24000,24240
1,0,62,80,24240,24480
2,0,46,80,24480,24960
2,0,55,80,24480,24960
2,0,58,80,24480,24960
1,0,62,80,24480,24720
1,0,62,80,24480,25200
1,0,74,80,24480,25200
1,0,61,80,24720,24960
2,0,46,80,24960,25200
2,0,55,80,24960,25200
2,0,58,80,24960,25200
1,0,62,80,24960,25200
2,0,46,80,25200,25920
2,0,55,80,25200,25920
2,0,58,80,25200,25920
1,0,67,80,25200,25440
1,0,74,80,25200,25920
1,0,66,80,25440,25680
1,0,67,80,25680,25920
2,0,45,80,25920,26400
2,0,57,80,25920,26400
1,0,60,80,25920,26400
1,0,67,80,25920,26160
1,0,72,80,25920,26400
1,0,66,80,26160,26400
2,0,45,80,26400,26640
2,0,57,80,26400,26640
1,0,60,80,26400,26640
1,0,67,80,26400,26640
1,0,72,80,26400,26640
2,0,50,80,26640,27120
2,0,57,80,26640,27120
1,0,60,80,26640,27120
1,0,69,80,26640,26880
1,0,72,80,26640,27120
1,0,66,80,26880,27120
2,0,50,80,27120,27360
2,0,57,80,27120,27360
1,0,60,80,27120,27360
1,0,62,80,27120,27360
1,0,72,80,27120,27360
2,0,43,80,27360,27840
2,0,55,80,27360,27840
1,0,60,80,27360,27840
1,0,62,80,27360,27840
1,0,69,80,27360,27600
1,0,66,80,27600,27840
2,0,43,80,27840,28080
2,0,55,80,27840,28080
1,0,60,80,27840,28080
1,0,62,80,27840,28080
1,0,67,80,27840,28080
2,0,43,80,28080,28560
2,0,55,80,28080,28560
2,0,59,80,28080,28560
1,0,62,80,28080,28560
1,0,67,80,28080,28320
1,0,66,80,28320,28560
2,0,43,80,28560,28800
2,0,55,80,28560,28800
2,0,59,80,28560,28800
1,0,65,80,28560,28800
1,0,67,80,28560,28800
2,0,43,80,28800,29280
2,0,55,80,28800,29280
2,0,59,80,28800,29280
1,0,67,80,28800,29040
1,0,71,80,28800,29280
1,0,66,80,29040,29280
2,0,43,80,29280,29520
2,0,55,80,29280,29520
2,0,59,80,29280,29520
1,0,65,80,29280,29520
1,0,71,80,29280,29520
2,0,43,80,29520,30000
2,0,50,80,29520,30000
2,0,59,80,29520,30000
1,0,62,80,29520,30000
1,0,71,80,29520,30000
2,0,43,80,30000,30240
2,0,52,80,30000,30240
2,0,59,80,30000,30240
1,0,64,80,30000,30240
1,0,71,80,30000,30240
2,0,42,80,30240,30480
2,0,54,80,30240,30480
2,0,59,80,30240,30480
1,0,62,80,30240,30480
1,0,66,80,30240,30720
2,0,42,80,30720,30960
2,0,54,80,30720,30960
2,0,59,80,30720,30960
1,0,64,80,30720,30960
2,0,42,80,30960,31680
2,0,54,80,30960,31680
2,0,58,80,30960,31680
1,0,66,80,30960,31200
1,0,66,80,30960,31680
1,0,68,80,31200,31440
1,0,66,80,31440,31680
2,0,47,80,31680,31920
2,0,54,80,31680,31920
1,0,63,80,31680,31920
1,0,66,80,31680,31920
1,0,71,80,31680,32400
2,0,47,80,31920,32160
2,0,54,80,31920,32160
1,0,63,80,31920,32160
1,0,68,80,31920,32160
2,0,47,80,32160,32400
2,0,54,80,32160,32400
1,0,63,80,32160,32400
1,0,66,80,32160,32400
2,0,47,80,32400,33120
2,0,54,80,32400,33120
1,0,63,80,32400,33120
1,0,68,80,32400,32640
1,0,71,80,32400,33120
1,0,68,80,32640,32880
1,0,66,80,32880,33120
2,0,49,80,33120,33360
2,0,53,80,33120,33360
2,0,59,80,33120,33360
1,0,65,80,33120,33600
1,0,68,80,33120,33360
2,0,49,80,33360,33600
2,0,53,80,33360,33600
2,0,59,80,33360,33600
1,0,68,80,33360,33600
2,0,49,80,33600,33840
2,0,54,80,33600,33840
2,0,59,80,33600,33840
1,0,66,80,33600,33840
2,0,49,80,33840,34560
2,0,56,80,33840,34560
2,0,59,80,33840,34560
1,0,65,80,33840,34560
1,0,73,80,33840,34080
1,0,72,80,34080,34320
1,0,71,80,34320,34560
2,0,42,80,34560,35280
2,0,58,80,34560,35040
1,0,64,80,34560,35040
1,0,70,80,34560,35040
1,0,73,80,34560,34800
1,0,72,80,34800,35040
2,0,56,80,35040,35280
1,0,64,80,35040,35280
1,0,68,80,35040,35280
1,0,71,80,35040,35280
2,0,42,80,35280,35760
2,0,54,80,35280,35760
1,0,64,80,35280,36000
1,0,66,80,35280,35520
1,0,70,80,35280,35760
1,0,68,80,35520,35640
1,0,70,80,35640,35760
2,0,42,80,35760,36000
2,0,58,80,35760,36000
1,0,68,80,35760,36000
1,0,71,80,35760,35880
1,0,73,80,35880,36000
2,0,47,80,36000,36480
2,0,59,80,36000,36480
1,0,63,80,36000,36720
1,0,66,80,36000,36240
1,0,75,80,36000,36480
1,0,68,80,36240,36360
1,0,70,80,36360,36480
2,0,47,80,36480,36720
2,0,59,80,36480,36720
1,0,71,80,36480,36600
1,0,71,80,36480,36720
1,0,73,80,36600,36720
2,0,47,80,36720,37200
2,0,56,80,36720,37200
1,0,63,80,36720,37440
1,0,68,80,36720,36960
1,0,75,80,36720,37200
1,0,70,80,36960,37200
2,0,47,80,37200,37440
2,0,56,80,37200,37440
1,0,71,80,37200,37440
1,0,71,80,37200,37440
2,0,49,80,37440,37920
1,0,61,80,37440,37920
1,0,64,80,37440,37920
1,0,68,80,37440,37680
1,0,76,80,37440,37920
1,0,70,80,37680,37920
2,0,49,80,37920,38160
1,0,61,80,37920,38160
1,0,64,80,37920,38160
1,0,71,80,37920,38160
1,0,73,80,37920,38160
2,0,54,80,38160,38640
1,0,61,80,38160,38640
1,0,64,80,38160,38640
1,0,70,80,38160,38400
1,0,70,80,38160,38640
1,0,76,80,38160,38640
1,0,68,80,38400,38640
2,0,54,80,38640,38880
1,0,64,80,38640,38880
1,0,66,80,38640,38880
1,0,70,80,38640,38880
1,0,73,80,38640,38880
2,0,47,80,38880,39360
2,0,54,80,38880,39360
1,0,64,80,38880,39360
1,0,66,80,38880,39600
1,0,70,80,38880,39120
1,0,68,80,39120,39360
2,0,47,80,39360,39600
2,0,54,80,39360,39600
1,0,63,80,39360,39600
1,0,66,80,39360,39600
2,0,47,80,39600,40320
2,0,54,80,39600,40320
1,0,63,80,39600,40320
1,0,66,80,39600,40320
1,0,71,80,39600,39840
1,0,70,80,39840,40080
1,0,71,80,40080,40320
2,0,40,80,40320,41760
2,0,56,80,40320,40800
1,0,71,80,40320,40560
1,0,71,80,40320,40800
1,0,70,80,40560,40800
2,0,56,80,40800,41040
1,0,61,80,40800,41040
1,0,71,80,40800,41040
2,0,56,80,41040,41760
1,0,64,80,41040,41520
1,0,71,80,41040,41520
1,0,61,80,41520,41760
1,0,68,80,41520,41760
2,0,42,80,41760,42480
2,0,54,80,41760,42480
2,0,58,80,41760,42480
1,0,64,80,41760,42240
1,0,70,80,41760,42480
1,0,68,80,42240,42480
2,0,42,80,42480,42960
2,0,54,80,42480,42960
2,0,58,80,42480,42960
1,0,64,80,42480,42960
1,0,70,80,42480,42720
1,0,70,80,42480,42960
1,0,66,80,42720,42960
1,0,73,80,42960,43200
2,0,47,80,43200,43920
2,0,54,80,43200,43920
1,0,63,80,43200,43920
1,0,71,80,43200,43920
1,0,71,80,43200,43920
1,0,75,80,43200,43920
2,0,47,80,43920,44640
2,0,53,80,43920,44400
1,0,63,80,43920,44640
1,0,71,80,43920,44640
1,0,75,80,43920,44640
2,0,54,80,44400,44640
2,0,47,80,44640,46080
2,0,55,80,44640,45360
1,0,62,80,44640,45360
1,0,64,80,44640,45360
1,0,71,80,44640,45360
1,0,74,80,44640,45360
2,0,58,80,45360,46080
1,0,73,80,45360,45600
1,0,74,80,45600,45840
1,0,73,80,45840,46080
2,0,47,80,46080,47520
2,0,59,80,46080,46800
1,0,62,80,46080,46800
1,0,66,80,46080,46800
2,0,58,80,46800,47520
1,0,62,80,46800,47520
1,0,66,80,46800,47520
2,0,47,80,47520,48240
2,0,59,80,47520,48240
1,0,62,80,47520,48240
1,0,66,80,47520,48240
1,0,66,80,47520,48240
2,0,47,80,48240,48960
1,0,62,80,48240,48960
1,0,71,80,48240,48480
1,0,73,80,48480,48720
1,0,74,80,48720,48960
2,0,47,80,48960,50400
2,0,52,80,48960,50400
2,0,55,80,48960,50400
1,0,61,80,48960,50400
1,0,67,80,48960,50400
1,0,71,80,48960,50400
1,0,73,80,48960,50400
1,0,78,80,48960,50400
2,0,47,80,50400,51840
2,0,52,80,50400,51840
2,0,55,80,50400,51840
1,0,61,80,50400,51840
1,0,67,80,50400,51840
1,0,71,80,50400,51840
1,0,73,80,50400,51840
1,0,76,80,50400,51120
1,0,76,80,51120,51360
1,0,78,80,51360,51600
1,0,79,80,51600,51840
2,0,47,80,51840,52080
2,0,54,80,51840,52080
1,0,62,80,51840,52080
1,0,71,80,51840,52560
1,0,74,80,51840,52560
1,0,83,80,51840,52560
1,0,66,80,52560,53280
1,0,71,80,52560,53280
1,0,74,80,52560,53280
1,0,83,80,52560,53280
1,0,67,80,53280,54000
1,0,71,80,53280,54000
1,0,74,80,53280,54000
1,0,83,80,53280,54000
1,0,66,80,54000,54240
1,0,71,80,54000,54480
1,0,74,80,54000,54480
1,0,62,80,54240,54480
1,0,61,80,54480,54720
1,0,73,80,54480,54720
1,0,76,80,54480,54720
2,0,59,80,54720,56160
1,0,74,80,54720,56160
1,0,78,80,54720,56160
1,0,66,80,55440,55680
1,0,67,80,55680,55920
1,0,66,80,55920,56160
2,0,59,80,56160,56400
1,0,71,80,56160,56400
1,0,74,80,56160,56400
1,0,78,80,56160,56400
1,0,74,80,56400,56640
1,0,79,80,56400,56640
2,0,59,80,56640,56880
1,0,71,80,56640,56880
1,0,74,80,56640,56880
1,0,78,80,56640,56880
2,0,59,80,56880,57120
1,0,66,80,56880,57120
1,0,66,80,56880,57120
1,0,71,80,56880,57120
1,0,74,80,56880,57120
1,0,83,80,56880,57120
1,0,67,80,57120,57360
1,0,66,80,57360,57600
2,0,47,80,57600,57840
2,0,54,80,57600,57840
1,0,62,80,57600,57840
1,0,66,80,57600,57840
1,0,71,80,57600,58080
2,0,47,80,57840,58080
2,0,54,80,57840,58080
1,0,62,80,57840,58080
1,0,67,80,57840,58080
2,0,47,80,58080,58320
2,0,54,80,58080,58320
1,0,62,80,58080,58320
1,0,66,80,58080,58320
2,0,47,80,58320,58800
2,0,55,80,58320,58800
1,0,62,80,58320,58800
1,0,67,80,58320,58560
1,0,71,80,58320,58800
1,0,67,80,58560,58800
1,0,66,80,58800,59040
2,0,52,80,59040,59280
2,0,59,80,59040,59280
1,0,61,80,59040,59280
1,0,64,80,59040,59520
1,0,67,80,59040,59280
2,0,52,80,59280,59520
2,0,59,80,59280,59520
1,0,61,80,59280,59520
1,0,67,80,59280,59520
2,0,54,80,59520,59760
2,0,59,80,59520,59760
1,0,61,80,59520,59760
1,0,66,80,59520,59760
2,0,55,80,59760,60240
2,0,59,80,59760,60240
1,0,61,80,59760,60240
1,0,64,80,59760,60240
1,0,67,80,59760,60000
1,0,67,80,60000,60240
1,0,66,80,60240,60480
2,0,58,80,60480,60720
1,0,61,80,60480,60720
1,0,64,80,60480,60720
1,0,67,80,60480,60720
1,0,73,80,60480,60960
2,0,58,80,60720,60960
1,0,61,80,60720,60960
1,0,64,80,60720,60960
1,0,67,80,60720,60960
2,0,58,80,60960,61200
1,0,61,80,60960,61200
1,0,64,80,60960,61200
1,0,66,80,60960,61200
1,0,70,80,60960,61200
2,0,58,80,61200,61440
1,0,64,80,61200,61440
1,0,66,80,61200,61440
1,0,66,80,61200,61680
1,0,73,80,61200,61440
2,0,58,80,61680,61920
1,0,64,80,61680,61920
1,0,66,80,61680,61920
1,0,66,80,61680,61920
1,0,70,80,61680,61920
2,0,47,80,61920,62160
2,0,59,80,61920,62160
1,0,62,80,61920,62160
1,0,66,80,61920,62160
1,0,74,80,61920,62400
2,0,47,80,62400,62640
2,0,59,80,62400,62640
1,0,62,80,62400,62640
1,0,66,80,62400,62640
1,0,71,80,62400,62640
2,0,54,80,62640,62880
1,0,62,80,62640,62880
1,0,66,80,62640,62880
1,0,74,80,62640,62880
2,0,55,80,62880,63120
1,0,67,80,62880,63120
2,0,56,80,63120,63360
1,0,62,80,63120,63360
1,0,68,80,63120,63360
1,0,71,80,63120,63360
2,0,45,80,63360,64800
2,0,57,80,63360,63840
1,0,62,80,63360,63840
1,0,66,80,63360,63600
1,0,69,80,63360,63840
1,0,67,80,63600,63840
2,0,59,80,63840,64080
1,0,62,80,63840,64080
1,0,68,80,63840,64080
1,0,71,80,63840,64080
2,0,57,80,64080,64560
1,0,61,80,64080,64560
1,0,69,80,64080,64560
1,0,69,80,64080,64560
2,0,55,80,64560,64800
1,0,61,80,64560,64800
1,0,67,80,64560,64800
1,0,71,80,64560,64800
2,0,50,80,64800,66240
2,0,54,80,64800,65280
1,0,62,80,64800,65280
1,0,66,80,64800,65280
1,0,69,80,64800,65280
2,0,55,80,65280,65520
1,0,62,80,65280,65520
1,0,67,80,65280,65520
2,0,57,80,65520,66240
1,0,62,80,65520,65760
1,0,62,80,65520,66240
1,0,66,80,65520,66240
1,0,61,80,65760,66000
1,0,62,80,66000,66240
2,0,50,80,66240,66720
2,0,54,80,66240,66720
1,0,60,80,66240,66720
1,0,62,80,66240,66480
1,0,62,80,66240,66960
1,0,69,80,66240,66960
1,0,61,80,66480,66720
2,0,50,80,66720,66960
2,0,54,80,66720,66960
1,0,60,80,66720,66960
1,0,62,80,66720,66960
2,0,50,80,66960,67680
2,0,54,80,66960,67680
1,0,60,80,66960,67680
1,0,62,80,66960,67200
1,0,69,80,66960,67680
1,0,61,80,67200,67440
1,0,62,80,67440,67680
2,0,46,80,67680,68160
2,0,55,80,67680,68160
2,0,58,80,67680,68160
1,0,62,80,67680,67920
1,0,62,80,67680,68400
1,0,74,80,67680,68400
1,0,61,80,67920,68160
2,0,46,80,68160,68400
2,0,55,80,68160,68400
2,0,58,80,68160,68400
1,0,62,80,68160,68400
2,0,46,80,68400,69120
2,0,55,80,68400,69120
2,0,58,80,68400,69120
1,0,67,80,68400,68640
1,0,74,80,68400,69120
1,0,66,80,68640,68880
1,0,67,80,68880,69120
2,0,45,80,69120,69600
2,0,51,80,69120,69600
2,0,57,80,69120,69600
1,0,60,80,69120,69600
1,0,67,80,69120,69360
1,0,72,80,69120,69600
1,0,66,80,69360,69600
2,0,45,80,69600,69840
2,0,51,80,69600,69840
2,0,57,80,69600,69840
1,0,60,80,69600,69840
1,0,67,80,69600,69840
1,0,72,80,69600,69840
2,0,50,80,69840,70320
2,0,57,80,69840,70320
1,0,60,80,69840,70320
1,0,69,80,69840,70080
1,0,72,80,69840,70320
1,0,66,80,70080,70320
2,0,50,80,70320,70560
2,0,57,80,70320,70560
1,0,60,80,70320,70560
1,0,62,80,70320,70560
1,0,72,80,70320,70560
2,0,43,80,70560,71040
2,0,55,80,70560,71040
1,0,60,80,70560,71040
1,0,62,80,70560,71040
1,0,69,80,70560,70800
1,0,66,80,70800,71040
2,0,43,80,71040,71280
2,0,55,80,71040,71280
1,0,60,80,71040,71280
1,0,62,80,71040,71280
1,0,67,80,71040,71280
2,0,43,80,71280,71760
2,0,55,80,71280,71760
2,0,59,80,71280,71760
1,0,62,80,71280,71760
1,0,67,80,71280,71520
1,0,66,80,71520,71760
2,0,43,80,71760,72000
2,0,55,80,71760,72000
2,0,59,80,71760,72000
1,0,65,80,71760,72000
1,0,67,80,71760,72000
2,0,43,80,72000,72480
2,0,43,80,72000,72480
2,0,55,80,72000,72480
2,0,59,80,72000,72480
1,0,67,80,72000,72240
1,0,71,80,72000,72480
1,0,66,80,72240,72480
2,0,43,80,72480,72720
2,0,43,80,72480,72720
2,0,55,80,72480,72720
2,0,59,80,72480,72720
1,0,65,80,72480,72720
1,0,71,80,72480,72720
2,0,50,80,72720,73200
2,0,59,80,72720,73200
1,0,62,80,72720,73200
1,0,71,80,72720,73200
2,0,52,80,73200,73440
2,0,59,80,73200,73440
1,0,64,80,73200,73440
1,0,71,80,73200,73440
2,0,42,80,73440,73920
2,0,54,80,73440,73920
2,0,59,80,73440,73920
1,0,62,80,73440,73920
1,0,66,80,73440,73920
2,0,42,80,73920,74160
2,0,54,80,73920,74160
2,0,59,80,73920,74160
1,0,64,80,73920,74160
2,0,42,80,74160,74880
2,0,54,80,74160,74880
2,0,58,80,74160,74880
1,0,66,80,74160,74400
1,0,66,80,74160,74880
1,0,68,80,74400,74640
1,0,66,80,74640,74880
2,0,47,80,74880,75120
2,0,54,80,74880,75120
1,0,63,80,74880,75120
1,0,66,80,74880,75120
1,0,71,80,74880,75600
2,0,47,80,75120,75360
2,0,54,80,75120,75360
1,0,63,80,75120,75360
1,0,68,80,75120,75360
2,0,47,80,75360,75600
2,0,54,80,75360,75600
1,0,63,80,75360,75600
1,0,66,80,75360,75600
2,0,47,80,75600,76320
2,0,56,80,75600,76320
1,0,63,80,75600,76320
1,0,68,80,75600,75840
1,0,71,80,75600,76320
1,0,68,80,75840,76080
1,0,66,80,76080,76320
2,0,49,80,76320,76560
2,0,53,80,76320,76560
2,0,59,80,76320,76560
1,0,65,80,76320,77040
1,0,68,80,76320,76560
2,0,49,80,76560,76800
2,0,53,80,76560,76800
2,0,59,80,76560,76800
1,0,68,80,76560,76800
2,0,49,80,76800,77040
2,0,54,80,76800,77040
2,0,59,80,76800,77040
1,0,66,80,76800,77040
2,0,49,80,77040,77760
2,0,56,80,77040,77760
2,0,59,80,77040,77760
1,0,65,80,77040,77760
1,0,73,80,77040,77280
1,0,72,80,77280,77520
1,0,71,80,77520,77760
2,0,42,80,77760,78240
2,0,58,80,77760,78240
1,0,64,80,77760,78240
1,0,70,80,77760,78240
1,0,73,80,77760,78000
1,0,72,80,78000,78240
2,0,42,80,78240,78480
2,0,56,80,78240,78480
1,0,64,80,78240,78480
1,0,68,80,78240,78480
1,0,71,80,78240,78480
2,0,42,80,78480,78960
2,0,54,80,78480,78960
1,0,64,80,78480,79200
1,0,66,80,78480,78720
1,0,70,80,78480,78960
1,0,68,80,78720,78840
1,0,70,80,78840,78960
2,0,42,80,78960,79200
2,0,58,80,78960,79200
1,0,68,80,78960,79200
1,0,71,80,78960,79080
1,0,73,80,79080,79200
2,0,47,80,79200,79680
2,0,59,80,79200,79680
1,0,63,80,79200,79680
1,0,66,80,79200,79440
1,0,75,80,79200,79680
1,0,68,80,79440,79560
1,0,70,80,79560,79680
2,0,47,80,79680,79920
2,0,59,80,79680,79920
1,0,63,80,79680,79920
1,0,71,80,79680,79800
1,0,71,80,79680,79920
1,0,73,80,79800,79920
2,0,47,80,79920,80400
2,0,56,80,79920,80400
1,0,63,80,79920,80400
1,0,68,80,79920,80160
1,0,75,80,79920,80400
1,0,70,80,80160,80400
2,0,47,80,80400,80640
2,0,56,80,80400,80640
1,0,63,80,80400,80640
1,0,71,80,80400,80640
1,0,71,80,80400,80640
2,0,49,80,80640,81120
1,0,61,80,80640,81120
1,0,64,80,80640,81120
1,0,68,80,80640,80880
1,0,76,80,80640,81120
1,0,70,80,80880,81120
2,0,49,80,81120,81360
1,0,61,80,81120,81360
1,0,64,80,81120,81360
1,0,71,80,81120,81360
1,0,73,80,81120,81360
2,0,54,80,81360,81840
1,0,61,80,81360,81840
1,0,64,80,81360,81840
1,0,70,80,81360,81600
1,0,76,80,81360,81840
1,0,68,80,81600,81840
2,0,54,80,81840,82080
2,0,58,80,81840,82080
1,0,64,80,81840,82080
1,0,66,80,81840,82080
1,0,73,80,81840,82080
2,0,47,80,82080,82560
2,0,54,80,82080,82560
1,0,64,80,82080,82560
