# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,0,240
2,0,59,80,0,240
1,0,64,80,0,240
1,0,67,80,0,240
1,0,67,80,0,240
2,0,52,80,240,480
2,0,59,80,240,480
1,0,64,80,240,480
1,0,67,80,240,480
1,0,67,80,240,480
2,0,53,80,480,720
2,0,57,80,480,720
1,0,62,80,480,720
1,0,65,80,480,720
1,0,65,80,480,720
2,0,55,80,1920,2400
2,0,59,80,1920,2400
1,0,62,80,1920,2280
1,0,62,80,1920,2400
1,0,62,80,2280,2400
2,0,48,80,2400,2880
2,0,55,80,2400,2880
1,0,60,80,2400,2880
1,0,64,80,2400,2760
1,0,64,80,2400,2880
1,0,64,80,2760,2880
2,0,53,80,2880,3600
1,0,60,80,2880,3600
1,0,65,80,2880,3600
1,0,69,80,2880,3360
1,0,69,80,2880,3600
2,0,53,80,3600,3840
1,0,60,80,3600,3840
1,0,65,80,3600,3840
1,0,69,80,3600,3840
2,0,47,80,3840,4560
1,0,62,80,3840,4560
1,0,65,80,3840,4560
1,0,69,80,3840,4560
1,0,74,80,3840,4320
1,0,74,80,4080,4560
1,0,74,80,4320,4680
2,0,48,80,4560,4800
1,0,60,80,4560,4800
1,0,65,80,4560,4800
1,0,69,80,4560,4800
1,0,69,80,4680,4800
2,0,50,80,4800,5760
2,0,59,80,4800,5760
1,0,65,80,4800,5760
1,0,67,80,4800,5760
1,0,67,80,4800,5760
1,0,72,80,5760,6720
1,0,77,80,5760,6720
1,0,81,80,5760,6720
1,0,86,80,5760,6720
1,0,71,80,6720,7680
1,0,77,80,6720,7680
1,0,79,80,6720,7680
1,0,86,80,6720,7680
2,0,48,80,7680,8160
1,0,64,80,7680,8160
1,0,67,80,7680,8160
1,0,72,80,7680,8160
1,0,72,80,7680,8160
2,0,52,80,8160,8400
1,0,64,80,8160,8400
1,0,67,80,8160,8400
1,0,71,80,8160,8400
1,0,71,80,8160,8400
2,0,52,80,8400,8640
1,0,64,80,8400,8640
1,0,67,80,8400,8640
1,0,72,80,8400,8640
1,0,72,80,8400,8640
2,0,53,80,8640,9120
1,0,60,80,8640,9120
1,0,65,80,8640,9120
1,0,69,80,8640,9000
1,0,69,80,8640,9120
1,0,69,80,9000,9120
2,0,55,80,9120,9480
2,0,59,80,9120,9480
1,0,62,80,9120,9480
1,0,67,80,9120,9480
1,0,67,80,9120,9480
2,0,50,80,9480,9600
2,0,57,80,9480,9600
1,0,62,80,9480,9600
1,0,65,80,9480,9600
1,0,65,80,9480,9600
2,0,50,80,9600,10320
2,0,57,80,9600,10320
1,0,62,80,9600,10320
1,0,65,80,9600,10320
1,0,65,80,9600,10320
2,0,52,80,10320,10560
2,0,57,80,10320,10560
1,0,60,80,10320,10560
1,0,64,80,10320,10560
1,0,64,80,10320,10560
2,0,53,80,10560,11520
2,0,57,80,10560,11520
1,0,62,80,10560,11040
1,0,62,80,10560,11280
1,0,60,80,11040,11280
1,0,62,80,11280,11520
1,0,62,80,11280,11520
2,0,52,80,11520,12480
2,0,57,80,11520,12000
1,0,60,80,11520,12000
1,0,64,80,11520,12480
1,0,64,80,11520,12480
1,0,65,80,11520,12000
2,0,56,80,12000,12480
2,0,59,80,12000,12480
1,0,81,80,12480,12960
1,0,72,80,12960,13440
1,0,86,80,12960,13440
1,0,64,80,13440,14400
1,0,72,80,13440,13920
1,0,81,80,13440,13920
1,0,88,80,13440,14400
1,0,71,80,13920,14400
1,0,80,80,13920,14400
2,0,59,80,14640,14880
1,0,62,80,14640,14880
1,0,64,80,14640,14880
1,0,68,80,14640,14880
1,0,68,80,14640,14880
2,0,57,80,14880,15120
1,0,62,80,14880,15120
1,0,64,80,14880,15120
1,0,69,80,14880,15120
1,0,69,80,14880,15120
2,0,56,80,15120,15360
1,0,62,80,15120,15360
1,0,64,80,15120,15360
1,0,71,80,15120,15360
1,0,71,80,15120,15360
2,0,57,80,15360,15840
1,0,60,80,15360,15840
1,0,64,80,15360,15840
1,0,72,80,15360,15840
1,0,72,80,15360,15840
2,0,57,80,15840,16320
1,0,60,80,15840,16320
1,0,64,80,15840,16320
1,0,72,80,15840,16320
1,0,72,80,15840,16320
2,0,55,80,16320,17040
1,0,64,80,16320,17040
1,0,71,80,16320,17040
1,0,76,80,16320,17040
1,0,76,80,16320,17040
2,0,55,80,17040,17280
1,0,64,80,17040,17280
1,0,71,80,17040,17280
1,0,71,80,17040,17280
2,0,53,80,17280,18240
2,0,57,80,17280,18240
1,0,62,80,17280,18240
1,0,69,80,17280,18240
1,0,74,80,17280,18240
2,0,53,80,18480,18720
2,0,57,80,18480,18720
1,0,62,80,18480,18720
1,0,74,80,18480,18720
1,0,74,80,18480,18720
2,0,53,80,18720,18960
2,0,57,80,18720,18960
1,0,62,80,18720,18960
1,0,74,80,18720,18960
1,0,74,80,18720,18960
2,0,53,80,18960,19200
2,0,59,80,18960,19200
1,0,62,80,18960,19200
1,0,69,80,18960,19200
1,0,69,80,18960,19200
2,0,52,80,19200,20160
2,0,59,80,19200,20160
1,0,64,80,19200,20160
1,0,68,80,19200,20160
1,0,68,80,19200,20160
1,0,65,80,20160,21120
1,0,71,80,20160,21120
1,0,81,80,20160,21120
1,0,86,80,20160,21120
1,0,64,80,21120,22080
1,0,71,80,21120,22080
1,0,80,80,21120,22080
1,0,86,80,21120,22080
2,0,56,80,22320,22560
1,0,62,80,22320,22560
1,0,64,80,22320,22560
1,0,64,80,22320,22560
2,0,57,80,22560,22800
1,0,62,80,22560,22800
1,0,66,80,22560,22800
1,0,66,80,22560,22800
2,0,59,80,22800,23040
1,0,62,80,22800,23040
1,0,68,80,22800,23040
1,0,68,80,22800,23040
1,0,60,80,23040,23520
1,0,64,80,23040,23520
1,0,69,80,23040,23520
1,0,69,80,23040,23520
1,0,60,80,23520,24000
1,0,64,80,23520,24000
1,0,69,80,23520,24000
1,0,69,80,23520,24000
2,0,57,80,24000,24720
1,0,60,80,24000,24720
1,0,65,80,24000,24720
1,0,72,80,24000,24720
1,0,72,80,24000,24720
2,0,57,80,24720,24960
1,0,60,80,24720,24960
1,0,65,80,24720,24960
1,0,72,80,24720,24960
1,0,72,80,24720,24960
1,0,60,80,24960,25920
1,0,64,80,24960,25920
1,0,67,80,24960,25920
1,0,67,80,24960,25920
2,0,53,80,26160,26400
1,0,60,80,26160,26400
1,0,65,80,26160,26400
1,0,69,80,26160,26400
1,0,69,80,26160,26400
2,0,55,80,26400,26760
2,0,59,80,26400,26760
1,0,62,80,26400,26760
1,0,67,80,26400,26760
1,0,67,80,26400,26760
2,0,55,80,26760,26880
2,0,59,80,26760,26880
1,0,62,80,26760,26880
1,0,65,80,26760,26880
1,0,65,80,26760,26880
2,0,48,80,26880,27840
2,0,55,80,26880,27840
2,0,59,80,26880,27360
1,0,62,80,26880,27360
1,0,65,80,26880,27360
1,0,65,80,26880,27360
1,0,60,80,27360,27840
1,0,64,80,27360,27840
1,0,64,80,27360,27840
1,0,72,80,27840,28320
1,0,65,80,28320,28800
1,0,69,80,28320,28800
1,0,74,80,28320,28800
2,0,53,80,28800,29280
1,0,65,80,28800,29280
1,0,71,80,28800,29280
1,0,74,80,28800,29280
1,0,79,80,28800,29760
1,0,60,80,29280,29760
1,0,64,80,29280,29760
1,0,67,80,29280,29760
1,0,72,80,29280,29760
1,0,60,80,29760,30720
1,0,64,80,29760,30720
1,0,67,80,29760,30720
1,0,72,80,29760,30720
1,0,79,80,29760,30720
2,0,52,80,30720,31200
2,0,59,80,30720,31200
1,0,64,80,30720,31200
1,0,67,80,30720,31200
1,0,67,80,30720,31200
2,0,52,80,31200,31440
2,0,59,80,31200,31440
1,0,64,80,31200,31440
1,0,67,80,31200,31440
1,0,67,80,31200,31440
2,0,53,80,31440,31680
2,0,57,80,31440,31680
1,0,62,80,31440,31680
1,0,65,80,31440,31680
1,0,65,80,31440,31680
2,0,55,80,31680,32160
2,0,59,80,31680,32160
1,0,62,80,31680,32040
1,0,62,80,31680,32160
1,0,62,80,32040,32160
2,0,48,80,32160,32640
2,0,55,80,32160,32640
1,0,60,80,32160,32640
1,0,64,80,32160,32520
1,0,64,80,32160,32640
1,0,64,80,32520,32640
2,0,53,80,32640,33360
2,0,57,80,32640,33360
1,0,60,80,32640,33360
1,0,65,80,32640,33360
1,0,69,80,32640,33360
1,0,69,80,32640,33600
2,0,53,80,33360,33600
1,0,60,80,33360,33600
1,0,65,80,33360,33600
1,0,69,80,33360,33600
2,0,47,80,33600,34320
1,0,62,80,33600,34320
1,0,65,80,33600,34320
1,0,69,80,33600,34320
1,0,74,80,33600,34080
1,0,74,80,33840,34320
1,0,74,80,34080,34320
2,0,48,80,34320,34560
1,0,60,80,34320,34560
1,0,65,80,34320,34560
1,0,69,80,34320,34560
1,0,69,80,34320,34560
2,0,50,80,34560,35520
2,0,59,80,34560,35520
1,0,65,80,34560,35520
1,0,67,80,34560,35520
1,0,67,80,34560,35520
1,0,72,80,35520,36480
1,0,77,80,35520,36480
1,0,80,80,35520,36480
1,0,86,80,35520,36480
1,0,71,80,36480,37200
1,0,77,80,36480,37200
1,0,79,80,36480,37200
1,0,86,80,36480,37200
2,0,50,80,37200,37440
2,0,59,80,37200,37440
1,0,65,80,37200,37440
1,0,67,80,37200,37440
1,0,67,80,37200,37440
2,0,48,80,37440,37920
1,0,64,80,37440,37920
1,0,67,80,37440,37920
1,0,72,80,37440,37920
1,0,72,80,37440,37920
2,0,52,80,37920,38400
1,0,64,80,37920,38400
1,0,67,80,37920,38400
1,0,71,80,37920,38400
1,0,71,80,37920,38400
2,0,53,80,38400,38640
1,0,60,80,38400,38640
1,0,65,80,38400,38640
1,0,67,80,38400,39120
1,0,69,80,38400,38640
1,0,69,80,38400,38640
1,0,72,80,38400,38880
2,0,53,80,38640,38880
1,0,60,80,38640,38880
1,0,65,80,38640,38880
1,0,69,80,38640,38880
1,0,69,80,38640,38880
2,0,50,80,38880,39120
1,0,62,80,38880,39120
1,0,65,80,38880,39120
1,0,71,80,38880,39120
1,0,71,80,38880,39120
1,0,71,80,38880,39120
2,0,48,80,39120,39360
1,0,64,80,39120,39360
1,0,65,80,39120,39360
1,0,67,80,39120,39360
1,0,67,80,39120,39360
1,0,71,80,39120,39360
1,0,72,80,39120,39360
1,0,72,80,39120,39360
2,0,43,80,39360,40080
2,0,55,80,39360,40080
1,0,74,80,39360,40080
1,0,74,80,39360,40080
2,0,43,80,40080,40320
2,0,55,80,40080,40320
1,0,67,80,40080,40320
1,0,74,80,40080,40320
2,0,36,80,40320,41760
2,0,48,80,40320,41760
1,0,64,80,40320,41760
1,0,67,80,40320,41760
1,0,72,80,40320,41280
1,0,76,80,40320,41040
1,0,76,80,40320,41760
1,0,72,80,41040,41760
1,0,67,80,41280,42240
2,0,31,80,42000,42240
2,0,43,80,42000,42240
2,0,59,80,42000,42240
1,0,64,80,42000,42240
1,0,71,80,42000,42240
2,0,31,80,42240,42960
2,0,43,80,42240,42960
2,0,59,80,42240,42960
1,0,64,80,42240,42960
1,0,71,80,42240,42960
2,0,35,80,42960,43200
2,0,47,80,42960,43200
2,0,59,80,42960,43200
1,0,64,80,42960,43200
1,0,67,80,42960,43200
2,0,40,80,43200,43920
2,0,52,80,43200,43920
2,0,55,80,43200,43920
2,0,59,80,43200,43920
1,0,64,80,43200,43920
2,0,48,80,43920,44160
1,0,60,80,43920,44160
1,0,64,80,43920,44160
1,0,67,80,43920,44160
2,0,48,80,44160,45120
1,0,60,80,44160,45120
1,0,64,80,44160,45120
1,0,67,80,44160,45120
2,0,50,80,45120,46080
2,0,57,80,45120,46080
1,0,62,80,45120,46080
1,0,65,80,45120,46080
2,0,52,80,46080,48000
2,0,57,80,46080,47040
1,0,60,80,46080,47040
1,0,64,80,46080,48000
2,0,56,80,47040,47520
2,0,59,80,47040,47520
2,0,54,80,47520,48000
2,0,57,80,47520,48000
2,0,40,80,48000,49920
2,0,52,80,48000,49920
2,0,56,80,48000,49920
2,0,59,80,48000,49920
1,0,64,80,48000,49920
