# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,39,80,0,720
2,0,51,80,0,720
2,0,58,80,0,720
1,0,63,80,0,720
1,0,67,80,0,720
1,0,67,80,0,720
2,0,51,80,720,960
2,0,56,80,720,960
1,0,62,80,720,960
1,0,65,80,720,960
1,0,70,80,720,960
1,0,70,80,720,960
2,0,51,80,960,1440
2,0,58,80,960,1440
1,0,63,80,960,1440
1,0,67,80,960,1440
1,0,75,80,960,1440
1,0,75,80,960,1440
2,0,39,80,1440,1920
2,0,51,80,1440,1920
1,0,63,80,1440,1920
1,0,67,80,1440,1920
1,0,75,80,1440,1920
1,0,75,80,1440,1920
2,0,43,80,1920,2400
2,0,51,80,1920,2400
1,0,63,80,1920,2400
1,0,70,80,1920,2400
1,0,74,80,1920,2400
1,0,74,80,1920,2400
2,0,44,80,2400,2880
2,0,51,80,2400,2880
1,0,63,80,2400,2880
1,0,68,80,2400,2880
1,0,72,80,2400,2880
1,0,72,80,2400,2880
2,0,39,80,2880,3840
2,0,51,80,2880,3840
2,0,58,80,2880,3840
1,0,63,80,2880,3840
1,0,67,80,2880,3840
1,0,70,80,2880,3840
1,0,70,80,2880,3840
2,0,36,80,3840,4320
2,0,48,80,3840,4320
2,0,51,80,3840,4560
1,0,60,80,3840,4560
1,0,63,80,3840,4560
1,0,63,80,3840,4560
2,0,34,80,4320,4800
2,0,46,80,4320,4800
2,0,55,80,4560,4800
1,0,63,80,4560,4800
1,0,67,80,4560,4800
1,0,67,80,4560,4800
2,0,32,80,4800,5280
2,0,44,80,4800,5280
1,0,60,80,4800,5280
1,0,63,80,4800,5280
1,0,72,80,4800,5280
1,0,72,80,4800,5280
2,0,29,80,5280,5760
2,0,41,80,5280,5760
1,0,63,80,5280,5760
1,0,68,80,5280,5760
1,0,72,80,5280,5760
1,0,72,80,5280,5760
2,0,34,80,5760,6240
2,0,46,80,5760,6240
2,0,58,80,5760,6240
1,0,62,80,5760,6240
1,0,67,80,5760,6240
1,0,70,80,5760,6240
1,0,70,80,5760,6240
2,0,34,80,6240,6720
2,0,46,80,6240,6720
2,0,56,80,6240,6720
1,0,62,80,6240,6720
1,0,65,80,6240,6720
1,0,68,80,6240,6720
1,0,68,80,6240,6720
2,0,39,80,6720,7680
2,0,46,80,6720,7680
2,0,51,80,6720,7680
2,0,55,80,6720,7680
1,0,63,80,6720,7680
1,0,67,80,6720,7680
1,0,67,80,6720,7680
2,0,38,80,7680,8400
2,0,50,80,7680,8400
2,0,55,80,7680,8400
2,0,59,80,7680,8400
1,0,67,80,7680,8400
1,0,67,80,7680,8400
2,0,31,80,8400,8640
2,0,43,80,8400,8640
2,0,55,80,8400,8640
2,0,59,80,8400,8640
1,0,65,80,8400,8640
1,0,65,80,8400,8640
2,0,36,80,8640,9120
2,0,48,80,8640,9120
2,0,55,80,8640,9120
1,0,60,80,8640,9120
1,0,63,80,8640,9120
1,0,63,80,8640,9120
2,0,33,80,9120,9600
2,0,45,80,9120,9600
1,0,63,80,9120,9600
1,0,67,80,9120,9600
1,0,72,80,9120,9600
1,0,72,80,9120,9600
2,0,38,80,9600,10080
2,0,50,80,9600,10080
2,0,58,80,9600,10080
1,0,62,80,9600,10080
1,0,62,80,9600,10080
1,0,67,80,9600,10080
1,0,67,80,9600,10080
1,0,70,80,9600,10080
1,0,70,80,9600,10080
2,0,38,80,10080,10560
2,0,50,80,10080,10560
2,0,58,80,10080,10560
1,0,60,80,10080,10560
1,0,62,80,10080,10560
1,0,62,80,10080,10560
1,0,66,80,10080,10560
1,0,68,80,10080,10560
1,0,69,80,10080,10560
1,0,69,80,10080,10560
2,0,43,80,10560,11040
2,0,50,80,10560,11040
2,0,55,80,10560,11040
1,0,70,80,10560,11520
1,0,70,80,10560,11520
2,0,41,80,11040,11520
2,0,53,80,11040,11520
2,0,39,80,11520,12000
2,0,51,80,11520,12000
2,0,51,80,11520,12000
1,0,61,80,11520,12000
1,0,67,80,11520,12000
1,0,70,80,11520,11760
1,0,70,80,11520,12000
1,0,72,80,11760,12000
2,0,58,80,12000,12240
1,0,67,80,12000,12480
1,0,73,80,12000,12240
1,0,75,80,12000,12480
2,0,59,80,12240,12480
1,0,75,80,12240,12480
2,0,56,80,12480,12960
1,0,60,80,12480,12960
1,0,60,80,12480,12960
1,0,63,80,12480,12960
1,0,64,80,12480,12960
1,0,68,80,12480,12960
1,0,72,80,12480,12960
1,0,75,80,12480,12960
2,0,43,80,12960,13200
2,0,55,80,12960,13200
1,0,72,80,12960,13200
1,0,72,80,12960,13200
2,0,48,80,13200,13440
1,0,70,80,13200,13440
1,0,70,80,13200,13440
2,0,41,80,13440,13920
2,0,53,80,13440,13920
1,0,60,80,13440,13680
1,0,65,80,13440,13920
1,0,68,80,13440,13920
1,0,68,80,13440,13920
1,0,63,80,13680,13920
2,0,34,80,13920,14400
2,0,46,80,13920,14400
2,0,56,80,13920,14400
1,0,62,80,13920,14400
1,0,65,80,13920,14400
1,0,65,80,13920,14400
2,0,39,80,14400,15360
2,0,51,80,14400,15360
2,0,55,80,14400,15360
2,0,58,80,14400,15360
1,0,63,80,14400,15360
1,0,63,80,14400,15360
2,0,39,80,15360,16080
2,0,51,80,15360,16080
2,0,58,80,15360,16080
1,0,63,80,15360,16080
1,0,67,80,15360,16080
1,0,67,80,15360,16080
2,0,51,80,16080,16320
2,0,56,80,16080,16320
1,0,62,80,16080,16320
1,0,65,80,16080,16320
1,0,70,80,16080,16320
1,0,70,80,16080,16320
2,0,51,80,16320,16800
2,0,58,80,16320,16800
1,0,63,80,16320,16800
1,0,67,80,16320,16800
1,0,75,80,16320,16800
1,0,75,80,16320,16800
2,0,39,80,16800,17280
2,0,51,80,16800,17280
1,0,63,80,16800,17280
1,0,67,80,16800,17280
1,0,75,80,16800,17280
1,0,75,80,16800,17280
2,0,43,80,17280,17760
2,0,51,80,17280,17760
1,0,63,80,17280,17760
1,0,70,80,17280,17760
1,0,74,80,17280,17760
1,0,74,80,17280,17760
2,0,44,80,17760,18240
2,0,51,80,17760,18240
1,0,63,80,17760,18240
1,0,68,80,17760,18240
1,0,72,80,17760,18240
1,0,72,80,17760,18240
2,0,39,80,18240,19200
2,0,51,80,18240,19200
2,0,58,80,18240,19200
1,0,63,80,18240,19200
1,0,67,80,18240,19200
1,0,70,80,18240,19200
1,0,70,80,18240,19200
2,0,36,80,19200,19680
2,0,48,80,19200,19680
2,0,51,80,19200,19920
1,0,60,80,19200,19920
1,0,63,80,19200,19920
1,0,63,80,19200,19920
2,0,34,80,19680,20160
2,0,46,80,19680,20160
2,0,55,80,19920,20160
1,0,63,80,19920,20160
1,0,67,80,19920,20160
1,0,67,80,19920,20160
2,0,32,80,20160,20640
2,0,44,80,20160,20640
1,0,60,80,20160,20640
1,0,63,80,20160,20640
1,0,72,80,20160,20640
1,0,72,80,20160,20640
2,0,29,80,20640,21120
2,0,41,80,20640,21120
1,0,63,80,20640,21120
1,0,68,80,20640,21120
1,0,72,80,20640,21120
1,0,72,80,20640,21120
2,0,34,80,21120,21600
2,0,46,80,21120,21600
2,0,58,80,21120,21600
1,0,62,80,21120,21600
1,0,67,80,21120,21600
1,0,70,80,21120,21600
1,0,70,80,21120,21600
2,0,34,80,21600,22080
2,0,46,80,21600,22080
2,0,56,80,21600,22080
1,0,62,80,21600,22080
1,0,65,80,21600,22080
1,0,68,80,21600,22080
1,0,68,80,21600,22080
2,0,39,80,22080,23040
2,0,46,80,22080,23040
