# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,120
2,0,51,80,0,480
1,0,75,80,0,480
2,0,58,80,120,240
1,0,67,80,240,360
1,0,75,80,360,960
1,0,79,80,360,480
2,0,55,80,480,600
2,0,55,80,480,960
1,0,63,80,480,840
1,0,60,80,600,720
1,0,63,80,720,960
1,0,72,80,840,960
1,0,75,80,840,960
2,0,51,80,960,1080
2,0,51,80,960,1440
1,0,63,80,960,1200
1,0,63,80,960,1800
1,0,75,80,960,1200
2,0,58,80,1080,1200
1,0,67,80,1200,1320
1,0,75,80,1320,1440
1,0,79,80,1320,1440
2,0,51,80,1440,1920
2,0,55,80,1440,1560
2,0,55,80,1440,1920
1,0,75,80,1440,1920
1,0,60,80,1560,1680
1,0,63,80,1680,1920
1,0,72,80,1800,1920
1,0,75,80,1800,1920
2,0,51,80,1920,2040
2,0,51,80,1920,2160
2,0,51,80,1920,2400
1,0,63,80,1920,2280
1,0,75,80,1920,2280
2,0,58,80,2040,2160
1,0,67,80,2160,2280
1,0,62,80,2280,2400
1,0,74,80,2280,2400
1,0,75,80,2280,2400
1,0,79,80,2280,2400
2,0,51,80,2400,2880
2,0,55,80,2400,2520
2,0,55,80,2400,2880
1,0,60,80,2400,2640
1,0,67,80,2400,2880
1,0,72,80,2400,2640
1,0,60,80,2520,2640
1,0,63,80,2640,2760
1,0,63,80,2640,2880
1,0,75,80,2640,2880
1,0,72,80,2760,2880
1,0,75,80,2760,2880
2,0,51,80,2880,3120
2,0,58,80,2880,3120
1,0,63,80,2880,3000
1,0,63,80,2880,3360
1,0,67,80,2880,3120
1,0,70,80,2880,3120
1,0,67,80,3000,3120
2,0,55,80,3120,3240
1,0,67,80,3120,3240
1,0,70,80,3120,3240
2,0,53,80,3240,3360
1,0,65,80,3240,3360
1,0,75,80,3240,3360
1,0,82,80,3240,3360
2,0,51,80,3360,3480
2,0,51,80,3360,3840
1,0,60,80,3360,3480
1,0,60,80,3360,3840
1,0,63,80,3360,3480
1,0,63,80,3360,3600
2,0,55,80,3480,3600
1,0,63,80,3480,3840
1,0,67,80,3480,3600
2,0,56,80,3600,3720
1,0,65,80,3600,3720
1,0,68,80,3600,3720
1,0,60,80,3720,3840
1,0,68,80,3720,3840
1,0,72,80,3720,3840
1,0,75,80,3720,3840
2,0,51,80,3840,3960
2,0,51,80,3840,4320
2,0,55,80,3840,4080
2,0,58,80,3840,4080
1,0,67,80,3840,4080
1,0,70,80,3840,4080
2,0,58,80,3960,4080
2,0,51,80,4080,4320
2,0,55,80,4080,4320
1,0,63,80,4080,4320
1,0,67,80,4080,4200
1,0,67,80,4080,4320
1,0,75,80,4200,4320
1,0,79,80,4200,4320
1,0,60,80,4320,4440
1,0,60,80,4320,4560
1,0,60,80,4320,4800
1,0,63,80,4320,4560
1,0,72,80,4320,4560
1,0,75,80,4320,4560
1,0,63,80,4440,4560
2,0,56,80,4560,4800
1,0,60,80,4560,4800
1,0,68,80,4560,4680
1,0,68,80,4560,4800
1,0,72,80,4560,4800
1,0,75,80,4680,4800
1,0,80,80,4680,4800
2,0,51,80,4800,4920
2,0,51,80,4800,5280
2,0,55,80,4800,5040
2,0,58,80,4800,5040
1,0,67,80,4800,5040
1,0,70,80,4800,5040
2,0,58,80,4920,5040
2,0,51,80,5040,5280
2,0,55,80,5040,5280
1,0,63,80,5040,5280
1,0,67,80,5040,5160
1,0,67,80,5040,5280
1,0,75,80,5160,5280
1,0,79,80,5160,5280
1,0,60,80,5280,5400
1,0,60,80,5280,5400
1,0,63,80,5280,5400
1,0,63,80,5280,5400
1,0,67,80,5280,5400
1,0,72,80,5280,5400
1,0,60,80,5400,5520
1,0,63,80,5400,5520
1,0,67,80,5400,5520
1,0,67,80,5400,5520
1,0,72,80,5400,5520
1,0,72,80,5400,5520
1,0,60,80,5520,5640
1,0,60,80,5520,5640
1,0,65,80,5520,5640
1,0,65,80,5520,5640
1,0,68,80,5520,5640
1,0,72,80,5520,5640
1,0,60,80,5640,5760
1,0,65,80,5640,5760
1,0,68,80,5640,5760
1,0,68,80,5640,5760
1,0,72,80,5640,5760
1,0,72,80,5640,5760
1,0,60,80,5760,6000
1,0,60,80,5760,6240
1,0,60,80,5760,6480
1,0,63,80,5760,6480
1,0,67,80,5760,6240
1,0,72,80,5760,6240
1,0,67,80,6000,6480
1,0,72,80,6000,6480
1,0,75,80,6000,6240
1,0,84,80,6000,6240
1,0,87,80,6000,6240
1,0,67,80,6480,6720
2,0,43,80,6720,6840
1,0,67,80,6720,7080
2,0,50,80,6840,6960
2,0,55,80,6960,7080
2,0,59,80,7080,7200
1,0,67,80,7080,7200
1,0,65,80,7200,7680
1,0,67,80,7200,7260
1,0,67,80,7200,7320
1,0,67,80,7260,7380
1,0,67,80,7320,7440
1,0,67,80,7380,7680
1,0,67,80,7440,7680
2,0,36,80,7680,7920
