# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,120
1,0,60,80,0,240
1,0,72,80,0,120
1,0,72,80,0,240
1,0,63,80,120,240
1,0,67,80,120,240
1,0,75,80,120,240
1,0,79,80,120,240
2,0,59,80,240,480
1,0,71,80,240,480
2,0,55,80,480,600
2,0,55,80,480,960
1,0,67,80,480,600
1,0,67,80,480,960
2,0,46,80,600,720
2,0,51,80,600,720
2,0,58,80,600,720
1,0,63,80,600,720
2,0,43,80,960,1080
2,0,43,80,960,1440
2,0,55,80,960,1080
2,0,55,80,960,1440
2,0,47,80,1080,1200
2,0,51,80,1080,1200
2,0,59,80,1080,1200
1,0,63,80,1080,1200
1,0,60,80,1440,1560
1,0,60,80,1440,1680
1,0,72,80,1440,1560
1,0,72,80,1440,1680
1,0,63,80,1560,1680
1,0,67,80,1560,1680
1,0,75,80,1560,1680
1,0,79,80,1560,1680
2,0,59,80,1680,1920
1,0,71,80,1680,1920
2,0,55,80,1920,2040
2,0,55,80,1920,2400
1,0,67,80,1920,2040
1,0,67,80,1920,2400
2,0,46,80,2040,2160
2,0,51,80,2040,2160
2,0,58,80,2040,2160
1,0,63,80,2040,2160
2,0,43,80,2400,2520
2,0,43,80,2400,2880
2,0,55,80,2400,2520
2,0,55,80,2400,2880
2,0,47,80,2520,2640
2,0,51,80,2520,2640
2,0,59,80,2520,2640
1,0,63,80,2520,2640
1,0,67,80,2640,2880
1,0,60,80,2880,3000
1,0,60,80,2880,3120
1,0,72,80,2880,3000
1,0,72,80,2880,3120
1,0,72,80,2880,3120
1,0,63,80,3000,3120
1,0,67,80,3000,3120
1,0,75,80,3000,3120
1,0,79,80,3000,3120
2,0,59,80,3120,3360
1,0,71,80,3120,3240
1,0,71,80,3120,3360
1,0,71,80,3240,3360
2,0,55,80,3360,3480
2,0,55,80,3360,3840
1,0,67,80,3360,3480
1,0,67,80,3360,3720
1,0,67,80,3360,3840
2,0,46,80,3480,3600
2,0,51,80,3480,3600
2,0,58,80,3480,3600
1,0,63,80,3480,3600
1,0,67,80,3720,3840
2,0,54,80,3840,3960
2,0,54,80,3840,4320
1,0,66,80,3840,3960
1,0,66,80,3840,4200
1,0,66,80,3840,4320
2,0,59,80,3960,4080
1,0,63,80,3960,4080
1,0,71,80,3960,4080
1,0,75,80,3960,4080
1,0,66,80,4200,4320
2,0,55,80,4320,4440
2,0,55,80,4320,4800
1,0,67,80,4320,4440
1,0,67,80,4320,4800
1,0,67,80,4320,4800
2,0,47,80,4440,4560
2,0,52,80,4440,4560
2,0,59,80,4440,4560
1,0,64,80,4440,4560
2,0,43,80,4800,4920
2,0,43,80,4800,5280
2,0,55,80,4800,4920
2,0,55,80,4800,5280
1,0,67,80,4800,5040
2,0,46,80,4920,5040
2,0,52,80,4920,5040
2,0,58,80,4920,5040
1,0,64,80,4920,5040
2,0,47,80,5280,5400
2,0,47,80,5280,5520
2,0,59,80,5280,5400
2,0,59,80,5280,5520
2,0,51,80,5400,5520
2,0,55,80,5400,5520
1,0,63,80,5400,5520
1,0,67,80,5400,5520
2,0,55,80,5520,5760
1,0,67,80,5520,5640
1,0,67,80,5520,5760
1,0,67,80,5640,5760
1,0,60,80,5760,5880
1,0,60,80,5760,6000
1,0,72,80,5760,5880
1,0,72,80,5760,6000
1,0,72,80,5760,6120
1,0,63,80,5880,6000
1,0,67,80,5880,6000
1,0,75,80,5880,6000
1,0,79,80,5880,6000
2,0,59,80,6000,6240
1,0,71,80,6000,6240
1,0,71,80,6120,6240
2,0,55,80,6240,6360
2,0,55,80,6240,6720
1,0,67,80,6240,6360
1,0,67,80,6240,6600
