# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,64,80,0,120
1,0,69,80,0,240
1,0,62,80,120,240
2,0,54,80,240,480
2,0,57,80,240,480
1,0,76,80,240,360
1,0,76,80,240,360
1,0,74,80,360,480
1,0,74,80,360,480
2,0,52,80,480,720
1,0,61,80,480,720
1,0,69,80,480,720
1,0,73,80,480,720
1,0,73,80,480,720
2,0,52,80,720,960
1,0,62,80,720,960
1,0,68,80,720,960
1,0,71,80,720,960
1,0,71,80,720,960
2,0,54,80,960,1200
1,0,61,80,960,1200
1,0,66,80,960,1200
1,0,69,80,960,1200
1,0,69,80,960,1200
2,0,54,80,1200,1440
1,0,61,80,1200,1440
1,0,66,80,1200,1440
1,0,68,80,1200,1320
1,0,69,80,1200,1440
1,0,69,80,1320,1440
2,0,52,80,1440,1680
1,0,62,80,1440,1680
1,0,69,80,1440,1680
1,0,71,80,1440,1680
1,0,71,80,1440,1680
2,0,52,80,1680,1920
1,0,62,80,1680,1920
1,0,68,80,1680,1920
1,0,71,80,1680,1920
1,0,73,80,1680,1800
1,0,74,80,1800,1920
2,0,45,80,1920,2160
1,0,61,80,1920,2160
1,0,64,80,1920,2040
1,0,69,80,1920,2160
1,0,69,80,1920,2160
1,0,73,80,1920,2160
1,0,73,80,1920,2160
1,0,62,80,2040,2160
2,0,54,80,2160,2400
2,0,57,80,2160,2400
1,0,76,80,2160,2280
1,0,76,80,2160,2280
1,0,74,80,2280,2400
1,0,74,80,2280,2400
2,0,52,80,2400,2640
1,0,61,80,2400,2640
1,0,69,80,2400,2640
1,0,73,80,2400,2640
1,0,73,80,2400,2640
2,0,54,80,2640,2760
1,0,61,80,2640,2880
1,0,69,80,2640,2880
1,0,73,80,2640,2880
1,0,73,80,2640,2880
2,0,52,80,2760,2880
2,0,51,80,2880,3120
2,0,54,80,2880,3120
1,0,69,80,2880,3120
1,0,73,80,2880,3120
1,0,78,80,2880,3120
2,0,52,80,3120,3240
2,0,56,80,3120,3240
1,0,68,80,3120,3240
1,0,73,80,3120,3360
1,0,76,80,3120,3240
2,0,54,80,3240,3360
2,0,57,80,3240,3360
1,0,66,80,3240,3360
1,0,75,80,3240,3360
2,0,56,80,3360,3600
1,0,64,80,3360,3600
1,0,73,80,3360,3600
1,0,73,80,3360,3600
2,0,44,80,3600,3840
1,0,66,80,3600,3840
1,0,68,80,3600,3840
1,0,72,80,3600,3840
1,0,72,80,3600,3840
2,0,49,80,3840,4320
1,0,64,80,3840,4320
1,0,68,80,3840,4320
1,0,73,80,3840,4320
1,0,73,80,3840,4320
2,0,52,80,4320,4560
2,0,56,80,4320,4560
1,0,61,80,4320,4560
1,0,73,80,4320,4560
1,0,73,80,4320,4560
2,0,51,80,4560,4680
2,0,54,80,4560,4680
1,0,61,80,4560,4680
1,0,73,80,4560,4680
1,0,73,80,4560,4680
2,0,52,80,4680,4800
2,0,56,80,4680,4800
1,0,61,80,4680,4800
1,0,73,80,4680,4800
1,0,73,80,4680,4800
2,0,54,80,4800,5040
2,0,57,80,4800,5040
1,0,63,80,4800,5040
1,0,73,80,4800,5040
1,0,75,80,4800,4920
1,0,69,80,4920,5040
2,0,54,80,5040,5280
2,0,57,80,5040,5280
1,0,63,80,5040,5280
1,0,69,80,5040,5280
1,0,73,80,5040,5280
2,0,56,80,5280,5520
1,0,64,80,5280,5520
1,0,73,80,5280,5520
1,0,73,80,5280,5640
2,0,54,80,5520,5640
2,0,57,80,5520,5640
1,0,63,80,5520,5640
1,0,73,80,5520,5760
2,0,56,80,5640,5760
1,0,61,80,5640,5760
1,0,64,80,5640,5760
1,0,73,80,5640,5760
2,0,57,80,5760,6240
1,0,64,80,5760,6240
1,0,67,80,5760,6240
1,0,73,80,5760,6240
1,0,76,80,5760,6240
2,0,58,80,6240,6480
1,0,64,80,6240,6480
1,0,66,80,6240,6480
1,0,75,80,6240,6480
1,0,75,80,6240,6480
2,0,58,80,6480,6720
1,0,64,80,6480,6720
1,0,66,80,6480,6720
1,0,73,80,6480,6600
1,0,73,80,6480,6720
1,0,73,80,6600,6720
2,0,59,80,6720,7200
1,0,64,80,6720,6960
1,0,64,80,6720,6960
1,0,68,80,6720,6960
1,0,71,80,6720,6960
1,0,71,80,6720,6960
1,0,63,80,6960,7200
1,0,64,80,6960,7200
1,0,67,80,6960,7200
1,0,70,80,6960,7200
1,0,73,80,6960,7200
2,0,47,80,7200,7680
1,0,66,80,7200,7680
1,0,69,80,7200,7680
1,0,71,80,7200,7560
1,0,69,80,7560,7680
2,0,49,80,7680,7920
1,0,64,80,7680,7920
1,0,68,80,7680,8160
1,0,68,80,7680,8160
2,0,47,80,7920,8160
1,0,63,80,7920,8160
2,0,45,80,8160,8400
1,0,61,80,8160,8400
1,0,64,80,8160,8400
1,0,66,80,8160,8400
1,0,66,80,8160,8400
2,0,44,80,8400,8520
2,0,59,80,8400,8520
1,0,64,80,8400,8520
1,0,66,80,8400,8520
1,0,66,80,8400,8520
2,0,42,80,8520,8640
2,0,57,80,8520,8640
1,0,64,80,8520,8640
1,0,66,80,8520,8640
1,0,66,80,8520,8640
2,0,47,80,8640,9120
2,0,57,80,8640,9120
1,0,63,80,8640,8760
1,0,69,80,8640,8880
1,0,64,80,8760,8880
1,0,66,80,8880,9120
1,0,69,80,8880,9120
2,0,35,80,9120,9600
2,0,57,80,9120,9600
2,0,59,80,9120,9600
1,0,63,80,9120,9600
1,0,68,80,9120,9480
1,0,66,80,9480,9600
2,0,40,80,9600,10080
2,0,56,80,9600,10080
2,0,59,80,9600,10080
1,0,64,80,9600,10080
1,0,64,80,9600,10080
2,0,45,80,10080,10320
1,0,61,80,10080,10320
1,0,64,80,10080,10320
1,0,66,80,10080,10320
2,0,44,80,10320,10440
2,0,59,80,10320,10440
1,0,64,80,10320,10440
1,0,66,80,10320,10440
2,0,42,80,10440,10560
2,0,57,80,10440,10560
1,0,64,80,10440,10560
1,0,66,80,10440,10560
2,0,47,80,10560,11040
2,0,57,80,10560,11040
1,0,63,80,10560,10680
