# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,72,80,0,240
2,0,53,80,720,1080
1,0,60,80,720,1080
1,0,69,80,720,1080
1,0,72,80,720,1080
1,0,72,80,720,1080
2,0,53,80,1080,1200
1,0,60,80,1080,1200
1,0,69,80,1080,1200
1,0,72,80,1080,1200
1,0,72,80,1080,1200
2,0,53,80,1200,1440
1,0,60,80,1200,1440
1,0,69,80,1200,1440
1,0,72,80,1200,1440
1,0,72,80,1200,1440
2,0,53,80,1440,1920
1,0,60,80,1440,1920
1,0,69,80,1440,1920
1,0,72,80,1440,1920
1,0,77,80,1440,1920
1,0,69,80,1920,2160
2,0,50,80,2160,2520
1,0,62,80,2160,2520
1,0,65,80,2160,2520
1,0,69,80,2160,2520
1,0,69,80,2160,2520
2,0,50,80,2520,2640
1,0,62,80,2520,2640
1,0,65,80,2520,2640
1,0,69,80,2520,2640
1,0,69,80,2520,2640
2,0,50,80,2640,2880
1,0,62,80,2640,2880
1,0,65,80,2640,2880
1,0,69,80,2640,2880
1,0,69,80,2640,2880
2,0,50,80,2880,3360
1,0,62,80,2880,3360
1,0,65,80,2880,3360
1,0,69,80,2880,3360
1,0,74,80,2880,3360
1,0,74,80,3360,3600
2,0,50,80,3600,3960
1,0,67,80,3600,3960
1,0,69,80,3600,3960
1,0,73,80,3600,3960
1,0,76,80,3600,3960
2,0,50,80,3960,4080
1,0,67,80,3960,4080
1,0,69,80,3960,4080
1,0,69,80,3960,4080
1,0,73,80,3960,4080
2,0,50,80,4080,4320
1,0,67,80,4080,4320
1,0,69,80,4080,4320
1,0,69,80,4080,4320
1,0,73,80,4080,4320
2,0,50,80,4320,4680
1,0,65,80,4320,4680
1,0,69,80,4320,4560
1,0,69,80,4320,4680
1,0,74,80,4320,4680
1,0,74,80,4560,4800
2,0,50,80,4680,4800
1,0,65,80,4680,4800
1,0,69,80,4680,4800
1,0,74,80,4680,4800
2,0,50,80,4800,5040
1,0,65,80,4800,5040
1,0,65,80,4800,5040
1,0,69,80,4800,5040
