# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,54,80,0,360
1,0,61,80,0,360
1,0,66,80,0,360
1,0,70,80,0,360
1,0,70,80,0,360
2,0,56,80,360,480
1,0,61,80,360,480
1,0,66,80,360,480
1,0,71,80,360,480
1,0,71,80,360,480
2,0,58,80,480,720
1,0,61,80,480,720
1,0,66,80,480,720
1,0,73,80,480,720
1,0,73,80,480,720
2,0,59,80,720,1200
1,0,61,80,720,1200
1,0,66,80,720,1200
1,0,75,80,720,1200
1,0,75,80,720,1200
2,0,58,80,1200,1440
1,0,61,80,1200,1440
1,0,66,80,1200,1440
1,0,73,80,1200,1440
1,0,73,80,1200,1440
2,0,59,80,1440,1800
1,0,63,80,1440,1800
1,0,66,80,1440,1800
1,0,75,80,1440,1800
1,0,78,80,1440,1800
1,0,78,80,1440,1800
2,0,58,80,1800,1920
1,0,61,80,1800,1920
1,0,66,80,1800,1920
1,0,70,80,1800,1920
1,0,73,80,1800,1920
1,0,73,80,1800,1920
2,0,59,80,1920,2160
1,0,63,80,1920,2160
1,0,66,80,1920,2160
1,0,71,80,1920,2160
1,0,75,80,1920,2160
1,0,75,80,1920,2160
2,0,58,80,2160,2640
1,0,61,80,2160,2640
1,0,66,80,2160,2640
1,0,73,80,2160,2640
1,0,73,80,2160,2640
2,0,54,80,2640,2880
1,0,61,80,2640,2880
1,0,66,80,2640,2880
1,0,70,80,2640,2880
1,0,70,80,2640,2880
2,0,47,80,2880,3600
2,0,56,80,2880,3240
1,0,63,80,2880,3240
1,0,66,80,2880,3240
1,0,68,80,2880,3240
2,0,56,80,3240,3360
1,0,63,80,3240,3360
1,0,66,80,3240,3360
1,0,70,80,3240,3360
2,0,56,80,3360,3600
1,0,63,80,3360,3600
1,0,66,80,3360,3600
1,0,71,80,3360,3600
2,0,47,80,3600,4320
2,0,56,80,3600,3960
1,0,63,80,3600,3960
1,0,66,80,3600,3960
1,0,77,80,3600,3960
2,0,56,80,3960,4080
1,0,63,80,3960,4080
1,0,66,80,3960,4080
1,0,75,80,3960,4080
2,0,56,80,4080,4320
1,0,63,80,4080,4320
1,0,66,80,4080,4320
1,0,71,80,4080,4320
2,0,49,80,4320,5040
2,0,59,80,4320,4680
1,0,65,80,4320,4680
1,0,70,80,4320,4680
2,0,59,80,4680,4800
1,0,65,80,4680,4800
1,0,71,80,4680,4800
2,0,59,80,4800,5040
1,0,65,80,4800,5040
1,0,73,80,4800,5040
2,0,49,80,5040,5760
2,0,58,80,5040,5400
1,0,66,80,5040,5400
1,0,66,80,5040,5760
1,0,73,80,5040,5760
2,0,59,80,5400,5520
1,0,68,80,5400,5520
1,0,61,80,5520,5760
1,0,70,80,5520,5760
2,0,37,80,5760,6480
2,0,56,80,5760,6120
1,0,61,80,5760,6480
