# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,33,80,0,240
2,0,33,80,0,240
2,0,45,80,0,240
2,0,45,80,0,240
1,0,72,80,480,720
1,0,72,80,480,720
1,0,76,80,480,960
1,0,76,80,480,960
1,0,69,80,720,960
1,0,69,80,720,960
1,0,71,80,960,1200
1,0,71,80,960,1200
1,0,74,80,960,1020
1,0,74,80,960,1020
1,0,74,80,960,1080
1,0,74,80,960,1080
1,0,76,80,960,1020
1,0,76,80,960,1020
1,0,73,80,1080,1200
1,0,73,80,1080,1200
1,0,69,80,1200,1440
1,0,69,80,1200,1440
1,0,74,80,1200,1320
1,0,74,80,1200,1320
1,0,76,80,1320,1440
1,0,76,80,1320,1440
1,0,74,80,1440,1680
1,0,74,80,1440,1680
1,0,77,80,1440,1680
1,0,77,80,1440,1680
1,0,71,80,1680,1920
1,0,71,80,1680,1920
1,0,74,80,1680,1920
1,0,74,80,1680,1920
1,0,72,80,1920,2160
1,0,72,80,1920,2160
1,0,76,80,1920,2400
1,0,76,80,1920,2400
1,0,69,80,2160,2400
1,0,69,80,2160,2400
1,0,64,80,2400,2640
1,0,64,80,2400,2640
1,0,72,80,2400,2880
1,0,72,80,2400,2880
1,0,69,80,2640,2880
1,0,69,80,2640,2880
1,0,65,80,4800,5040
1,0,65,80,4800,5040
1,0,71,80,4800,4860
1,0,71,80,4800,4860
1,0,71,80,4800,4920
1,0,71,80,4800,4920
1,0,72,80,4800,4860
1,0,72,80,4800,4860
1,0,70,80,4920,5040
1,0,70,80,4920,5040
1,0,69,80,5040,5280
1,0,69,80,5040,5280
1,0,71,80,5040,5160
1,0,71,80,5040,5160
1,0,72,80,5160,5280
1,0,72,80,5160,5280
1,0,62,80,5280,5520
1,0,62,80,5280,5520
1,0,74,80,5280,5760
1,0,74,80,5280,5760
1,0,69,80,5520,5760
1,0,69,80,5520,5760
2,0,45,80,5760,6720
2,0,45,80,5760,6720
1,0,60,80,5760,6240
1,0,60,80,5760,6240
1,0,69,80,5760,6240
1,0,69,80,5760,6240
2,0,52,80,6000,6240
2,0,52,80,6000,6240
2,0,59,80,6240,6720
2,0,59,80,6240,6720
1,0,62,80,6240,6360
1,0,62,80,6240,6360
1,0,66,80,6240,6360
1,0,66,80,6240,6360
1,0,68,80,6360,6480
1,0,68,80,6360,6480
1,0,66,80,6480,6600
1,0,66,80,6480,6600
1,0,68,80,6600,6720
1,0,68,80,6600,6720
2,0,45,80,6720,7680
2,0,45,80,6720,7680
2,0,59,80,6720,6960
2,0,59,80,6720,6960
1,0,60,80,6720,7200
1,0,60,80,6720,7200
1,0,69,80,6720,7200
1,0,69,80,6720,7200
2,0,52,80,6960,7200
2,0,52,80,6960,7200
2,0,59,80,7200,7680
2,0,59,80,7200,7680
1,0,62,80,7200,7320
1,0,62,80,7200,7320
1,0,66,80,7200,7320
1,0,66,80,7200,7320
1,0,68,80,7320,7440
1,0,68,80,7320,7440
1,0,66,80,7440,7560
1,0,66,80,7440,7560
1,0,68,80,7560,7680
1,0,68,80,7560,7680
2,0,45,80,7680,7920
2,0,45,80,7680,7920
2,0,57,80,7680,7920
2,0,57,80,7680,7920
1,0,60,80,7680,8640
1,0,60,80,7680,8640
1,0,69,80,7680,8640
1,0,69,80,7680,8640
2,0,52,80,7920,8160
2,0,52,80,7920,8160
2,0,48,80,8160,8400
2,0,48,80,8160,8400
2,0,47,80,8400,8640
2,0,47,80,8400,8640
2,0,45,80,10560,10800
2,0,45,80,10560,10800
1,0,60,80,10560,10800
1,0,60,80,10560,10800
1,0,64,80,10560,10800
1,0,64,80,10560,10800
1,0,69,80,10560,10800
1,0,69,80,10560,10800
1,0,69,80,10560,11040
2,0,52,80,10800,11040
2,0,52,80,10800,11040
2,0,57,80,11040,11280
2,0,57,80,11040,11280
1,0,65,80,11040,11400
1,0,65,80,11040,11400
1,0,69,80,11040,11400
1,0,69,80,11040,11400
1,0,74,80,11040,11400
1,0,74,80,11040,11400
