# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,0,240
1,0,60,80,0,240
1,0,64,80,0,240
1,0,62,80,240,720
1,0,65,80,240,720
1,0,69,80,240,480
1,0,69,80,480,720
1,0,71,80,720,960
1,0,69,80,960,1200
2,0,48,80,1200,1440
1,0,64,80,1200,1440
1,0,68,80,1200,1440
1,0,69,80,1200,1440
1,0,72,80,1200,1440
2,0,52,80,1440,1920
2,0,59,80,1440,1920
1,0,71,80,1440,1920
2,0,45,80,1920,2160
1,0,60,80,1920,2160
1,0,64,80,1920,2160
1,0,62,80,2160,2640
1,0,65,80,2160,2640
1,0,69,80,2160,2280
1,0,68,80,2280,2400
1,0,69,80,2400,2640
1,0,71,80,2640,2880
2,0,59,80,2880,3120
1,0,64,80,2880,3000
1,0,65,80,3000,3120
2,0,48,80,3120,3240
1,0,64,80,3120,3240
1,0,69,80,3120,3240
1,0,69,80,3120,3360
1,0,72,80,3120,3360
2,0,50,80,3240,3360
1,0,62,80,3240,3360
1,0,66,80,3240,3360
2,0,52,80,3360,3600
1,0,68,80,3360,3600
1,0,71,80,3360,3840
2,0,40,80,3600,3840
2,0,45,80,3840,4080
1,0,69,80,3840,4320
1,0,60,80,4080,4320
1,0,64,80,4080,4320
1,0,62,80,4320,4800
1,0,65,80,4320,4800
1,0,69,80,4320,4680
1,0,71,80,4680,4800
2,0,59,80,4800,5280
1,0,64,80,4800,5280
1,0,72,80,4800,5040
2,0,48,80,5040,5160
1,0,60,80,5040,5280
1,0,64,80,5040,5280
1,0,69,80,5040,5280
1,0,69,80,5040,5280
2,0,50,80,5160,5280
2,0,52,80,5280,5520
1,0,69,80,5280,5520
1,0,71,80,5280,5760
2,0,40,80,5520,5760
1,0,68,80,5520,5760
2,0,45,80,5760,6000
1,0,60,80,5760,6000
1,0,62,80,6000,6240
1,0,69,80,6000,6240
2,0,53,80,6240,6480
1,0,69,80,6240,6480
1,0,72,80,6240,6480
1,0,71,80,6480,6720
1,0,74,80,6480,6720
2,0,48,80,6720,6960
1,0,64,80,6720,6960
1,0,72,80,6720,6960
1,0,76,80,6720,6960
2,0,52,80,6960,7200
1,0,67,80,6960,7200
1,0,72,80,6960,7200
1,0,72,80,6960,7200
2,0,55,80,7200,7680
1,0,62,80,7200,7680
1,0,72,80,7200,7320
1,0,74,80,7200,7680
1,0,71,80,7320,7440
1,0,72,80,7440,7560
1,0,74,80,7560,7680
2,0,48,80,7680,7920
1,0,64,80,7920,8160
1,0,67,80,7920,8160
1,0,76,80,7920,8160
1,0,60,80,8160,8400
1,0,67,80,8160,8400
1,0,74,80,8160,8400
1,0,76,80,8160,8400
1,0,72,80,8400,8640
1,0,77,80,8640,8760
1,0,72,80,8760,9120
2,0,50,80,8880,9120
1,0,72,80,8880,9120
1,0,77,80,8880,9120
2,0,55,80,9120,9360
1,0,71,80,9120,9600
1,0,71,80,9120,9600
1,0,77,80,9120,9240
1,0,76,80,9240,9360
2,0,43,80,9360,9600
1,0,77,80,9360,9480
1,0,74,80,9480,9600
1,0,71,80,9600,9720
1,0,76,80,9600,9840
1,0,69,80,9720,9840
2,0,48,80,9840,10080
1,0,71,80,9840,9960
1,0,76,80,9840,10080
1,0,76,80,9840,10080
1,0,67,80,9960,10080
2,0,53,80,10080,10320
1,0,69,80,10080,10320
1,0,71,80,10080,10320
1,0,76,80,10080,10200
1,0,74,80,10200,10320
2,0,41,80,10320,10560
1,0,69,80,10320,10560
1,0,69,80,10320,10560
1,0,76,80,10320,10440
1,0,72,80,10440,10560
1,0,65,80,10560,10800
1,0,69,80,10560,10800
1,0,74,80,10560,10680
1,0,74,80,10560,11040
1,0,72,80,10680,10800
2,0,47,80,10800,11040
1,0,62,80,10800,11040
1,0,65,80,10800,11040
1,0,71,80,10800,10920
1,0,72,80,10920,11040
2,0,50,80,11040,11280
1,0,65,80,11040,11280
1,0,69,80,11040,11280
1,0,74,80,11040,11160
1,0,74,80,11040,11520
1,0,76,80,11160,11280
2,0,38,80,11280,11520
1,0,69,80,11280,11520
1,0,77,80,11280,11400
1,0,81,80,11400,11520
2,0,40,80,11520,11760
1,0,64,80,11520,12000
