# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,32,80,0,1920
2,0,44,80,0,1920
2,0,48,80,0,1920
2,0,51,80,0,1920
2,0,56,80,0,1920
2,0,32,80,1920,2160
2,0,44,80,1920,2160
2,0,56,80,1920,2160
1,0,60,80,1920,2160
2,0,32,80,2400,2640
2,0,44,80,2400,2640
1,0,60,80,2400,2640
1,0,63,80,2400,2640
2,0,32,80,2880,3120
2,0,44,80,2880,3120
1,0,60,80,2880,3120
1,0,63,80,2880,3120
1,0,68,80,2880,3120
2,0,32,80,3840,4080
2,0,44,80,3840,4080
1,0,61,80,3840,4080
1,0,67,80,3840,4080
2,0,32,80,4320,4560
2,0,44,80,4320,4560
1,0,61,80,4320,4560
1,0,67,80,4320,4560
1,0,70,80,4320,4560
2,0,32,80,4800,5040
2,0,44,80,4800,5040
1,0,67,80,4800,5040
1,0,70,80,4800,5040
1,0,73,80,4800,5040
1,0,61,80,5640,5760
1,0,67,80,5640,5760
2,0,44,80,5760,6000
2,0,48,80,5760,6000
2,0,51,80,5760,6000
2,0,56,80,5760,6000
1,0,60,80,5760,6000
1,0,63,80,5760,6000
1,0,68,80,5760,6000
2,0,44,80,6240,6480
2,0,48,80,6240,6480
2,0,51,80,6240,6480
2,0,56,80,6240,6480
1,0,63,80,6240,6480
1,0,68,80,6240,6480
1,0,72,80,6240,6480
2,0,44,80,6720,6960
2,0,48,80,6720,6960
2,0,51,80,6720,6960
2,0,56,80,6720,6960
1,0,68,80,6720,6960
1,0,72,80,6720,6960
1,0,75,80,6720,6960
1,0,80,80,7560,7680
1,0,61,80,7680,8160
1,0,68,80,7680,8160
1,0,79,80,7680,8160
1,0,77,80,8160,8400
1,0,80,80,8520,8640
1,0,60,80,8640,9120
1,0,68,80,8640,9120
1,0,77,80,8640,9120
1,0,75,80,9120,9360
1,0,80,80,9480,9600
2,0,58,80,9600,10560
1,0,65,80,9600,10080
1,0,68,80,9600,10080
1,0,75,80,9600,9840
1,0,74,80,9840,10320
1,0,63,80,10080,10560
1,0,67,80,10080,10560
1,0,73,80,10320,10800
2,0,56,80,10560,11040
1,0,63,80,10560,11040
1,0,68,80,10560,11040
1,0,72,80,10800,11040
1,0,61,80,11040,11520
1,0,65,80,11040,11520
1,0,70,80,11040,11280
1,0,69,80,11280,11340
1,0,70,80,11280,11340
1,0,70,80,11280,11340
1,0,72,80,11280,11340
1,0,77,80,11280,11520
2,0,51,80,11520,12480
1,0,60,80,11520,12480
1,0,68,80,11520,12360
1,0,70,80,12360,12420
1,0,68,80,12420,12480
2,0,51,80,12480,12960
2,0,58,80,12480,12960
1,0,67,80,12480,12720
2,0,55,80,12720,12960
1,0,63,80,12720,12960
2,0,55,80,12960,13200
1,0,63,80,12960,13200
2,0,55,80,13200,13440
1,0,63,80,13200,13440
2,0,39,80,13440,14400
2,0,55,80,13440,14400
2,0,58,80,13440,14400
1,0,61,80,13440,14400
1,0,64,80,13440,14400
2,0,51,80,13680,13920
2,0,51,80,13920,14160
2,0,51,80,14160,14400
2,0,39,80,14400,15360
2,0,58,80,14400,15360
1,0,61,80,14400,15360
1,0,64,80,14400,15360
1,0,67,80,14400,15360
2,0,51,80,14640,14880
2,0,51,80,14880,15120
2,0,51,80,15120,15360
2,0,39,80,15360,16320
2,0,59,80,15360,16320
1,0,63,80,15360,16320
1,0,68,80,15360,16320
2,0,51,80,15600,15840
2,0,51,80,15840,16080
2,0,51,80,16080,16320
2,0,39,80,16320,17280
1,0,60,80,16320,17280
1,0,63,80,16320,17280
1,0,66,80,16320,17280
1,0,69,80,16320,17280
2,0,51,80,16560,16800
2,0,51,80,16800,17040
2,0,51,80,17040,17280
2,0,37,80,17280,17520
2,0,49,80,17280,17520
1,0,61,80,17280,17520
1,0,65,80,17280,17520
1,0,70,80,17280,17520
2,0,36,80,17760,18000
2,0,48,80,17760,18000
1,0,63,80,17760,18000
1,0,69,80,17760,18000
1,0,72,80,17760,18000
2,0,34,80,18240,19200
2,0,46,80,18240,19200
1,0,65,80,18240,19200
1,0,70,80,18240,19200
1,0,73,80,18240,19200
1,0,61,80,19200,21120
1,0,65,80,19200,21120
1,0,70,80,19440,19560
1,0,69,80,19560,19680
1,0,72,80,19680,19800
1,0,70,80,19800,19920
1,0,73,80,19920,20040
1,0,72,80,20040,20160
1,0,75,80,20160,20280
1,0,73,80,20280,20400
1,0,77,80,20400,20520
1,0,76,80,20520,20640
1,0,79,80,20640,20760
1,0,77,80,20760,20880
1,0,76,80,20880,21000
1,0,73,80,21000,21120
2,0,51,80,21120,21360
2,0,56,80,21120,21360
1,0,60,80,21120,21360
1,0,68,80,21120,21360
2,0,51,80,21600,21840
2,0,56,80,21600,21840
1,0,60,80,21600,21840
1,0,68,80,21600,21840
1,0,72,80,21600,21840
2,0,51,80,22080,22320
2,0,56,80,22080,22320
1,0,60,80,22080,22320
1,0,72,80,22080,22320
1,0,75,80,22080,22320
2,0,51,80,23040,23280
2,0,56,80,23040,23280
1,0,60,80,23040,23280
1,0,68,80,23040,23280
1,0,72,80,23040,23280
2,0,51,80,23520,23760
2,0,56,80,23520,23760
1,0,60,80,23520,23760
1,0,72,80,23520,23760
1,0,75,80,23520,23760
2,0,51,80,24000,24240
2,0,56,80,24000,24240
1,0,60,80,24000,24240
1,0,72,80,24000,24240
1,0,75,80,24000,24240
1,0,80,80,24000,24240
2,0,51,80,24960,25200
2,0,56,80,24960,25200
1,0,60,80,24960,25200
1,0,68,80,24960,25200
1,0,72,80,24960,25200
1,0,75,80,24960,25200
2,0,51,80,25440,25680
2,0,56,80,25440,25680
1,0,60,80,25440,25680
1,0,72,80,25440,25680
1,0,75,80,25440,25680
1,0,80,80,25440,25680
2,0,51,80,25920,26160
2,0,56,80,25920,26160
1,0,60,80,25920,26160
1,0,75,80,25920,26160
1,0,80,80,25920,26160
1,0,84,80,25920,26160
1,0,63,80,26400,26880
1,0,72,80,26400,26880
1,0,72,80,26400,26880
2,0,51,80,26880,28320
2,0,55,80,26880,28320
2,0,58,80,26880,28320
1,0,61,80,26880,28320
1,0,67,80,26880,28320
1,0,70,80,26880,27600
1,0,70,80,26880,28320
1,0,72,80,27600,27840
1,0,73,80,27840,28320
2,0,51,80,28320,28800
2,0,58,80,28320,28800
1,0,61,80,28320,28800
1,0,67,80,28320,28800
1,0,67,80,28320,28800
2,0,44,80,28800,29040
2,0,56,80,28800,29040
1,0,60,80,28800,29040
1,0,68,80,28800,29040
1,0,68,80,28800,29520
2,0,44,80,29280,29520
2,0,56,80,29280,29520
1,0,68,80,29280,30240
1,0,72,80,29280,29520
2,0,44,80,29760,30000
2,0,56,80,29760,30000
1,0,72,80,29760,30000
1,0,75,80,29760,30000
2,0,44,80,30240,30480
2,0,56,80,30240,30480
1,0,60,80,30240,30480
1,0,68,80,30240,30480
1,0,68,80,30240,30720
2,0,49,80,30720,31680
2,0,56,80,30720,31680
1,0,61,80,30720,31680
1,0,65,80,30720,31680
1,0,68,80,30720,31680
1,0,77,80,30720,31440
1,0,77,80,30720,31680
1,0,73,80,31440,31680
2,0,51,80,31680,32640
2,0,58,80,31680,32640
1,0,61,80,31680,32640
1,0,67,80,31680,32640
1,0,70,80,31680,32160
1,0,75,80,32160,32520
1,0,72,80,32520,32640
2,0,44,80,32640,33600
1,0,60,80,32640,32880
1,0,68,80,32640,32880
1,0,68,80,32640,33600
2,0,56,80,32880,33120
1,0,60,80,32880,33120
1,0,63,80,32880,33120
2,0,56,80,33120,33360
1,0,60,80,33120,33360
1,0,63,80,33120,33360
2,0,56,80,33360,33600
1,0,60,80,33360,33600
1,0,63,80,33360,33600
2,0,32,80,33600,34560
2,0,44,80,33600,34560
2,0,56,80,33840,34080
1,0,60,80,33840,34080
1,0,63,80,33840,34080
1,0,63,80,33840,34080
2,0,56,80,34080,34320
1,0,60,80,34080,34320
1,0,63,80,34080,34320
1,0,63,80,34080,34320
2,0,56,80,34320,34560
1,0,60,80,34320,34560
1,0,63,80,34320,34560
1,0,63,80,34320,34560
2,0,31,80,34560,35520
2,0,43,80,34560,35520
1,0,65,80,34560,34920
2,0,58,80,34800,35040
1,0,61,80,34800,35040
1,0,63,80,34800,35040
1,0,63,80,34920,35040
2,0,58,80,35040,35280
1,0,61,80,35040,35280
1,0,63,80,35040,35280
1,0,63,80,35040,35520
2,0,58,80,35280,35520
1,0,61,80,35280,35520
1,0,63,80,35280,35520
2,0,31,80,35520,36480
2,0,43,80,35520,36480
2,0,58,80,35760,36000
1,0,61,80,35760,36000
1,0,63,80,35760,36000
2,0,58,80,36000,36240
1,0,61,80,36000,36240
1,0,63,80,36000,36240
1,0,63,80,36000,36360
2,0,58,80,36240,36480
1,0,61,80,36240,36480
1,0,63,80,36240,36480
1,0,63,80,36360,36480
2,0,44,80,36480,36600
1,0,60,80,36480,37440
1,0,63,80,36480,37440
1,0,68,80,36480,37440
1,0,68,80,36480,37440
2,0,51,80,36600,36720
2,0,48,80,36720,36840
2,0,51,80,36840,36960
2,0,44,80,36960,37080
2,0,51,80,37080,37200
2,0,48,80,37200,37320
2,0,51,80,37320,37440
2,0,46,80,37440,38400
2,0,53,80,37440,37560
1,0,68,80,37440,38160
1,0,62,80,37560,37680
2,0,56,80,37680,37800
1,0,62,80,37800,37920
2,0,53,80,37920,38040
1,0,62,80,38040,38160
2,0,56,80,38160,38280
1,0,70,80,38160,38400
1,0,62,80,38280,38400
2,0,39,80,38400,39360
2,0,51,80,38400,39360
2,0,55,80,38400,38520
1,0,67,80,38400,39360
2,0,58,80,38520,38640
1,0,63,80,38640,38760
1,0,62,80,38760,38880
1,0,63,80,38880,39000
1,0,62,80,39000,39120
1,0,63,80,39120,39240
1,0,62,80,39240,39360
1,0,63,80,39360,39600
1,0,67,80,39600,39840
1,0,67,80,39840,40080
1,0,70,80,39840,40080
1,0,67,80,40080,40320
1,0,70,80,40080,40320
2,0,44,80,40320,40560
2,0,56,80,40320,40560
1,0,63,80,40320,40560
1,0,72,80,40320,40560
1,0,72,80,40320,40800
2,0,44,80,40560,40800
2,0,56,80,40560,40800
1,0,63,80,40560,40800
1,0,72,80,40560,41040
2,0,44,80,40800,41040
