# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,39,80,0,480
2,0,51,80,0,480
1,0,63,80,0,480
1,0,67,80,0,240
1,0,67,80,0,480
1,0,70,80,240,480
2,0,46,80,480,1440
1,0,63,80,480,960
1,0,67,80,480,960
1,0,70,80,480,960
1,0,70,80,480,960
1,0,63,80,960,1200
1,0,67,80,960,1200
1,0,70,80,960,1200
1,0,70,80,1200,1440
2,0,41,80,1440,1920
2,0,53,80,1440,1920
1,0,62,80,1440,1920
1,0,68,80,1440,1680
1,0,68,80,1440,1920
1,0,72,80,1440,1920
1,0,72,80,1680,1920
2,0,58,80,1920,2880
1,0,62,80,1920,2400
1,0,68,80,1920,2400
1,0,70,80,1920,2400
1,0,70,80,1920,2400
1,0,62,80,2400,2640
1,0,68,80,2400,2640
1,0,70,80,2400,2640
2,0,39,80,2880,3360
2,0,51,80,2880,3360
1,0,63,80,2880,3360
1,0,67,80,2880,3120
1,0,67,80,2880,3360
1,0,70,80,3120,3360
2,0,46,80,3360,4320
1,0,63,80,3360,3840
1,0,67,80,3360,3840
1,0,70,80,3360,3840
1,0,70,80,3360,3840
1,0,63,80,3840,4080
1,0,67,80,3840,4080
1,0,70,80,3840,4080
1,0,70,80,4080,4320
2,0,41,80,4320,4800
2,0,53,80,4320,4800
1,0,62,80,4320,4800
1,0,68,80,4320,4560
1,0,68,80,4320,4800
1,0,72,80,4320,4800
1,0,72,80,4560,4800
2,0,58,80,4800,5760
1,0,62,80,4800,5280
1,0,68,80,4800,5280
1,0,70,80,4800,5280
1,0,70,80,4800,5280
1,0,62,80,5280,5520
1,0,68,80,5280,5520
1,0,70,80,5280,5520
2,0,39,80,5760,6240
2,0,51,80,5760,6240
1,0,63,80,5760,6240
1,0,67,80,5760,6000
1,0,67,80,5760,6240
1,0,70,80,6000,6240
2,0,46,80,6240,7200
1,0,63,80,6240,6720
1,0,67,80,6240,6720
1,0,70,80,6240,6720
1,0,72,80,6240,6480
1,0,74,80,6480,6720
1,0,63,80,6720,6960
1,0,67,80,6720,6960
1,0,70,80,6720,6960
1,0,75,80,6720,6960
1,0,79,80,6960,7200
2,0,41,80,7200,7680
2,0,53,80,7200,7680
1,0,63,80,7200,7680
1,0,67,80,7200,7680
1,0,69,80,7200,7680
1,0,69,80,7680,8400
1,0,65,80,8400,8640
2,0,46,80,8640,10080
2,0,53,80,8640,10080
1,0,62,80,8640,10080
1,0,68,80,8640,10080
1,0,77,80,8640,9120
1,0,74,80,9120,9600
1,0,72,80,9600,10080
2,0,46,80,10080,10560
2,0,53,80,10080,10560
1,0,62,80,10080,10320
1,0,68,80,10080,10320
1,0,70,80,10080,11040
1,0,77,80,10080,10560
1,0,74,80,10560,11040
1,0,70,80,11040,11280
1,0,72,80,11040,11520
2,0,51,80,11520,12960
1,0,61,80,11520,12000
1,0,67,80,11520,12000
1,0,70,80,11520,11760
1,0,70,80,11520,12000
1,0,73,80,11760,12000
2,0,58,80,12000,12480
1,0,67,80,12000,12480
1,0,70,80,12000,12480
1,0,73,80,12000,12480
1,0,73,80,12000,12480
2,0,58,80,12480,12720
1,0,67,80,12480,12720
1,0,70,80,12480,12720
1,0,73,80,12480,12720
1,0,73,80,12720,12960
2,0,51,80,12960,14400
1,0,63,80,12960,13440
1,0,68,80,12960,13440
1,0,71,80,12960,13200
1,0,71,80,12960,13440
1,0,75,80,13200,13440
2,0,59,80,13440,13920
1,0,68,80,13440,13920
1,0,71,80,13440,13920
1,0,75,80,13440,13920
1,0,75,80,13440,13920
2,0,59,80,13920,14160
1,0,68,80,13920,14160
1,0,71,80,13920,14160
1,0,75,80,13920,14160
2,0,51,80,14400,15840
1,0,64,80,14400,14880
1,0,68,80,14400,14880
1,0,73,80,14400,14640
1,0,73,80,14400,14880
1,0,76,80,14640,14880
1,0,62,80,14880,15360
1,0,68,80,14880,15360
1,0,73,80,14880,15360
1,0,76,80,14880,15360
1,0,76,80,14880,15360
1,0,62,80,15360,15600
1,0,68,80,15360,15600
1,0,73,80,15360,15600
1,0,76,80,15360,15600
2,0,51,80,15840,16800
1,0,66,80,15840,16320
1,0,69,80,15840,16320
1,0,75,80,15840,16080
1,0,75,80,15840,16320
1,0,78,80,16080,16320
1,0,60,80,16320,17280
1,0,69,80,16320,17280
1,0,75,80,16320,17280
1,0,78,80,16320,17280
1,0,78,80,16320,17280
1,0,60,80,17280,18240
1,0,69,80,17280,18240
1,0,75,80,17280,18240
1,0,78,80,17280,18240
1,0,78,80,17280,18240
2,0,59,80,18240,18720
1,0,67,80,18240,18720
1,0,74,80,18240,18720
1,0,79,80,18240,18720
1,0,79,80,18240,18720
1,0,60,80,18720,18960
1,0,67,80,18720,18960
1,0,75,80,18720,18960
1,0,79,80,18720,18960
1,0,79,80,18720,18960
1,0,77,80,19200,19440
1,0,75,80,19440,19680
1,0,74,80,19680,19920
1,0,72,80,19920,20160
2,0,46,80,20160,20400
2,0,58,80,20160,20400
1,0,67,80,20160,20400
1,0,75,80,20160,20400
1,0,75,80,20160,20400
1,0,79,80,20160,20400
1,0,67,80,20400,20640
1,0,70,80,20640,21120
1,0,72,80,21120,21600
2,0,46,80,21600,22080
1,0,68,80,21600,23040
1,0,72,80,21600,21840
1,0,72,80,21600,22560
1,0,67,80,22080,22560
1,0,65,80,22560,23040
1,0,74,80,22560,23040
2,0,39,80,23040,23280
2,0,51,80,23040,23280
1,0,63,80,23040,23520
1,0,67,80,23040,23520
1,0,75,80,23040,23520
1,0,63,80,23520,23760
1,0,63,80,23520,24000
1,0,67,80,23520,23760
1,0,75,80,23520,23760
1,0,63,80,24000,24240
2,0,39,80,24480,24960
2,0,51,80,24480,24960
1,0,63,80,24480,24960
1,0,67,80,24480,24720
1,0,67,80,24480,24960
1,0,70,80,24720,24960
2,0,46,80,24960,25920
1,0,63,80,24960,25440
1,0,67,80,24960,25440
1,0,70,80,24960,25440
1,0,70,80,24960,25440
1,0,63,80,25440,25680
1,0,67,80,25440,25680
1,0,70,80,25440,25680
2,0,41,80,25920,26400
2,0,53,80,25920,26400
1,0,62,80,25920,26400
1,0,68,80,25920,26160
1,0,68,80,25920,26400
1,0,72,80,25920,26400
1,0,72,80,26160,26400
2,0,58,80,26400,27360
1,0,62,80,26400,26880
1,0,68,80,26400,26880
1,0,70,80,26400,26880
1,0,70,80,26400,26880
1,0,62,80,26880,27120
1,0,68,80,26880,27120
1,0,70,80,26880,27120
2,0,39,80,27360,27840
2,0,51,80,27360,27840
1,0,63,80,27360,27840
1,0,67,80,27360,27840
2,0,46,80,27840,28800
1,0,63,80,27840,28320
1,0,67,80,27840,28320
1,0,70,80,27840,28320
1,0,75,80,27840,28560
1,0,63,80,28320,28560
1,0,67,80,28320,28560
1,0,70,80,28320,28560
1,0,67,80,28560,28800
2,0,41,80,28800,29280
2,0,53,80,28800,29280
1,0,62,80,28800,29280
1,0,68,80,28800,29040
1,0,68,80,28800,29280
1,0,72,80,28800,29280
1,0,72,80,29040,29280
2,0,58,80,29280,30240
1,0,62,80,29280,29760
1,0,68,80,29280,29760
1,0,70,80,29280,29760
1,0,70,80,29280,29760
1,0,62,80,29760,30000
1,0,68,80,29760,30000
1,0,70,80,29760,30000
2,0,39,80,30240,30720
2,0,51,80,30240,30720
1,0,63,80,30240,30720
1,0,67,80,30240,30480
1,0,67,80,30240,30720
1,0,70,80,30480,30720
2,0,46,80,30720,31680
1,0,63,80,30720,31200
1,0,67,80,30720,31200
1,0,70,80,30720,31200
1,0,72,80,30720,30960
1,0,74,80,30960,31200
1,0,63,80,31200,31440
1,0,67,80,31200,31440
1,0,70,80,31200,31440
1,0,75,80,31200,31440
1,0,79,80,31440,31680
2,0,41,80,31680,32160
2,0,53,80,31680,32160
1,0,63,80,31680,32160
1,0,67,80,31680,32160
1,0,69,80,31680,32160
1,0,67,80,32160,32400
1,0,69,80,32400,32640
1,0,67,80,32640,32880
1,0,65,80,32880,33120
2,0,46,80,33120,34560
2,0,53,80,33120,34560
1,0,62,80,33120,34560
1,0,68,80,33120,34560
1,0,77,80,33120,33600
1,0,74,80,33600,34080
1,0,72,80,34080,34560
2,0,46,80,34560,35040
2,0,53,80,34560,35040
1,0,62,80,34560,34800
1,0,68,80,34560,34800
1,0,70,80,34560,35520
1,0,77,80,34560,35040
1,0,74,80,35040,35520
1,0,72,80,35520,36000
2,0,51,80,36000,37440
1,0,61,80,36000,36480
1,0,67,80,36000,37200
1,0,70,80,36000,36480
1,0,70,80,36000,36480
2,0,58,80,36480,37440
1,0,67,80,36480,37440
1,0,73,80,36480,37440
1,0,63,80,37200,37440
2,0,51,80,37440,38880
1,0,63,80,37440,37920
1,0,68,80,37440,38640
1,0,72,80,37440,37920
1,0,72,80,37440,37920
1,0,60,80,37920,38880
1,0,68,80,37920,38880
1,0,75,80,37920,38880
1,0,63,80,38640,38880
2,0,55,80,38880,40320
1,0,65,80,38880,39360
1,0,71,80,38880,40080
1,0,74,80,38880,39360
1,0,74,80,38880,39360
1,0,62,80,39360,40320
1,0,71,80,39360,40320
