# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,1920
1,0,71,80,0,1920
1,0,74,80,0,1920
1,0,79,80,0,1020
1,0,83,80,0,1020
1,0,86,80,0,1200
1,0,79,80,960,1920
1,0,83,80,960,1920
1,0,86,80,960,1920
1,0,88,80,960,1020
1,0,67,80,1920,3840
1,0,71,80,1920,3840
1,0,74,80,1920,3840
1,0,79,80,1920,2940
1,0,83,80,1920,2940
1,0,86,80,1920,3120
1,0,79,80,2880,3840
1,0,83,80,2880,3840
1,0,86,80,2880,3840
1,0,88,80,2880,2940
1,0,63,80,3840,5760
1,0,67,80,3840,5760
1,0,70,80,3840,5760
1,0,75,80,3840,5760
1,0,79,80,3840,4860
1,0,82,80,3840,4860
1,0,87,80,3840,5040
1,0,79,80,4800,5760
1,0,82,80,4800,5760
1,0,87,80,4800,5760
1,0,89,80,4800,4860
2,0,58,80,5760,7680
1,0,63,80,5760,7680
1,0,67,80,5760,7680
1,0,70,80,5760,7680
1,0,75,80,5760,7680
1,0,79,80,5760,6780
1,0,82,80,5760,6780
1,0,79,80,6720,7680
1,0,82,80,6720,7680
1,0,87,80,6720,6960
1,0,90,80,6720,6780
1,0,62,80,7680,9600
1,0,67,80,7680,9600
1,0,67,80,7680,9600
1,0,71,80,7680,9600
1,0,71,80,7680,9600
1,0,74,80,7680,9600
1,0,74,80,7680,9600
1,0,79,80,8640,8700
1,0,83,80,8640,8700
1,0,86,80,8640,8880
1,0,88,80,8640,8700
1,0,62,80,9600,11520
1,0,67,80,9600,11520
1,0,67,80,9600,11520
1,0,71,80,9600,11520
1,0,71,80,9600,11520
1,0,74,80,9600,11520
1,0,74,80,9600,11520
1,0,79,80,9600,9660
1,0,83,80,9600,9660
1,0,86,80,9600,9840
1,0,88,80,9600,9660
1,0,79,80,10560,10620
1,0,83,80,10560,10620
1,0,86,80,10560,10800
1,0,90,80,10560,10620
1,0,62,80,11520,13440
1,0,66,80,11520,13440
1,0,67,80,11520,13440
1,0,69,80,11520,13440
1,0,72,80,11520,13440
1,0,72,80,11520,13440
1,0,74,80,11520,13440
1,0,74,80,11520,13440
1,0,78,80,12480,12540
1,0,84,80,12480,12540
1,0,86,80,12480,12720
1,0,88,80,12480,12540
1,0,62,80,13440,15360
1,0,66,80,13440,15360
1,0,67,80,13440,15360
1,0,69,80,13440,15360
1,0,72,80,13440,15360
1,0,72,80,13440,15360
1,0,74,80,13440,15360
1,0,74,80,13440,15360
1,0,78,80,13440,13500
1,0,84,80,13440,13500
1,0,86,80,13440,13680
1,0,88,80,13440,13500
1,0,78,80,14400,14460
1,0,84,80,14400,14460
1,0,86,80,14400,14640
1,0,88,80,14400,14460
1,0,67,80,15360,15840
1,0,67,80,15360,16320
1,0,67,80,15360,16320
1,0,71,80,15360,16320
1,0,71,80,15360,16320
1,0,74,80,15360,16320
1,0,74,80,15360,16320
1,0,74,80,15840,16320
1,0,66,80,16320,17280
1,0,66,80,16320,17280
1,0,69,80,16320,16800
1,0,72,80,16320,17280
1,0,72,80,16320,17280
1,0,74,80,16320,17280
1,0,74,80,16320,17280
1,0,74,80,16800,17280
1,0,67,80,17280,18240
1,0,67,80,17280,18240
1,0,71,80,17280,18240
1,0,71,80,17280,18240
1,0,74,80,17280,18240
1,0,79,80,17280,17760
1,0,79,80,17280,18240
1,0,74,80,17760,18240
1,0,67,80,18240,19200
1,0,67,80,18240,19200
1,0,71,80,18240,18720
1,0,71,80,18240,19200
1,0,71,80,18240,19200
1,0,76,80,18240,19200
1,0,76,80,18240,19200
1,0,79,80,18240,19200
1,0,69,80,18720,18960
1,0,67,80,18960,19200
1,0,64,80,19200,19680
1,0,64,80,19200,20160
1,0,69,80,19200,20160
1,0,69,80,19200,20160
1,0,72,80,19200,20160
1,0,72,80,19200,20160
1,0,76,80,19200,20160
1,0,81,80,19200,20160
1,0,66,80,19680,19920
1,0,67,80,19920,20160
1,0,62,80,20160,21120
1,0,66,80,20160,21120
1,0,66,80,20160,21120
1,0,69,80,20160,20640
1,0,69,80,20160,21120
1,0,72,80,20160,21120
1,0,74,80,20160,21120
1,0,74,80,20160,21120
1,0,78,80,20160,21120
1,0,67,80,20640,20880
1,0,69,80,20880,21120
1,0,62,80,21120,22080
1,0,67,80,21120,22080
1,0,67,80,21120,22080
1,0,71,80,21120,21600
1,0,71,80,21120,22080
1,0,71,80,21120,22080
1,0,74,80,21120,22080
1,0,74,80,21120,22080
1,0,79,80,21120,22080
1,0,69,80,21600,21840
1,0,67,80,21840,22080
1,0,62,80,22080,23040
1,0,66,80,22080,23040
1,0,66,80,22080,23040
1,0,69,80,22080,23040
1,0,69,80,22080,23040
1,0,72,80,22080,23040
1,0,74,80,22080,23040
1,0,74,80,22080,23040
1,0,78,80,22080,23040
2,0,43,80,23040,23520
2,0,50,80,23040,23520
1,0,66,80,23040,23520
1,0,69,80,23040,24000
1,0,72,80,23040,23520
1,0,74,80,23040,23520
