# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,44,80,0,960
2,0,51,80,0,480
1,0,60,80,0,960
1,0,72,80,0,480
2,0,52,80,480,960
1,0,70,80,480,720
1,0,68,80,720,960
2,0,44,80,960,1920
2,0,53,80,960,1440
1,0,61,80,960,1920
1,0,67,80,960,1200
1,0,70,80,1200,1440
2,0,53,80,1440,1800
1,0,68,80,1440,1800
2,0,55,80,1800,1920
1,0,65,80,1800,1920
2,0,44,80,1920,2880
2,0,56,80,1920,2880
1,0,60,80,1920,2880
1,0,63,80,1920,2880
2,0,44,80,2880,3360
2,0,56,80,2880,3360
1,0,60,80,2880,3360
1,0,63,80,2880,3360
2,0,51,80,3840,4800
1,0,63,80,3840,4320
1,0,68,80,3840,4320
1,0,72,80,3840,4320
1,0,62,80,4320,4800
1,0,68,80,4320,4800
1,0,71,80,4320,4800
1,0,79,80,4320,4680
1,0,77,80,4680,4800
2,0,51,80,4800,5760
1,0,61,80,4800,5280
1,0,67,80,4800,5760
1,0,75,80,4800,5040
1,0,69,80,5040,5280
1,0,61,80,5280,5640
1,0,70,80,5280,5640
1,0,63,80,5640,5760
1,0,72,80,5640,5760
2,0,56,80,5760,6000
1,0,60,80,5760,6000
1,0,68,80,5760,6000
2,0,51,80,6240,6480
1,0,61,80,6240,6480
1,0,67,80,6240,6480
1,0,75,80,6240,6480
2,0,44,80,6720,6960
2,0,51,80,6720,6960
1,0,60,80,6720,6960
1,0,68,80,6720,6960
1,0,75,80,6720,6960
1,0,80,80,6720,6960
2,0,44,80,7680,8640
2,0,51,80,7680,8160
1,0,60,80,7680,8640
1,0,72,80,7680,8160
1,0,72,80,7680,8160
2,0,52,80,8160,8640
1,0,70,80,8160,8400
1,0,70,80,8160,8400
1,0,68,80,8400,8640
1,0,68,80,8400,8640
2,0,44,80,8640,9600
2,0,53,80,8640,9120
1,0,61,80,8640,9600
1,0,67,80,8640,8880
1,0,67,80,8640,8880
1,0,70,80,8880,9120
1,0,70,80,8880,9120
2,0,53,80,9120,9480
1,0,68,80,9120,9480
1,0,68,80,9120,9480
2,0,55,80,9480,9600
1,0,65,80,9480,9600
1,0,65,80,9480,9600
2,0,44,80,9600,10560
2,0,56,80,9600,10080
1,0,60,80,9600,10560
1,0,63,80,9600,10560
1,0,63,80,9600,10560
2,0,50,80,10080,10320
2,0,51,80,10320,10560
2,0,44,80,10560,11520
2,0,53,80,10560,10800
1,0,60,80,10560,11040
1,0,63,80,10560,11040
1,0,63,80,10560,11040
2,0,51,80,10800,11040
2,0,56,80,11040,11280
2,0,58,80,11280,11520
2,0,41,80,11520,12480
2,0,57,80,11520,12480
1,0,63,80,11520,12000
1,0,65,80,11520,12000
1,0,69,80,11520,12000
1,0,72,80,11520,12000
1,0,72,80,11520,12000
1,0,62,80,12000,12240
1,0,65,80,12000,12240
1,0,69,80,12000,12240
1,0,71,80,12000,12240
1,0,71,80,12000,12240
1,0,63,80,12240,12480
1,0,65,80,12240,12480
1,0,69,80,12240,12480
1,0,72,80,12240,12480
1,0,72,80,12240,12480
2,0,41,80,12480,13440
2,0,57,80,12480,13440
1,0,66,80,12480,12720
1,0,69,80,12480,12960
1,0,75,80,12480,12720
1,0,75,80,12480,12720
1,0,65,80,12720,12960
1,0,73,80,12720,12960
1,0,73,80,12720,12960
1,0,63,80,12960,13440
1,0,65,80,12960,13440
1,0,69,80,12960,13440
1,0,73,80,12960,13320
1,0,73,80,12960,13320
1,0,72,80,13320,13440
1,0,72,80,13320,13440
2,0,46,80,13440,14400
2,0,53,80,13440,13920
1,0,61,80,13440,14400
1,0,65,80,13440,14400
1,0,65,80,13440,14400
2,0,53,80,13920,14160
2,0,52,80,14160,14400
2,0,46,80,14400,15360
2,0,53,80,14400,14640
1,0,61,80,14400,14880
1,0,65,80,14400,14880
1,0,65,80,14400,14880
2,0,57,80,14640,14880
2,0,58,80,14880,15120
1,0,60,80,15120,15360
2,0,46,80,15360,16320
1,0,61,80,15360,15840
1,0,65,80,15360,16320
1,0,73,80,15360,15840
1,0,73,80,15360,15840
1,0,60,80,15840,16080
1,0,72,80,15840,16080
1,0,72,80,15840,16080
2,0,58,80,16080,16320
1,0,70,80,16080,16320
1,0,70,80,16080,16320
2,0,48,80,16320,16800
2,0,58,80,16320,16560
1,0,63,80,16320,17280
1,0,65,80,16320,17280
1,0,70,80,16320,16560
1,0,70,80,16320,16560
2,0,57,80,16560,16800
1,0,69,80,16560,16800
1,0,69,80,16560,16800
2,0,41,80,16800,17280
2,0,58,80,16800,17160
1,0,70,80,16800,17160
1,0,70,80,16800,17160
1,0,60,80,17160,17280
1,0,72,80,17160,17280
1,0,72,80,17160,17280
2,0,46,80,17280,18240
2,0,53,80,17280,17760
1,0,61,80,17280,18000
1,0,65,80,17280,18240
1,0,65,80,17280,18240
1,0,61,80,17760,18240
1,0,60,80,18000,18240
2,0,46,80,18240,18720
2,0,58,80,18240,18480
1,0,61,80,18240,18720
1,0,65,80,18240,18720
1,0,65,80,18240,18720
2,0,52,80,18480,18720
2,0,53,80,18720,18960
2,0,55,80,18960,19200
2,0,46,80,19200,20160
2,0,56,80,19200,20160
1,0,62,80,19200,20160
1,0,72,80,19200,19680
1,0,72,80,19200,19680
1,0,70,80,19680,19920
1,0,70,80,19680,19920
1,0,68,80,19920,20160
1,0,68,80,19920,20160
2,0,46,80,20160,20640
2,0,56,80,20160,20640
1,0,62,80,20160,20640
1,0,64,80,20160,20400
1,0,64,80,20160,20400
1,0,65,80,20400,20640
1,0,65,80,20400,20640
2,0,46,80,20640,21120
2,0,56,80,20640,21120
1,0,62,80,20640,20880
1,0,67,80,20640,20880
1,0,67,80,20640,21000
1,0,62,80,20880,21120
1,0,68,80,20880,21120
1,0,68,80,21000,21120
2,0,39,80,21120,22080
2,0,56,80,21120,21600
1,0,61,80,21120,22080
1,0,65,80,21120,22080
1,0,70,80,21120,22080
1,0,70,80,21120,22080
2,0,55,80,21600,21840
2,0,53,80,21840,22080
2,0,39,80,22080,23040
2,0,53,80,22080,22320
1,0,61,80,22080,22560
1,0,65,80,22080,22560
1,0,70,80,22080,22560
1,0,70,80,22080,22560
2,0,54,80,22320,22560
2,0,55,80,22560,22800
1,0,61,80,22560,23040
1,0,63,80,22560,23040
1,0,67,80,22560,23040
1,0,71,80,22560,23040
2,0,51,80,22800,23040
2,0,44,80,23040,23520
1,0,72,80,23040,23520
1,0,72,80,23040,23520
2,0,51,80,23520,24000
2,0,56,80,23520,24000
1,0,60,80,23520,24000
1,0,63,80,23520,24000
1,0,70,80,23520,24240
1,0,70,80,23520,24240
2,0,51,80,24000,24480
2,0,56,80,24000,24480
1,0,60,80,24000,24480
1,0,63,80,24000,24480
1,0,68,80,24240,24480
1,0,68,80,24240,24480
2,0,39,80,24480,24960
1,0,67,80,24480,25440
1,0,67,80,24480,25440
2,0,51,80,24960,25440
2,0,56,80,24960,25440
1,0,60,80,24960,25440
1,0,63,80,24960,25440
2,0,51,80,25440,25920
2,0,56,80,25440,25920
1,0,60,80,25440,25920
1,0,63,80,25440,25920
1,0,68,80,25440,25920
1,0,68,80,25440,25920
2,0,46,80,25920,26400
1,0,75,80,25920,27360
1,0,75,80,25920,27360
2,0,51,80,26400,26880
2,0,55,80,26400,26880
1,0,61,80,26400,26880
1,0,63,80,26400,26880
2,0,51,80,26880,27360
2,0,55,80,26880,27360
1,0,61,80,26880,27360
1,0,63,80,26880,27360
2,0,39,80,27360,27840
1,0,75,80,27360,28320
1,0,75,80,27360,28320
2,0,51,80,27840,28320
2,0,55,80,27840,28320
1,0,61,80,27840,28320
1,0,63,80,27840,28320
2,0,51,80,28320,28800
2,0,55,80,28320,28800
1,0,61,80,28320,28800
1,0,63,80,28320,28800
2,0,46,80,28800,29280
2,0,53,80,28800,29280
1,0,65,80,28800,29280
1,0,65,80,28800,29280
2,0,55,80,29280,30000
1,0,67,80,29280,30000
1,0,67,80,29280,30000
2,0,58,80,30000,30240
1,0,70,80,30000,30240
1,0,70,80,30000,30240
2,0,39,80,30240,30720
2,0,53,80,30240,31200
1,0,65,80,30240,31200
1,0,65,80,30240,31200
2,0,58,80,31200,31680
1,0,70,80,31200,31680
1,0,70,80,31200,31680
2,0,48,80,31680,32160
1,0,63,80,31680,33120
1,0,63,80,31680,33120
