# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,54,80,0,1440
2,0,57,80,0,360
1,0,62,80,120,240
2,0,57,80,240,1440
2,0,50,80,360,480
2,0,38,80,480,1440
2,0,50,80,480,1440
2,0,38,80,1440,1680
2,0,50,80,1440,1680
2,0,54,80,1440,1680
2,0,57,80,1440,1680
2,0,54,80,1920,3360
2,0,57,80,1920,3360
2,0,50,80,2040,2160
2,0,50,80,2040,2160
2,0,45,80,2160,2280
2,0,45,80,2160,2280
2,0,38,80,2280,2400
2,0,26,80,2400,3360
2,0,38,80,2400,3360
2,0,26,80,3360,3600
2,0,38,80,3360,3600
2,0,54,80,3360,3600
2,0,57,80,3360,3600
2,0,50,80,3840,4560
2,0,54,80,3840,4680
2,0,57,80,3840,4800
2,0,38,80,4080,4560
2,0,45,80,4080,4560
1,0,71,80,4200,4320
1,0,62,80,4320,4560
1,0,66,80,4320,4560
1,0,69,80,4320,4560
2,0,50,80,4440,6720
2,0,38,80,4560,5280
2,0,45,80,4560,5280
2,0,54,80,4560,6720
2,0,57,80,4680,6720
1,0,62,80,4800,5040
1,0,83,80,4920,5040
1,0,74,80,5040,5280
1,0,78,80,5040,5280
1,0,81,80,5040,5280
1,0,62,80,5160,5280
2,0,38,80,5280,6720
2,0,45,80,5280,6720
1,0,66,80,5280,5400
1,0,69,80,5400,5520
1,0,74,80,5520,5760
1,0,83,80,5640,5760
1,0,74,80,5760,6000
1,0,78,80,5760,6000
1,0,81,80,5760,6000
1,0,74,80,6000,6120
1,0,78,80,6000,6120
1,0,81,80,6000,6120
2,0,38,80,6720,8160
2,0,45,80,6720,8160
2,0,50,80,6720,8160
2,0,54,80,6720,8160
2,0,57,80,6720,8160
1,0,74,80,6720,8160
1,0,78,80,6720,8160
1,0,81,80,6720,8160
2,0,38,80,8160,8880
2,0,45,80,8160,8880
2,0,50,80,8160,8880
2,0,54,80,8160,8880
2,0,57,80,8160,8880
1,0,74,80,8160,8880
1,0,78,80,8160,8880
1,0,81,80,8160,8880
2,0,38,80,8880,9120
2,0,45,80,8880,9120
2,0,50,80,8880,9120
2,0,54,80,8880,9120
2,0,57,80,8880,9120
1,0,74,80,8880,9120
1,0,78,80,8880,9120
1,0,81,80,8880,9120
2,0,50,80,9600,10560
2,0,54,80,9600,10680
2,0,57,80,9600,10800
2,0,38,80,9840,10320
2,0,45,80,9840,10320
1,0,71,80,10200,10320
2,0,38,80,10320,11040
2,0,45,80,10320,11040
1,0,62,80,10320,10560
1,0,66,80,10320,10560
1,0,69,80,10320,10560
2,0,50,80,10440,12480
2,0,54,80,10560,12480
2,0,57,80,10680,12480
1,0,62,80,10800,11040
1,0,83,80,10920,11040
2,0,38,80,11040,12480
2,0,45,80,11040,12480
1,0,74,80,11040,11280
1,0,78,80,11040,11280
