# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,65,80,0,120
1,0,66,80,1920,2400
1,0,74,80,1920,2040
1,0,78,80,2040,2160
1,0,80,80,2160,2280
1,0,81,80,2280,2400
1,0,66,80,2400,2640
1,0,83,80,2400,2520
1,0,81,80,2520,2640
1,0,80,80,2640,2760
1,0,69,80,2760,2880
1,0,78,80,2760,2880
1,0,66,80,2880,3000
1,0,74,80,2880,3000
1,0,66,80,3000,3120
1,0,68,80,3120,3240
1,0,69,80,3240,3360
1,0,71,80,3360,3480
1,0,69,80,3480,3600
1,0,68,80,3600,3720
2,0,57,80,3720,3840
1,0,66,80,3720,3840
2,0,54,80,3840,4080
1,0,62,80,3840,4080
1,0,66,80,4680,4800
1,0,65,80,4800,5280
1,0,74,80,4800,4920
1,0,77,80,4920,5040
1,0,79,80,5040,5160
1,0,81,80,5160,5280
1,0,65,80,5280,5520
1,0,82,80,5280,5400
1,0,81,80,5400,5520
1,0,79,80,5520,5640
1,0,69,80,5640,5760
1,0,77,80,5640,5760
1,0,65,80,5760,5880
1,0,74,80,5760,5880
1,0,65,80,5880,6000
1,0,67,80,6000,6120
1,0,69,80,6120,6240
1,0,70,80,6240,6360
1,0,69,80,6360,6480
1,0,67,80,6480,6600
2,0,57,80,6600,6720
1,0,65,80,6600,6720
2,0,53,80,6720,6960
1,0,62,80,6720,6960
2,0,53,80,7560,7680
2,0,54,80,7680,8160
1,0,62,80,7680,7800
1,0,62,80,7680,8160
1,0,66,80,7800,7920
1,0,68,80,7920,8040
1,0,69,80,8040,8160
2,0,54,80,8160,8400
1,0,62,80,8160,8640
1,0,71,80,8160,8280
1,0,69,80,8280,8400
1,0,68,80,8400,8520
2,0,57,80,8520,8640
1,0,66,80,8520,8640
1,0,69,80,8520,8640
2,0,54,80,8640,9120
1,0,62,80,8640,8760
1,0,69,80,8640,9120
1,0,66,80,8760,8880
1,0,68,80,8880,9000
1,0,69,80,9000,9360
2,0,54,80,9120,9360
1,0,71,80,9120,9240
1,0,69,80,9240,9360
1,0,68,80,9360,9480
1,0,69,80,9360,9480
2,0,57,80,9480,9600
1,0,66,80,9480,9600
1,0,71,80,9480,9600
2,0,52,80,9600,10080
1,0,61,80,9600,9720
1,0,61,80,9600,10080
1,0,73,80,9600,10560
1,0,64,80,9720,9840
1,0,66,80,9840,9960
1,0,68,80,9960,10080
2,0,52,80,10080,10320
1,0,61,80,10080,10560
1,0,69,80,10080,10200
1,0,68,80,10200,10320
1,0,66,80,10320,10440
2,0,56,80,10440,10560
1,0,64,80,10440,10560
2,0,52,80,10560,11040
1,0,61,80,10560,10680
1,0,64,80,10680,10800
1,0,66,80,10800,10920
1,0,68,80,10920,11040
1,0,68,80,10920,11040
2,0,52,80,11040,11280
1,0,68,80,11040,11280
1,0,69,80,11040,11160
1,0,68,80,11160,11400
1,0,66,80,11280,11400
2,0,56,80,11400,11520
1,0,64,80,11400,11520
1,0,68,80,11400,11520
2,0,51,80,11520,12000
1,0,60,80,11520,11640
1,0,60,80,11520,12000
1,0,69,80,11520,12000
1,0,63,80,11640,11760
1,0,64,80,11760,11880
1,0,66,80,11880,12000
2,0,51,80,12000,12240
2,0,59,80,12000,12480
1,0,68,80,12000,12120
1,0,68,80,12000,12240
1,0,66,80,12120,12240
1,0,64,80,12240,12360
2,0,54,80,12360,12480
1,0,63,80,12360,12480
2,0,53,80,12480,12960
2,0,59,80,12480,12600
1,0,62,80,12600,12720
1,0,64,80,12720,12840
1,0,65,80,12840,12960
2,0,53,80,12960,13200
1,0,71,80,12960,13080
1,0,65,80,13080,13200
1,0,64,80,13200,13320
1,0,65,80,13200,13380
2,0,44,80,13320,13440
1,0,62,80,13320,13440
1,0,65,80,13380,13440
2,0,54,80,13440,13920
2,0,59,80,13440,13560
2,0,59,80,13440,13920
1,0,66,80,13440,13920
1,0,62,80,13560,13680
1,0,64,80,13680,13800
1,0,66,80,13800,14160
2,0,54,80,13920,14160
2,0,59,80,13920,14400
1,0,71,80,13920,14040
1,0,66,80,14040,14280
1,0,64,80,14160,14280
2,0,44,80,14280,14400
1,0,62,80,14280,14400
1,0,66,80,14280,14400
2,0,53,80,14400,14880
2,0,59,80,14400,14520
1,0,65,80,14400,14880
1,0,62,80,14520,14640
1,0,64,80,14640,14760
1,0,65,80,14760,14880
2,0,53,80,14880,15120
1,0,65,80,14880,15120
1,0,71,80,14880,15000
1,0,65,80,15000,15120
1,0,64,80,15120,15240
2,0,44,80,15240,15360
1,0,62,80,15240,15360
2,0,52,80,15360,15840
2,0,58,80,15360,15480
2,0,58,80,15360,15840
1,0,60,80,15480,15600
1,0,61,80,15600,15720
1,0,64,80,15720,15840
2,0,52,80,15840,16080
2,0,57,80,15840,16320
1,0,61,80,15840,16080
1,0,70,80,15840,15960
1,0,64,80,15960,16080
1,0,61,80,16080,16320
1,0,63,80,16080,16200
2,0,57,80,16200,16320
1,0,61,80,16200,16320
2,0,51,80,16320,16800
2,0,57,80,16320,16440
1,0,63,80,16320,16800
1,0,60,80,16440,16560
1,0,61,80,16560,16680
1,0,63,80,16680,17040
2,0,51,80,16800,17040
1,0,68,80,16800,16920
1,0,63,80,16920,17280
1,0,61,80,17040,17160
2,0,44,80,17160,17280
1,0,60,80,17160,17280
2,0,49,80,17280,17760
2,0,56,80,17280,17400
2,0,56,80,17280,17760
1,0,63,80,17280,17640
1,0,61,80,17400,17520
1,0,63,80,17520,17760
1,0,64,80,17640,17760
2,0,49,80,17760,18000
2,0,56,80,17760,18240
1,0,61,80,17760,18240
1,0,68,80,17760,17880
1,0,64,80,17880,18000
1,0,63,80,18000,18120
2,0,44,80,18120,18240
1,0,61,80,18120,18240
2,0,37,80,18240,18720
2,0,56,80,18240,18360
1,0,61,80,18360,18480
1,0,63,80,18480,18600
1,0,64,80,18600,18720
2,0,37,80,18720,18960
1,0,68,80,18720,18840
1,0,64,80,18840,18960
1,0,63,80,18960,19080
2,0,32,80,19080,19200
1,0,61,80,19080,19200
2,0,25,80,19200,20160
2,0,56,80,19200,19440
1,0,61,80,19440,19680
