# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,240
2,0,41,80,1920,2400
2,0,53,80,1920,2400
2,0,56,80,1920,2400
1,0,60,80,1920,2400
1,0,65,80,1920,2400
1,0,65,80,1920,2400
1,0,65,80,1920,2640
2,0,41,80,2400,2640
2,0,53,80,2400,2640
2,0,56,80,2400,2640
1,0,60,80,2400,2640
1,0,65,80,2400,2640
1,0,65,80,2400,2640
2,0,39,80,2640,2880
2,0,51,80,2640,2880
2,0,58,80,2640,2880
1,0,61,80,2640,2880
1,0,67,80,2640,2880
1,0,67,80,2640,2880
1,0,67,80,2640,2880
2,0,44,80,2880,3360
2,0,51,80,2880,3360
2,0,56,80,2880,3360
1,0,60,80,2880,3360
1,0,68,80,2880,3360
1,0,68,80,2880,3360
1,0,68,80,2880,3600
2,0,37,80,3360,3600
2,0,49,80,3360,3600
2,0,56,80,3360,3600
1,0,65,80,3360,3600
1,0,68,80,3360,3600
1,0,68,80,3360,3600
2,0,36,80,3600,3840
2,0,48,80,3600,3840
2,0,56,80,3600,3840
1,0,63,80,3600,3840
1,0,68,80,3600,3840
1,0,68,80,3600,3840
2,0,34,80,3840,4320
2,0,46,80,3840,4320
2,0,58,80,3840,4320
1,0,61,80,3840,4320
1,0,65,80,3840,4320
1,0,68,80,3840,4320
1,0,70,80,3840,4320
2,0,39,80,4320,4800
2,0,51,80,4320,4800
2,0,58,80,4320,4800
1,0,61,80,4320,4800
1,0,65,80,4320,4560
1,0,68,80,4320,4560
1,0,68,80,4320,4560
1,0,70,80,4320,4380
1,0,72,80,4320,4380
1,0,63,80,4560,4800
1,0,67,80,4560,4800
1,0,70,80,4560,4800
2,0,44,80,4800,5280
2,0,51,80,4800,5280
2,0,56,80,4800,5280
1,0,60,80,4800,5280
1,0,63,80,4800,5280
1,0,68,80,4800,5280
1,0,72,80,4800,5280
2,0,41,80,5280,5520
2,0,53,80,5280,5520
1,0,60,80,5280,5520
1,0,68,80,5280,5520
1,0,72,80,5280,5520
2,0,39,80,5520,5760
2,0,51,80,5520,5760
1,0,60,80,5520,5760
1,0,67,80,5520,5760
1,0,72,80,5520,5760
2,0,38,80,5760,6240
2,0,50,80,5760,6240
1,0,60,80,5760,6240
1,0,65,80,5760,6240
1,0,67,80,5760,6000
1,0,68,80,5760,6240
1,0,72,80,5760,6240
1,0,74,80,5760,6240
1,0,65,80,6000,6240
2,0,41,80,6240,6480
2,0,53,80,6240,6480
