# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,240,480
1,0,62,80,480,720
1,0,66,80,720,960
2,0,50,80,1920,2880
2,0,54,80,1920,2880
1,0,62,80,1920,2880
1,0,69,80,1920,2640
1,0,69,80,2640,2880
2,0,52,80,2880,3840
2,0,55,80,2880,3840
1,0,61,80,2880,3840
1,0,71,80,2880,3600
1,0,69,80,3600,3840
2,0,54,80,3840,4800
2,0,57,80,3840,4800
1,0,60,80,3840,4800
1,0,63,80,3840,4800
1,0,69,80,3840,4560
1,0,69,80,4560,4800
2,0,55,80,4800,5760
2,0,59,80,4800,5520
1,0,64,80,4800,5280
1,0,69,80,4800,5040
1,0,67,80,5040,5280
2,0,59,80,5280,5760
1,0,64,80,5520,5760
2,0,45,80,5760,6720
2,0,50,80,5760,6720
2,0,54,80,5760,6720
2,0,57,80,5760,6720
1,0,62,80,5760,6480
1,0,62,80,6480,6720
2,0,45,80,6720,7680
2,0,52,80,6720,7680
2,0,55,80,6720,7680
1,0,61,80,6720,7680
1,0,64,80,6720,7200
1,0,71,80,7200,7560
1,0,69,80,7560,7680
2,0,50,80,7680,8640
2,0,57,80,7680,8640
1,0,61,80,7680,8640
1,0,64,80,7680,8640
1,0,66,80,7680,8160
1,0,69,80,7680,8040
1,0,67,80,8040,8160
1,0,66,80,8160,8320
1,0,69,80,8320,8480
1,0,67,80,8480,8640
2,0,50,80,8640,9600
2,0,57,80,8640,9120
1,0,62,80,8640,8880
1,0,66,80,8640,8880
2,0,57,80,8880,9600
1,0,62,80,9120,9360
1,0,66,80,9360,9600
2,0,54,80,9600,10560
2,0,57,80,9600,10560
1,0,62,80,9600,10560
1,0,69,80,9600,10320
1,0,69,80,10320,10560
2,0,52,80,10560,11520
2,0,57,80,10560,11520
1,0,67,80,10560,11520
1,0,73,80,10560,11040
1,0,71,80,11040,11280
1,0,69,80,11280,11520
2,0,50,80,11520,12480
2,0,57,80,11520,12480
1,0,60,80,11520,12480
1,0,66,80,11520,12480
1,0,74,80,11520,12240
1,0,74,80,12240,12480
2,0,55,80,12480,13440
2,0,59,80,12480,13440
1,0,67,80,12480,12960
1,0,74,80,12480,12640
1,0,70,80,12640,12800
1,0,71,80,12800,12960
1,0,66,80,12960,13120
1,0,67,80,13120,13280
1,0,64,80,13280,13440
2,0,45,80,13440,14400
2,0,50,80,13440,14400
2,0,57,80,13440,14400
1,0,62,80,13440,14400
1,0,66,80,13440,14160
1,0,66,80,14160,14400
2,0,45,80,14400,15360
2,0,52,80,14400,15360
2,0,55,80,14400,15360
1,0,61,80,14400,15360
1,0,64,80,14400,14880
1,0,67,80,14880,15120
1,0,66,80,15120,15360
2,0,50,80,15360,16320
2,0,54,80,15360,16320
2,0,57,80,15360,16320
1,0,62,80,15360,16320
2,0,57,80,16560,16800
1,0,62,80,16800,17040
1,0,62,80,16800,17040
1,0,66,80,17040,17280
1,0,66,80,17040,17280
2,0,50,80,17280,18240
2,0,54,80,17280,18240
1,0,62,80,17280,18240
1,0,69,80,17280,18000
1,0,69,80,17280,18240
1,0,69,80,18000,18240
2,0,52,80,18240,19200
2,0,55,80,18240,19200
1,0,61,80,18240,19200
1,0,69,80,18240,19200
1,0,71,80,18240,18960
1,0,69,80,18960,19200
2,0,54,80,19200,20160
1,0,60,80,19200,20160
1,0,63,80,19200,20160
1,0,69,80,19200,19920
1,0,69,80,19200,20160
1,0,69,80,19920,20160
2,0,55,80,20160,21120
2,0,59,80,20160,21120
1,0,64,80,20160,21120
1,0,67,80,20160,20880
1,0,67,80,20160,21120
1,0,64,80,20880,21120
2,0,45,80,21120,22080
2,0,50,80,21120,22080
2,0,57,80,21120,22080
1,0,62,80,21120,21840
1,0,62,80,21120,22080
1,0,66,80,21120,22080
1,0,62,80,21840,22080
2,0,45,80,22080,23040
2,0,52,80,22080,23040
2,0,55,80,22080,23040
1,0,61,80,22080,23040
1,0,64,80,22080,22560
1,0,64,80,22080,23040
1,0,71,80,22560,22800
1,0,69,80,22800,23040
2,0,38,80,23040,24000
2,0,50,80,23040,24000
2,0,57,80,23040,24000
1,0,61,80,23040,24000
1,0,64,80,23040,24000
1,0,67,80,23040,24000
1,0,69,80,23040,24480
2,0,38,80,24000,24240
2,0,50,80,24000,24240
2,0,57,80,24000,24240
1,0,62,80,24000,24240
1,0,66,80,24000,24240
2,0,57,80,24240,24480
1,0,62,80,24480,24720
1,0,62,80,24480,24720
1,0,66,80,24720,24960
1,0,66,80,24720,24960
2,0,42,80,24960,25920
2,0,50,80,24960,25920
2,0,54,80,24960,25920
2,0,57,80,24960,25920
1,0,62,80,24960,25920
1,0,69,80,24960,25680
1,0,69,80,24960,25920
1,0,69,80,25680,25920
2,0,40,80,25920,26880
2,0,45,80,25920,26880
2,0,52,80,25920,26880
2,0,57,80,25920,26880
1,0,61,80,25920,26880
1,0,67,80,25920,26880
1,0,73,80,25920,26400
1,0,71,80,26400,26640
1,0,69,80,26640,26880
2,0,38,80,26880,27840
2,0,45,80,26880,27840
2,0,50,80,26880,27840
2,0,57,80,26880,27840
1,0,60,80,26880,27840
1,0,66,80,26880,27840
1,0,74,80,26880,28320
2,0,43,80,27840,28800
2,0,50,80,27840,28800
2,0,59,80,27840,28800
1,0,62,80,27840,28800
1,0,67,80,27840,28800
1,0,71,80,28320,28560
1,0,67,80,28560,28800
2,0,45,80,28800,29760
2,0,50,80,28800,29760
2,0,57,80,28800,29760
1,0,62,80,28800,29760
1,0,66,80,28800,29520
1,0,66,80,28800,29760
1,0,66,80,29520,29760
2,0,45,80,29760,30720
2,0,52,80,29760,30720
2,0,55,80,29760,30720
1,0,61,80,29760,30720
1,0,64,80,29760,30240
1,0,66,80,29760,30000
1,0,64,80,30000,30720
1,0,67,80,30240,30480
1,0,66,80,30480,30720
2,0,38,80,30720,31680
2,0,45,80,30720,31680
2,0,50,80,30720,31680
2,0,54,80,30720,31680
2,0,57,80,30720,31680
1,0,62,80,30720,31680
1,0,62,80,30720,31680
2,0,59,80,31920,32160
1,0,64,80,32160,32400
1,0,64,80,32160,32400
1,0,66,80,32400,32640
1,0,66,80,32400,32640
2,0,59,80,32640,33120
1,0,64,80,32640,33120
1,0,67,80,32640,33120
1,0,67,80,32640,33360
2,0,40,80,33120,33600
2,0,52,80,33120,33600
1,0,67,80,33360,33600
2,0,57,80,33600,34080
1,0,60,80,33600,34080
1,0,63,80,33600,34080
1,0,66,80,33600,34080
1,0,66,80,33600,34080
2,0,40,80,34080,34560
2,0,52,80,34080,34560
1,0,63,80,34080,34560
2,0,55,80,34560,35040
2,0,59,80,34560,35040
1,0,64,80,34560,35040
1,0,64,80,34560,35280
2,0,40,80,35040,35520
2,0,52,80,35040,35520
1,0,66,80,35280,35520
2,0,57,80,35520,36000
1,0,61,80,35520,36000
1,0,67,80,35520,36000
1,0,67,80,35520,36000
2,0,40,80,36000,36480
2,0,52,80,36000,36480
1,0,67,80,36000,36480
2,0,59,80,36480,36960
1,0,62,80,36480,36960
1,0,67,80,36480,36960
1,0,67,80,36480,37200
2,0,38,80,36960,37440
2,0,50,80,36960,37440
1,0,68,80,37200,37440
2,0,57,80,37440,37920
1,0,60,80,37440,37920
1,0,66,80,37440,37920
1,0,69,80,37440,37920
2,0,38,80,37920,38400
2,0,50,80,37920,38400
1,0,62,80,37920,38400
2,0,43,80,38400,39360
2,0,50,80,38400,39360
2,0,59,80,38400,39360
1,0,62,80,38400,39360
1,0,67,80,38400,39360
1,0,71,80,38400,39360
2,0,55,80,39600,39840
1,0,64,80,39600,39840
1,0,71,80,39600,39840
2,0,51,80,39840,40080
2,0,57,80,39840,40080
1,0,66,80,39840,40080
1,0,71,80,39840,40080
1,0,71,80,39840,40320
2,0,52,80,40080,40320
2,0,55,80,40080,40320
1,0,64,80,40080,40320
1,0,71,80,40080,40320
2,0,45,80,40320,41280
2,0,52,80,40320,41280
1,0,61,80,40320,41280
1,0,67,80,40320,41280
1,0,69,80,40320,40800
1,0,69,80,40320,41280
1,0,69,80,40800,41280
2,0,43,80,41280,42240
2,0,55,80,41280,42240
2,0,57,80,41280,42240
1,0,61,80,41280,42240
1,0,64,80,41280,42240
1,0,69,80,41280,42240
1,0,71,80,41280,42000
1,0,69,80,42000,42240
2,0,42,80,42240,43200
2,0,54,80,42240,43200
2,0,57,80,42240,43200
1,0,62,80,42240,43200
1,0,69,80,42240,43200
1,0,74,80,42240,43200
2,0,42,80,43200,43680
2,0,50,80,43200,43680
2,0,57,80,43200,43680
1,0,62,80,43200,43680
1,0,62,80,43200,43680
2,0,41,80,43680,44160
2,0,48,80,43680,44160
2,0,57,80,43680,44160
1,0,63,80,43680,44160
1,0,63,80,43680,44160
2,0,40,80,44160,44640
2,0,49,80,44160,44640
2,0,57,80,44160,44640
1,0,64,80,44160,44640
1,0,64,80,44160,44640
1,0,69,80,44640,45120
2,0,40,80,45120,46080
2,0,52,80,45120,46080
2,0,59,80,45120,46080
1,0,62,80,45120,46080
1,0,64,80,45120,46080
1,0,67,80,45120,46080
1,0,71,80,45120,45600
1,0,64,80,45600,46080
2,0,33,80,46080,47040
2,0,45,80,46080,47040
2,0,57,80,46080,47040
1,0,61,80,46080,47040
1,0,64,80,46080,47040
1,0,69,80,46080,47040
1,0,69,80,46080,47040
1,0,69,80,47520,48000
2,0,45,80,48000,48160
1,0,71,80,48000,48720
2,0,54,80,48160,48320
2,0,59,80,48160,48320
1,0,69,80,48160,48320
1,0,78,80,48160,48320
2,0,54,80,48320,48480
2,0,59,80,48320,48480
1,0,69,80,48320,48480
1,0,77,80,48320,48480
2,0,54,80,48480,48960
2,0,59,80,48480,48960
1,0,69,80,48480,48640
1,0,78,80,48480,48640
1,0,69,80,48640,48800
1,0,75,80,48640,48800
1,0,66,80,48720,48960
1,0,69,80,48800,48960
2,0,45,80,48960,49120
1,0,67,80,48960,49200
1,0,69,80,48960,49020
2,0,55,80,49120,49280
2,0,59,80,49120,49280
1,0,67,80,49120,49280
1,0,77,80,49120,49280
1,0,66,80,49200,49440
2,0,55,80,49280,49440
2,0,59,80,49280,49440
1,0,67,80,49280,49440
1,0,75,80,49280,49440
2,0,55,80,49440,49920
2,0,59,80,49440,49920
1,0,67,80,49440,49600
1,0,67,80,49440,49680
1,0,77,80,49440,49600
1,0,67,80,49600,49760
1,0,71,80,49600,49760
1,0,71,80,49680,49920
1,0,67,80,49760,49920
2,0,45,80,49920,50080
1,0,69,80,49920,50280
2,0,57,80,50080,50240
1,0,61,80,50080,50240
1,0,67,80,50080,50240
1,0,76,80,50080,50240
2,0,57,80,50240,50400
1,0,61,80,50240,50400
1,0,67,80,50240,50400
1,0,75,80,50240,50400
1,0,71,80,50280,50400
2,0,57,80,50400,50880
1,0,61,80,50400,50880
1,0,67,80,50400,50560
1,0,69,80,50400,50760
1,0,76,80,50400,50560
1,0,67,80,50560,50720
1,0,73,80,50560,50720
1,0,67,80,50720,50880
1,0,67,80,50760,50880
2,0,45,80,50880,51040
1,0,66,80,50880,51200
2,0,57,80,51040,51200
1,0,62,80,51040,51200
1,0,66,80,51040,51360
1,0,75,80,51040,51200
2,0,57,80,51200,51360
1,0,62,80,51200,51360
1,0,66,80,51200,51360
1,0,73,80,51200,51360
2,0,57,80,51360,51840
1,0,62,80,51360,51840
1,0,66,80,51360,51520
1,0,75,80,51360,51520
1,0,66,80,51520,51680
1,0,69,80,51520,51680
1,0,69,80,51600,51840
1,0,66,80,51680,51840
2,0,45,80,51840,52000
1,0,68,80,51840,52560
2,0,59,80,52000,52160
1,0,62,80,52000,52160
1,0,65,80,52000,52160
1,0,74,80,52000,52160
2,0,59,80,52160,52320
1,0,62,80,52160,52320
1,0,65,80,52160,52320
1,0,73,80,52160,52320
2,0,59,80,52320,52800
1,0,62,80,52320,52800
1,0,65,80,52320,52480
1,0,74,80,52320,52480
1,0,65,80,52480,52640
1,0,71,80,52480,52640
1,0,69,80,52560,52800
1,0,65,80,52640,52800
2,0,40,80,52800,52960
2,0,52,80,52800,52960
1,0,71,80,52800,53120
2,0,52,80,52960,53120
2,0,56,80,52960,53120
1,0,62,80,52960,53120
1,0,71,80,52960,53440
2,0,52,80,53120,53280
2,0,56,80,53120,53280
1,0,62,80,53120,53280
1,0,70,80,53120,53280
2,0,52,80,53280,53760
2,0,56,80,53280,53760
1,0,62,80,53280,53440
1,0,71,80,53280,53520
1,0,62,80,53440,53600
1,0,67,80,53440,53600
1,0,68,80,53520,53760
1,0,62,80,53600,53760
2,0,45,80,53760,54240
2,0,45,80,53760,54240
2,0,52,80,53760,54240
2,0,57,80,53760,54240
1,0,61,80,53760,54240
1,0,69,80,53760,55680
2,0,45,80,54240,54720
2,0,49,80,54240,54400
1,0,64,80,54240,54400
2,0,50,80,54400,54560
1,0,65,80,54400,54560
2,0,52,80,54560,54720
1,0,67,80,54560,54720
2,0,45,80,54720,55200
2,0,50,80,54720,54880
1,0,65,80,54720,54880
1,0,67,80,54720,54780
2,0,52,80,54880,55040
1,0,64,80,54880,55040
2,0,53,80,55040,55200
1,0,62,80,55040,55200
2,0,53,80,55200,55360
1,0,62,80,55200,55360
1,0,64,80,55200,55260
2,0,52,80,55360,55520
1,0,61,80,55360,55520
2,0,53,80,55520,55680
1,0,62,80,55520,55680
2,0,45,80,55680,56160
2,0,45,80,55680,56160
2,0,52,80,55680,56160
2,0,57,80,55680,56160
2,0,59,80,55680,56160
1,0,61,80,55680,56160
1,0,69,80,55680,57600
2,0,45,80,56160,56640
2,0,54,80,56160,56320
1,0,61,80,56160,56640
1,0,63,80,56160,56320
2,0,52,80,56320,56480
1,0,64,80,56320,56480
2,0,51,80,56480,56640
1,0,66,80,56480,56640
2,0,45,80,56640,57120
