# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,53,80,0,480
2,0,59,80,0,480
1,0,62,80,0,480
1,0,65,80,0,480
1,0,71,80,0,1440
1,0,74,80,0,1440
1,0,80,80,0,240
1,0,81,80,240,480
2,0,59,80,480,960
1,0,62,80,480,960
1,0,65,80,480,960
1,0,68,80,480,960
1,0,80,80,480,720
1,0,79,80,720,960
1,0,62,80,960,1440
1,0,65,80,960,1440
1,0,68,80,960,1440
1,0,71,80,960,1440
1,0,80,80,960,1200
1,0,81,80,1200,1440
1,0,65,80,1440,1920
1,0,68,80,1440,1920
1,0,71,80,1440,1920
1,0,71,80,1440,2400
1,0,74,80,1440,1920
1,0,74,80,1440,2400
1,0,80,80,1440,1680
1,0,81,80,1680,1920
1,0,68,80,1920,2400
1,0,71,80,1920,2880
1,0,74,80,1920,2880
1,0,77,80,1920,2400
1,0,80,80,1920,2160
1,0,79,80,2160,2400
1,0,71,80,2400,2880
1,0,74,80,2400,2880
1,0,77,80,2400,2880
1,0,80,80,2400,2640
1,0,80,80,2400,2880
1,0,82,80,2640,2880
1,0,74,80,2880,3360
1,0,77,80,2880,3360
1,0,77,80,2880,3840
1,0,80,80,2880,3360
1,0,80,80,2880,3840
1,0,83,80,2880,3120
1,0,83,80,2880,3360
1,0,85,80,3120,3360
1,0,71,80,3360,3840
1,0,74,80,3360,3840
1,0,77,80,3360,4320
1,0,80,80,3360,4320
1,0,83,80,3360,3600
1,0,82,80,3600,3840
1,0,68,80,3840,4320
1,0,71,80,3840,4320
1,0,74,80,3840,4320
1,0,77,80,3840,4320
1,0,83,80,3840,4080
1,0,85,80,4080,4320
1,0,65,80,4320,4800
1,0,68,80,4320,4800
1,0,71,80,4320,4800
1,0,74,80,4320,4800
1,0,80,80,4320,5760
1,0,83,80,4320,5760
1,0,86,80,4320,4560
1,0,88,80,4560,4800
1,0,62,80,4800,5280
1,0,65,80,4800,5280
1,0,68,80,4800,5280
1,0,71,80,4800,5280
1,0,86,80,4800,5040
1,0,85,80,5040,5280
2,0,59,80,5280,5760
1,0,62,80,5280,5760
1,0,65,80,5280,5760
1,0,68,80,5280,5760
1,0,86,80,5280,5520
1,0,88,80,5520,5760
2,0,56,80,5760,6000
2,0,59,80,5760,6000
1,0,62,80,5760,6000
1,0,65,80,5760,6000
1,0,77,80,5760,6000
1,0,83,80,5760,6000
1,0,86,80,5760,6000
1,0,89,80,5760,6000
1,0,86,80,6000,6240
1,0,86,80,6120,6360
1,0,83,80,6240,6480
1,0,83,80,6360,6600
1,0,80,80,6480,6720
1,0,80,80,6600,6840
1,0,77,80,6720,6960
1,0,77,80,6840,7080
1,0,74,80,6960,7200
1,0,74,80,7080,7200
1,0,71,80,7200,7440
1,0,83,80,7320,7560
1,0,68,80,7440,7680
1,0,80,80,7560,7800
1,0,65,80,7680,7920
1,0,77,80,7800,8040
1,0,62,80,7920,8160
1,0,74,80,8040,8280
2,0,59,80,8160,8400
1,0,71,80,8280,8520
2,0,56,80,8400,8640
1,0,68,80,8520,8640
2,0,41,80,8640,8760
2,0,44,80,8640,8760
2,0,48,80,8640,8760
2,0,48,80,8640,8760
2,0,56,80,8640,8760
1,0,60,80,8640,8760
1,0,60,80,8640,8760
2,0,50,80,8880,9120
1,0,62,80,9000,9240
2,0,48,80,9120,9360
1,0,60,80,9240,9480
2,0,48,80,9360,9600
1,0,60,80,9480,9720
2,0,48,80,9600,9840
1,0,60,80,9720,9960
