# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,0,960
2,0,52,80,0,960
2,0,57,80,0,960
1,0,61,80,0,960
2,0,57,80,1200,1440
1,0,64,80,1200,1440
1,0,69,80,1200,1440
1,0,73,80,1200,1440
1,0,73,80,1200,1440
2,0,57,80,1440,1680
1,0,64,80,1440,1680
1,0,69,80,1440,1680
1,0,73,80,1440,1680
1,0,73,80,1440,1680
2,0,57,80,1680,1920
1,0,64,80,1680,1920
1,0,69,80,1680,1920
1,0,73,80,1680,1920
1,0,73,80,1680,1920
2,0,57,80,1920,2640
1,0,64,80,1920,2640
1,0,69,80,1920,2640
1,0,73,80,1920,2640
1,0,73,80,1920,2640
2,0,57,80,2640,2880
1,0,64,80,2640,2880
1,0,69,80,2640,2880
1,0,73,80,2640,2880
1,0,73,80,2640,2880
2,0,54,80,2880,3600
1,0,66,80,2880,3600
1,0,69,80,2880,3600
1,0,74,80,2880,3600
1,0,74,80,2880,3600
2,0,56,80,3600,3840
1,0,64,80,3600,3840
1,0,71,80,3600,3840
1,0,74,80,3600,3840
1,0,74,80,3600,3840
2,0,57,80,3840,4320
1,0,64,80,3840,4320
1,0,69,80,3840,4320
1,0,73,80,3840,4320
1,0,73,80,3840,4320
2,0,52,80,4320,4800
1,0,62,80,4320,4800
1,0,68,80,4320,4800
1,0,71,80,4320,4800
1,0,71,80,4320,4800
2,0,57,80,4800,5280
1,0,61,80,4800,5280
1,0,64,80,4800,5280
1,0,69,80,4800,5280
1,0,69,80,4800,5280
1,0,73,80,5520,5760
2,0,42,80,5760,7680
2,0,49,80,5760,7680
2,0,54,80,5760,7680
2,0,57,80,5760,7680
1,0,61,80,5760,7680
1,0,69,80,5760,6480
1,0,73,80,5760,6480
1,0,68,80,6480,6720
1,0,71,80,6480,6720
1,0,66,80,6720,7200
1,0,69,80,6720,7200
1,0,68,80,7200,7680
1,0,71,80,7200,7680
2,0,42,80,7680,8160
2,0,49,80,7680,8160
2,0,54,80,7680,8160
2,0,57,80,7680,8160
1,0,61,80,7680,8160
1,0,69,80,7680,8160
1,0,73,80,7680,8160
2,0,42,80,8160,8640
2,0,50,80,8160,8640
2,0,54,80,8160,8640
2,0,57,80,8160,8640
1,0,62,80,8160,8640
1,0,69,80,8160,8640
1,0,74,80,8160,8640
2,0,40,80,8640,9120
2,0,52,80,8640,9120
2,0,57,80,8640,9120
1,0,61,80,8640,9120
1,0,69,80,8640,9120
1,0,76,80,8640,9120
2,0,39,80,9120,9600
2,0,51,80,9120,9600
2,0,57,80,9120,9600
2,0,59,80,9120,9600
1,0,69,80,9120,9600
1,0,78,80,9120,9600
2,0,39,80,9600,11040
2,0,51,80,9600,11040
2,0,59,80,9600,10080
1,0,66,80,9600,10080
1,0,69,80,9600,10080
1,0,78,80,9600,10560
2,0,59,80,10080,10560
1,0,66,80,10080,10560
1,0,69,80,10080,10560
2,0,59,80,10560,11040
1,0,66,80,10560,11040
1,0,69,80,10560,11040
1,0,71,80,10560,11040
2,0,52,80,11040,11520
2,0,54,80,11040,11520
2,0,57,80,11040,11520
1,0,60,80,11040,11520
1,0,72,80,11040,11520
2,0,51,80,11520,12960
2,0,54,80,11520,12960
2,0,57,80,11520,12960
2,0,59,80,11520,12960
1,0,66,80,11520,12000
1,0,69,80,11520,12000
1,0,78,80,11520,12480
1,0,66,80,12000,12480
1,0,69,80,12000,12480
1,0,66,80,12480,12960
1,0,69,80,12480,12960
1,0,71,80,12480,12960
1,0,66,80,12960,13440
1,0,69,80,12960,13440
1,0,71,80,12960,13440
2,0,39,80,13440,15360
2,0,51,80,13440,15360
1,0,72,80,13440,14160
1,0,81,80,13440,14160
2,0,59,80,13920,14400
1,0,66,80,13920,14400
1,0,71,80,13920,14400
1,0,69,80,14160,14400
1,0,78,80,14160,14400
2,0,59,80,14400,14880
1,0,66,80,14400,14880
1,0,66,80,14400,14880
1,0,71,80,14400,14880
1,0,75,80,14400,14880
2,0,59,80,14880,15360
1,0,66,80,14880,15360
1,0,67,80,14880,15360
1,0,71,80,14880,15360
1,0,71,80,14880,15360
2,0,51,80,15360,15840
1,0,69,80,15360,15840
2,0,59,80,15840,16320
1,0,66,80,15840,16320
1,0,71,80,15840,16080
1,0,71,80,15840,16320
1,0,72,80,16080,16320
2,0,59,80,16320,16800
1,0,66,80,16320,16800
1,0,71,80,16320,16800
1,0,71,80,16320,17040
2,0,59,80,16800,17280
1,0,66,80,16800,17280
1,0,71,80,16800,17280
1,0,69,80,17040,17280
2,0,52,80,17280,19200
1,0,66,80,17280,17760
1,0,69,80,17280,18240
1,0,69,80,17280,18240
2,0,59,80,17760,18240
1,0,64,80,18240,18720
1,0,67,80,18240,18720
1,0,67,80,18240,19200
2,0,59,80,18720,19200
2,0,52,80,19200,19680
2,0,59,80,19200,19680
1,0,62,80,19200,20160
1,0,64,80,19200,19680
1,0,67,80,19200,19680
1,0,69,80,19200,19920
1,0,69,80,19680,20160
1,0,71,80,19920,20160
2,0,54,80,20160,21120
1,0,72,80,20160,20640
1,0,74,80,20640,21120
2,0,55,80,21120,23040
1,0,69,80,21120,21600
1,0,72,80,21120,22080
1,0,62,80,21600,22080
1,0,67,80,22080,22560
1,0,71,80,22080,23040
1,0,62,80,22560,23040
2,0,55,80,23040,23520
1,0,62,80,23040,23520
1,0,67,80,23040,23520
1,0,71,80,23040,23520
2,0,55,80,23520,24000
1,0,62,80,23520,24000
1,0,67,80,23520,24000
1,0,71,80,23520,24000
2,0,55,80,24000,24480
1,0,62,80,24000,24480
1,0,67,80,24000,24480
1,0,71,80,24000,24480
1,0,71,80,24000,24960
2,0,55,80,24480,24960
1,0,62,80,24480,24960
1,0,67,80,24480,24960
1,0,71,80,24480,24960
2,0,52,80,24960,25440
1,0,61,80,24960,25440
1,0,67,80,24960,25440
1,0,73,80,24960,25680
2,0,52,80,25440,25920
1,0,61,80,25440,25920
1,0,67,80,25440,25920
1,0,73,80,25680,25920
2,0,52,80,25920,26400
1,0,61,80,25920,26400
1,0,67,80,25920,26400
1,0,73,80,25920,26400
2,0,52,80,26400,26880
1,0,61,80,26400,26880
1,0,67,80,26400,26880
1,0,73,80,26400,26880
2,0,58,80,26880,27360
1,0,62,80,26880,27360
1,0,67,80,26880,27360
1,0,74,80,26880,27360
2,0,58,80,27360,27840
1,0,62,80,27360,27840
1,0,67,80,27360,27840
1,0,74,80,27360,27840
2,0,58,80,27840,28320
1,0,62,80,27840,28320
1,0,67,80,27840,28320
1,0,74,80,27840,28320
2,0,58,80,28320,28800
1,0,62,80,28320,28800
1,0,67,80,28320,28800
1,0,74,80,28320,28800
2,0,57,80,28800,29280
1,0,61,80,28800,29280
1,0,67,80,28800,29280
1,0,76,80,28800,30720
2,0,57,80,29280,29760
1,0,61,80,29280,29760
1,0,67,80,29280,29760
2,0,57,80,29760,30240
1,0,61,80,29760,30240
1,0,67,80,29760,30240
2,0,57,80,30240,30720
1,0,61,80,30240,30720
1,0,67,80,30240,30720
2,0,55,80,30720,31200
2,0,59,80,30720,31200
2,0,59,80,30720,31200
1,0,64,80,30720,31200
1,0,76,80,30720,31200
2,0,55,80,31200,31680
2,0,59,80,31200,31680
2,0,59,80,31200,31680
1,0,64,80,31200,31680
2,0,55,80,31680,32160
1,0,64,80,31680,32640
2,0,55,80,32160,32640
2,0,42,80,32640,34560
2,0,54,80,32640,33120
2,0,57,80,32640,33120
1,0,64,80,32640,33120
2,0,54,80,33120,33600
2,0,57,80,33120,33600
2,0,57,80,33120,33600
1,0,69,80,33120,33600
2,0,54,80,33600,34080
2,0,57,80,33600,34080
1,0,62,80,33600,34560
1,0,74,80,33600,34560
2,0,54,80,34080,34560
2,0,57,80,34080,34560
2,0,40,80,34560,36480
2,0,52,80,34560,35040
2,0,55,80,34560,35040
1,0,62,80,34560,35040
1,0,74,80,34560,35040
2,0,52,80,35040,35520
2,0,55,80,35040,35520
1,0,60,80,35040,35520
1,0,72,80,35040,35520
2,0,52,80,35520,36000
2,0,55,80,35520,36000
2,0,59,80,35520,36000
1,0,71,80,35520,36000
2,0,52,80,36000,36480
2,0,55,80,36000,36480
1,0,60,80,36000,36480
1,0,72,80,36000,36480
2,0,39,80,36480,37920
2,0,51,80,36480,37920
2,0,54,80,36480,36960
2,0,59,80,36480,36960
1,0,71,80,36480,37440
1,0,66,80,36960,37440
1,0,71,80,37440,37920
1,0,67,80,37920,38400
1,0,71,80,37920,38400
1,0,76,80,37920,38400
1,0,64,80,38400,38880
1,0,67,80,38400,38880
1,0,72,80,38400,38880
1,0,60,80,38880,39360
1,0,64,80,38880,39360
1,0,69,80,38880,39360
2,0,57,80,39360,39840
1,0,60,80,39360,39840
1,0,66,80,39360,39840
2,0,55,80,39840,40320
2,0,59,80,39840,40320
1,0,64,80,39840,40320
2,0,42,80,40320,41760
2,0,54,80,40320,40800
2,0,57,80,40320,40800
1,0,63,80,40320,41760
2,0,54,80,40800,41280
2,0,57,80,40800,41280
2,0,54,80,41280,41760
2,0,57,80,41280,41760
2,0,59,80,41760,42240
1,0,63,80,41760,42240
1,0,67,80,41760,42240
2,0,55,80,42240,42720
2,0,59,80,42240,42720
1,0,64,80,42240,42720
2,0,52,80,42720,43200
2,0,55,80,42720,43200
1,0,60,80,42720,43200
2,0,48,80,43200,43680
2,0,52,80,43200,43680
2,0,57,80,43200,43680
2,0,36,80,43680,44160
2,0,45,80,43680,44160
2,0,52,80,43680,44160
2,0,54,80,43680,44160
2,0,35,80,44160,44400
2,0,42,80,44160,44400
2,0,51,80,44160,44640
2,0,54,80,44160,44640
2,0,42,80,44400,44640
2,0,47,80,44640,44880
2,0,51,80,44880,45120
2,0,54,80,45120,45360
2,0,59,80,45360,45600
1,0,63,80,45600,45760
1,0,69,80,45760,45920
1,0,73,80,45920,46080
1,0,64,80,46080,47040
1,0,69,80,46080,47040
1,0,73,80,46080,47040
1,0,76,80,46080,47040
2,0,40,80,46320,46560
2,0,52,80,46560,46800
2,0,52,80,46800,47040
2,0,52,80,47040,47280
1,0,64,80,47040,47760
1,0,68,80,47040,47760
1,0,71,80,47040,47760
1,0,74,80,47040,47760
2,0,52,80,47280,47520
2,0,52,80,47520,47760
2,0,52,80,47760,48000
1,0,64,80,47760,48000
1,0,69,80,47760,48000
1,0,73,80,47760,48000
1,0,62,80,48000,48960
1,0,69,80,48000,48960
1,0,73,80,48000,48960
2,0,40,80,48240,48480
2,0,52,80,48480,48720
2,0,52,80,48720,48960
2,0,52,80,48960,49200
1,0,62,80,48960,49200
1,0,68,80,48960,49200
1,0,71,80,48960,49200
2,0,52,80,49200,49440
1,0,62,80,49200,49440
1,0,68,80,49200,49440
1,0,71,80,49200,49440
2,0,52,80,49440,49680
1,0,62,80,49440,49680
1,0,68,80,49440,49680
1,0,71,80,49440,49680
2,0,52,80,49680,49920
1,0,62,80,49680,49920
1,0,68,80,49680,49920
1,0,71,80,49680,49920
2,0,52,80,49920,50160
1,0,62,80,49920,50160
1,0,68,80,49920,50160
1,0,71,80,49920,50160
1,0,61,80,50160,50400
1,0,64,80,50160,50400
1,0,69,80,50160,50400
1,0,61,80,50400,50640
1,0,64,80,50400,50640
1,0,69,80,50400,50640
1,0,61,80,50640,50880
1,0,64,80,50640,50880
1,0,69,80,50640,50880
1,0,76,80,50640,50880
1,0,61,80,50880,51120
1,0,64,80,50880,51120
1,0,69,80,50880,51120
1,0,76,80,50880,51120
2,0,59,80,51120,51360
1,0,64,80,51120,51360
1,0,68,80,51120,51360
1,0,74,80,51120,51360
2,0,59,80,51360,51600
1,0,64,80,51360,51600
1,0,68,80,51360,51600
1,0,74,80,51360,51600
2,0,57,80,51600,51840
1,0,64,80,51600,51840
1,0,69,80,51600,51840
1,0,73,80,51600,51840
1,0,64,80,51840,52800
1,0,69,80,51840,52800
1,0,73,80,51840,52800
2,0,40,80,52080,52320
2,0,52,80,52320,52560
2,0,52,80,52560,52800
2,0,52,80,52800,53040
1,0,64,80,52800,53280
1,0,68,80,52800,53280
1,0,71,80,52800,53280
2,0,52,80,53040,53280
2,0,52,80,53280,53520
2,0,52,80,53520,53760
2,0,49,80,53760,54720
1,0,76,80,53760,54240
1,0,64,80,54000,54240
1,0,69,80,54240,54480
1,0,69,80,54240,54720
1,0,64,80,54480,54720
2,0,50,80,54720,55680
1,0,74,80,54720,55440
1,0,62,80,54960,55200
1,0,66,80,55200,55440
1,0,62,80,55440,55680
1,0,73,80,55440,55680
2,0,52,80,55680,56640
1,0,71,80,55680,56640
1,0,62,80,55920,56160
1,0,68,80,56160,56400
1,0,62,80,56400,56640
2,0,45,80,56640,57120
1,0,69,80,56640,57120
1,0,61,80,56880,57120
1,0,64,80,57120,57360
1,0,61,80,57360,57600
2,0,37,80,57600,58560
2,0,49,80,57600,58560
2,0,57,80,57600,57840
1,0,64,80,57600,57840
1,0,69,80,57600,57840
1,0,76,80,57600,58080
2,0,57,80,57840,58080
1,0,64,80,57840,58080
1,0,69,80,57840,58080
2,0,57,80,58080,58320
1,0,64,80,58080,58320
1,0,69,80,58080,58320
1,0,69,80,58080,58560
