# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,0,480
2,0,51,80,0,60
2,0,52,80,0,480
2,0,53,80,480,960
2,0,59,80,480,540
1,0,60,80,480,960
1,0,64,80,960,1440
1,0,71,80,960,1020
1,0,72,80,960,1440
1,0,65,80,1440,1920
1,0,69,80,1440,1920
1,0,72,80,1440,1920
1,0,75,80,1440,1500
1,0,76,80,1440,1920
2,0,45,80,1920,2400
2,0,51,80,1920,1980
2,0,52,80,1920,2400
2,0,53,80,2400,2880
2,0,59,80,2400,2460
1,0,60,80,2400,2880
1,0,64,80,2880,3360
1,0,71,80,2880,2940
1,0,72,80,2880,3360
1,0,60,80,3360,3720
1,0,65,80,3360,3840
1,0,69,80,3360,3840
1,0,72,80,3360,3840
1,0,75,80,3360,3420
1,0,76,80,3360,3840
1,0,62,80,3720,3840
2,0,45,80,3840,4320
2,0,51,80,3840,3900
2,0,52,80,3840,4320
1,0,64,80,3840,4320
2,0,53,80,4320,4800
2,0,59,80,4320,4380
1,0,60,80,4320,4800
1,0,64,80,4320,4800
1,0,64,80,4800,5280
1,0,64,80,4800,5280
1,0,71,80,4800,4860
1,0,72,80,4800,5280
1,0,64,80,5280,5520
1,0,65,80,5280,5760
1,0,69,80,5280,5760
1,0,72,80,5280,5760
1,0,75,80,5280,5340
1,0,76,80,5280,5760
1,0,64,80,5520,5760
2,0,45,80,5760,6240
2,0,51,80,5760,5820
2,0,52,80,5760,6240
1,0,69,80,5760,6480
2,0,53,80,6240,6720
2,0,59,80,6240,6300
1,0,60,80,6240,6720
1,0,67,80,6480,6600
1,0,65,80,6600,6720
1,0,64,80,6720,7200
1,0,64,80,6720,7200
1,0,71,80,6720,6780
1,0,72,80,6720,7200
1,0,60,80,7200,7440
1,0,65,80,7200,7680
1,0,69,80,7200,7680
1,0,72,80,7200,7680
1,0,75,80,7200,7260
1,0,76,80,7200,7680
1,0,62,80,7440,7680
2,0,43,80,7680,8160
2,0,51,80,7680,7740
2,0,52,80,7680,8160
1,0,64,80,7680,8160
2,0,55,80,8160,8640
1,0,60,80,8160,8640
1,0,64,80,8160,8640
1,0,64,80,8160,8640
1,0,67,80,8160,8640
1,0,72,80,8160,8640
1,0,76,80,8160,8640
2,0,42,80,8640,9120
2,0,51,80,8640,8700
2,0,52,80,8640,9120
1,0,64,80,8640,8880
1,0,64,80,8880,9120
2,0,54,80,9120,9600
2,0,57,80,9120,9600
1,0,60,80,9120,9600
1,0,64,80,9120,9240
1,0,64,80,9120,9360
1,0,66,80,9120,9300
1,0,69,80,9120,9600
1,0,72,80,9120,9600
1,0,76,80,9120,9600
1,0,66,80,9240,9600
1,0,64,80,9300,9600
1,0,63,80,9360,9480
1,0,64,80,9480,9600
2,0,35,80,9600,10080
2,0,47,80,9600,10080
1,0,76,80,9600,10320
2,0,52,80,10080,10560
2,0,54,80,10080,10560
2,0,57,80,10080,10560
1,0,60,80,10080,10560
1,0,64,80,10080,10560
1,0,66,80,10080,10560
1,0,69,80,10080,10560
1,0,72,80,10080,10440
1,0,72,80,10320,10560
1,0,69,80,10440,10560
2,0,54,80,10560,11040
2,0,57,80,10560,11040
1,0,60,80,10560,11040
1,0,64,80,10560,11040
1,0,66,80,10560,11040
1,0,66,80,10560,11040
1,0,69,80,10560,11040
1,0,72,80,10560,11040
1,0,76,80,10560,11040
2,0,52,80,11040,11520
2,0,54,80,11040,11520
2,0,57,80,11040,11520
1,0,60,80,11040,11520
1,0,64,80,11040,11520
1,0,66,80,11040,11520
1,0,66,80,11040,11520
1,0,69,80,11040,11520
1,0,72,80,11040,11520
2,0,35,80,11520,12000
2,0,47,80,11520,12000
1,0,66,80,11520,12000
2,0,50,80,12000,12480
2,0,54,80,12000,12480
2,0,59,80,12000,12480
1,0,62,80,12000,12480
1,0,66,80,12000,12240
1,0,66,80,12000,12480
1,0,71,80,12000,12480
1,0,74,80,12240,12480
2,0,54,80,12480,12960
2,0,59,80,12480,12960
1,0,62,80,12480,12960
1,0,66,80,12480,12960
1,0,71,80,12480,12960
1,0,74,80,12480,12720
1,0,74,80,12480,12960
1,0,73,80,12720,12960
2,0,50,80,12960,13440
2,0,54,80,12960,13440
2,0,59,80,12960,13440
1,0,62,80,12960,13440
1,0,66,80,12960,13440
1,0,71,80,12960,13440
1,0,73,80,12960,13200
1,0,71,80,13200,13440
2,0,35,80,13440,13920
2,0,47,80,13440,13920
1,0,71,80,13440,13680
1,0,69,80,13680,13920
2,0,50,80,13920,14400
2,0,54,80,13920,14400
2,0,59,80,13920,14400
1,0,62,80,13920,14400
1,0,66,80,13920,14400
1,0,69,80,13920,14160
1,0,71,80,13920,14400
1,0,68,80,14160,14400
2,0,54,80,14400,14880
2,0,59,80,14400,14880
1,0,62,80,14400,14880
1,0,66,80,14400,14880
1,0,68,80,14400,14880
1,0,71,80,14400,14880
1,0,74,80,14400,14880
2,0,59,80,14880,15040
1,0,62,80,14880,15040
1,0,66,80,14880,15040
1,0,69,80,14880,15040
1,0,69,80,14880,15040
1,0,61,80,15040,15200
