# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,0,960
2,0,55,80,0,960
2,0,57,80,0,960
1,0,64,80,0,960
2,0,38,80,240,480
2,0,35,80,480,840
2,0,37,80,840,960
2,0,38,80,960,1440
2,0,50,80,960,1440
2,0,54,80,960,1440
2,0,57,80,960,1440
1,0,62,80,960,1440
2,0,50,80,1440,1920
2,0,54,80,1440,1920
2,0,57,80,1440,1920
2,0,50,80,1920,2160
2,0,54,80,1920,2160
2,0,57,80,1920,2160
2,0,50,80,2160,2400
2,0,54,80,2160,2400
2,0,57,80,2160,2400
2,0,54,80,2400,2640
2,0,57,80,2400,2640
1,0,62,80,2400,2640
2,0,57,80,2640,2880
1,0,62,80,2640,2880
1,0,66,80,2640,2880
1,0,62,80,2880,3360
1,0,66,80,2880,3840
1,0,69,80,2880,3840
1,0,60,80,3360,3840
2,0,59,80,3840,4320
1,0,65,80,3840,4320
1,0,68,80,3840,4320
2,0,58,80,4320,4800
1,0,62,80,4320,4800
1,0,67,80,4320,4800
2,0,57,80,4800,5280
1,0,62,80,4800,5280
1,0,66,80,4800,5280
2,0,45,80,5280,5760
2,0,55,80,5280,5760
2,0,57,80,5280,5760
1,0,61,80,5280,5760
1,0,64,80,5280,5760
2,0,38,80,5760,6480
2,0,45,80,5760,6480
2,0,54,80,5760,6480
1,0,62,80,5760,6480
2,0,38,80,6480,6720
2,0,45,80,6480,6720
2,0,54,80,6480,6720
2,0,57,80,6480,6720
1,0,62,80,6480,6720
2,0,50,80,6720,7200
2,0,57,80,6720,7680
1,0,62,80,6720,7200
1,0,66,80,6720,7200
1,0,66,80,6720,7200
2,0,45,80,7200,7680
1,0,61,80,7200,7680
1,0,64,80,7200,7680
1,0,64,80,7200,7680
2,0,42,80,7680,8160
2,0,57,80,7680,8640
1,0,62,80,7680,8160
1,0,69,80,7680,8400
1,0,69,80,7680,8400
2,0,45,80,8160,8640
1,0,61,80,8160,8640
1,0,67,80,8400,8640
1,0,67,80,8400,8640
2,0,50,80,8640,9120
2,0,57,80,8640,9120
1,0,62,80,8640,9120
1,0,66,80,8640,9120
1,0,66,80,8640,9120
2,0,43,80,9120,9600
2,0,55,80,9120,9600
2,0,59,80,9120,9600
1,0,64,80,9120,9600
1,0,64,80,9120,9600
2,0,45,80,9600,10560
2,0,54,80,9600,10080
2,0,57,80,9600,10080
1,0,62,80,9600,10080
1,0,62,80,9600,10080
2,0,52,80,10080,10560
2,0,57,80,10080,10560
1,0,61,80,10080,10560
1,0,61,80,10080,10560
2,0,45,80,10560,11520
2,0,51,80,10560,11520
2,0,54,80,10560,11520
2,0,59,80,10560,11040
2,0,59,80,10800,11520
1,0,61,80,11040,11280
1,0,63,80,11280,11520
2,0,45,80,11520,12480
2,0,52,80,11520,12480
2,0,55,80,11520,12480
2,0,59,80,11520,12480
1,0,64,80,11520,11760
1,0,67,80,11760,12000
1,0,71,80,12000,12360
1,0,69,80,12360,12480
2,0,45,80,12480,13440
2,0,52,80,12480,13440
2,0,55,80,12480,13440
2,0,59,80,12480,13440
1,0,64,80,12480,13440
1,0,69,80,12480,12960
1,0,67,80,12960,13200
1,0,66,80,13200,13440
2,0,45,80,13440,14400
2,0,49,80,13440,14400
2,0,52,80,13440,14400
2,0,55,80,13440,14400
2,0,57,80,13440,14400
1,0,64,80,13440,13920
1,0,64,80,13440,14400
2,0,57,80,13920,14400
2,0,38,80,14400,15360
2,0,45,80,14400,15360
2,0,50,80,14400,15360
2,0,54,80,14400,15360
2,0,57,80,14400,15360
1,0,62,80,14400,15360
1,0,66,80,14400,14880
1,0,66,80,14640,15360
1,0,64,80,14880,15240
1,0,62,80,15240,15360
