# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,65,80,0,480
2,0,46,80,1920,2880
2,0,53,80,1920,3840
2,0,58,80,1920,3840
1,0,62,80,1920,2880
1,0,65,80,1920,2880
1,0,70,80,1920,2400
1,0,72,80,2400,2880
2,0,45,80,2880,3840
1,0,65,80,2880,3840
1,0,70,80,2880,3840
1,0,74,80,2880,3360
1,0,77,80,3360,3840
2,0,43,80,3840,4800
2,0,51,80,3840,4800
2,0,58,80,3840,4800
1,0,70,80,3840,4320
1,0,75,80,3840,4800
1,0,82,80,3840,4320
1,0,69,80,4320,4560
1,0,81,80,4320,4560
1,0,67,80,4560,4800
1,0,79,80,4560,4800
2,0,45,80,4800,5280
2,0,53,80,4800,5280
1,0,60,80,4800,5280
1,0,65,80,4800,5280
1,0,72,80,4800,5280
1,0,75,80,4800,5280
1,0,77,80,4800,5280
1,0,62,80,5280,5520
1,0,65,80,5280,5520
1,0,65,80,5280,5760
1,0,72,80,5280,5520
1,0,75,80,5280,5520
1,0,77,80,5280,5520
1,0,60,80,5520,5760
2,0,46,80,5760,6720
2,0,53,80,5760,6720
2,0,58,80,5760,6720
1,0,62,80,5760,6720
1,0,65,80,5760,6720
1,0,70,80,5760,6240
1,0,70,80,5760,6240
1,0,72,80,6240,6720
1,0,72,80,6240,6720
2,0,57,80,6720,7680
2,0,58,80,6720,7680
1,0,62,80,6720,7680
1,0,65,80,6720,7680
1,0,70,80,6720,7680
1,0,74,80,6720,7200
1,0,74,80,6720,7200
1,0,75,80,7200,7440
1,0,75,80,7200,7440
1,0,77,80,7440,7680
1,0,77,80,7440,7680
2,0,55,80,7680,8640
2,0,58,80,7680,8640
1,0,63,80,7680,8640
1,0,70,80,7680,8640
1,0,70,80,7680,8640
2,0,57,80,8640,9120
1,0,62,80,8640,9120
1,0,65,80,8640,9120
1,0,65,80,8640,9120
2,0,53,80,9120,9600
1,0,60,80,9120,9600
1,0,63,80,9120,9360
1,0,63,80,9120,9360
1,0,65,80,9360,9600
1,0,65,80,9360,9600
2,0,46,80,9600,10560
2,0,53,80,9600,10560
2,0,58,80,9600,10560
1,0,62,80,9600,10560
1,0,70,80,9600,10080
1,0,70,80,9600,10080
1,0,72,80,10080,10560
1,0,72,80,10080,10560
2,0,56,80,10560,11520
2,0,58,80,10560,11520
1,0,62,80,10560,11520
1,0,65,80,10560,11520
1,0,70,80,10560,11520
1,0,74,80,10560,11040
1,0,74,80,10560,11040
1,0,77,80,11040,11280
1,0,77,80,11040,11280
1,0,74,80,11280,11520
1,0,74,80,11280,11520
2,0,55,80,11520,13440
1,0,60,80,11520,12480
1,0,62,80,11520,13440
1,0,65,80,11520,13440
1,0,67,80,11520,12960
1,0,72,80,11520,12480
1,0,79,80,11520,13440
2,0,59,80,12480,13440
1,0,71,80,12480,13440
1,0,67,80,12960,13440
2,0,48,80,13440,14400
2,0,55,80,13440,14400
1,0,60,80,13440,14400
1,0,63,80,13440,14400
1,0,67,80,13440,14400
1,0,75,80,13440,13920
1,0,75,80,13440,14400
1,0,74,80,13920,14400
2,0,51,80,14400,15360
2,0,57,80,14400,15360
1,0,65,80,14400,15360
1,0,72,80,14400,14880
1,0,72,80,14400,15360
1,0,65,80,14880,15360
2,0,48,80,15360,16320
2,0,55,80,15360,16320
1,0,60,80,15360,16320
1,0,63,80,15360,16320
1,0,67,80,15360,16320
1,0,75,80,15360,15840
1,0,75,80,15360,16320
1,0,74,80,15840,16320
2,0,51,80,16320,17280
2,0,57,80,16320,16560
1,0,67,80,16320,17280
1,0,72,80,16320,16560
1,0,72,80,16320,16560
2,0,58,80,16560,16800
1,0,70,80,16560,16800
1,0,70,80,16560,16800
1,0,60,80,16800,17040
1,0,72,80,16800,17040
1,0,72,80,16800,17040
2,0,57,80,17040,17280
1,0,69,80,17040,17280
1,0,69,80,17040,17280
2,0,50,80,17280,18240
2,0,57,80,17280,18240
1,0,62,80,17280,18240
1,0,66,80,17280,18240
1,0,74,80,17280,17640
1,0,74,80,17280,18240
1,0,69,80,17640,17760
1,0,69,80,17760,18240
2,0,50,80,18240,19200
2,0,55,80,18240,18480
1,0,62,80,18240,18720
1,0,70,80,18240,18720
1,0,70,80,18240,18720
2,0,57,80,18480,18720
2,0,58,80,18720,19200
1,0,64,80,18720,19200
1,0,67,80,18720,19200
1,0,67,80,18720,19200
2,0,50,80,19200,20160
2,0,57,80,19200,20160
1,0,62,80,19200,20160
1,0,66,80,19200,20160
1,0,74,80,19200,20160
1,0,74,80,19200,20640
2,0,41,80,20160,21120
2,0,53,80,20160,21120
2,0,57,80,20160,21120
1,0,62,80,20160,20640
1,0,65,80,20160,20640
1,0,60,80,20640,21120
