# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,28,80,0,1920
2,0,40,80,0,1920
2,0,50,80,0,1920
2,0,56,80,0,1920
2,0,59,80,0,1920
2,0,27,80,1920,1980
2,0,39,80,1920,1980
1,0,75,80,1920,2280
1,0,80,80,1920,2280
1,0,84,80,1920,2280
1,0,77,80,2280,2400
1,0,80,80,2280,2400
1,0,85,80,2280,2400
1,0,73,80,2400,2640
1,0,77,80,2400,2640
1,0,82,80,2400,2640
1,0,75,80,2640,2880
1,0,79,80,2640,2880
1,0,84,80,2640,2880
1,0,72,80,2880,3120
1,0,75,80,2880,3120
1,0,80,80,2880,3120
1,0,68,80,3120,3600
1,0,72,80,3120,3600
1,0,77,80,3120,3600
1,0,67,80,3600,3840
1,0,70,80,3600,3840
1,0,75,80,3600,3840
1,0,65,80,3840,4080
1,0,68,80,3840,4080
1,0,73,80,3840,4080
1,0,61,80,4080,4560
1,0,65,80,4080,4800
1,0,70,80,4080,4800
2,0,44,80,4560,4800
2,0,51,80,4560,4800
2,0,44,80,4800,5280
2,0,51,80,4800,5280
1,0,60,80,4800,5760
1,0,63,80,4800,5760
1,0,68,80,4800,5760
1,0,72,80,4800,5760
2,0,32,80,5280,5760
2,0,44,80,5760,6120
2,0,51,80,5760,6120
2,0,56,80,5760,6120
1,0,60,80,5760,6120
1,0,63,80,5760,6120
1,0,68,80,5760,6120
1,0,72,80,5760,6120
1,0,72,80,5760,6120
1,0,65,80,6120,6240
1,0,68,80,6120,6240
1,0,73,80,6120,6240
1,0,73,80,6120,6240
1,0,61,80,6240,6480
1,0,65,80,6240,6480
1,0,70,80,6240,6480
1,0,70,80,6240,6480
1,0,63,80,6480,6720
1,0,67,80,6480,6720
1,0,72,80,6480,6720
1,0,72,80,6480,6720
1,0,60,80,6720,6960
1,0,63,80,6720,6960
1,0,68,80,6720,6960
1,0,68,80,6720,6960
2,0,56,80,6960,7440
1,0,60,80,6960,7440
1,0,65,80,6960,7200
1,0,65,80,6960,7440
2,0,56,80,7440,7680
1,0,60,80,7440,7680
1,0,65,80,7440,7680
1,0,65,80,7440,7680
2,0,58,80,7680,8040
1,0,61,80,7680,8040
1,0,67,80,7680,8040
1,0,67,80,7680,8040
1,0,60,80,8040,8160
1,0,63,80,8040,8160
1,0,68,80,8040,8160
1,0,68,80,8040,8160
2,0,56,80,8160,8400
1,0,60,80,8160,8400
1,0,65,80,8160,8400
1,0,65,80,8160,8400
2,0,53,80,8400,8640
