# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,63,80,0,480
1,0,75,80,0,480
2,0,44,80,1920,2160
1,0,68,80,1920,2640
1,0,72,80,1920,2640
1,0,75,80,1920,2640
1,0,80,80,1920,2640
2,0,51,80,2160,2400
2,0,56,80,2400,2640
1,0,60,80,2400,2640
2,0,51,80,2640,2880
1,0,68,80,2640,2880
1,0,72,80,2640,2880
1,0,75,80,2640,2880
2,0,44,80,2880,3120
1,0,63,80,2880,3120
1,0,68,80,2880,3120
1,0,72,80,2880,3120
2,0,51,80,3120,3360
1,0,68,80,3120,3360
2,0,56,80,3360,3600
1,0,60,80,3360,3600
1,0,70,80,3360,3600
2,0,51,80,3600,3840
1,0,72,80,3600,3840
2,0,34,80,3840,4080
2,0,46,80,3840,4080
1,0,75,80,3840,4320
2,0,49,80,4080,4320
2,0,56,80,4320,4560
1,0,61,80,4320,4560
1,0,65,80,4320,4800
1,0,68,80,4320,4800
1,0,73,80,4320,4800
2,0,53,80,4560,4800
2,0,34,80,4800,5040
2,0,46,80,4800,5040
1,0,68,80,4800,5040
2,0,53,80,5040,5280
1,0,67,80,5040,5280
2,0,56,80,5280,5520
1,0,61,80,5280,5520
1,0,68,80,5280,5520
2,0,53,80,5520,5760
1,0,70,80,5520,5760
2,0,39,80,5760,6000
2,0,51,80,5760,6000
1,0,63,80,5760,6480
1,0,72,80,5760,6480
2,0,51,80,6000,6240
2,0,56,80,6240,6480
1,0,60,80,6240,6480
2,0,51,80,6480,6720
1,0,75,80,6480,6720
2,0,39,80,6720,6960
1,0,63,80,6720,6960
1,0,68,80,6720,6960
1,0,72,80,6720,6960
2,0,51,80,6960,7200
1,0,68,80,6960,7200
2,0,55,80,7200,7440
1,0,61,80,7200,7440
1,0,63,80,7200,7440
1,0,67,80,7200,7440
1,0,70,80,7200,7440
2,0,51,80,7440,7680
1,0,67,80,7440,7680
2,0,44,80,7680,8160
2,0,51,80,7680,8160
2,0,56,80,7680,8160
1,0,60,80,7680,8640
1,0,63,80,7680,8640
1,0,68,80,7680,8640
2,0,39,80,8160,8640
2,0,51,80,8160,8640
2,0,32,80,8640,9120
2,0,44,80,8640,9120
1,0,63,80,9600,9840
1,0,63,80,9600,9840
1,0,68,80,9840,10080
1,0,68,80,9840,10080
2,0,44,80,11520,11760
1,0,63,80,11520,12240
1,0,68,80,11520,12240
1,0,72,80,11520,12240
1,0,72,80,11520,12240
2,0,51,80,11760,12000
2,0,56,80,12000,12240
1,0,60,80,12000,12240
2,0,51,80,12240,12480
1,0,70,80,12240,12480
1,0,70,80,12240,12480
2,0,37,80,12480,12720
2,0,49,80,12480,12720
1,0,65,80,12480,12840
1,0,68,80,12480,12840
1,0,68,80,12480,12840
2,0,53,80,12720,12960
1,0,64,80,12840,12960
1,0,67,80,12840,12960
1,0,67,80,12840,12960
2,0,56,80,12960,13200
1,0,61,80,12960,13200
1,0,65,80,12960,13200
1,0,68,80,12960,13200
1,0,68,80,12960,13200
2,0,53,80,13200,13440
1,0,61,80,13200,13440
1,0,65,80,13200,13440
1,0,65,80,13200,13440
2,0,44,80,13440,13680
1,0,63,80,13440,14400
1,0,63,80,13440,14400
2,0,51,80,13680,13920
2,0,56,80,13920,14160
1,0,60,80,13920,14160
2,0,51,80,14160,14400
2,0,44,80,14400,14640
1,0,63,80,14400,14880
1,0,63,80,14400,14880
2,0,51,80,14640,14880
2,0,56,80,14880,15120
1,0,60,80,14880,15120
1,0,63,80,14880,15360
1,0,68,80,14880,15360
1,0,72,80,14880,15360
1,0,72,80,14880,15360
2,0,51,80,15120,15360
2,0,39,80,15360,15600
1,0,63,80,15360,16080
1,0,67,80,15360,16080
1,0,70,80,15360,16080
1,0,70,80,15360,16080
2,0,51,80,15600,15840
2,0,55,80,15840,16080
1,0,61,80,15840,16080
2,0,51,80,16080,16320
1,0,69,80,16080,16320
1,0,69,80,16080,16320
2,0,39,80,16320,16560
1,0,63,80,16320,16560
1,0,67,80,16320,16560
1,0,70,80,16320,16560
1,0,70,80,16320,16560
2,0,51,80,16560,16800
1,0,63,80,16560,16800
1,0,67,80,16560,16800
1,0,70,80,16560,16800
1,0,70,80,16560,16800
2,0,55,80,16800,17040
1,0,61,80,16800,17040
1,0,63,80,16800,17040
1,0,67,80,16800,17040
1,0,70,80,16800,17040
1,0,73,80,16800,17040
1,0,73,80,16800,17040
2,0,51,80,17040,17280
1,0,72,80,17040,17280
1,0,72,80,17040,17280
2,0,39,80,17280,17520
1,0,63,80,17280,18240
1,0,67,80,17280,18240
1,0,70,80,17280,18240
1,0,70,80,17280,18240
2,0,51,80,17520,17760
2,0,55,80,17760,18000
1,0,61,80,17760,18000
2,0,51,80,18000,18240
2,0,39,80,18240,18480
1,0,63,80,18240,18720
1,0,67,80,18240,18720
1,0,70,80,18240,18720
1,0,70,80,18240,18720
2,0,51,80,18480,18720
2,0,55,80,18720,18960
1,0,61,80,18720,18960
1,0,63,80,18720,18960
1,0,63,80,18720,18960
2,0,51,80,18960,19200
1,0,68,80,18960,19200
1,0,68,80,18960,19200
2,0,44,80,19200,19440
1,0,63,80,19200,19920
1,0,68,80,19200,19920
1,0,72,80,19200,19920
1,0,72,80,19200,19920
2,0,51,80,19440,19680
2,0,56,80,19680,19920
1,0,60,80,19680,19920
2,0,51,80,19920,20160
1,0,70,80,19920,20160
1,0,70,80,19920,20160
2,0,37,80,20160,20400
2,0,49,80,20160,20400
1,0,65,80,20160,20520
1,0,68,80,20160,20520
1,0,68,80,20160,20520
2,0,53,80,20400,20640
1,0,64,80,20520,20640
1,0,67,80,20520,20640
1,0,67,80,20520,20640
2,0,56,80,20640,20880
1,0,61,80,20640,20880
1,0,65,80,20640,20880
1,0,68,80,20640,20880
1,0,68,80,20640,20880
2,0,53,80,20880,21120
1,0,61,80,20880,21120
1,0,65,80,20880,21120
1,0,65,80,20880,21120
2,0,44,80,21120,21360
1,0,63,80,21120,22080
1,0,63,80,21120,22080
2,0,51,80,21360,21600
2,0,56,80,21600,21840
1,0,60,80,21600,21840
2,0,51,80,21840,22080
2,0,44,80,22080,22320
1,0,63,80,22080,22560
1,0,63,80,22080,22560
2,0,51,80,22320,22560
2,0,56,80,22560,22800
1,0,60,80,22560,22800
1,0,68,80,22560,22800
1,0,68,80,22560,22800
2,0,51,80,22800,23040
