# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,38,80,0,480
2,0,38,80,0,1440
2,0,45,80,0,480
2,0,45,80,0,1440
2,0,50,80,0,480
2,0,50,80,0,1440
2,0,57,80,480,720
2,0,57,80,720,2160
1,0,62,80,720,1200
1,0,61,80,1200,1440
2,0,38,80,1440,2160
2,0,45,80,1440,2160
2,0,50,80,1440,2160
1,0,64,80,1440,1680
1,0,67,80,1680,1920
1,0,70,80,1920,2160
2,0,38,80,2160,2640
2,0,38,80,2160,3600
2,0,45,80,2160,2640
2,0,45,80,2160,3600
2,0,50,80,2160,2640
2,0,50,80,2160,3600
2,0,57,80,2640,2880
2,0,57,80,2880,4320
1,0,62,80,2880,3360
1,0,61,80,3360,3600
2,0,38,80,3600,4320
2,0,45,80,3600,4320
2,0,50,80,3600,4320
1,0,64,80,3600,3840
1,0,67,80,3840,4080
1,0,70,80,4080,4320
2,0,50,80,4320,4800
2,0,57,80,4320,4800
1,0,62,80,4320,4800
1,0,61,80,4800,5040
1,0,64,80,5040,5280
1,0,67,80,5280,5520
1,0,70,80,5520,5760
2,0,50,80,5760,6240
2,0,57,80,5760,6240
1,0,62,80,5760,6240
1,0,61,80,6240,6480
1,0,64,80,6480,6720
1,0,67,80,6720,6960
1,0,70,80,6960,7200
2,0,50,80,7200,7680
2,0,57,80,7200,7680
1,0,62,80,7200,7680
1,0,61,80,7680,7920
1,0,64,80,7920,8160
1,0,67,80,8160,8400
1,0,70,80,8400,8640
1,0,62,80,8880,9120
2,0,37,80,9120,9360
2,0,49,80,9120,9360
1,0,61,80,9120,9360
1,0,62,80,9120,9360
2,0,38,80,9360,9840
2,0,50,80,9360,9840
1,0,62,80,9360,9600
1,0,62,80,9360,9840
1,0,62,80,9600,9840
2,0,40,80,9840,10080
2,0,52,80,9840,10080
1,0,62,80,9840,10080
1,0,64,80,9840,10080
2,0,41,80,10080,10560
2,0,53,80,10080,10560
1,0,62,80,10080,10320
1,0,64,80,10080,10320
1,0,65,80,10080,10560
1,0,62,80,10320,10560
1,0,64,80,10320,10560
2,0,43,80,10560,10800
2,0,55,80,10560,10800
1,0,62,80,10560,10800
1,0,64,80,10560,10800
1,0,67,80,10560,10800
2,0,45,80,10800,12240
2,0,57,80,10800,12240
1,0,62,80,10800,11040
1,0,65,80,10800,11040
1,0,69,80,10800,11520
1,0,62,80,11040,11280
1,0,65,80,11040,11280
1,0,62,80,11280,11520
1,0,65,80,11280,11520
1,0,62,80,11520,11760
1,0,65,80,11520,11760
1,0,69,80,11520,11760
1,0,62,80,11760,12000
1,0,65,80,11760,12000
1,0,62,80,12000,12240
1,0,65,80,12000,12240
1,0,62,80,12240,12480
1,0,65,80,12240,12480
1,0,62,80,12480,12720
1,0,65,80,12480,12720
1,0,62,80,12720,12960
1,0,65,80,12720,12960
1,0,74,80,12720,12960
1,0,62,80,12960,13200
1,0,65,80,12960,13200
1,0,77,80,12960,13680
1,0,62,80,13200,13440
1,0,65,80,13200,13440
2,0,33,80,13440,13680
2,0,45,80,13440,13680
1,0,62,80,13440,13680
1,0,65,80,13440,13680
2,0,38,80,13680,14160
2,0,50,80,13680,14160
1,0,62,80,13680,13920
1,0,65,80,13680,13920
1,0,77,80,13680,13920
1,0,62,80,13920,14160
1,0,65,80,13920,14160
2,0,40,80,14160,14400
2,0,52,80,14160,14400
1,0,62,80,14160,14400
1,0,65,80,14160,14400
1,0,76,80,14160,14400
2,0,41,80,14400,14640
2,0,53,80,14400,14640
1,0,62,80,14400,14640
1,0,65,80,14400,14640
1,0,74,80,14400,14880
2,0,43,80,14640,14880
2,0,55,80,14640,14880
1,0,62,80,14640,14880
1,0,65,80,14640,14880
2,0,45,80,14880,15120
2,0,57,80,14880,15120
1,0,62,80,14880,15120
1,0,65,80,14880,15120
1,0,72,80,14880,15120
2,0,46,80,15120,16560
2,0,58,80,15120,16560
1,0,62,80,15120,15360
1,0,65,80,15120,15360
1,0,70,80,15120,15840
1,0,62,80,15360,15600
1,0,65,80,15360,15600
