# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,46,80,240,960
2,0,56,80,720,960
1,0,62,80,720,960
1,0,65,80,720,960
2,0,46,80,960,1200
2,0,55,80,960,1200
2,0,58,80,960,1200
1,0,63,80,960,1200
1,0,70,80,960,1200
2,0,46,80,1200,1920
2,0,56,80,1680,1920
1,0,60,80,1680,1920
1,0,65,80,1680,1920
2,0,46,80,1920,2640
2,0,55,80,1920,2160
1,0,63,80,1920,2160
1,0,70,80,1920,2160
2,0,52,80,2160,2400
1,0,67,80,2160,2400
1,0,72,80,2160,2400
2,0,53,80,2400,2640
1,0,68,80,2400,2640
1,0,72,80,2400,2640
2,0,50,80,2640,2880
1,0,68,80,2640,2880
1,0,70,80,2640,2880
1,0,77,80,2640,2880
2,0,39,80,2880,3840
2,0,46,80,2880,3120
1,0,70,80,2880,3360
2,0,55,80,3120,3600
1,0,70,80,3360,3600
1,0,70,80,3360,3600
2,0,56,80,3600,3840
1,0,62,80,3600,3840
1,0,65,80,3600,3840
2,0,39,80,3840,4800
2,0,46,80,3840,4080
1,0,63,80,3840,4080
1,0,67,80,3840,4080
2,0,55,80,4080,4560
1,0,63,80,4320,4560
1,0,70,80,4320,4560
1,0,70,80,4320,4800
2,0,56,80,4560,4800
1,0,62,80,4560,4800
1,0,65,80,4560,4800
2,0,39,80,4800,5760
2,0,55,80,4800,5040
1,0,63,80,4800,5280
1,0,67,80,4800,5280
1,0,70,80,4800,5280
2,0,58,80,5040,5520
1,0,63,80,5280,5520
1,0,68,80,5280,5520
1,0,72,80,5280,5520
1,0,60,80,5520,5760
1,0,75,80,5520,5760
2,0,39,80,5760,6720
2,0,53,80,5760,6000
2,0,56,80,5760,6000
1,0,79,80,5760,6240
2,0,51,80,6000,6480
1,0,60,80,6000,6240
1,0,65,80,6240,6480
1,0,77,80,6240,6480
2,0,48,80,6480,6720
1,0,63,80,6480,6720
1,0,68,80,6480,6720
1,0,72,80,6480,6720
2,0,46,80,6720,7680
2,0,53,80,6720,7200
1,0,62,80,6720,6960
1,0,68,80,6720,6960
1,0,70,80,6720,7200
1,0,65,80,6960,7440
2,0,56,80,7200,7680
1,0,70,80,7200,7440
2,0,58,80,7440,7680
1,0,62,80,7440,7680
2,0,46,80,7680,7920
2,0,55,80,7680,7920
2,0,58,80,7680,7920
1,0,63,80,7680,7920
1,0,70,80,7680,8000
1,0,67,80,8000,8160
2,0,31,80,8160,8640
2,0,43,80,8160,8640
2,0,58,80,8160,8400
2,0,58,80,8160,8640
1,0,67,80,8160,8320
1,0,65,80,8320,8480
1,0,63,80,8400,8640
1,0,67,80,8400,8640
1,0,63,80,8480,8640
2,0,32,80,8640,9360
2,0,44,80,8640,9360
2,0,59,80,8640,8880
2,0,59,80,8640,9120
1,0,67,80,8640,8880
1,0,63,80,8880,9120
1,0,67,80,8880,9120
1,0,60,80,9120,9360
1,0,60,80,9120,9600
1,0,67,80,9120,9600
2,0,33,80,9360,9600
2,0,45,80,9360,9600
1,0,63,80,9360,9600
1,0,67,80,9360,9600
2,0,34,80,9600,9840
2,0,46,80,9600,9840
2,0,58,80,9600,9840
1,0,63,80,9600,9840
1,0,67,80,9600,9840
1,0,67,80,9600,9840
1,0,67,80,9840,10080
2,0,46,80,10080,10560
2,0,56,80,10080,10560
2,0,58,80,10080,10560
1,0,62,80,10080,10560
1,0,70,80,10080,10320
1,0,72,80,10320,10560
2,0,46,80,10560,10800
2,0,55,80,10560,10800
2,0,58,80,10560,10800
1,0,63,80,10560,10800
1,0,70,80,10560,11040
1,0,70,80,10800,11280
2,0,58,80,11040,11280
1,0,62,80,11040,11280
1,0,63,80,11280,11520
1,0,68,80,11280,11520
1,0,72,80,11280,11520
1,0,62,80,11520,11760
1,0,68,80,11520,11760
1,0,70,80,11520,11760
1,0,63,80,11760,12000
1,0,68,80,11760,12000
1,0,72,80,11760,12000
1,0,77,80,11760,12000
1,0,65,80,12000,12240
1,0,68,80,12000,12240
1,0,74,80,12000,12240
1,0,82,80,12000,12240
1,0,70,80,12240,12480
1,0,79,80,12240,12480
1,0,60,80,12480,13200
1,0,67,80,12480,12960
1,0,72,80,12480,12960
1,0,75,80,12480,12960
2,0,39,80,12720,13440
1,0,68,80,12960,13440
1,0,72,80,12960,13200
1,0,75,80,12960,13440
1,0,60,80,13200,13440
1,0,72,80,13200,13440
2,0,58,80,13440,13920
1,0,64,80,13440,13920
1,0,67,80,13440,13920
1,0,67,80,13440,13920
1,0,72,80,13440,14400
2,0,41,80,13680,14400
2,0,56,80,13920,14160
1,0,65,80,13920,14160
1,0,68,80,13920,14160
2,0,58,80,14160,14400
1,0,67,80,14160,14400
1,0,60,80,14400,14640
1,0,68,80,14400,14640
1,0,72,80,14400,14640
1,0,65,80,14640,15120
1,0,74,80,14640,15120
1,0,68,80,14880,15120
1,0,63,80,15120,15360
1,0,72,80,15120,15360
1,0,72,80,15120,15360
1,0,62,80,15360,15600
1,0,68,80,15360,15600
1,0,70,80,15360,15600
1,0,70,80,15360,15600
1,0,77,80,15360,15600
2,0,55,80,15840,16320
1,0,63,80,15840,16080
1,0,70,80,15840,16320
1,0,62,80,16080,16320
1,0,66,80,16080,16320
2,0,55,80,16320,16800
1,0,63,80,16320,16800
1,0,67,80,16320,16800
1,0,70,80,16320,16800
2,0,51,80,16800,17280
1,0,61,80,16800,17280
1,0,63,80,16800,17280
1,0,70,80,16800,17280
1,0,75,80,16800,17280
2,0,56,80,17280,17520
1,0,60,80,17280,17520
1,0,63,80,17280,17520
1,0,68,80,17280,17520
1,0,75,80,17280,17520
2,0,41,80,17760,18240
2,0,53,80,17760,18240
2,0,59,80,17760,18240
1,0,68,80,17760,18240
1,0,75,80,17760,18240
1,0,80,80,17760,18240
2,0,41,80,18240,18480
2,0,53,80,18240,18480
2,0,59,80,18240,18480
1,0,68,80,18240,18480
1,0,75,80,18240,18480
1,0,80,80,18240,18480
1,0,63,80,18960,19200
1,0,63,80,19200,20160
2,0,47,80,19680,20160
2,0,53,80,19680,20160
2,0,56,80,19680,20160
1,0,63,80,19680,20160
2,0,47,80,20160,21120
2,0,53,80,20160,20640
2,0,56,80,20160,20640
1,0,63,80,20160,21120
1,0,65,80,20160,20640
2,0,57,80,20640,21120
1,0,66,80,20640,21120
2,0,46,80,21120,21360
2,0,58,80,21120,21600
1,0,63,80,21120,21600
1,0,67,80,21120,21600
1,0,67,80,21120,21600
2,0,58,80,21360,21600
1,0,60,80,21600,22080
1,0,63,80,21600,22080
1,0,70,80,21600,21960
1,0,75,80,21600,22080
1,0,68,80,21960,22080
2,0,58,80,22080,22560
1,0,63,80,22080,22560
1,0,67,80,22080,22560
1,0,67,80,22080,22560
1,0,75,80,22080,22560
2,0,46,80,22320,23040
2,0,56,80,22560,23040
2,0,58,80,22560,23040
1,0,62,80,22560,23040
1,0,65,80,22560,22800
1,0,70,80,22560,23040
2,0,55,80,23040,23280
2,0,58,80,23040,23280
1,0,63,80,23040,23280
1,0,70,80,23040,23280
1,0,70,80,23040,23520
2,0,34,80,23280,24000
2,0,54,80,23520,24000
2,0,57,80,23520,24000
1,0,63,80,23520,24000
1,0,74,80,23520,23760
1,0,72,80,23760,24000
2,0,53,80,24000,24480
2,0,56,80,24000,24480
1,0,63,80,24000,24480
1,0,77,80,24000,24480
2,0,34,80,24240,24960
2,0,58,80,24480,24720
2,0,58,80,24480,24960
1,0,62,80,24480,24720
1,0,62,80,24480,24960
1,0,74,80,24480,24720
1,0,66,80,24720,24960
1,0,72,80,24720,24960
1,0,63,80,24960,25200
1,0,67,80,24960,25200
1,0,70,80,24960,25440
2,0,34,80,25200,25440
2,0,46,80,25440,25920
1,0,62,80,25680,25920
1,0,70,80,25680,25920
1,0,63,80,25920,26160
1,0,66,80,25920,26160
1,0,70,80,25920,26160
2,0,46,80,26160,26400
2,0,58,80,26400,26880
1,0,70,80,26400,26640
1,0,63,80,26640,26880
1,0,66,80,26640,26880
1,0,70,80,26640,26880
1,0,64,80,26880,27360
1,0,67,80,26880,27360
1,0,72,80,26880,27120
2,0,58,80,27120,27840
1,0,72,80,27120,27360
1,0,65,80,27360,27600
1,0,68,80,27360,27600
1,0,72,80,27360,27600
1,0,67,80,27600,27840
1,0,70,80,27600,27840
1,0,72,80,27600,27840
1,0,65,80,27840,28080
1,0,68,80,27840,28080
1,0,77,80,27840,28560
1,0,63,80,28080,28320
1,0,72,80,28080,28320
1,0,62,80,28320,28800
1,0,68,80,28320,28560
1,0,70,80,28320,28560
1,0,74,80,28560,28800
1,0,74,80,28560,28800
1,0,62,80,28800,29040
1,0,68,80,28800,29040
1,0,70,80,28800,29040
1,0,70,80,28800,29040
1,0,77,80,28800,29040
1,0,62,80,29040,29280
1,0,70,80,29040,29280
1,0,63,80,29280,29520
1,0,67,80,29280,29520
1,0,70,80,29280,29520
1,0,62,80,29520,29760
1,0,70,80,29520,29760
1,0,60,80,29760,30240
1,0,63,80,29760,30240
1,0,68,80,29760,30480
2,0,58,80,30000,30720
1,0,62,80,30240,30720
1,0,65,80,30240,30720
1,0,68,80,30480,30720
2,0,59,80,30720,30960
1,0,62,80,30720,30960
1,0,67,80,30720,31200
1,0,60,80,30960,31440
1,0,63,80,30960,31440
2,0,46,80,31200,31680
2,0,58,80,31440,31680
1,0,61,80,31440,31680
1,0,66,80,31440,31680
2,0,46,80,31680,32160
2,0,57,80,31680,31920
1,0,60,80,31680,31920
1,0,66,80,31680,31920
2,0,56,80,31920,32400
2,0,59,80,31920,32400
1,0,65,80,31920,32160
2,0,46,80,32160,32640
1,0,65,80,32160,32400
2,0,55,80,32400,32640
2,0,58,80,32400,32640
1,0,63,80,32400,32640
2,0,41,80,32640,33120
2,0,56,80,32640,33120
1,0,63,80,32640,33120
1,0,68,80,32640,33360
2,0,39,80,33120,33600
2,0,51,80,33120,33600
2,0,59,80,33120,33600
1,0,65,80,33120,33600
1,0,68,80,33120,33600
2,0,38,80,33600,34080
2,0,50,80,33600,34080
2,0,58,80,33600,33840
1,0,65,80,33600,33840
1,0,68,80,33600,33840
1,0,70,80,33840,34320
1,0,72,80,34320,34560
1,0,72,80,34320,34560
2,0,39,80,34560,35520
2,0,46,80,34560,35520
2,0,55,80,34560,34800
1,0,70,80,34560,35040
1,0,70,80,34560,35040
2,0,58,80,34800,35280
1,0,63,80,35040,35280
1,0,67,80,35040,35280
1,0,70,80,35040,35280
2,0,56,80,35280,35520
1,0,62,80,35280,35520
1,0,65,80,35280,35520
2,0,39,80,35520,36480
2,0,46,80,35520,36480
2,0,55,80,35520,35760
1,0,63,80,35520,36000
1,0,70,80,35520,36000
2,0,58,80,35760,36240
1,0,63,80,36000,36240
1,0,67,80,36000,36240
1,0,70,80,36000,36480
2,0,56,80,36240,36480
1,0,62,80,36240,36480
1,0,65,80,36240,36480
2,0,39,80,36480,37440
2,0,55,80,36480,36720
1,0,63,80,36480,36960
1,0,70,80,36480,36960
1,0,70,80,36480,36960
2,0,58,80,36720,37200
1,0,63,80,36960,37200
1,0,68,80,36960,37200
1,0,72,80,36960,37200
1,0,60,80,37200,37440
1,0,75,80,37200,37440
2,0,39,80,37440,38400
2,0,53,80,37440,37680
2,0,56,80,37440,37680
1,0,79,80,37440,37920
2,0,51,80,37680,38160
1,0,60,80,37680,37920
1,0,65,80,37920,38160
1,0,77,80,37920,38160
2,0,48,80,38160,38400
1,0,68,80,38160,38400
1,0,72,80,38160,38400
2,0,46,80,38400,39360
2,0,53,80,38400,38880
1,0,62,80,38400,38640
1,0,68,80,38400,38640
1,0,70,80,38400,38880
1,0,65,80,38640,39120
2,0,56,80,38880,39360
1,0,70,80,38880,39120
1,0,62,80,39120,39360
1,0,70,80,39120,39360
2,0,46,80,39360,39600
2,0,55,80,39360,39600
1,0,63,80,39360,39600
1,0,70,80,39360,39600
1,0,70,80,39360,39680
1,0,67,80,39680,39840
2,0,31,80,39840,40320
2,0,43,80,39840,40320
2,0,58,80,39840,40080
2,0,58,80,39840,40320
1,0,67,80,39840,40000
1,0,65,80,40000,40160
1,0,63,80,40080,40320
1,0,67,80,40080,40320
1,0,63,80,40160,40320
2,0,32,80,40320,41040
2,0,44,80,40320,41040
2,0,59,80,40320,40560
2,0,59,80,40320,40800
1,0,67,80,40320,40560
1,0,63,80,40560,40800
1,0,67,80,40560,40800
1,0,60,80,40800,41040
1,0,60,80,40800,41280
1,0,67,80,40800,41280
2,0,33,80,41040,41280
2,0,45,80,41040,41280
1,0,63,80,41040,41280
1,0,67,80,41040,41280
2,0,34,80,41280,41520
2,0,46,80,41280,41520
2,0,58,80,41280,41520
1,0,63,80,41280,41520
1,0,67,80,41280,41520
1,0,67,80,41280,41520
1,0,67,80,41520,41760
2,0,53,80,41760,42240
2,0,56,80,41760,42240
2,0,58,80,41760,42240
1,0,62,80,41760,42240
1,0,70,80,41760,42000
1,0,72,80,42000,42240
2,0,55,80,42240,42480
2,0,58,80,42240,42480
1,0,63,80,42240,42480
1,0,70,80,42240,42720
1,0,70,80,42480,42720
1,0,72,80,42720,42960
1,0,63,80,42960,43200
1,0,67,80,42960,43200
1,0,70,80,42960,43200
1,0,73,80,42960,43200
1,0,62,80,43200,43920
1,0,67,80,43200,43920
1,0,71,80,43200,43440
1,0,74,80,43200,43440
1,0,74,80,43440,43680
1,0,79,80,43680,43920
1,0,62,80,43920,44160
1,0,67,80,43920,44160
1,0,71,80,43920,44160
1,0,74,80,43920,44160
2,0,50,80,44160,45120
1,0,60,80,44160,45120
1,0,66,80,44160,44640
1,0,71,80,44160,44640
1,0,74,80,44160,44640
1,0,66,80,44640,44880
1,0,69,80,44640,44880
1,0,74,80,44640,44880
1,0,64,80,44880,45120
2,0,50,80,45120,46080
2,0,59,80,45120,45600
1,0,67,80,45120,45360
1,0,62,80,45360,45600
2,0,58,80,45600,46080
1,0,61,80,45600,46080
1,0,64,80,45600,46080
1,0,78,80,45600,45840
1,0,76,80,45840,46080
2,0,50,80,46080,46800
2,0,57,80,46080,47040
1,0,62,80,46080,46320
1,0,66,80,46080,46320
1,0,74,80,46080,47040
1,0,71,80,46320,46560
1,0,69,80,46560,46800
2,0,48,80,46800,47040
1,0,64,80,46800,47040
2,0,47,80,47040,47280
2,0,59,80,47040,47280
1,0,62,80,47040,47280
1,0,67,80,47040,47280
1,0,74,80,47040,47280
2,0,43,80,47520,48000
2,0,55,80,47520,48000
2,0,58,80,47520,48000
1,0,63,80,47520,48000
1,0,70,80,47520,48000
1,0,75,80,47520,47760
1,0,67,80,47760,48000
2,0,44,80,48000,48480
2,0,56,80,48000,48480
1,0,60,80,48000,48480
1,0,63,80,48000,48480
1,0,67,80,48000,48160
1,0,65,80,48160,48320
1,0,63,80,48320,48480
2,0,43,80,48480,48960
2,0,51,80,48480,48960
2,0,58,80,48480,48640
2,0,58,80,48480,48960
1,0,67,80,48480,48720
1,0,65,80,48640,48800
1,0,63,80,48800,48960
2,0,44,80,48960,49680
2,0,51,80,48960,49680
2,0,59,80,48960,49680
1,0,66,80,48960,49440
1,0,65,80,49440,49680
2,0,45,80,49680,49920
2,0,54,80,49680,49920
2,0,59,80,49680,49920
1,0,63,80,49680,49920
2,0,46,80,49920,50160
2,0,55,80,49920,50160
2,0,58,80,49920,50160
1,0,63,80,49920,50160
1,0,75,80,49920,50400
1,0,75,80,50400,50880
2,0,58,80,50880,51840
1,0,65,80,50880,51840
1,0,68,80,50880,51840
1,0,70,80,50880,51360
1,0,75,80,50880,51360
1,0,77,80,50880,51600
1,0,82,80,50880,51360
1,0,70,80,51360,51600
1,0,74,80,51360,51600
1,0,82,80,51360,51600
1,0,75,80,51600,51840
1,0,75,80,51600,51840
2,0,51,80,51840,52080
2,0,58,80,51840,52080
1,0,67,80,51840,52080
1,0,70,80,51840,52320
1,0,75,80,51840,52320
1,0,79,80,51840,52320
2,0,58,80,52080,52560
1,0,70,80,52320,52560
1,0,75,80,52320,52560
1,0,79,80,52320,52560
2,0,46,80,52560,52800
2,0,46,80,52800,53520
2,0,55,80,52800,53760
2,0,58,80,52800,53760
1,0,63,80,52800,53760
1,0,67,80,52800,53760
2,0,46,80,53520,53760
2,0,39,80,53760,54000
2,0,55,80,53760,54000
2,0,58,80,53760,54000
1,0,63,80,53760,54000
1,0,67,80,53760,54000
