# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,41,80,0,240
1,0,69,80,0,480
1,0,72,80,0,480
1,0,72,80,0,480
2,0,53,80,240,480
2,0,41,80,480,720
1,0,69,80,480,720
1,0,72,80,480,720
1,0,72,80,480,720
2,0,53,80,720,960
1,0,67,80,720,960
1,0,70,80,720,960
1,0,70,80,720,960
2,0,41,80,960,1200
1,0,67,80,960,1200
1,0,70,80,960,1200
1,0,70,80,960,1200
2,0,53,80,1200,1440
1,0,65,80,1200,1440
1,0,69,80,1200,1440
1,0,69,80,1200,1440
2,0,41,80,1440,1680
1,0,65,80,1440,1680
1,0,69,80,1440,1680
1,0,69,80,1440,1680
2,0,53,80,1680,1920
1,0,69,80,1680,1920
1,0,72,80,1680,1920
1,0,72,80,1680,1920
2,0,36,80,1920,2160
1,0,69,80,1920,2160
1,0,72,80,1920,2160
1,0,72,80,1920,2160
2,0,48,80,2160,2400
1,0,67,80,2160,2400
1,0,70,80,2160,2400
1,0,70,80,2160,2400
2,0,36,80,2400,2640
1,0,67,80,2400,2640
1,0,70,80,2400,2640
1,0,70,80,2400,2640
2,0,48,80,2640,2880
1,0,65,80,2640,2880
1,0,69,80,2640,2880
1,0,69,80,2640,2880
2,0,36,80,2880,3120
1,0,64,80,2880,3840
1,0,67,80,2880,3840
1,0,67,80,2880,3840
2,0,48,80,3120,3360
2,0,36,80,3360,3600
2,0,48,80,3600,3840
2,0,41,80,3840,4080
1,0,69,80,3840,4560
1,0,69,80,3840,4560
2,0,53,80,4080,4320
2,0,41,80,4320,4560
2,0,53,80,4560,4800
1,0,67,80,4560,4800
1,0,67,80,4560,4800
2,0,38,80,4800,5040
1,0,67,80,4800,5040
1,0,67,80,4800,5040
2,0,50,80,5040,5280
1,0,65,80,5040,5280
1,0,65,80,5040,5280
2,0,38,80,5280,5520
1,0,64,80,5280,5520
1,0,64,80,5280,5520
2,0,50,80,5520,5760
1,0,65,80,5520,5760
1,0,65,80,5520,5760
2,0,36,80,5760,6000
1,0,67,80,5760,6480
1,0,70,80,5760,6480
1,0,70,80,5760,6480
2,0,48,80,6000,6240
2,0,36,80,6240,6480
2,0,48,80,6480,6720
1,0,65,80,6480,6720
1,0,69,80,6480,6720
1,0,69,80,6480,6720
2,0,36,80,6720,6960
1,0,65,80,6720,7200
1,0,69,80,6720,7200
1,0,69,80,6720,7200
2,0,48,80,6960,7200
2,0,36,80,7200,7440
