# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,50,80,960,1920
2,0,50,80,960,1920
2,0,57,80,960,1920
2,0,57,80,960,1920
1,0,66,80,960,1920
1,0,66,80,960,1920
1,0,74,80,960,1920
1,0,74,80,960,1920
2,0,55,80,1920,2400
2,0,55,80,1920,2400
2,0,59,80,1920,2400
2,0,59,80,1920,2400
1,0,62,80,1920,2880
1,0,62,80,1920,2880
1,0,71,80,1920,3360
1,0,71,80,1920,3360
2,0,54,80,2400,2880
2,0,54,80,2400,2880
2,0,57,80,2400,2880
2,0,57,80,2400,2880
2,0,52,80,2880,3840
2,0,52,80,2880,3840
2,0,55,80,2880,3840
2,0,55,80,2880,3840
1,0,64,80,2880,3840
1,0,64,80,2880,3840
1,0,73,80,3360,3840
1,0,73,80,3360,3840
2,0,54,80,3840,4320
2,0,54,80,3840,4320
2,0,57,80,3840,4320
2,0,57,80,3840,4320
1,0,61,80,3840,4800
1,0,61,80,3840,4800
1,0,69,80,3840,5280
1,0,69,80,3840,5280
2,0,52,80,4320,4800
2,0,52,80,4320,4800
2,0,55,80,4320,4800
2,0,55,80,4320,4800
2,0,50,80,4800,5760
2,0,50,80,4800,5760
2,0,54,80,4800,5760
2,0,54,80,4800,5760
1,0,62,80,4800,5760
1,0,62,80,4800,5760
1,0,71,80,5280,5760
1,0,71,80,5280,5760
2,0,52,80,5760,6240
2,0,52,80,5760,6240
2,0,55,80,5760,6240
2,0,55,80,5760,6240
2,0,59,80,5760,6720
2,0,59,80,5760,6720
1,0,67,80,5760,6720
1,0,67,80,5760,6720
2,0,50,80,6240,6720
2,0,50,80,6240,6720
2,0,59,80,6240,6720
2,0,59,80,6240,6720
2,0,49,80,6720,7680
2,0,49,80,6720,7680
2,0,57,80,6720,7200
2,0,57,80,6720,7200
1,0,64,80,6720,7680
1,0,64,80,6720,7680
1,0,69,80,6720,7680
1,0,69,80,6720,7680
2,0,55,80,7200,7680
2,0,55,80,7200,7680
2,0,50,80,7680,8160
2,0,50,80,7680,8160
2,0,54,80,7680,8640
2,0,54,80,7680,8640
1,0,62,80,7680,8640
1,0,62,80,7680,9600
1,0,69,80,7680,8160
1,0,69,80,7680,8160
2,0,49,80,8160,8640
2,0,49,80,8160,8640
1,0,66,80,8160,8640
1,0,66,80,8160,8640
2,0,47,80,8640,9120
2,0,47,80,8640,9120
2,0,52,80,8640,9120
2,0,52,80,8640,9120
1,0,62,80,8640,9600
1,0,67,80,8640,9120
1,0,67,80,8640,9120
2,0,45,80,9120,9600
2,0,45,80,9120,9600
2,0,54,80,9120,9600
2,0,54,80,9120,9600
1,0,69,80,9120,9600
1,0,69,80,9120,9600
2,0,43,80,9600,10560
2,0,43,80,9600,10560
2,0,55,80,9600,11040
2,0,55,80,9600,11520
1,0,62,80,9600,10560
1,0,62,80,9600,10560
1,0,71,80,9600,11040
1,0,71,80,9600,11040
2,0,55,80,10560,11520
2,0,55,80,10560,11520
1,0,66,80,10560,11040
1,0,66,80,10560,11040
2,0,55,80,11040,11520
1,0,64,80,11040,11520
1,0,64,80,11040,11520
1,0,71,80,11040,11520
1,0,71,80,11040,11520
2,0,54,80,11520,12480
2,0,54,80,11520,12480
2,0,57,80,11520,12960
2,0,57,80,11520,12960
1,0,64,80,11520,12000
1,0,64,80,11520,12000
1,0,69,80,11520,12480
1,0,69,80,11520,12480
1,0,62,80,12000,12480
1,0,62,80,12000,12480
2,0,47,80,12480,13440
2,0,47,80,12480,13440
1,0,62,80,12480,13440
1,0,62,80,12480,13440
1,0,74,80,12480,13440
1,0,74,80,12480,13440
2,0,55,80,12960,13440
2,0,55,80,12960,13440
2,0,45,80,13440,14400
2,0,45,80,13440,14400
2,0,54,80,13440,14400
2,0,54,80,13440,14400
1,0,62,80,13440,14400
1,0,62,80,13440,14400
1,0,69,80,13440,14400
1,0,69,80,13440,14880
2,0,45,80,14400,15360
2,0,45,80,14400,15360
2,0,52,80,14400,15360
2,0,52,80,14400,15360
1,0,61,80,14400,15360
1,0,61,80,14400,15360
1,0,69,80,14400,15360
1,0,69,80,14880,15360
2,0,50,80,15360,16320
2,0,50,80,15360,16320
2,0,54,80,15360,16320
2,0,54,80,15360,16320
1,0,62,80,15360,16320
1,0,62,80,15360,16320
1,0,69,80,15360,16320
1,0,69,80,15360,16320
2,0,50,80,16320,17280
2,0,50,80,16320,17280
2,0,57,80,16320,17280
