# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,0,240
2,0,55,80,0,240
1,0,62,80,0,480
1,0,67,80,240,480
1,0,71,80,240,480
2,0,40,80,480,720
2,0,52,80,480,720
1,0,64,80,480,600
1,0,67,80,600,840
1,0,71,80,840,960
2,0,38,80,960,1200
2,0,50,80,960,1200
1,0,74,80,960,1440
1,0,66,80,1200,1440
1,0,69,80,1200,1440
2,0,59,80,1440,1560
1,0,71,80,1440,1560
2,0,57,80,1560,1680
1,0,69,80,1560,1680
2,0,55,80,1680,1920
1,0,67,80,1680,1920
2,0,52,80,1920,2400
1,0,64,80,1920,2400
1,0,67,80,2160,2400
1,0,71,80,2160,2400
2,0,51,80,2400,2520
1,0,63,80,2400,2520
2,0,50,80,2520,2760
1,0,62,80,2520,2760
1,0,64,80,2640,2880
1,0,67,80,2640,2880
2,0,49,80,2760,2880
1,0,61,80,2760,2880
2,0,48,80,2880,3120
1,0,60,80,2880,3120
2,0,52,80,3120,3360
1,0,64,80,3120,3360
2,0,43,80,3360,3840
2,0,55,80,3360,3840
1,0,67,80,3360,3840
1,0,71,80,3600,3840
1,0,74,80,3600,3840
2,0,43,80,3840,4080
2,0,55,80,3840,4080
2,0,59,80,3960,4080
1,0,62,80,3960,4020
1,0,64,80,4020,4080
2,0,59,80,4080,4320
1,0,67,80,4080,4320
2,0,40,80,4320,4560
2,0,52,80,4320,4560
2,0,59,80,4440,4560
1,0,62,80,4440,4500
1,0,64,80,4500,4560
2,0,59,80,4560,4800
1,0,67,80,4560,4800
2,0,43,80,4800,5040
2,0,55,80,4800,5040
2,0,59,80,4920,5040
1,0,62,80,4920,4980
1,0,64,80,4980,5040
2,0,59,80,5040,5280
1,0,67,80,5040,5280
2,0,38,80,5280,5520
2,0,50,80,5280,5520
2,0,57,80,5400,5520
1,0,62,80,5400,5460
1,0,64,80,5460,5520
2,0,57,80,5520,5760
1,0,66,80,5520,5760
2,0,43,80,5760,6000
2,0,55,80,5760,6000
2,0,59,80,5880,6000
1,0,62,80,5880,5940
1,0,64,80,5940,6000
2,0,59,80,6000,6240
1,0,67,80,6000,6240
2,0,40,80,6240,6480
2,0,52,80,6240,6480
2,0,59,80,6360,6480
1,0,62,80,6360,6420
1,0,64,80,6420,6480
2,0,59,80,6480,6720
1,0,67,80,6480,6720
2,0,43,80,6720,6960
2,0,55,80,6720,6960
2,0,59,80,6840,6960
1,0,62,80,6840,6900
1,0,64,80,6900,6960
2,0,59,80,6960,7200
1,0,67,80,6960,7200
2,0,38,80,7200,7440
2,0,50,80,7200,7440
2,0,57,80,7320,7440
1,0,62,80,7320,7380
1,0,64,80,7380,7440
2,0,57,80,7440,7680
1,0,66,80,7440,7680
2,0,43,80,7680,7920
2,0,55,80,7680,7920
1,0,74,80,7680,8040
1,0,74,80,7680,8040
1,0,67,80,7920,8160
1,0,71,80,7920,8160
1,0,74,80,8040,8160
1,0,74,80,8040,8160
2,0,40,80,8160,8400
2,0,52,80,8160,8400
1,0,76,80,8160,8520
1,0,76,80,8160,8520
1,0,67,80,8400,8640
1,0,71,80,8400,8640
1,0,76,80,8520,8640
1,0,76,80,8520,8640
2,0,43,80,8640,8880
2,0,55,80,8640,8880
1,0,74,80,8640,8880
1,0,74,80,8640,8880
1,0,71,80,8880,9000
1,0,71,80,8880,9000
1,0,74,80,9000,9120
1,0,74,80,9000,9120
2,0,38,80,9120,9360
2,0,50,80,9120,9360
1,0,66,80,9120,9480
1,0,66,80,9120,9480
1,0,67,80,9360,9600
1,0,71,80,9360,9600
1,0,66,80,9480,9600
1,0,66,80,9480,9600
2,0,43,80,9600,9840
2,0,55,80,9600,9840
1,0,64,80,9600,9960
1,0,64,80,9600,9960
1,0,67,80,9840,10080
1,0,71,80,9840,10080
1,0,64,80,9960,10080
1,0,64,80,9960,10080
2,0,38,80,10080,10320
2,0,50,80,10080,10320
1,0,66,80,10080,10320
1,0,66,80,10080,10320
1,0,64,80,10320,10440
1,0,64,80,10320,10440
1,0,67,80,10440,10560
1,0,67,80,10440,10560
2,0,45,80,10560,10800
2,0,57,80,10560,10800
1,0,62,80,10560,11040
1,0,74,80,10560,11040
1,0,74,80,10560,11040
1,0,66,80,10800,10920
1,0,72,80,10800,10920
1,0,66,80,10920,11040
1,0,72,80,10920,11040
2,0,38,80,11040,11280
2,0,50,80,11040,11280
1,0,62,80,11040,11280
1,0,66,80,11040,11280
1,0,72,80,11040,11280
1,0,74,80,11040,11280
1,0,74,80,11040,11280
1,0,66,80,11280,11520
1,0,72,80,11280,11520
2,0,45,80,11520,11760
2,0,57,80,11520,11760
1,0,76,80,11520,11880
1,0,76,80,11520,11880
1,0,67,80,11760,12000
1,0,72,80,11760,12000
1,0,76,80,11880,12000
1,0,76,80,11880,12000
2,0,40,80,12000,12240
2,0,52,80,12000,12240
1,0,79,80,12000,12120
1,0,79,80,12000,12120
1,0,76,80,12120,12240
1,0,76,80,12120,12240
1,0,72,80,12240,12360
1,0,72,80,12240,12360
1,0,71,80,12360,12480
1,0,71,80,12360,12480
2,0,39,80,12480,12720
2,0,51,80,12480,12720
1,0,69,80,12480,12960
1,0,69,80,12480,12960
1,0,60,80,12720,12840
1,0,67,80,12720,12840
1,0,60,80,12840,12960
1,0,67,80,12840,12960
2,0,36,80,12960,13200
2,0,48,80,12960,13200
1,0,63,80,12960,13440
1,0,67,80,12960,13440
1,0,69,80,12960,13200
1,0,69,80,12960,13200
1,0,69,80,13200,13320
1,0,69,80,13200,13320
1,0,71,80,13320,13440
1,0,71,80,13320,13440
2,0,33,80,13440,13680
2,0,45,80,13440,13680
1,0,62,80,13440,13680
1,0,74,80,13440,13680
1,0,74,80,13440,13680
1,0,69,80,13680,13800
1,0,69,80,13680,13800
1,0,71,80,13800,13920
1,0,71,80,13800,13920
2,0,38,80,13920,14160
2,0,50,80,13920,14160
1,0,62,80,13920,14160
1,0,74,80,13920,14160
1,0,74,80,13920,14160
1,0,66,80,14160,14280
1,0,66,80,14160,14280
1,0,69,80,14280,14400
1,0,69,80,14280,14400
2,0,43,80,14400,14640
2,0,55,80,14400,14640
1,0,62,80,14400,14880
1,0,74,80,14400,14880
1,0,74,80,14400,14880
1,0,67,80,14640,14760
1,0,71,80,14640,14760
1,0,67,80,14760,14880
1,0,71,80,14760,14880
2,0,38,80,14880,15120
2,0,50,80,14880,15120
1,0,62,80,14880,15120
1,0,67,80,14880,15120
1,0,71,80,14880,15120
1,0,74,80,14880,15120
1,0,74,80,14880,15120
1,0,67,80,15120,15360
1,0,71,80,15120,15360
2,0,43,80,15360,15600
2,0,55,80,15360,15600
1,0,74,80,15360,15720
1,0,74,80,15360,15720
1,0,67,80,15600,15840
1,0,71,80,15600,15840
1,0,74,80,15720,15840
1,0,74,80,15720,15840
2,0,40,80,15840,16080
2,0,52,80,15840,16080
1,0,76,80,15840,16200
1,0,76,80,15840,16200
1,0,67,80,16080,16320
1,0,71,80,16080,16320
1,0,76,80,16200,16320
1,0,76,80,16200,16320
2,0,43,80,16320,16560
2,0,55,80,16320,16560
1,0,74,80,16320,16560
1,0,74,80,16320,16560
1,0,71,80,16560,16680
1,0,71,80,16560,16680
1,0,74,80,16680,16800
1,0,74,80,16680,16800
2,0,38,80,16800,17040
2,0,50,80,16800,17040
1,0,66,80,16800,17160
1,0,66,80,16800,17160
1,0,67,80,17040,17280
1,0,71,80,17040,17280
1,0,66,80,17160,17280
1,0,66,80,17160,17280
2,0,43,80,17280,17520
2,0,55,80,17280,17520
1,0,64,80,17280,17640
1,0,64,80,17280,17640
1,0,67,80,17520,17760
1,0,71,80,17520,17760
1,0,64,80,17640,17760
1,0,64,80,17640,17760
2,0,38,80,17760,18000
2,0,50,80,17760,18000
1,0,66,80,17760,18000
1,0,66,80,17760,18000
1,0,64,80,18000,18120
1,0,64,80,18000,18120
1,0,67,80,18120,18240
1,0,67,80,18120,18240
2,0,36,80,18240,18480
2,0,48,80,18240,18480
