# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,0,720
2,0,52,80,0,720
2,0,57,80,0,720
1,0,60,80,0,720
2,0,45,80,720,960
2,0,53,80,720,960
2,0,57,80,720,960
1,0,62,80,720,960
2,0,45,80,960,1200
2,0,50,80,960,1200
2,0,57,80,960,1200
2,0,59,80,960,1200
2,0,45,80,1200,1440
2,0,53,80,1200,1440
2,0,57,80,1200,1440
1,0,62,80,1200,1440
2,0,45,80,1440,1920
2,0,52,80,1440,1920
2,0,57,80,1440,1920
1,0,60,80,1440,1920
2,0,45,80,1920,2880
2,0,48,80,1920,2880
2,0,57,80,1920,2880
1,0,64,80,1920,2880
2,0,41,80,2880,3600
2,0,48,80,2880,3600
2,0,57,80,2880,3600
1,0,67,80,2880,3600
2,0,41,80,3600,3840
2,0,48,80,3600,3840
2,0,57,80,3600,3840
1,0,65,80,3600,3840
2,0,36,80,3840,4080
2,0,48,80,3840,4080
2,0,58,80,3840,4080
1,0,60,80,3840,4080
1,0,65,80,3840,4080
1,0,69,80,3840,4080
2,0,36,80,4080,4320
2,0,48,80,4080,4320
2,0,58,80,4080,4320
1,0,60,80,4080,4320
1,0,64,80,4080,4320
1,0,67,80,4080,4320
2,0,41,80,4320,5760
2,0,48,80,4320,5760
2,0,57,80,4320,5760
1,0,60,80,4320,5760
1,0,65,80,4320,5760
1,0,69,80,4320,5760
1,0,69,80,5520,5760
2,0,45,80,5760,6480
2,0,52,80,5760,6480
2,0,57,80,5760,6480
1,0,60,80,5760,6480
1,0,69,80,5760,6720
2,0,45,80,6480,6720
2,0,53,80,6480,6720
2,0,57,80,6480,6720
1,0,62,80,6480,6720
2,0,45,80,6720,6960
2,0,50,80,6720,6960
2,0,57,80,6720,6960
2,0,59,80,6720,6960
1,0,69,80,6720,7080
2,0,45,80,6960,7200
2,0,52,80,6960,7200
2,0,57,80,6960,7200
1,0,60,80,6960,7200
1,0,69,80,7080,7200
2,0,45,80,7200,8160
2,0,53,80,7200,8160
2,0,57,80,7200,8160
1,0,62,80,7200,8160
1,0,69,80,7200,7560
1,0,71,80,7560,7680
1,0,69,80,7680,8400
2,0,45,80,8160,8640
2,0,52,80,8160,8640
2,0,57,80,8160,8640
1,0,60,80,8160,8640
1,0,69,80,8400,8640
2,0,40,80,8640,9360
2,0,52,80,8640,9360
1,0,60,80,8640,9360
1,0,64,80,8640,9360
1,0,72,80,8640,9360
2,0,40,80,9360,9600
2,0,50,80,9360,9600
2,0,52,80,9360,9600
2,0,59,80,9360,9600
1,0,64,80,9360,9600
1,0,71,80,9360,9600
2,0,40,80,9600,9840
2,0,48,80,9600,9840
2,0,52,80,9600,9840
2,0,57,80,9600,9840
1,0,64,80,9600,9840
1,0,69,80,9600,9840
2,0,40,80,9840,10080
2,0,47,80,9840,10080
2,0,52,80,9840,10080
2,0,56,80,9840,10080
1,0,64,80,9840,10080
1,0,68,80,9840,10080
2,0,45,80,10080,10320
2,0,48,80,10080,10320
2,0,52,80,10080,10320
2,0,57,80,10080,10320
1,0,64,80,10080,10320
1,0,69,80,10080,11040
2,0,52,80,10320,10800
1,0,64,80,10320,10800
2,0,52,80,10800,11040
2,0,57,80,10800,11040
1,0,60,80,10800,11040
1,0,64,80,10800,11040
2,0,52,80,11040,11280
2,0,59,80,11040,11280
1,0,62,80,11040,11280
1,0,64,80,11040,11280
2,0,52,80,11280,11520
2,0,56,80,11280,11520
2,0,59,80,11280,11520
1,0,64,80,11280,11520
1,0,64,80,11280,11520
2,0,45,80,11520,12240
2,0,52,80,11520,12240
1,0,60,80,11520,12240
1,0,69,80,11520,12480
2,0,45,80,12240,12480
2,0,53,80,12240,12480
2,0,57,80,12240,12480
1,0,62,80,12240,12480
2,0,45,80,12480,12720
2,0,50,80,12480,12720
2,0,57,80,12480,12720
2,0,59,80,12480,12720
1,0,69,80,12480,12720
2,0,45,80,12720,12960
2,0,52,80,12720,12960
2,0,57,80,12720,12960
1,0,60,80,12720,12960
1,0,69,80,12720,12960
2,0,45,80,12960,13920
2,0,53,80,12960,13920
2,0,57,80,12960,13920
1,0,62,80,12960,13920
1,0,69,80,12960,13320
1,0,71,80,13320,13440
1,0,69,80,13440,13920
2,0,45,80,13920,14400
2,0,52,80,13920,14400
2,0,57,80,13920,14400
1,0,60,80,13920,14400
1,0,76,80,14160,14400
2,0,40,80,14400,15120
2,0,52,80,14400,15120
1,0,60,80,14400,15120
1,0,64,80,14400,15120
1,0,72,80,14400,15120
2,0,40,80,15120,15360
2,0,50,80,15120,15360
2,0,52,80,15120,15360
2,0,59,80,15120,15360
1,0,64,80,15120,15360
1,0,71,80,15120,15360
2,0,40,80,15360,15600
2,0,48,80,15360,15600
2,0,52,80,15360,15600
2,0,57,80,15360,15600
1,0,64,80,15360,15600
1,0,69,80,15360,15600
2,0,40,80,15600,15840
2,0,47,80,15600,15840
2,0,52,80,15600,15840
2,0,56,80,15600,15840
1,0,64,80,15600,15840
1,0,68,80,15600,15840
2,0,45,80,15840,16080
2,0,48,80,15840,16080
2,0,52,80,15840,16080
2,0,57,80,15840,16080
1,0,64,80,15840,16080
1,0,69,80,15840,16800
2,0,52,80,16080,16560
1,0,64,80,16080,16560
2,0,52,80,16560,16800
1,0,60,80,16560,16800
1,0,64,80,16560,16800
2,0,52,80,16800,17040
2,0,57,80,16800,17040
1,0,60,80,16800,17040
1,0,64,80,16800,17040
2,0,52,80,17040,17280
2,0,56,80,17040,17280
2,0,59,80,17040,17280
1,0,64,80,17040,17280
1,0,71,80,17040,17280
2,0,48,80,17280,18720
2,0,55,80,17280,18000
2,0,58,80,17280,18000
1,0,64,80,17280,18000
1,0,72,80,17280,18240
2,0,57,80,18000,18240
1,0,60,80,18000,18240
1,0,65,80,18000,18240
2,0,53,80,18240,18480
2,0,57,80,18240,18480
1,0,62,80,18240,18480
1,0,74,80,18240,18600
2,0,55,80,18480,18720
2,0,58,80,18480,18720
1,0,64,80,18480,18720
1,0,72,80,18600,18720
2,0,48,80,18720,19200
2,0,57,80,18720,19200
1,0,60,80,18720,19200
1,0,65,80,18720,19200
1,0,69,80,18720,19200
2,0,48,80,19200,19440
2,0,55,80,19200,19440
1,0,60,80,19200,19440
1,0,64,80,19200,19440
1,0,67,80,19200,19680
2,0,48,80,19440,19680
2,0,55,80,19440,19680
1,0,62,80,19440,19680
1,0,64,80,19440,19680
2,0,48,80,19680,19920
2,0,55,80,19680,19920
1,0,60,80,19680,19920
1,0,64,80,19680,19920
2,0,48,80,19920,20160
