# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,63,80,0,60
1,0,64,80,0,240
1,0,75,80,0,60
1,0,76,80,0,240
2,0,52,80,1440,1800
1,0,64,80,1440,1800
2,0,54,80,1800,1920
1,0,66,80,1800,1920
2,0,56,80,1920,2160
1,0,68,80,1920,2160
2,0,57,80,2160,2520
1,0,69,80,2160,2520
2,0,59,80,2520,2640
1,0,71,80,2520,2640
1,0,60,80,2640,2880
1,0,72,80,2640,2880
2,0,59,80,2880,3360
1,0,71,80,2880,3360
2,0,56,80,3360,3600
1,0,68,80,3360,3600
2,0,52,80,3600,4320
1,0,64,80,3600,4320
1,0,64,80,4080,4320
1,0,76,80,4080,4320
2,0,52,80,4320,4800
1,0,64,80,4320,4560
1,0,64,80,4320,4800
1,0,66,80,4560,4800
2,0,50,80,4800,5040
2,0,59,80,4800,5040
1,0,64,80,4800,5040
1,0,68,80,4800,5040
1,0,68,80,4800,5040
2,0,48,80,5040,5520
1,0,60,80,5040,5520
1,0,64,80,5040,5520
1,0,69,80,5040,5280
1,0,69,80,5040,5520
1,0,71,80,5280,5520
2,0,45,80,5520,5760
1,0,64,80,5520,5760
1,0,69,80,5520,5760
1,0,72,80,5520,5760
1,0,72,80,5520,5760
2,0,40,80,5760,6480
1,0,64,80,5760,6480
1,0,68,80,5760,6480
1,0,71,80,5760,6240
1,0,71,80,5760,6480
1,0,68,80,6240,6480
2,0,40,80,6480,6960
1,0,64,80,6480,6960
1,0,64,80,6480,6960
1,0,68,80,6480,6960
1,0,71,80,6480,6960
2,0,52,80,6960,7200
1,0,62,80,6960,7200
1,0,68,80,6960,7200
1,0,71,80,6960,7200
1,0,71,80,6960,7200
2,0,52,80,7200,7560
1,0,62,80,7200,7560
1,0,68,80,7200,7560
1,0,71,80,7200,7560
1,0,71,80,7200,7560
2,0,52,80,7560,7680
1,0,62,80,7560,7680
1,0,68,80,7560,7680
1,0,71,80,7560,7680
1,0,71,80,7560,7680
2,0,45,80,7680,7920
1,0,60,80,7680,7920
1,0,69,80,7680,7920
1,0,72,80,7680,7920
2,0,45,80,7920,8280
1,0,60,80,7920,8280
1,0,69,80,7920,8280
1,0,72,80,7920,8280
2,0,45,80,8280,8400
1,0,60,80,8280,8400
1,0,69,80,8280,8400
1,0,72,80,8280,8400
2,0,52,80,8400,8640
2,0,59,80,8400,8640
1,0,68,80,8400,8640
1,0,71,80,8400,8640
2,0,52,80,8640,9000
2,0,59,80,8640,9000
1,0,68,80,8640,9000
1,0,71,80,8640,9000
2,0,52,80,9000,9120
2,0,59,80,9000,9120
1,0,68,80,9000,9120
1,0,71,80,9000,9120
2,0,45,80,9120,9360
1,0,60,80,9120,9360
1,0,69,80,9120,9360
1,0,69,80,9120,9360
2,0,45,80,9360,9840
1,0,60,80,9360,9840
1,0,69,80,9360,9840
1,0,69,80,9360,9840
1,0,65,80,9840,10080
1,0,77,80,9840,10080
2,0,53,80,10080,10800
1,0,60,80,10080,10800
1,0,63,80,10080,10800
1,0,65,80,10080,10320
1,0,69,80,10080,10800
1,0,67,80,10320,10560
1,0,69,80,10560,10800
2,0,46,80,10800,11520
1,0,62,80,10800,11520
1,0,65,80,10800,11520
1,0,70,80,10800,11040
1,0,70,80,10800,11520
1,0,72,80,11040,11280
1,0,74,80,11280,11520
2,0,41,80,11520,12240
1,0,60,80,11520,12240
1,0,65,80,11520,12240
1,0,69,80,11520,12240
1,0,72,80,11520,11760
1,0,72,80,11760,12000
1,0,69,80,12000,12240
1,0,65,80,12240,12480
2,0,53,80,12480,12720
1,0,60,80,12480,12720
1,0,63,80,12480,12720
1,0,65,80,12480,12720
1,0,69,80,12480,12720
2,0,53,80,12720,12960
1,0,60,80,12720,12960
1,0,63,80,12720,12960
1,0,65,80,12720,12960
1,0,69,80,12720,12960
2,0,52,80,12960,13680
1,0,60,80,12960,13680
1,0,64,80,12960,13440
1,0,64,80,12960,13680
1,0,69,80,12960,13680
1,0,64,80,13440,13680
2,0,50,80,13680,14400
2,0,57,80,13680,14400
1,0,65,80,13680,14400
1,0,69,80,13680,14400
1,0,62,80,14160,14400
2,0,52,80,14400,15120
1,0,60,80,14400,15120
1,0,64,80,14400,14880
1,0,64,80,14400,15120
1,0,69,80,14400,15120
1,0,64,80,14880,15120
2,0,40,80,15120,15840
2,0,52,80,15120,15840
2,0,59,80,15120,15840
1,0,64,80,15120,15360
1,0,64,80,15120,15840
1,0,68,80,15120,15840
1,0,62,80,15360,15600
2,0,59,80,15600,15840
2,0,45,80,15840,16320
2,0,57,80,15840,16320
1,0,60,80,15840,16320
1,0,64,80,15840,16320
1,0,69,80,15840,16320
1,0,63,80,16320,16380
1,0,64,80,16320,16560
1,0,75,80,16320,16380
1,0,76,80,16320,16560
2,0,52,80,16560,17280
1,0,64,80,16560,17280
1,0,64,80,17040,17280
1,0,76,80,17040,17280
2,0,52,80,17280,17760
1,0,64,80,17280,17760
1,0,64,80,17280,17760
2,0,50,80,17760,18000
2,0,59,80,17760,18000
1,0,64,80,17760,18000
1,0,68,80,17760,18000
1,0,68,80,17760,18000
2,0,48,80,18000,18480
1,0,60,80,18000,18480
1,0,64,80,18000,18480
1,0,69,80,18000,18360
1,0,69,80,18000,18480
1,0,71,80,18360,18480
2,0,45,80,18480,18720
1,0,64,80,18480,18720
1,0,69,80,18480,18720
1,0,72,80,18480,18720
1,0,72,80,18480,18720
2,0,40,80,18720,19440
1,0,64,80,18720,19440
1,0,68,80,18720,19440
1,0,71,80,18720,19200
1,0,71,80,18720,19440
1,0,68,80,19200,19440
2,0,40,80,19440,19920
1,0,64,80,19440,19920
1,0,64,80,19440,19920
1,0,68,80,19440,19920
1,0,71,80,19440,19920
2,0,52,80,19920,20160
1,0,62,80,19920,20160
1,0,68,80,19920,20160
1,0,71,80,19920,20160
1,0,71,80,19920,20160
2,0,52,80,20160,20520
1,0,62,80,20160,20520
1,0,68,80,20160,20520
1,0,71,80,20160,20520
1,0,71,80,20160,20520
2,0,52,80,20520,20640
1,0,62,80,20520,20640
1,0,68,80,20520,20640
1,0,71,80,20520,20640
1,0,71,80,20520,20640
2,0,45,80,20640,20880
1,0,60,80,20640,20880
1,0,69,80,20640,20880
1,0,72,80,20640,20880
2,0,45,80,20880,21240
1,0,60,80,20880,21240
1,0,69,80,20880,21240
1,0,72,80,20880,21240
2,0,45,80,21240,21360
1,0,60,80,21240,21360
1,0,69,80,21240,21360
1,0,72,80,21240,21360
2,0,52,80,21360,21600
2,0,59,80,21360,21600
1,0,68,80,21360,21600
1,0,71,80,21360,21600
2,0,52,80,21600,21960
2,0,59,80,21600,21960
1,0,68,80,21600,21960
1,0,71,80,21600,21960
2,0,52,80,21960,22080
2,0,59,80,21960,22080
1,0,68,80,21960,22080
1,0,71,80,21960,22080
2,0,45,80,22080,22320
1,0,60,80,22080,22320
1,0,69,80,22080,22320
1,0,69,80,22080,22320
2,0,45,80,22320,23040
1,0,60,80,22320,23040
1,0,69,80,22320,22800
1,0,69,80,22320,23040
1,0,72,80,22800,23040
2,0,48,80,23040,24480
2,0,58,80,23040,23760
1,0,60,80,23040,23280
1,0,64,80,23040,23760
1,0,67,80,23040,23760
1,0,62,80,23280,23520
1,0,64,80,23520,23760
2,0,57,80,23760,24480
1,0,65,80,23760,24000
1,0,65,80,23760,24480
1,0,67,80,24000,24240
1,0,69,80,24240,24480
2,0,48,80,24480,25200
2,0,55,80,24480,25200
1,0,64,80,24480,25200
1,0,67,80,24480,24720
1,0,67,80,24720,24960
1,0,64,80,24960,25200
1,0,60,80,25200,25440
2,0,53,80,25440,25680
2,0,57,80,25440,25680
1,0,63,80,25440,25680
1,0,65,80,25440,25680
2,0,53,80,25680,25920
2,0,57,80,25680,25920
1,0,63,80,25680,25920
1,0,65,80,25680,25920
2,0,52,80,25920,26640
2,0,57,80,25920,26640
1,0,60,80,25920,26640
1,0,64,80,25920,26400
1,0,64,80,25920,26640
1,0,64,80,26400,26640
2,0,50,80,26640,27360
2,0,57,80,26640,27360
1,0,62,80,26640,27360
1,0,65,80,26640,27360
1,0,62,80,27120,27360
2,0,52,80,27360,28080
2,0,57,80,27360,28080
1,0,60,80,27360,28080
1,0,64,80,27360,27840
1,0,64,80,27360,28080
1,0,64,80,27840,28080
2,0,40,80,28080,28800
2,0,52,80,28080,28800
2,0,56,80,28080,28800
2,0,59,80,28080,28800
1,0,64,80,28080,28320
1,0,64,80,28080,28800
1,0,62,80,28320,28560
2,0,59,80,28560,28800
2,0,45,80,28800,29280
2,0,57,80,28800,29280
2,0,57,80,28800,29280
1,0,60,80,28800,29280
1,0,64,80,28800,29280
1,0,63,80,29280,29340
1,0,64,80,29280,29520
1,0,75,80,29280,29340
1,0,76,80,29280,29520
2,0,52,80,29520,30240
1,0,64,80,29520,30240
1,0,64,80,30000,30240
1,0,76,80,30000,30240
2,0,52,80,30240,30720
1,0,64,80,30240,30480
1,0,64,80,30240,30720
1,0,66,80,30480,30720
2,0,50,80,30720,30960
2,0,52,80,30720,30960
2,0,59,80,30720,30960
1,0,64,80,30720,30960
1,0,68,80,30720,30960
1,0,68,80,30720,30960
2,0,48,80,30960,31440
2,0,52,80,30960,31440
1,0,60,80,30960,31440
1,0,64,80,30960,31440
1,0,69,80,30960,31200
1,0,69,80,30960,31440
1,0,71,80,31200,31440
2,0,45,80,31440,31680
2,0,52,80,31440,31680
1,0,60,80,31440,31680
1,0,64,80,31440,31680
1,0,69,80,31440,31680
1,0,72,80,31440,31680
2,0,40,80,31680,32400
2,0,52,80,31680,32400
2,0,59,80,31680,32400
1,0,64,80,31680,32400
1,0,68,80,31680,32400
1,0,71,80,31680,32160
1,0,68,80,32160,32400
2,0,40,80,32400,32880
2,0,52,80,32400,32880
2,0,59,80,32400,32880
1,0,64,80,32400,32880
1,0,64,80,32400,32880
1,0,68,80,32400,32880
2,0,52,80,32880,33120
1,0,62,80,32880,33120
1,0,68,80,32880,33120
1,0,71,80,32880,33120
1,0,71,80,32880,33120
2,0,52,80,33120,33480
1,0,62,80,33120,33480
1,0,68,80,33120,33480
1,0,71,80,33120,33480
1,0,71,80,33120,33480
2,0,52,80,33480,33600
1,0,62,80,33480,33600
1,0,68,80,33480,33600
1,0,71,80,33480,33600
1,0,71,80,33480,33600
2,0,45,80,33600,33840
1,0,60,80,33600,33840
1,0,63,80,33600,33840
1,0,69,80,33600,33840
1,0,72,80,33600,33840
2,0,45,80,33840,34200
1,0,60,80,33840,34200
1,0,63,80,33840,34200
1,0,69,80,33840,34200
1,0,72,80,33840,34200
2,0,45,80,34200,34320
1,0,60,80,34200,34320
1,0,63,80,34200,34320
1,0,69,80,34200,34320
1,0,72,80,34200,34320
2,0,52,80,34320,34560
2,0,59,80,34320,34560
1,0,64,80,34320,34560
1,0,68,80,34320,34560
1,0,71,80,34320,34560
2,0,52,80,34560,34920
2,0,59,80,34560,34920
1,0,62,80,34560,34920
1,0,68,80,34560,34920
1,0,71,80,34560,34920
2,0,52,80,34920,35040
2,0,59,80,34920,35040
1,0,62,80,34920,35040
1,0,68,80,34920,35040
1,0,71,80,34920,35040
2,0,45,80,35040,35280
1,0,60,80,35040,35280
1,0,64,80,35040,35280
1,0,69,80,35040,35280
1,0,69,80,35040,35280
2,0,45,80,35280,36000
1,0,60,80,35280,36000
1,0,64,80,35280,36000
1,0,69,80,35280,35520
1,0,69,80,35280,35760
1,0,69,80,35520,36000
1,0,69,80,35760,36000
2,0,50,80,36000,36720
2,0,57,80,36000,36720
1,0,62,80,36000,36720
1,0,66,80,36000,36720
1,0,69,80,36000,36240
1,0,69,80,36000,36720
1,0,67,80,36240,36480
1,0,69,80,36480,36720
2,0,47,80,36720,37440
2,0,50,80,36720,37440
2,0,59,80,36720,37440
1,0,62,80,36720,37440
1,0,67,80,36720,37440
1,0,71,80,36720,36960
1,0,71,80,36720,37200
1,0,71,80,36960,37440
1,0,71,80,37200,37440
2,0,45,80,37440,38160
2,0,52,80,37440,38160
2,0,57,80,37440,38160
1,0,61,80,37440,38160
1,0,64,80,37440,38160
1,0,67,80,37440,38160
1,0,69,80,37440,38160
1,0,73,80,37440,37680
1,0,73,80,37440,37920
1,0,73,80,37680,38160
1,0,73,80,37920,38160
2,0,38,80,38160,38880
2,0,50,80,38160,38880
1,0,62,80,38160,38880
1,0,66,80,38160,38880
1,0,69,80,38160,38880
1,0,74,80,38160,38640
1,0,74,80,38160,38880
1,0,74,80,38640,38880
2,0,40,80,38880,40320
2,0,52,80,38880,40320
1,0,62,80,38880,39600
1,0,64,80,38880,39600
1,0,68,80,38880,39600
1,0,71,80,38880,39600
1,0,74,80,38880,39120
1,0,74,80,38880,39360
1,0,74,80,39120,39600
1,0,74,80,39360,39600
1,0,64,80,39600,40320
1,0,69,80,39600,40320
1,0,73,80,39600,39840
1,0,73,80,39600,40080
1,0,73,80,39840,40320
1,0,73,80,40080,40320
2,0,40,80,40320,41760
2,0,52,80,40320,41760
1,0,62,80,40320,41280
1,0,64,80,40320,41280
1,0,69,80,40320,41040
1,0,71,80,40320,41040
1,0,71,80,40320,41040
1,0,68,80,41040,41520
1,0,68,80,41040,41520
1,0,71,80,41040,41520
1,0,71,80,41040,41520
